current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,,,high,"No-arg primary constructor plus init block: `aLinkedListNode_3334.aLinkedListNode_4295 = aLinkedListNode_3334; aLinkedListNode_3334.aLinkedListNode_4294 = aLinkedListNode_3334` -- standard sentinel-node setup for an empty circular doubly-linked list (the sentinel's own next/prev point to itself). Field-role analysis (from method1999/method2001 below) shows aLinkedListNode_4295 is the 'next' pointer (sentinel.next = head/first element) and aLinkedListNode_4294 is the 'prev' pointer (sentinel.prev = tail/last element) of LinkedListNode."
method1988,moveAllElementsTo,"nodeDeque_0_: NodeDeque?, i: Byte","destination: NodeDeque?, unusedGuard: Byte",medium,"Only call sites (NpcDefinitionCache.kt:143-144) both pass the literal (-115).toByte(), making the leading `if (i.toInt() != -115) method1995(-53)` guard/call dead code in practice (never triggers). Unconditionally calls the private method1989 with `this.aLinkedListNode_3334.aLinkedListNode_4294` (this list's TAIL node) and the passed-in destination NodeDeque. Combined with method1989's pointer surgery (see below), the net effect is: splice every element currently in `this` list onto the FRONT of `destination`, leaving `this` completely empty. Equivalent to `destination.addAll(0, this); this.clear()` done as an O(1) pointer swap. Confidence is medium rather than high only because there is a single call-site pattern (repeated twice) to corroborate the pointer-math-derived behavior."
method1989,spliceAllOntoFront,"linkedListNode: LinkedListNode?, nodeDeque_1_: NodeDeque?","tailNode: LinkedListNode?, destination: NodeDeque?",medium,"Private helper invoked only by method1988, always with `linkedListNode` = this list's own tail sentinel-adjacent node. Traced pointer surgery: first empties `this` list entirely (sentinel.next/prev both reset to point at itself); then, if the list wasn't already empty (`this.aLinkedListNode_3334 !== linkedListNode`), it re-links this list's former head..tail chain in between `destination`'s sentinel and `destination`'s old head, i.e. prepends the entire former chain to the front of `destination`. Wrapped in a `do {...} break; } while(false)` (obfuscator artifact) and a try/catch that rethrows as TextureLoadException with a debug-arg dump -- ignore for naming purposes. Never called except via method1988, so no independent call-site evidence; confidence reflects that the derivation rests purely on pointer-field tracing."
method1990,getPrevious,i: Byte,unusedGuard: Byte,high,"Uses the shared iteration cursor field aLinkedListNode_3342: if `i < 29` resets the cursor to null (guard never observed to trigger -- every literal byte value passed across dozens of call sites in AudioMixerScheduler.kt/ArchiveResourceProvider.kt/MidiSequencePlayer.kt/HslColorConfig.kt/etc. is >= 29), otherwise returns the current cursor node and advances the cursor one step further via its aLinkedListNode_4294 ('prev', i.e. toward the head) pointer, or returns null (and clears the cursor) once the sentinel is reached. Consistently paired with method1995 (getLast) at every call site found (e.g. MidiSequencePlayer.kt:255-261, HslColorConfig.kt:112-116), forming a tail-to-head reverse-iteration idiom: `var n = deque.method1995(...); while (n != null) { ...; n = deque.method1990(...) }`."
method1993,getFirst,i: Int,unusedGuard: Int,medium,"Reads `this.aLinkedListNode_3334.aLinkedListNode_4295` (sentinel.next = HEAD/first element); if the list is empty (sentinel reached immediately), clears the cursor and returns null; otherwise sets the iteration cursor to the returned node's own aLinkedListNode_4295 ('next', i.e. toward the tail) and returns the node -- a forward-iteration start, the counterpart of method1995's backward start. Confirmed paired with method2003/getNext at MidiSequencePlayer.kt:355-367 and SceneryDetailOptionState.kt:307-337 (`var n = deque.method1993(...); while (n != null) { ...; n = deque.method2003(...) }`). Suspicious: contains a genuine recursive self-call `if (i > -65) method1993(67)` whose return value is discarded -- at every observed call site the argument is a negative expression (-126, -92, `i + -123`, `i xor 0x51.inv()`) that appears intended to stay <= -65, so this recursive branch looks like it's meant to be a dead opaque-predicate, but unlike the AbstractModel-style decoys it is not obviously provably-dead (depends on runtime values of `i`), so it's flagged as suspicious/uncertain rather than confirmed-dead; confidence lowered to medium for this reason."
method1995,getLast,i: Int,unusedGuard: Int,high,"Reads `this.aLinkedListNode_3334.aLinkedListNode_4294` (sentinel.prev = TAIL/last element); if empty, clears cursor and returns null; otherwise sets the iteration cursor to that node's own aLinkedListNode_4294 ('prev', toward the head) and returns the node -- a backward-iteration start. Confirmed via consistent pairing with method1990/getPrevious across many call sites (AudioMixerScheduler.kt, ArchiveResourceProvider.kt, MidiSequencePlayer.kt, HslColorConfig.kt, ConfigVarProgress.kt, CollisionMap.kt, etc.), always as `var n = deque.method1995(x); while (n != null) { ...; n = deque.method1990(y) }`. The `i` parameter is never referenced in the body at all -- fully unused/decoy."
method1996,clear,i: Int,unusedGuard: Int,high,"Guarded by `if (i > 97)`; every literal call-site argument observed (99, 103, 104, 107, 108/-108 range, 109, 110, 112, 116, 117, 125, 127, and a couple of xor expressions) is > 97, so the guard is effectively always true in practice. Body repeatedly reads the sentinel's tail (aLinkedListNode_4294) and calls LinkedListNode.method2715 (confirmed elsewhere to be the doubly-linked-list unlink/remove operation) on it until the sentinel is reached, then resets the iteration cursor to null -- i.e. removes every element from the deque."
method1997,removeLast,i: Int,unused: Int,high,"Reads the tail (`this.aLinkedListNode_3334.aLinkedListNode_4294`); if the deque is empty (sentinel itself) returns null; otherwise unlinks that node via LinkedListNode.method2715(114.toByte()) and returns it -- a classic pollLast()/removeLast(). The `i` parameter is never referenced in the body -- fully unused/decoy (every call site passes the literal 8, or small expressions like `i + 8` / `i + -104`, none of which matter)."
method1998,size,i: Int,seed: Int,medium,"Walks the whole list from tail to head via successive aLinkedListNode_4294 ('prev') pointers, incrementing a running counter that starts at the passed-in seed `i`, and returns `seed + elementCount`. Three of four found call sites pass the literal 0 (AudioMixerScheduler.kt:103, external/t.kt:22/132), making this effectively `size()`, but HslColorConfig.kt:110 passes an unrelated outer parameter (`method294`'s own `i: Int` renderer-related argument) as the seed, which would produce `size() + i` rather than a pure size check if that `i` is ever non-zero at runtime -- flagged as a possible obfuscator artifact/quirk rather than a confirmed decoy, since the seed IS genuinely used in the arithmetic. Confidence medium due to this ambiguity."
method1999,addFirst,"linkedListNode: LinkedListNode, i: Int","node: LinkedListNode, unused: Int",high,"Pointer-traced: first unlinks `node` from any list it's currently in (`if (node.aLinkedListNode_4295 != null) node.method2715(91.toByte())`), then wires `node.prev = sentinel`, `node.next = sentinel.next` (old head), `oldHead.prev = node`, `sentinel.next = node` -- inserts `node` immediately after the sentinel, i.e. at the front of the list (addFirst/push). The `i` parameter is never referenced in the body at all; virtually every call site in the repo passes the literal `-20180` (dozens of sites across Client.kt, GlRenderDevice.kt, OpenGlRenderer.kt, MapRegionLoader.kt, etc.), with a handful passing xor/offset expressions that likely still resolve to the same sentinel value -- confirmed unused decoy parameter, essentially a tag constant with no functional effect."
