current_name,recommended_name,current_params,recommended_params,confidence,notes
method2211,loadLoadingBarResources,bool: Boolean,unused: Boolean,medium,"Reflectively steals a batch of Image/Font/Color/FontMetrics fields from the applet class (via method2213) plus several int/boolean layout fields from a nested 'lb' object (via method2212/method2216) - loads all the loading-bar chrome sprites (bar/background/left/right/top/bottom/bodyLeft/bodyRight/bodyFill) and layout offsets (xOffset,yOffset,width,height,boxXOffset,...,offsetPerTenCycles). Sole call site is method58/render (method2211(true)), invoked once lazily when aFont5053 is still null. bool is only forwarded into method2216 where it merely guards a dead decoy branch - confirmed unused for actual control flow."
method2212,readIntFieldOrDefault,"`object`: Any?, var_class: Class<*>?, string: String?, i: Int","target: Any?, targetClass: Class<*>?, fieldName: String?, decoyDefault: Int",medium,"Reflection helper: reads a declared int field named fieldName off target via targetClass. i/decoyDefault is never used as an actual fallback value - it only feeds a discarded division -38 / ((i - 24) / 60) that executes unconditionally before the reflective read (classic obfuscator decoy computation, would throw ArithmeticException if i==24 but no call site uses 24). Called 9x from method2211 to load box/text layout offsets."
method2213,consumeAppletField,"var_class: Class<*>?, i: Int, string: String?","targetClass: Class<*>?, decoy: Int, fieldName: String?",medium,"Reflection helper: reads field fieldName off the shared applet instance (JagGlToolkitFactory.anApplet1530), then immediately nulls that field on the applet (steal-once pattern, presumably to free the reference once the loading bar has taken ownership of the Image/Font/Color). i/decoy is a guard that always equals 2 at every one of its 11 call sites in method2211 - the if (i != 2) return null branch is confirmed dead."
method55,getTransitionDurationMillis,i: Byte,decoy: Byte,high,"CursorController override (see CursorController.csv method55: RenderableGroup uses this as a genuine cross-fade duration). LoadingBarRenderer's implementation always returns 0 (no sub-components to time), gated behind a dead i != -58 decoy check."
method56,isTransitionComplete,"i: Byte, l: Long","decoy: Byte, startTime: Long",high,"CursorController override. LoadingBarRenderer trivially always returns true (it has no timed transition of its own) after a dead i < 30 decoy branch that would otherwise call method2215."
method57,update,i: Int,decoy: Int,medium,"CursorController override, per-frame/per-load-step hook. LoadingBarRenderer's implementation is a near no-op: only a call counter plus a dead i <= 84 decoy branch that would reset anInt5023 (width)."
method58,render,"bool: Boolean, i: Int","forceRedraw: Boolean, decoy: Int",high,"CursorController override, the main draw routine. Lazily loads resources via method2211 on first use (falling back to aBoolean5022='degraded mode' on any reflection failure), then either draws a minimal fallback screen (method2219) or the full AWT-composited progress bar: background/left/right/top/bottom/bodyLeft/bodyRight/bodyFill sprites, a percentage-filled bar built from tiled anImage5047/anImage5035 sprite strips (offset by an anInt5042 * method163(512) / 10 scrolling animation), and centered status text. forceRedraw/bool is unused by this override (only affects RenderableGroup's sibling implementation, see CursorController.csv). i/decoy only feeds dead method2215 calls."
method59,onControllerReplaced,i: Int,decoy: Int,high,"CursorController override, fired once when this controller stops being the active loading-screen driver (see CursorController.csv). LoadingBarRenderer's implementation calls method1428(true) to release cached font/background-image statics. i/decoy always equals -9719 at the sole real call site (ResourceLoaderThread.method2321), so the if (i != -9719) aBoolean5022 = false guard is confirmed dead."
method60,getProgressPercent,i: Int,decoy: Int,high,"CursorController override. LoadingBarRenderer always returns 100 (it has no sub-component list to tally, unlike RenderableGroup - see CursorController.csv). i/decoy always equals -19079 at call sites, confirmed dead guard."
method2215,computeBarXOffset,"i: Byte, i_2_: Int","flag: Byte, contentWidth: Int",medium,"When aBoolean5020 ('xMiddle' layout flag loaded in method2211) is set, returns the horizontal offset that centers contentWidth within the client width ((-contentWidth + LocTypeDefinition.anInt4017) / 2); otherwise returns 0. At most call sites flag is one of several small positive literals (25,77,84,122) that don't affect anything else, but one call site in method58 (method2215((-61).toByte(), -24)) passes a negative literal that trips the if (i < 23) anImage5030 = null branch and actually nulls the cached bodyLeft sprite as a side effect - inconsistent with the usual 'decoy guard always false' pattern seen elsewhere in this file, so this one is flagged as possibly a real (if obscure) cache-invalidation trigger rather than pure decoy."
method2216,readBooleanFieldOrDefault,"`object`: Any?, bool: Boolean, var_class: Class<*>?, string: String?","target: Any?, decoy: Boolean, targetClass: Class<*>?, fieldName: String?",medium,"Reflection helper mirroring method2212 but for boolean fields (reads fieldName off target). decoy only guards a dead call to method2217 (if (bool != true) method2217(...)) - both call sites in method2211 pass literal true, so branch never fires."
method2218,computeBarYOffset,"i: Int, i_40_: Int","contentHeight: Int, decoy: Int",medium,"Vertical counterpart to method2215: when aBoolean5045 ('yMiddle') is set, returns (-contentHeight + GameDisplayManager.anInt10432) / 2, else 0. decoy is a guard (if (i_40_ != -6277) anImage5026 = null) that is always passed the literal -6277 at all 4 call sites in method58 - confirmed dead, unlike method2215's equivalent guard."
method2219,renderFallbackLoadingScreen,i: Int,decoy: Int,medium,"Draws a minimal progress bar via LoadingScreenState.method1455 using default colours (AWT-only, no custom sprites/font), used by method58 when resource loading failed (aBoolean5022). decoy always equals 33 at the sole call site, so the trailing if (i != 33) method55(1.toByte()) is confirmed dead."
method2214,resetGlobalPlayerAndFontCaches,i: Int,decoy: Int,medium,"Companion/static, decompiler-merged grab-bag: nulls aFontMetaRef_5057 (a FontMetaRef used elsewhere for glyph metadata), aMapTileShapeArray5060 (a shared pool of MapTileShape 'roof cutout' records also used by RemoveRoofsOptionState/LocalizedTextStatics.method2062), and aPlayerArray5058 - the actual global 2048-slot Player-by-index array referenced from Client.kt, Npc/Player updaters, and dozens of other files despite being declared on LoadingBarRenderer. decoy guards a redundant conditional null of aPlayerArray5058 that is immediately re-nulled unconditionally on the next line regardless - confirmed no-op either way. Sole call site Client.kt:1036 method2214(0), consistent with a logout/session-teardown reset."
