current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"glRenderDevice: GlRenderDevice, js5Archive: Js5Archive?","glRenderDevice: GlRenderDevice, js5Archive: Js5Archive?",high,"Constructor for the OpenGL 'underwater ground/model shading' render pass (only instantiated at GlRenderDevice.kt:867). Loads four ARB vertex-program texture handles from the gl JS5 archive - `uw_ground_unlit`, `uw_ground_lit`, `uw_model_unlit`, `uw_model_lit` - via ArbVertexProgram.method3442, only if `glRenderDevice.aBoolean9923` (ARB vertex program capability) is set; also creates a Renderable2dTexture (`anInterface18_Impl3_7390`) via the owning AbstractRenderPass helper. Sets `aBoolean7391` true only if all four texture handles loaded successfully - this becomes the pass's isPassReady() result (see method3530)."
method3528,bindPassGroundTexture,i: Int,unused: Int,medium,"Override of AbstractRenderPass.method3528 (named per that file's CSV). Binds one of the four ARB vertex-program textures loaded in the constructor, selected by `aBoolean7411` (the underwater/lit-mode flag set in method3525/activatePass) crossed with whether `aHa_Sub3_4479.method3941(102) == Int.MAX_VALUE` (a 'no active ground overlay' sentinel) - i.e. picks between the ground and model variants, and between lit/unlit variants. Uploads a screen-space-bounds-derived vertex-program constant via `class101_sub2.method919`, then calls method3522/updatePassFogUniforms. The `if (i <= 45) method3557(true)` guard is dead in practice - per AbstractRenderPass.csv's notes, every observed call-site value (75, 102) is > 45."
method3530,isPassReady,i: Int,unused: Int,high,"Override of AbstractRenderPass.method3530 (named per that file's CSV). Returns the cached `aBoolean7391` capability flag set once at construction (true only if all four underwater shader textures loaded). The `if (i > -57) return false` guard is dead per AbstractRenderPass.csv - every observed call-site argument is <= -57, so in practice this always returns `aBoolean7391`."
method3520,deactivatePass,i: Byte,unused: Byte,medium,"Override of AbstractRenderPass.method3520 (named per that file's CSV). Tears down GPU render-target/state bound by method3525/method3527 (clears bound renderables/render-config via aHa_Sub3_4479.method3897/method3850/method3874/method3849/method3885 pairs), and when `aBoolean7406` (ARB program currently bound, set by method3528) is true, unbinds the ARB vertex program (`glBindProgramARB(34336, 0)`) and disables GL_VERTEX_PROGRAM_ARB/34820. The `if (i.toInt() != 87) aLongHashTable_7415 = null` branch nulls an unrelated shared companion scratch hashtable (see method3557) - per AbstractRenderPass.csv the only call site always passes 87, so this is a confirmed decoy."
method3526,configurePass,"i: Int, i_1_: Int, i_2_: Int","token: Int, mode: Int, param: Int",medium,"Override of AbstractRenderPass.method3526 (named per that file's CSV). Body is entirely the decoy self-call documented at the AbstractRenderPass level - `if (i != 10756) method3527(113, null, 113)` - which never fires since 10756 is the only token ever passed; this override contributes no real ground-shader-specific behavior beyond the counter increment."
method3527,drawRenderable,"i: Int, renderable: Renderable?, i_3_: Int","id: Int, renderable: Renderable?, unused: Int",medium,"Override of AbstractRenderPass.method3527 (named per that file's CSV). When given a real `renderable`, resets a pending-default-renderable flag if set, binds/draws it via aHa_Sub3_4479.method3850/method3923. When `renderable` is null and no default is already pending, instead binds a fallback ambient renderable (`aHa_Sub3_4479.anRenderable_8147`) and marks `aBoolean7399` (pending-default flag) true. `id` is forwarded into method3923 as a real draw-mode/id argument. The `if (i_3_ != -16776) method3525(16, true)` branch is a decoy per AbstractRenderPass.csv (the only real call site always passes -16776)."
method3522,updatePassFogUniforms,i: Int,unused: Int,medium,"Override of AbstractRenderPass.method3522 (named per that file's CSV). The `if (i != -16252) aBoolean7411 = true` guard is a decoy (every call site - this class's own method3528 and NativeRenderer's private helper - passes the literal -16252 per AbstractRenderPass.csv). When `aBoolean7406` (ARB program bound), computes a screen-space bounds pair from `aHa_Sub3_4479.XA()`/`.i()` and uploads it plus a brightness-derived value (method3833/method3826) to ARB vertex-program constant register 0. Despite the shared cross-hierarchy name, this override's actual uniform is a screen-bounds/brightness constant rather than fog - kept consistent with the abstract method's established name since it fills the same dispatch slot."
method3525,activatePass,"i: Int, bool: Boolean","token: Int, enabled: Boolean",medium,"Override of AbstractRenderPass.method3525 (named per that file's CSV). Stores `enabled` into `aBoolean7411` (the lit/unlit or underwater-mode flag consumed by method3528/method3522), rebinds the pass's render targets/config, and when `token == 15192` (the only value ever observed, per AbstractRenderPass.csv) sets up render-list state and calls method3528(75) to bind the ground texture for the newly-activated pass."
method3521,syncPassEnabledState,"bool: Boolean, i: Byte","enabled: Boolean, unused: Byte",low,"Override of AbstractRenderPass.method3521 (named per that file's CSV). Entire real body is `if (i.toInt() != -103) aTextureHandle_7392 = null`, which per AbstractRenderPass.csv is dead at the only observed call site (always passes -103.toByte()) - so in practice this override does nothing observable; `enabled` (bool) is not referenced at all in this override."
method3555,loadCubemapTexture,"js5Archive: Js5Archive?, i: Int, bool: Boolean, l: Long, i_7_: Int, i_8_: Int, i_9_: Int","js5Archive: Js5Archive?, unused: Int, flag: Boolean, id: Long, paramA: Int, paramB: Int, paramC: Int",low,"Companion, SEMANTICALLY UNRELATED to ground-shader-pass rendering - only call site is ParticleTileShape.kt's method2732 (`method3555(js5Archive, -89, bool, 0L, i_9_, i, i_7_)`), a particle-tile-shape config loader, not this class. Thin wrapper around CubemapTexture2dSource.method2260(i_9_, i_8_, l, 0, bool, js5Archive, 126.toByte(), i_7_) - i.e. loads/registers a cubemap texture resource. The `i` param only feeds a dead `-35 / ((-41 - i) / 38)` expression whose result is discarded - confirmed decoy at the only call site."
method3556,applyGameCanvasSize,bool: Boolean,unused: Boolean,low,"Companion, SEMANTICALLY UNRELATED to ground-shader-pass rendering - a merged/grab-bag static (matches the 'decompiler merged wrong content' pattern noted for jvmMain companions in PLAN.md). All 3 call sites (Client.kt x2, ResourceLoaderThread.kt) pass the literal `false`, which is the only value that enters the real body (`if (bool == false)`). Reads the game AWT Container/Frame's current size and insets, stores width/height into SocketFactory.anInt3473/NpcReference.anInt6857, resizes and repositions the render Canvas (ParticleSystemRenderer.aCanvas3869), and notifies the active Renderer (FacingDirectionNode.aRenderer6654) of the new size - i.e. applies the host window/canvas size to the game's rendering surface, likely on startup or window-resize events."
method3557,clearSharedScratchResources,bool: Boolean,unused: Boolean,medium,"Companion, SEMANTICALLY UNRELATED to ground-shader-pass rendering. Always nulls two shared static scratch resources also used far outside this class: `anIntArray7397` (a 4096-int scratch buffer reused as general-purpose temp storage by MapAreaDefinition, ScrollbarComponent, SeqDefinitionCache, CompositeRgbNoiseTexture) and `aLongHashTable_7415` (a shared long-keyed pool of SpriteRenderEntry objects used by ProjectileNode/SceneGraphContainer). When `unused == true` also clears `aByteArray7394` (a 16384-byte scratch texture-upload buffer used by TerrainChunkBuilder) and an unrelated `InboundPacketHeader.aInboundPacketHeader_7398` static. Called from AbstractRenderPass.method3528's dead-decoy branch (never fires per that file's notes) and directly from Client.kt (`method3557(true)`, real call passing true) - i.e. a low-memory/level-change cache-clearing utility for several unrelated shared scratch buffers that happen to be declared in this class's companion object."
