current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,arg0: hb?,peer: hb?,high,"Primary constructor; passes the native peer/handle wrapper (hb) up to uda's constructor which registers a NativeHeapPeerReference, then calls the private nativeInit()/init() to set up the native DirectX surface-lock pixel buffer."
rowPitch,rowPitch,,,high,"Native property getter (external get). DirectX locked-rect 'row pitch' (bytes per scanline) of the underlying surface; used by callers (D3dRenderDevice.kt) to stride through the raw pixel data. Name already idiomatic, kept as-is."
getub,readBytes,"arg0: ByteArray?, arg1: Int, arg2: Int, arg3: Int",,low,"Private external native method, declared but never called anywhere in this file or the rest of the repo (grep confirms no call sites) -- appears to be dead/unused decompiler leftover, the mirror-image counterpart of putub that this class never wired a public wrapper for (unlike puti/geti which both have public a()/b() wrappers). Same pattern repeats verbatim in GeometryBuffer.kt. Params guessed by symmetry with putub: dest array, srcOffset, bufferOffset, length."
a,write,"arg0: ByteArray?, arg1: Int, arg2: Int, arg3: Int","data: ByteArray?, srcOffset: Int, bufferOffset: Int, length: Int",high,"Overrides Buffer.a / implements the Buffer interface's byte-write method. Validates arg2 (bufferOffset) >= 0, arg0 non-null, arg1 (srcOffset) >= 0, arg3+arg1 (length+srcOffset) <= arg0.size, and bufferOffset+length <= getSize(), throwing fda() (RuntimeException) on any violation, then delegates to native putub. Called from D3dRenderDevice.kt via the Buffer interface."
putub,writeBytesNative,"arg0: ByteArray?, arg1: Int, arg2: Int, arg3: Int","data: ByteArray?, srcOffset: Int, bufferOffset: Int, length: Int",high,"Private external native counterpart invoked by a()/write() after bounds validation. Copies `length` bytes from `data[srcOffset..]` into the native pixel buffer at `bufferOffset`."
a,writeInts,"arg0: IntArray?, arg1: Int, arg2: Int, arg3: Int","data: IntArray?, srcOffset: Int, bufferOffset: Int, length: Int",high,"Overload for int (packed-pixel, e.g. ARGB) writes. Same validation shape as the ByteArray overload but scaled by 4 bytes/int (arg3*4+arg2 checked against getSize()). Throws fda() on bounds violation, else delegates to native puti."
init,nativeInit,,,medium,"Private external native initializer invoked from the primary constructor's init block. Sets up the native DirectX pixel-buffer/lock handle referenced by later native calls."
getAddress,getAddress,,,medium,"Overrides Buffer.getAddress() but is NOT external -- always returns a hardcoded 0L. Looks like a stub/dead override; the real native buffer address is apparently tracked elsewhere (via the uda/NativeHeapPeerReference peer handle) rather than exposed through this method for PixelBuffer specifically."
getSize,getSize,,,high,"External override of Buffer.getSize(); returns the byte size of the locked native pixel buffer. Used pervasively by the bounds checks in a()/b()."
b,readInts,"arg0: IntArray?, arg1: Int, arg2: Int, arg3: Int","data: IntArray?, destOffset: Int, bufferOffset: Int, length: Int",high,"Read counterpart to writeInts: validates destOffset >= 0, data non-null, destOffset+length <= data.size, bufferOffset >= 0, and bufferOffset+length*4 <= getSize(), throwing fda() on violation, else delegates to native geti to copy native buffer contents into the caller-supplied int array."
puti,writeIntsNative,"arg0: IntArray?, arg1: Int, arg2: Int, arg3: Int","data: IntArray?, srcOffset: Int, bufferOffset: Int, length: Int",high,"Private external native method backing writeInts/a(IntArray...)."
geti,readIntsNative,"arg0: IntArray?, arg1: Int, arg2: Int, arg3: Int","data: IntArray?, destOffset: Int, bufferOffset: Int, length: Int",high,"Private external native method backing readInts/b(IntArray...)."
slicePitch,slicePitch,,,high,"Native property getter (external get). DirectX locked-box 'slice pitch' (bytes per depth-slice) for volume-texture style surfaces; analogous to rowPitch but for the 3rd dimension. Name already idiomatic, kept as-is."
