current_name,recommended_name,current_params,recommended_params,confidence,notes
fa,getOrBuildRenderNode,"i: Int, i_0_: Int, var_renderNode: RenderNode?","tileX: Int, tileZ: Int, reuse: RenderNode?",medium,"Overrides TerrainTile.fa. Checks bit 0x1 of aByteArrayArray8317[tileX][tileZ] (a per-tile 'has geometry' flag set in U()/setTileMeshData below); reuses `reuse` as a NativeRenderNode via method3291/method3289 if it already matches the tile's size, else allocates a new NativeRenderNode sized by (anInt4592 shr aHa_Sub3_8322.anInt8107) (world-tile-size shifted by the renderer's zoom/LOD shift). Delegates geometry population to method4005."
method4005,addTileTriangles,"var_r_Sub1: NativeRenderNode, i: Int, i_21_: Int, i_22_: Int","node: NativeRenderNode, tileZ: Int, tileX: Int, decoyCode: Int",medium,"Private. Decoy branch when decoyCode != 21722 recurses into fa(16,8,null). Reads per-vertex height/edge arrays anIntArrayArrayArray8321[tileX][tileZ] and anIntArrayArrayArray8313[tileX][tileZ] (shifted by the renderer LOD shift into a scratch buffer), then for each consecutive vertex triple computes a 2D cross-product (signed area) to test winding/orientation before calling node.method3287(...) to add a triangle - classic 'build a render-node triangle strip from tile heightfield vertices, skipping degenerate/backfacing triangles' pattern."
wa,queueVideoOverlayFrame,"var_renderNode: RenderNode?, i: Int, i_33_: Int, i_34_: Int, i_35_: Int, bool: Boolean","renderNode: RenderNode?, worldX: Int, scale: Int, worldZ: Int, unused: Int, unused2: Boolean",low,"Overrides TerrainTile.wa. Only acts when aVideoStreamDecoder_8307 is set (i.e. this terrain tile hosts an in-world video screen). Converts world coords into tile-local coords via the renderer's anInt8133/anInt8114/anInt8107 projection fields, then calls aVideoStreamDecoder_8307.method2629(tileZ, renderNode, 1, tileX). Low confidence on exact semantics of the video decoder call."
method3979,onTileNoOp,"i: Int, i_38_: Int",,low,"Overrides TerrainTile.method3979. Body is only the companion counter increment (anInt8293++) - no other work. Likely a required-but-unused override for this native tile implementation; candidate dead/no-op override."
CA,queueVideoOverlayFrameAlt,"var_renderNode: RenderNode?, i: Int, i_39_: Int, i_40_: Int, i_41_: Int, bool: Boolean","renderNode: RenderNode?, worldX: Int, scale: Int, worldZ: Int, unused: Int, unused2: Boolean",low,"Overrides TerrainTile.CA. Same coordinate-transform shape as wa() above but calls aVideoStreamDecoder_8307.method2633(287, tileX, renderNode, tileZ) instead of method2629 - likely an alternate/secondary video-overlay draw call (e.g. different render pass or LOD)."
YA,bakeTileMesh,,,medium,"Overrides TerrainTile.YA. Large (~200 line) method: if anInt8329<=0 releases aVideoStreamDecoder_8307, else runs a box-blur pass over aByteArrayArray8330 (per-vertex light/shade byte grid), builds a dedup Hashtable of ModelVertexColorBuffer entries keyed by a packed Long (texture id, scale, offsets), computes per-vertex blended UV/lighting via interpolation across the tile's height/normal arrays, packs vertex + color streams into native heap buffers (Stream), builds index/vertex GPU resources (aHa_Sub3_8322.method3889), and finally builds this.aModelBatchBase_8324 (the drawable batch for the tile) by picking one of several DirectionPath/SpriteMaskShape combinations based on flag bits of anInt8294 and whether anIntArrayArrayArray8314 is present. Matches PLAN.md's already-flagged 'TerrainTile tile-baking' method family; kept at medium confidence given the sheer size and native-buffer packing detail that wasn't independently verified."
method3989,queryVideoOverlayHit,"var_renderNode: RenderNode?, i: Int, i_128_: Int, i_129_: Int, i_130_: Int, bool: Boolean","renderNode: RenderNode?, worldX: Int, scale: Int, worldZ: Int, unused: Int, unused2: Boolean","→ Boolean",low,"Overrides TerrainTile.method3989. Same coordinate-transform shape as wa/CA, returns aVideoStreamDecoder_8307.method2628(tileX, 69.toByte(), renderNode, tileZ): Boolean - likely a hit-test / 'is this video overlay visible at these coords' query."
ka,updateLightSample,"i: Int, i_133_: Int, i_134_: Int","tileX: Int, tileZ: Int, value: Int",medium,"Overrides TerrainTile.ka. Raises aByteArrayArray8330[tileX][tileZ] to `value` if the current stored byte (masked 0xff) is less than `value` - a running-maximum update into the per-vertex light/shade byte grid consumed by YA()'s blur pass."
method3983,renderTileShadows,"i: Int, i_181_: Int, i_182_: Int, bools: Array<BooleanArray?>?, bool: Boolean, i_183_: Int","tileX: Int, tileZ: Int, radius: Int, mask: Array<BooleanArray?>?, flag: Boolean, size: Int",medium,"Overrides TerrainTile.method3983. Thin wrapper delegating to private method4007(tileX, tileZ, -1, flag, mask, -1, size, radius)."
method3984,renderTileShadowsExtended,"i: Int, i_135_: Int, i_136_: Int, bools: Array<BooleanArray?>?, bool: Boolean, i_137_: Int, i_138_: Int","tileX: Int, tileZ: Int, extra: Int, mask: Array<BooleanArray?>?, flag: Boolean, radius: Int, size: Int",medium,"Overrides TerrainTile.method3984 (7-arg sibling of method3983's 6-arg form). Also delegates to private method4007(tileX, tileZ, radius, flag, mask, -1, size, extra)."
