current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"glRenderDevice: GlRenderDevice?, i: Int, i_3_: Int, is: IntArray?, i_4_: Int, i_5_: Int","glRenderDevice: GlRenderDevice?, width: Int, height: Int, pixels: IntArray?, rowLength: Int, unpackAlignment: Int",high,"Constructs a GL_TEXTURE_RECTANGLE_ARB (34037) texture from a caller-supplied int-array (BGRA/32993) pixel buffer via glTexImage2Di, using `GroundItemRenderState.aTextureFormatInfo_1662` as the fixed format and `MovementDirection.aMovementDirection_1183` (element size 1) as the base-class size tag. `unpackAlignment` is passed straight through to glPixelStorei(GL_UNPACK_ALIGNMENT); `rowLength*4` is passed as the source byte offset/stride to glTexImage2Di."
<init>,<init>,"glRenderDevice: GlRenderDevice?, textureFormatInfo: TextureFormatInfo?, i: Int, i_6_: Int, is: ByteArray?, i_7_: Int, i_8_: Int","glRenderDevice: GlRenderDevice?, textureFormatInfo: TextureFormatInfo?, width: Int, height: Int, pixels: ByteArray?, srcOffset: Int, rowLength: Int",high,"Constructs a GL_TEXTURE_RECTANGLE_ARB texture from a caller-supplied byte-array pixel buffer via glTexImage2Dub, using a caller-supplied `textureFormatInfo` (resolved to a GL format via RangeThresholdTextureNode.method3055) and the fixed 1-byte-element `MovementDirection.aMovementDirection_1183`. Sets GL_UNPACK_ALIGNMENT to 1 and GL_UNPACK_ROW_LENGTH to `rowLength` for the duration of the upload, restoring the defaults (0/4) afterward."
<init>,<init>,"glRenderDevice: GlRenderDevice?, textureFormatInfo: TextureFormatInfo?, movementDirection: MovementDirection?, i: Int, i_10_: Int","glRenderDevice: GlRenderDevice?, textureFormatInfo: TextureFormatInfo?, elementType: MovementDirection?, width: Int, height: Int",high,"Allocates an empty (no initial pixel data - `glTexImage2Dub(..., null, 0)`) GL_TEXTURE_RECTANGLE_ARB texture of the given `width`/`height`, with format derived from `textureFormatInfo` and GL element type derived from `elementType` via ModelBatchBase.method1128 - i.e. the general-purpose 'allocate a render-target-sized rectangle texture of an arbitrary component type' constructor (unlike the other three overloads, which always fix the element type/format)."
<init>,<init>,"glRenderDevice: GlRenderDevice?, textureFormatInfo: TextureFormatInfo?, i: Int, i_33_: Int, fs: FloatArray?, i_34_: Int, i_35_: Int","glRenderDevice: GlRenderDevice?, textureFormatInfo: TextureFormatInfo?, width: Int, height: Int, pixels: FloatArray?, srcOffset: Int, unpackAlignment: Int",high,"Constructs a GL_TEXTURE_RECTANGLE_ARB texture from a caller-supplied float-array pixel buffer via glTexImage2Df, using the fixed 4-byte-element `MovementDirection.aMovementDirection_1187` (float-sized). `unpackAlignment` is passed to glPixelStorei(GL_UNPACK_ALIGNMENT); `srcOffset*4` is passed as the float-array byte offset to glTexImage2Df."
method72,getHeight,i: Int,unused: Int,high,"Override of Renderable2dTexture.method72 (named per Renderable2dTexture.csv, cross-referencing the sibling Gl2dTexture implementation). Returns `anInt8634` (set to the height argument in every constructor). The `i` param only feeds a dead `96 % ((i - 55) / 63)` expression whose result is discarded - the same decoy-arithmetic pattern documented for Gl2dTexture.method72 in Renderable2dTexture.csv."
method66,setWrapMode,"bool: Boolean, bool_9_: Boolean, i: Int","repeatU: Boolean, repeatV: Boolean, unused: Int",medium,"Override of Renderable2dTexture.method66 (named per Renderable2dTexture.csv). Unlike the sibling Gl2dTexture implementation (which sets glTexParameteri wrap modes directly), this override's real body is just the decoy call `if (unused != 25688) Companion.method254(-82, (-35).toByte())` - i.e. it does not appear to set any GL wrap-mode state itself in this class; wrap behaviour for GL_TEXTURE_RECTANGLE_ARB may be handled elsewhere or is simply a no-op here (rectangle textures do not support GL_REPEAT in the fixed-function pipeline, which would explain the empty implementation). The only observed call site (this class's own constructor-adjacent code, `method66(false, false, 25688)`, from GlGroundShaderPass.kt per that file's notes) always passes the literal 25688, making the decoy branch dead in practice."
method65,readPixels,"i: Int, is: IntArray, i_26_: Int, i_27_: Int, i_28_: Int, i_29_: Byte, i_30_: Int","top: Int, pixels: IntArray, width: Int, left: Int, height: Int, formatMarker: Byte, destOffset: Int",medium,"Override of Renderable2dTexture.method65 (named/param-mapped per Renderable2dTexture.csv's Gl2dTexture analysis). Reads back the full texture via glGetTexImagei into a scratch buffer sized `anInt8634 * anInt8640` (height*width), then copies `height` rows of `width` ints each into `pixels` starting at `destOffset`, with the source row index derived from `left`+`top` in a vertically-flipped fashion consistent with GL's bottom-up row order. The `formatMarker` Byte's only effect, `if (formatMarker != 112) anInt8634 = 49`, mirrors the decoy documented for Gl2dTexture.method65 in Renderable2dTexture.csv (real call sites always pass 112.toByte())."
method67,toTexCoordU,"f: Float, i: Int","x: Float, unused: Int",high,"Override of Renderable2dTexture.method67 (named per Renderable2dTexture.csv). Unlike Gl2dTexture (which divides by texture width to normalize), this rectangle-texture override just returns `x` unchanged - correct behaviour for GL_TEXTURE_RECTANGLE_ARB, whose texture coordinates are specified in unnormalized pixel space rather than [0,1] UV space. The `unused` Int param only gates a decoy `if (unused <= 69) aByteArrayArray8642 = null` (clearing an unrelated shared companion cache, per method251/method252's same field)."
method68,uploadSubImageInt,"i: Int, i_36_: Int, is: IntArray?, i_37_: Int, i_38_: Int, i_39_: Int, i_40_: Int, i_41_: Int","rowLength: Int, unused: Int, pixels: IntArray?, xOffset: Int, srcOffset: Int, width: Int, yOffset: Int, height: Int",high,"Override of Renderable2dTexture.method68 (named/param-mapped per Renderable2dTexture.csv). Binds the texture, conditionally sets GL_UNPACK_ROW_LENGTH (defaulting to `width` when `rowLength` is 0) and calls glTexSubImage2Di with BGRA/32993 format - a partial int-array texture upload, matching the sibling Gl2dTexture behaviour. The `unused` param's only other effect, `if (unused != 22809) anInt8634 = 115`, is the same confirmed decoy documented in Renderable2dTexture.csv (every real call site passes the literal 22809)."
method70,uploadSubImageBytes,"i: Int, i_42_: Int, i_43_: Byte, i_44_: Int, i_45_: Int, i_46_: Int, i_47_: Int, is: ByteArray?, textureFormatInfo: TextureFormatInfo?","yOffset: Int, srcOffset: Int, unused: Byte, rowLength: Int, height: Int, width: Int, xOffset: Int, pixels: ByteArray?, format: TextureFormatInfo?",medium,"Override of Renderable2dTexture.method70 (named/param-mapped per Renderable2dTexture.csv). Binds the texture, sets GL_UNPACK_ALIGNMENT to 1, conditionally calls the companion's `method250`-related decoy (`if (unused >= -4) method250(74, false, -106)` - dead per that file's call-site literal `(-45).toByte()` always failing `>= -4`), then uploads via glTexSubImage2Dub using `format` resolved through RangeThresholdTextureNode.method3055. Row-length handling defaults to `width` when `rowLength` is 0, matching method68's pattern."
method71,toTexCoordV,"i: Byte, f: Float","unused: Byte, y: Float",high,"Override of Renderable2dTexture.method71 (named per Renderable2dTexture.csv). Like method67/toTexCoordU, returns `y` unchanged (unnormalized pixel-space V coordinate, correct for GL_TEXTURE_RECTANGLE_ARB). The `unused` Byte only gates a decoy call to method67 (`if (unused > -24) method67(-1.6376895f, -84)`, whose return value is discarded) - the same decoy pattern documented for the sibling Gl2dTexture/D3DTexture2D implementations in Renderable2dTexture.csv."
method73,isSizeSufficient,i: Int,threshold: Int,low,"Override of Renderable2dTexture.method73 (named per Renderable2dTexture.csv, low confidence there too). This override always returns `false` regardless of `threshold`, unlike the sibling Gl2dTexture (`threshold >= 84`) and D3DTexture2D (`true`) implementations documented in that file - i.e. rectangle textures apparently never satisfy whatever capability this checks. The `if (threshold <= 84) method68(...)` branch is a decoy call with all-dummy arguments (null pixels, -21/-73 offsets) whose purpose could not be determined; consistent with the low-confidence flag already recorded for this method at the interface level."
method69,getWidth,bool: Boolean,unused: Boolean,high,"Override of Renderable2dTexture.method69 (named per Renderable2dTexture.csv). Returns `anInt8640` (set to the width argument in every constructor). The `if (unused != false) anInt8640 = -103` guard is a decoy consistent with the interface-level notes; no confirmed call site with `unused=true` was found in this batch."
method250,getCombatLevelColorTag,"i: Int, bool: Boolean, i_0_: Int","myLevel: Int, unused: Boolean, targetLevel: Int",medium,"Companion, SEMANTICALLY UNRELATED to rectangle-texture rendering - a merged/grab-bag static (matches the 'decompiler merged wrong content' pattern noted for jvmMain companions in PLAN.md). Called from SpriteDefinition.kt and WaterMaterialPass.kt when rendering a player's overhead name/health text, always passing the local player's combat level and a target's combat level; returns a `<col=RRGGBB>` chat-formatting tag string, red-shifted for `targetLevel` much higher than `myLevel` and green-shifted for much lower - the classic RuneScape 'combat level difference colour' indicator. `unused` only gates a decoy call to method251 (`if (unused != true) method251(96.toByte())`); both observed call sites pass `true`, so this is a confirmed decoy."
method251,purgeSharedCaches,i: Byte,unused: Byte,medium,"Companion, SEMANTICALLY UNRELATED to rectangle-texture rendering. Nulls three shared static caches (`aSystemFontGlyphs_8644`, `aSceneProjector_8638`, `aByteArrayArray8642`). Only call site is Client.kt:1180 (`method251(2.toByte())`), immediately adjacent to GlGroundShaderPass.method3557(true) (line 1181) and GlIndexBufferArb.method2132(-125) (line 1187) - part of the same cluster of unrelated 'clear global caches on logout/shutdown' calls in Client.kt documented in this batch's other CSVs. The `if (unused.toInt() != 2) method250(-45, false, -102)` branch is a decoy (the only call site always passes 2.toByte())."
method252,isFloatComponentType,"i: Int, i_11_: Int","glType: Int, componentType: Int",low,"Companion. Only call site is AntialiasOptionState.kt, checking a GL query result against `5126` (GL_FLOAT) alongside a separate condition; returns `glType == 0 || glType == 2` (likely comparing against small internal-format-tier constants rather than raw GL enums, given the values). Given the single, loosely-related call site and the surrounding AntialiasOptionState logic not being traced in depth, the exact semantics (and thus param names) are a low-confidence best guess. The `if (componentType != 5126) aByteArrayArray8642 = null` branch clears the same shared cache as method250/method251/method67 - real at the one observed call site since `5126` is passed literally, but its purpose relative to a texture cache is unclear."
method253,plotWidgetCircleSpans,"i: Int, i_12_: Int, i_13_: Int, i_14_: Int, i_15_: Int","centerIndex: Int, centerX: Int, unused: Int, colorOrBuffer: Int, radius: Int",low,"Companion, SEMANTICALLY UNRELATED to rectangle-texture rendering. Only call site is WidgetComponentNode.kt. Implements a midpoint-circle-style algorithm (the `i_16_`/`i_17_`/`i_18_`/`i_19_` loop with the classic 'increment by 2, accumulate' Bresenham pattern) that plots symmetric horizontal spans into `WidgetDefinition.anIntArrayArray255` (indexed by `centerIndex` +/- the current scan row) via GlElementArrayBuffer.method1156 - consistent with rasterizing a circular/radial mask or gradient boundary for a widget component (e.g. a circular minimap or progress-wheel shape). Given the single call site and the algorithm not being traced further into GlElementArrayBuffer.method1156, individual parameter roles beyond 'circle center/radius' are low-confidence best guesses. The `if (i_13_ != -648) aSystemFontGlyphs_8644 = null` branch clears the same shared cache seen in method251; real at the one observed call site (WidgetComponentNode.kt passes -648 literally, so this specific guard is dead there, but the field is shared/mutated elsewhere too)."
method254,setLoadingProgress,"i: Int, i_48_: Byte","progress: Int, unused: Byte",medium,"Companion, SEMANTICALLY UNRELATED to rectangle-texture rendering - widely called from many unrelated loading/scene classes (GlElementArrayBuffer.kt, LoadProgressCounters.kt, LocalPlayerState.kt, SceneNodeDeque.kt) with varying `progress` values. Routes the value to either `Client.anInt6634` or the companion's own `anInt1645`, chosen by `Loader.skipLobby` and `BloomGraphicsOptionState.anInt5969` (a display-mode/graphics-tier switch) - i.e. a shared 'set current loading-bar progress' setter reused as a companion-object grab-bag utility. The `unused` Byte's only effect, `if (unused > -79) method252(127, 53)`, is a confirmed decoy - every observed call-site literal (-87, -101, -100, -94, -111, -95, -97, -113, -125) is <= -79, so the branch never fires."
