current_name,recommended_name,current_params,recommended_params,confidence,notes
da,projectToScreen,"i: Int, i_0_: Int, i_1_: Int, `is`: IntArray?","x: Int, y: Int, z: Int, out: IntArray?",medium,"Overrides Renderer.da. Uses the active camera transform (aClass101_Sub2_8080.method933) to get a depth value f; if depth is within +/-0.0078125 (near-zero) falls back to viewport-origin defaults, otherwise projects via method929/method922 scaled by the viewport size fields (anInt8129/anInt8134). Writes depth to out[2] and screen x/y (offset by the cached screen-offset floats aFloat8126/aFloat8103, see method3904) to out[0]/out[1]. Near-identical siblings: H, HA."
method3651,bindVertexProgramHeap,var_shaderProgram: ShaderProgram?,shaderProgram: ShaderProgram?,high,"Casts the given ShaderProgram to ArbVertexProgram and adopts its native heap (aNativeHeap9782), then allocates a 32768-byte scratch NativeHeapBuffer from it."
JA,computeClipOutcodeForEdge,"i: Int, i_4_: Int, i_5_: Int, i_6_: Int, i_7_: Int, i_8_: Int","x0: Int, y0: Int, z0: Int, x1: Int, y1: Int, z1: Int",medium,"Overrides Renderer.JA. Cohen-Sutherland-style outcode computation for two points transformed by the active camera: sets bit 0x10/0x20 for near/far clip, 0x1/0x2 for left/right, 0x8/0x4 for top/bottom, using dot products against the camera transform's basis floats (aFloat5691/5736/5716/5724/etc.). Mirrors `r` and `method3287`-style rasterizer edge tests."
method3812,createModelBatch,"i: Int, directionPaths: Array<DirectionPath>","flags: Int, directionPaths: Array<DirectionPath>",medium,"abstract factory for ModelBatchBase, called repeatedly (always with a set of DirectionPath/SpriteMaskShape light directions) to build the class's cached shared batches (aModelBatchBase_8190/8191/8197/8202/8204/8205/8208) during init/method3930."
ZA,setSunLighting,"i: Int, f: Float, f_15_: Float, f_16_: Float, f_17_: Float, f_18_: Float","colorArgb: Int, ambient: Float, contrast: Float, dirX: Float, dirY: Float, dirZ: Float",high,"Overrides Renderer.ZA. Only recomputes aFloat8087/aFloat8180/aFloat8168 (unpacked RGB of colorArgb) when the color changed, then forwards to aNativeInterface7924.setSunColour/setSunDirection (direct native-interface calls confirm the purpose) and marks lighting/camera state dirty (method3928, method3842)."
method3813,setRenderPassActive,bool: Boolean,isActive: Boolean,low,"abstract; only observed caller is the private wrapper method3929 and the init routine (method3930) — no implementation visible in this file to confirm exact backend behavior."
method3814,applyMaterialTexture,"bool: Boolean, bool_20_: Boolean, i: Int, i_21_: Byte","enableSecondPass: Boolean, isTransparent: Boolean, materialId: Int, tag: Byte",medium,"Resolves the texture (interface18_impl3) and RenderConfig entry for `materialId` (via aRenderConfig4579.method3), applies UV-scroll-driven texture coordinate offsets (class12.aByte198/aByte211) if present, computes wrap-mode byte i_25_, then binds the texture to the active unit (method3850) or hands off to the current render pass (aAbstractRenderPass_8143.method3527)."
method3815,setActiveCameraOffset,"i: Int, class101_sub2: FloatCameraTransform?","tag: Int, offsetTransform: FloatCameraTransform?",medium,"Copies `offsetTransform` into aClass101_Sub2_8074 (the 'draw' camera transform used by quad/line drawing helpers), conditionally sets anInt8062=-6, clears aBoolean8069, and invalidates the combined view transform (method3836)."
method3816,initUnitQuadBatchA,i: Byte,tag: Byte,low,"Private. Builds a 12-float-stride vertex buffer (anInterface5_Impl1_8203) and a ModelBatchBase (aModelBatchBase_8205) from a single SpriteMaskShape DirectionPath — likely a shared full-screen/ground quad mesh used by drawGroundQuadBatch-style draw calls."
method3817,setLightingProfile,"i: Int, i_29_: Int","tag: Int, profileId: Int",medium,"Chooses one of four (bool, ObjectByteSerializerHolder, bool) triples keyed by profileId (1, 2, 128, else) — likely distinct lighting/material serialization profiles for player, other-player, hint-icon, and NPC rendering respectively (guessed from the static holders referenced: ClientMachineInfo, D3dRenderDevice, BoundsConstraintEntry, NpcDefinition) — and applies each changed component via method3939/method3947/dirty-bit clears."
