current_name,recommended_name,current_params,recommended_params,confidence,notes
method1092,scaleUpLegacyVertices,"i: Int, i_0_: Int","shiftAmount: Int, unusedDecoy: Int",medium,"Left-shifts every vertex X/Y/Z (anIntArray1841/1847/1852) and, if anInt1818 (texture-def count) > 0, the per-texture-def coordinate arrays (anIntArray1859/1816, and anIntArray1844 unless the texture-def type byte aByteArray1823[i]==1) by shiftAmount bits. Every real call site (ItemDefinition, NpcType, SkeletalAnimFrameLoader, WidgetComponent, DelegatingRenderCanvas, LocConfigModelBuilder, NpcConfig) guards the call with 'if (modelDef.anInt1830 < 13) modelDef.method1092(2, ...)', i.e. shiftAmount is always 2 (=x4) and anInt1830 is clearly a model-format 'version' field (compared against 13/14/15 elsewhere too) -- this upscales legacy (<v13) model coordinate precision. Second param i_0_ only guards 'if (i_0_ <= 39) method1107(40,-7,-80,-24)'; every observed call site passes i_0_ in {54,64,66,89,96,97,99,105,109,113,114,115}, all > 39, so that inner rotate-call branch is dead at every real call site -- opaque predicate, not real behavior."
method1093,groupRectangleBoundsByGroupId,i: Byte,unusedDecoy: Byte,medium,"Builds a jagged int[][] bucketing indices into aRectangleBoundsArray1832 by each entry's anInt2156 field (an unsigned byte 0-255 'group id', per RectangleBounds.kt). Only called when aRectangleBoundsArray1832 != null, gated behind an extra renderer feature-flag check at each of its 3 call sites (Direct3dModel, OpenGlModel, SoftwareModel) -- looks like a once-per-model index built lazily for some optional per-group rendering/hit-testing feature (possibly widget click/label regions, given the sibling field aWidgetRedrawRegionArray1866 read in the same decode branch). Param i (a magic byte, e.g. -120/-69/-75) is read but its only use is the trailing 'if (i > -68) return null' early-out, which is real behavior but never observed to trigger since every call site passes a different, unpredictable magic value -- kept as a real (if unclear) guard rather than a pure decoy."
method1094,groupFacesByFaceLabel,i: Byte,unusedDecoy: Byte,medium,"Builds a jagged int[][] bucketing face indices (0..<anInt1817, i.e. numFaces) by each face's anIntArray1824 value (an optional per-face byte 0-255, only present when the decoded model has that flag set -- see i_60_/i_130_ in the two decode methods). Sole call site (SoftwareModel.kt) only invokes it when modelDefinition.anIntArray1824 != null and a renderer feature-flag bit (0x180) is set, consistent with per-face-group effects such as recoloring/animating a subset of faces (akin to vertex-label grouping via anIntArray1868, but at face granularity). Param i is unused in the body besides the anInt1864 counter increment."
method1095,replaceFaceTexture,"i: Short, i_17_: Int, i_18_: Short","findTextureId: Short, startIndex: Int, replaceTextureId: Short",high,"Scans aShortArray1822 (per-face texture/material id array, only allocated when the model has textured faces) from startIndex to numFaces, replacing every occurrence of findTextureId with replaceTextureId. All real call sites (ItemDefinition.kt, SkeletalAnimFrameLoader.kt) always pass startIndex=0, driving an item/NPC-model retexture-recolor table (aShortArray2785 'find' / aShortArray2801 'replace' in ItemDefinition, the standard OSRS 'retextureToFind/retextureToReplace' equipment recolor mechanism)."
method1098,replaceFaceColor,"i: Short, i_23_: Byte, i_24_: Short","findColor: Short, magicGuard: Byte, replaceColor: Short",high,"Scans aShortArray1862 (per-face HSL color array) over all numFaces, replacing every occurrence of findColor with replaceColor, but only when magicGuard.toInt() == 126. Every real call site (ItemDefinition.kt, SkeletalAnimFrameLoader.kt) passes the literal 126, so the guard always holds in practice (not a dead branch, but a fixed constant with no other observed value) -- implements the standard item/NPC 'recolorToFind/recolorToReplace' palette swap (aShortArray2777/aShortArray2771 in ItemDefinition)."
method1099,translateVertices,"i: Byte, i_26_: Int, i_27_: Int, i_28_: Int","unusedDecoy: Byte, dz: Int, dx: Int, dy: Int",high,"Adds dx/dy/dz to every vertex's X/Y/Z (anIntArray1841 += dx, anIntArray1847 += dy, anIntArray1852 += dz) across all numVertices (anInt1836). Used to reposition composite-NPC sub-model parts (CompositeNpcModelBuilder, NpcType, ModelKeyBuilder) and equipment offsets (ItemDefinition) before merging. First param i (Byte) is a pure decoy: only feeds a dead, never-read local 'val i_30_ = 19 % ((-40 - i) / 33)'."
method1100,groupVerticesByLabel,"bool: Boolean, i: Int","useFullVertexCount: Boolean, unusedDecoy: Int",medium,"Builds a jagged int[][] bucketing vertex indices by anIntArray1868 (per-vertex 'label'/skin-group id, 0-255, used for e.g. per-limb animation/attachment grouping). Iterates 0..<(useFullVertexCount ? anInt1836 : anInt1821) -- anInt1836 is the raw allocated vertex-array length while anInt1821 tracks the actual max vertex index referenced by faces during decode, so the bool picks which count to trust. SoftwareModel.kt passes true, Direct3dModel/OpenGlModel pass false, all gated behind modelDefinition.anIntArray1868 != null plus a renderer feature-flag check. Trailing 'if (i > -14) method1098(...)' is a real branch but every call site passes -20/-42/-122, all <= -14, so it is dead at all observed call sites."
method1101,findOrAddVertex,"i: Int, i_39_: Int, i_40_: Int, i_41_: Int","y: Int, z: Int, x: Int, unusedDecoy: Int",high,"Linear-scans existing vertices (anIntArray1841=X, 1847=Y, 1852=Z) for one matching (x,y,z); returns its index if found, otherwise appends a new vertex (growing anInt1836/anInt1821) and returns the new index. Classic dedup-on-insert vertex builder, used by procedural-geometry code (HintArrowRenderer, LinkedListNodeStatics) that constructs custom models (e.g. the hint arrow, minimap-style circular meshes) vertex-by-vertex. Last param i_41_ is a decoy, only feeding a dead unread local (120 / ((38 - i_41_) / 61))."
method1102,addFace,"i: Int, i_44_: Byte, i_45_: Byte, i_46_: Short, i_47_: Byte, i_48_: Short, i_49_: Int, i_50_: Byte, i_51_: Int","vertexA: Int, renderType: Byte, textureCoordIndex: Byte, textureId: Short, guardUnused: Byte, color: Short, vertexB: Int, alpha: Byte, vertexC: Int",high,"Appends a new face: sets the 3 face-vertex-index arrays (aShortArray1863=A, 1835=B, 1855=C), then (guarded by 'if (guardUnused < 30) return -92', which never fires at the real call sites since HintArrowRenderer/LinkedListNodeStatics always pass values >= 30) also sets per-face render-type flag (aByteArray1843), texture-coord index (aByteArray1820), color (aShortArray1862), alpha/transparency (aByteArray1834) and texture id (aShortArray1822). Returns the new face index (anInt1817++). Used to hand-build procedural models (hint arrow, LinkedListNodeStatics ring/tube meshes)."
method1103,decodeOldFormatModel,"i: Int, `is`: ByteArray","formatMarker: Int, bytes: ByteArray",medium,"Private binary-format parser for the 'old' (pre-marker) on-disk model format -- selected by the ByteArray constructor when the file does NOT end in the 0xFFFF marker bytes. Reads vertex count (anInt1836), face count (anInt1817), and a run of per-model flag bytes controlling which optional per-vertex/per-face arrays exist (texture ids aShortArray1822, priorities aByteArray1839/aByte1851, alphas aByteArray1834, vertex labels anIntArray1868, face render-type aByteArray1843, face-skin anIntArray1824), then delta-decodes vertex XYZ and face-vertex-index triples, and finally reads texture-def (P/M/N vertex) entries into aShortArray1829/1849/1825 etc. Sole call site passes formatMarker=1 (its only use is the single comparison 'if (formatMarker == i_59_)' controlling whether the aByteArray1834 alpha block is present -- effectively a fixed constant, not a real decoy since it does affect layout offsets). Given the sheer size (~200 lines) this is summarized at a high level rather than field-by-field."
