current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"opengl: OpenGL?, canvas: Canvas?, l: Long, var_renderConfig: RenderConfig?, js5Archive: Js5Archive?, i: Int","opengl: OpenGL?, canvas: Canvas?, contextHandle: Long, renderConfig: RenderConfig?, js5Archive: Js5Archive?, mode: Int",high,"The 'modern' OpenGL (ARB buffer-object / vertex-program) NativeRenderer backend, as opposed to the sibling immediate-mode OpenGlRenderer class (both extend the shared abstract Renderer). Queries GL_VENDOR/GL_RENDERER/GL_VERSION, requires GL_ARB_multitexture + GL_ARB_texture_env_combine + a version >= 1.2 and >= 2 texture units, and detects a long list of optional capabilities (aBoolean9920=GL_ARB_vertex_buffer_object, aBoolean8182=GL_ARB_multisample, aBoolean9919=GL_ARB_texture_rectangle, aBoolean8101=GL_ARB_texture_cube_map, aBoolean9926=GL_ARB_texture_non_power_of_two, aBoolean8159=GL_EXT_texture3D, aBoolean9921=GL_ARB_vertex_shader, aBoolean9923=GL_ARB_vertex_program, aBoolean9922=GL_ARB_fragment_shader), plus ATI/Radeon-specific workarounds that disable VBO/3D-texture support on certain older Radeon models. Throws (wrapped as TextureLoadException) if Microsoft/Mesa/Brian-Paul software GL or an unsupported driver is detected."
method3646,reclaimDeletedGlResources,i: Int,unused: Int,high,"Override of Renderer.method3646. Drains five internal NodeDeque queues of pending-delete GL object ids (accumulated by the queueBufferDelete/queueTextureDelete/queueProgramDelete/queueShaderObjectDelete helpers below plus display lists) and issues batched glDeleteBuffersARB/glDeleteTextures/glDeleteFramebuffersEXT/glDeleteRenderbuffersEXT/glDeleteLists/glDeleteProgramARB/glDeleteObjectARB calls (batching buffer/texture/FBO/RBO deletes up to 1000 ids per GL call via the shared companion scratch array `anIntArray1650`). Also forces a `System.gc()` when tracked GPU memory usage (`E()`) exceeds 100663296 bytes and at least 60s have passed since the last forced GC. Calls `super.method3646(i)` at the end."
method3841,updateDepthMask,i: Byte,unused: Byte,medium,"Override of Renderer's depth-mask hook. `glDepthMask(aBoolean8124 && aBoolean8118)` gated on `unused.toInt() == -116` - i.e. only updates the depth-write mask when called with the one literal value ever observed passing through this class's own logic; no external call sites were traced in this pass."
method3812,createModelBatch,"i: Int, directionPaths: Array<DirectionPath>",createModelBatch,medium,"Override of Renderer.method3625-family model-batch factory. Wraps `directionPaths` in a `FrameStatsReset` instance and returns it as a `ModelBatchBase` - i.e. `FrameStatsReset` (despite its misleading name, per PLAN.md's noted decompiler-merged-content pattern) doubles as the real 'compiled/direction-path model batch' type consumed later by method3862/bindModelBatchAttributes. The `i` param is unused in the body."
method3818,setBaseLightsEnabled,bool: Boolean,unused: Boolean,medium,"Toggles GL_LIGHT0/GL_LIGHT1 (16384/16385) on/off based on `aBoolean8110` (a scene/lighting-mode flag). The `unused` param's only effect, `if (unused != true) aNodeDeque_9899 = null`, nulls the pending-buffer-delete queue also used by queueBufferDelete/reclaimDeletedGlResources - real semantics/frequency of that branch not confirmed in this pass."
method3881,attachRenderSurface,"object: Any?, i: Byte, canvas: Canvas?","handle: Any?, mode: Byte, canvas: Canvas?",medium,"When `mode.toInt() == 99`, casts `handle` to a native surface pointer (Long) and calls `anOpenGL9856.setSurface(handle)`, throwing if it fails - binds the GL context to a native window/surface handle."
method3901,maybeResetCameraMatrix,i: Byte,unused: Byte,low,"Conditionally calls the private `method3970(1)` (applyCameraViewMatrix, below) when `unused <= -18`. No external call sites traced in this pass; low confidence on exact trigger semantics."
method3924,setTextureCombineRgbSource,"bool: Boolean, bool_2_: Boolean, i: Int, trigLookupTables: TrigLookupTables?, bool_3_: Boolean","invert: Boolean, unused: Boolean, textureUnitOffset: Int, combineConfig: TrigLookupTables?, useAlternateBlend: Boolean",medium,"Sets `glTexEnvi(GL_TEXTURE_ENV, GL_SOURCE0_RGB_ARB(34176) + textureUnitOffset, <source token from MapSceneTile.method531(combineConfig)>)` and `glTexEnvi(GL_TEXTURE_ENV, GL_OPERAND0_RGB_ARB(34192) + textureUnitOffset, <770/771 or 768/769 depending on invert/useAlternateBlend>)` - configures the RGB combine-source and blend-operand for a texture stage. `unused` gates the whole body via `if (unused == false)`; `combineConfig`'s TrigLookupTables type looks like another instance of this codebase's field/class reuse (used here purely as an opaque combine-mode token, not real trig data)."
method3880,isTextureFormatSupported,"movementDirection: MovementDirection?, textureFormatInfo: TextureFormatInfo?, i: Byte","elementType: MovementDirection?, format: TextureFormatInfo?, unused: Byte",low,"Always returns `true` regardless of the inputs; the only other body content is a dead `-21 / ((85 - unused) / 37)` expression whose result is discarded. Given the always-true return, this backend appears to unconditionally claim support for any requested texture element-type/format combination (real format capability is presumably checked elsewhere, e.g. by the NPOT/rectangle-texture branching seen in the texture-factory methods below)."
method3813,loadProjectionMatrix,bool: Boolean,unused: Boolean,medium,"Sets `glMatrixMode(GL_PROJECTION/5889)`, loads `aFloatArray8135` via `glLoadMatrixf`, then restores `glMatrixMode(GL_MODELVIEW/5888)`. The `if (unused != true) method3652()` branch calls this same class's own GL-context-release override (see method3652/releaseGlContext below) - an extremely destructive action to trigger mid-matrix-load, strongly suggesting this is a dead/decoy branch that never fires at real call sites (i.e. `unused` is always `true` in practice), though no external call site was traced to confirm this in this pass - flagged as a likely-decoy rather than confirmed."
