current_name,recommended_name,current_params,recommended_params,confidence,notes
method1714,getRangeOrCount,"i: Int, i_7_: Int","decoyInt: Int, context: Int","low","Override of GraphicsOptionState's abstract method1714(i,i_2_):Int. Returns 49 unless context==3 (returns 1). Sibling *OptionState classes in earlier batches map this family of overrides to get/set/validate value accessors for a display setting; exact meaning of the 49/1 constants for 'particle detail' is unconfirmed without cross-referencing every subclass."
method1712,setValue,"i: Int, i_8_: Int","decoyInt: Int, value: Int","high","Override of GraphicsOptionState.method1712(i,i_2_). Simply assigns this.anInt3138 = value (the option's current setting) — standard setter override; i_9_ dead-division expression discarded (decoy)."
method1716,validateValue,bool: Boolean,decoyFlag: Boolean,"medium","Override of GraphicsOptionState.method1716(bool). Body is 'if (anInt3138 < 0 && anInt3138 > 4) anInt3138 = method1710(20014)' — this condition can never be true (a value can't be both <0 and >4 simultaneously), so the clamp/reset never actually executes. Likely an obfuscator-mangled '||' turned into '&&', or an intentionally dead opaque predicate — worth a second look if behavior seems off in-game."
method1798,getValue,i: Int,decoyInt: Int,"high","Returns this.anInt3138 (the option's current value), guarded by a decoy 'i != -32350 -> return 61' short-circuit; the only call sites (Client.kt, ChatCommandProcessor.kt, DisplaySettingsConfig.kt) all pass -32350, so the decoy branch is dead there. This is the public getter used elsewhere to read the particle-detail setting."
method1710,getDetailLevel,i: Int,context: Int,"medium","Override of GraphicsOptionState.method1710(i). Returns 4 if aClass348_Sub51_3136 (a DisplaySettingsConfig) reports its antialiasing/quality level (via method3428->method1462) > 1, else 2 — reads as 'particle sub-sample count derived from AA level'. i!=20014 nulls the unrelated companion aBoundsConstraintEntry_6018 as a decoy side effect."
method1793,decodeUtf8,"is: ByteArray, i: Int, i_0_: Int, i_1_: Int","bytes: ByteArray, offset: Int, decoyInt: Int, length: Int","medium","Companion/static method: a full manual UTF-8 decoder (1/2/3/4-byte sequence handling with 0xFFFD replacement-char fallback for malformed sequences), producing a String from bytes[offset, offset+length). Entirely unrelated to particle-detail option state fields — generic text-decoding utility, likely decompiler-merged content. i_0_>=-82 short-circuits returning null (decoy/dead at typical call sites)."
method1794,clearState,i: Int,decoyInt: Int,"medium","Nulls the unrelated companion aBoundsConstraintEntry_6018 and anIntArray6021. i!=63 nulls anIntArray6021 again first (redundant/decoy)."
method1795,decodeBytesToString,"is: ByteArray, bool: Boolean","bytes: ByteArray, decoyFlag: Boolean","medium","Thin wrapper delegating to ByteBuffer.method3546(bytes,0,bytes.size,0) — another string-decoding helper, presumably a different charset/encoding than method1793's manual UTF-8 decoder. Unrelated to particle-detail settings; likely merged content."
method1796,isKnownWidgetContentType,"i: Int, i_10_: Int","decoyInt: Int, contentType: Int","low","Companion/static method: returns true if contentType is one of {18,6,1011,13,16} — these numeric literals match the opcode-style constants used as the 'infoType' argument to MinimapPolygonDrawer.method466 calls in the neighboring method1797, suggesting this validates a widget debug-info content type. i<53 short-circuits true (decoy)."
method1797,renderWidgetDebugTooltip,"i: Int, i_11_: Int, widgetComponent: WidgetComponent, i_12_: Byte","decoyInt: Int, tabIndex: Int, widgetComponent: WidgetComponent, decoyByte: Byte","low","Companion/static method: builds and queues a series of debug tooltip/overlay lines (via MinimapPolygonDrawer.method466) showing a widget's id, bounds, name, and item/npc lookups (ProjectionCameraTransform.aEmoteDefCache_5764) when RenderNodeStatics.aBoolean9722 (a debug-mode flag) is set. Entirely unrelated to particle-detail settings — this is developer/debug widget-inspector code, almost certainly decompiler-merged content per PLAN.md guidance. Uses PackedFlagsAccessor.method3303/method3305 bit tests (see PackedFlagsAccessor.csv) to gate which debug lines are shown."
