current_name,recommended_name,current_params,recommended_params,confidence,notes
method1663,getModelHeight,i: Int,unusedFlag: Int,high,"Returns a constant 48 if i<31 (decoy branch, likely never hit by real callers), otherwise returns anInt3060 which is set from AbstractModel.fa() in method1668. Matches WallSceneEntity.method2394 (SceneEntity's getModelHeight), which delegates directly to this method."
method1664,getModelWidth,i: Int,unusedFlag: Int,medium,"Returns anInt3055, set from AbstractModel.ma() in method1668 (paired with fa()/height above). Suspicious: the decoy branch calls `finalize()` directly (`if (i > -20) finalize()`) — manually invoking Object.finalize() is unusual and could cause the SceneGraphContainer cleanup in finalize() to run prematurely/twice; flagged as suspicious obfuscator artifact."
method1665,isAnimationEnabled,i: Int,unusedFlag: Int,medium,"Returns aBoolean3065, computed once in the constructor as (renderer.method3682() && npcConfig.aBoolean894 && !aBoolean3069) — i.e. some 'high detail' rendering mode is on AND the NpcConfig/loc config allows the animation AND this isn't a static instance."
method1666,selectAnimationSequence,"i: Byte, i_0_: Int","unusedFlag: Byte, sequenceId: Int",medium,"Private. Resolves the effective NpcConfig (following varp/varbit-based morph chains), determines the sequence id to play (either the explicit sequenceId or one derived from the resolved config's morph/animation fields), then loads the corresponding WidgetDefinition (frame/duration sequence) and sets the initial frame index + duration, randomizing the start frame when the config's randomize flag (aBoolean924) is set."
method1667,rebuildAnimatedModel,"i: Byte, var_renderer: Renderer?","unusedFlag: Byte, renderer: Renderer?",medium,"Forces a full model rebuild+animate via method1668(true, true, i-244, 262144, renderer)."
method1668,buildOrGetAnimatedModel,"bool: Boolean, bool_3_: Boolean, i: Int, i_4_: Int, var_renderer: Renderer?","cacheOnly: Boolean, registerRenderNode: Boolean, cycle: Int, renderFlags: Int, renderer: Renderer?",medium,"Core model-resolution method: re-resolves the NpcConfig (handling varp-morph chains), rebuilds the cached AbstractModel if the config changed, advances the animation frame accounting via method1672, decides whether hit-box/occlusion registration is needed, then builds either a static base model (npcConfig.method476) or an animated/morphed frame model (npcConfig.method483) depending on whether a sequence (aWidgetDefinition_3057) is active, caching dimensions (height/width via fa()/ma()) and optionally registering a RenderNode via method1130."
method1670,renderAnimatedModel,"i: Int, abstractCameraTransform: AbstractCameraTransform?, i_7_: Int, var_renderer: Renderer?, i_8_: Int, abstractModel: AbstractModel?, bool: Boolean, i_9_: Byte, i_10_: Int","cycle: Int, cameraTransform: AbstractCameraTransform?, priority: Int, renderer: Renderer?, drawFlags: Int, model: AbstractModel?, syncOcclusion: Boolean, unusedFlag: Byte, redrawArg: Int",low,"Obtains/reuses a pooled SceneGraphContainer (SceneGraphContainer.method2526/obtain) when the model has face-priority/redraw-region data, applies the camera transform to the model, then either syncs (method2536) or just updates the target time (method2540) on the container depending on `bool`, finally calling the container's setPlane (method2533) with mostly-decoy trailing args. Param roles beyond `cycle`/`renderer`/`model`/`cameraTransform` are best-effort guesses given the complexity."
method1671,setAnimationSequence,"i: Int, i_11_: Int","unusedFlag: Int, sequenceId: Int",medium,"Sets aBoolean3064 (force-cache) = true then delegates to method1666(69, sequenceId) to select the new sequence."
finalize,finalize,(none),(none),high,"Object.finalize() override — releases the associated SceneGraphContainer by calling its method2534 (setTimeChanged). Note: also invoked manually as a decoy side-effect inside method1664 (getModelWidth), which is unusual/suspicious."
method1672,advanceAnimationFrame,"class318_sub1: SceneEntity?, bool: Boolean","entity: SceneEntity?, forceUpdate: Boolean",medium,"Private. Computes elapsed game cycles since the last update (GlGroundShaderPass.anInt7396 - anInt3074) and steps the current frame index forward through the sequence's per-frame duration array, firing a per-frame callback (TypedRecordTable.method2178) for every fully-elapsed frame, wrapping back around using the sequence's loop-back count (anInt238) when the end is reached."
method1674,clearRenderNode,"i: Int, var_renderer: Renderer?","unusedFlag: Int, renderer: Renderer?",medium,"Unregisters the currently cached RenderNode (via method1301 with null flags) and nulls aRenderNode3071/aBooleanArray3072; also clears aBoolean3064 unless i == -1."
method1669,formatIpAddress,"i: Int, i_6_: Int","unusedFlag: Int, packedIp: Int",medium,"Companion. Formats a packed 32-bit value as a dotted-quad string via shr 24/16/8/0 and & 0xff. Suspicious: the second octet is masked with 0xffb428 instead of plain 0xff, which can leak extra high bits into the printed value — likely an obfuscator/decompiler corruption of a simple 0xff mask, flagged as a probable bug. Also has a decoy self-recursive call (`if (i != -19918) method1669(75, 33)`) matching the project's documented dead self-recursion pattern (cf. NodeDequeStatics.method1991)."
method1673,freeStaticCaches,i: Int,unusedFlag: Int,high,"Companion, @JvmStatic. Nulls aBufferedRandomAccessFile_3075 and anIntArray3068 (static caches)."
