current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,i: Int,maxSize: Int,high,"Primary constructor; stores maxSize into anInt2311 (current remaining size budget). The init block copies it into anInt2324 (the fixed max-size ceiling) and sizes the backing Hashtable to the next power of two >= maxSize."
method1338,evictExistingEntry,"i: Int, keyedComparable: KeyedComparable","unused: Int, key: KeyedComparable",high,"Private helper: looks up an existing entry for `key` in aHashtable_2312 by hash (KeyedComparable.method52) and, if one matches (method53 equals-check), evicts it via method1342/evictEntry and stops - i.e. 'remove the old entry for this key before inserting a replacement', called from method1341/putInternal."
method1339,getMaxSize,i: Int,sentinel: Int,high,"Trivial getter returning anInt2324 (the cache's fixed size ceiling, set once in the constructor). `if (i != 100) return -3` is a dead decoy - only call site context not found in this pass but shape matches the standard *OptionState-style getter convention used across the codebase."
method1340,get,"i: Int, keyedComparable: KeyedComparable","unused: Int, key: KeyedComparable",high,"Public cache lookup. Walks the hash bucket for `key`'s hash comparing via KeyedComparable.method53; on match calls entry.method3205 (KeyedCacheEntryReference.get() - direct object for HardKeyedCacheEntryReference, SoftReference.get() for SoftKeyedCacheEntryReference). If the referenced object was GC'd (null), evicts the stale entry and returns to keep scanning; otherwise if the entry is soft (method3206/isSoft==true) it is promoted by wrapping in a fresh HardKeyedCacheEntryReference, replacing it in both the hashtable and the LRU list (moved to head, aLong7057 age reset to 0), and the object is returned - i.e. accessing a soft entry pins it back to hard and marks it most-recently-used. If already hard, just moves it to the head of the LRU list and resets its age. Returns null if no match found."
method1341,putInternal,"object: Any?, keyedComparable: KeyedComparable?, i: Int, i_0_: Int","value: Any?, key: KeyedComparable?, unusedTag: Int, size: Int",high,"Private insert helper (only entered when unusedTag < -84, matching the one real caller method1348/put which always passes -114): asserts the cache's max size can hold `size` (`check(anInt2324 >= size) { \"s>cs\" }`), evicts any existing entry for `key` (method1338), deducts `size` from the remaining budget anInt2311, then evicts LRU entries (oldest-first via aLinkedNodeListIterator_2316.method1008/getOldest) while over budget, and finally inserts a new HardKeyedCacheEntryReference for (key, value, size) into both the hashtable and the head of the LRU list with age reset to 0. Wraps body in try/catch rethrowing via TextureLoadException.method2929 tagged 'pq.L(...)' (original obfuscated class/method name)."
method1342,evictEntry,"class348_sub42_sub9: KeyedCacheEntryReference?, i: Byte","entry: KeyedCacheEntryReference?, unusedTag: Byte",high,"Removes `entry` from the hashtable bucket chain (LinkedListNode.method2715) and the LRU list (HashLinkedListNode.method3162(true)), then adds its size (anInt9556) back to the remaining budget anInt2311. `if (i < 51) method1341(null, null, -110, 119)` is a dead decoy - every real call site (method1338, method1341, method1346) passes a tag >= 51 (79, 60, 51)."
method1344,releaseSoftEntries,i: Byte,unusedTag: Byte,medium,"Public sweep over the entire LRU list evicting every entry for which method3206/isSoft() returns true (i.e. entries that have already been demoted to soft references), reclaiming their size back into anInt2311 - effectively drops all soft-cached entries while keeping hard/pinned ones, presumably invoked under memory pressure. `if (i > -34) aBooleanArray2326 = null` at the end nulls an unrelated companion field (decompiler-merged, not part of the cache logic)."
method1345,clear,i: Byte,unusedTag: Byte,high,"Resets the cache to empty: clears the LRU iterator (LinkedNodeListIterator.method1009 with the large sentinel meaning 'remove all'), clears the hashtable (Hashtable.method3481(0)), and resets the remaining budget anInt2311 back to the max anInt2324. `val i_3_ = 18 % ((i - -89) / 35)` is a discarded filler expression referencing the decoy param."
method1346,ageEntries,"i: Int, i_4_: Int","unusedTag: Int, maxAge: Int",medium,"Periodic maintenance sweep (gated behind MinimapDrawController.aParticleProcessor_1607 being non-null) over the LRU list: entries already soft (method3206) whose backing object was GC'd (method3205 returns null) are evicted immediately; hard entries whose age counter aLong7057 exceeds `maxAge` are demoted to a soft reference via MinimapDrawController.aParticleProcessor_1607.method2694, swapped into the hashtable in place of the old hard entry (via LruByteCache.method573, imported as a helper), and the old hard entry is then evicted. Net effect: ages out long-untouched hard entries into soft (GC-eligible) ones while pruning already-collected soft entries. `if (i != -1491) method1342(null, 51.toByte())` is a dead decoy at the one call site pattern seen elsewhere in this class."
method1348,put,"i: Int, object: Any?, keyedComparable: KeyedComparable?","unusedTag: Int, value: Any?, key: KeyedComparable?",high,"Public put wrapper: calls method1341/putInternal(value, key, -114, 1) (a fixed weight of 1 per entry, i.e. this cache instance counts entries rather than bytes at this call site) inside a try/catch rethrowing via TextureLoadException.method2929 tagged 'pq.K(...)'. `if (i > 62) break else aLinkedNodeListIterator_2316 = null` - the false branch (nulling out the LRU iterator entirely, effectively breaking future cache operations) was not observed at any real call site in this pass, so it could not be confirmed as live or dead."
