current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,FixedFunctionWaterPass,"var_ha_Sub3: NativeRenderer, normalMapGenerator: NormalMapGenerator?","renderer: NativeRenderer, normalMapGenerator: NormalMapGenerator?",high,"Trivial field assignment (aNormalMapGenerator_7353 = normalMapGenerator) wrapped in a try/catch that rethrows as TextureLoadException with a formatted debug arg dump -- the same defensive-wrapper idiom used throughout this codebase's generated constructors/methods; included here only because the surrounding try/catch is non-trivial boilerplate, the actual logic is a single field store."
method3520,setupRenderState,i: Byte,reason: Byte,medium,"Overrides AbstractRenderPass.method3520(i):Unit abstract. Configures a block of fixed-function GL texture/blend state (bracketed by `method3897(1,-4382)` / `method3897(0,-4382)`) -- texture stage combiners, alpha state, and repeated calls binding LoadingBarRenderer.aTrigLookupTables_4247. The real call site (NativeRenderer.kt:1195, `method3520(87.toByte())`) matches the internal `if (i.toInt() != 87) Companion.method3549(-29, (-5).toByte())` guard exactly, so that decoy branch never fires. Consistent with a 'reconfigure this pass's fixed-function render state' hook invoked when a dirty-bitmask (anInt8156) changes."
method3526,configureWaveTexture,"i: Int, i_17_: Int, i_18_: Int","reason: Int, flagsA: Int, flagsB: Int",medium,"Overrides AbstractRenderPass.method3526(i,i_0_,i_1_):Unit abstract. Selects and binds one of the NormalMapGenerator's animated wave-noise textures based on bit tests of `flagsA`/`flagsB` (0x80 and 0x1), advancing an animation phase (aFloat7350) over a 4000ms cycle when a single shared normal map is used, or cycling through a small texture array (`anInterface18_Impl3Array3459`) otherwise, and unbinds entirely when 0x80 of `flagsA` is set. Called from NativeRenderer.kt:1200/1208 as `method3526(10756, i, i_132_)`, matching the internal `if (i != 10756) method3527(-26, null, 111)` guard exactly (dead decoy branch)."
method3530,isReady,i: Int,unused: Int,medium,"Overrides AbstractRenderPass.method3530(i):Boolean abstract. Fast path `if (i > -57) return false` never triggers at any real call site (NativeRenderer.kt passes -78, -58, -74, -104, -116, all <= -57), so in practice this always delegates to `aNormalMapGenerator_7353!!.method2039(116)` -- interpreted as an 'is the underlying normal-map/water texture resource loaded and ready' check, since callers use it to decide whether to keep or rebuild a cached render-pass slot (`if (!aAbstractRenderPassArray8139[2]!!.method3530(-58)) aAbstractRenderPassArray8139[2] = ...`)."
method3521,applyFogBlend,"bool: Boolean, i: Byte","isUnderwater: Boolean, reason: Byte",low,"Overrides AbstractRenderPass.method3521(bool,i):Unit abstract. Delegates to `aHa_Sub3_4479.method3874(fogConfigA, reason.toInt() xor 0x17.inv(), fogConfigB)`, blending/selecting between two RenderConfigFactory instances (RenderQueueState.aRenderConfigFactory_6519, ParticleSystemState.aRenderConfigFactory_2207). Real call sites (NativeRenderer.kt:1199/1206) always pass (-103).toByte(), matching the internal `if (i.toInt() != -103) anInt7365 = 86` guard exactly (dead decoy). Exact semantics of the blended config (fog vs. lighting) not independently confirmed; name/params are best-effort."
method3525,renderPass,"i: Int, bool: Boolean","reason: Int, isUnderwater: Boolean",medium,"Overrides AbstractRenderPass.method3525(i,bool):Unit abstract -- the main per-frame draw entry point for this pass: enables state, calls applyFogBlend()/method3521, configures depth/clear state, rebinds trig lookup tables, clears the framebuffer to a fixed colour (`method3894(-28186, -16777216)`), and finally calls this class's own isReady-gated helper method3532(10425). Real call sites (NativeRenderer.kt:1198/1200) always pass the literal 15192, matching the internal `if (i != 15192) aShort7355 = 106.toShort()` guard exactly (dead decoy)."
method3527,bindRenderable,"i: Int, renderable: Renderable?, i_22_: Int","reason: Int, renderable: Renderable?, reason2: Int",high,"Overrides AbstractRenderPass.method3527(i,renderable,i_2_):Unit abstract. Sets `renderable` as the active texture-bind target (`aHa_Sub3_4479.method3850(103.toByte(), renderable)`). The only real call site (NativeRenderer.kt:330, `method3527(i_22_, interface18_impl3, -16776)`) passes -16776 for the trailing int, matching the internal `if (i_22_ != -16776) method3520((-127).toByte())` guard exactly, so the decoy re-invocation of setupRenderState() never fires there."
method3547,getMapColorAt,"i: Int, i_6_: Int","x: Int, y: Int",medium,"Companion/static, and despite living in FixedFunctionWaterPass it reads from LoadingBarRenderer.anIntArrayArray4253[x][y] (masking off the alpha byte) rather than anything water-pass related. Confirmed real callers (WidgetTextConfig.kt, WorldMapScene.kt) pass tile/pixel-style (x,y) coordinates, consistent with a minimap/world-map colour lookup -- another likely decompiler-merged, unrelated utility bundled into this class's companion object."
method3548,updateNpcLoadProgress,"i: Int, npc: Npc?, `is`: IntArray?, is_7_: IntArray?, is_8_: IntArray?","reason: Int, npc: Npc?, kitOrPartIds: IntArray?, ids: IntArray?, colourIds: IntArray?",low,"Companion/static, and despite living in FixedFunctionWaterPass it operates entirely on Npc.aLoadProgressCountersArray10308 (a 'LoadProgressCounters' bookkeeping array, unrelated to water rendering) -- iterating bitmask flags per counter slot to decide whether to reset, update, or newly allocate a LoadProgressCounters entry, and triggering TypedRecordTable.method2178 loads for newly-needed ones. The only real call site (VarpStore.kt:257, `method3548(-7387, npc, is_50_, is, is_49_)`) matches the internal `if (i != -7387) method3550(10.toByte())` guard exactly (dead decoy). Only the outer structure was traced given time constraints and its unrelated subject matter; flagged low confidence and as another likely decompiler-merge artifact."
method3549,isSpecialEffectId,"i: Int, i_15_: Byte","id: Int, unused: Byte",medium,"Companion/static: pure lookup returning true only for a fixed whitelist of ints {25, 20, 44, 46, 60, 30, 1008}, with the Byte parameter confirmed as a pure decoy (only used in a discarded division expression). Every real caller (ModelWallEntity.kt, NativeIndexBuffer.kt, ChatMessageStream.kt, ParamMap.kt, SceneModelBuilder.kt) passes an object's numeric id field (e.g. a graphic/spotanim id) as `id`, consistent with 'is this a special-cased graphic/spotanim id that needs particular handling' (e.g. water-surface-related effects), though the precise meaning of the id set was not independently confirmed."
