current_name,recommended_name,current_params,recommended_params,confidence,notes
method1675,blendLocOverlayCorners,"i: Int, i_0_: Int, is: Array<ByteArray?>?, i_1_: Int, is_2_: Array<ByteArray?>?, i_3_: Int, locTypeConfig: LocTypeConfig?, hslColorConfig: HslColorConfig?, bools: BooleanArray?, i_4_: Int, is_5_: Array<ByteArray?>?, i_6_: Int, i_7_: Int, var_renderer: Renderer?","x: Int, gridHeight: Int, overlayShapes: Array<ByteArray?>?, z: Int, overlayRotations: Array<ByteArray?>?, direction: Int, locTypeConfig: LocTypeConfig?, particleDef: HslColorConfig?, cornerFlags: BooleanArray?, rotation: Int, overlayIds: Array<ByteArray?>?, gridWidth: Int, underlayId: Int, renderer: Renderer?",low,"Examines the 8 neighbouring tiles' overlay/underlay ids (via `overlayIds`/is_5_, a per-tile byte grid confirmed as overlay ids by method1682/decodeTerrainTile's opcode<=49 branch) and, for each neighbour whose loc has a higher render priority (anInt3564) than the current corner's recorded priority (WorldMapToggle.anIntArray3873), overwrites the shared per-corner colour/texture/height-priority arrays (MenuActionNode.anIntArray6775, anIntArray9480, ProjectileFactory.anIntArray2899, anIntArray6631, HintIconState.anIntArray2370). This is the classic RS ground-overlay corner colour blending algorithm (smoothing overlay boundaries between adjacent tiles), called once per tile from method1676/bakeSceneTileDetailed. `hslColorConfig` param name (inherited from the declared type) looks mismatched with the actual particle/underlay def passed at the call site - kept as-is since it's the declared type, flagged for the eventual rename pass."
method1676,bakeSceneTileDetailed,"var_terrainTile: TerrainTile?, var_terrainTile_64_: TerrainTile?, i: Int, var_terrainTile_65_: TerrainTile?, is: Array<IntArray?>?, var_renderer: Renderer?, i_66_: Int","terrainTileAbove: TerrainTile?, terrainTile: TerrainTile?, decoy: Int, terrainTileBelow: TerrainTile?, heightMap: Array<IntArray?>?, renderer: Renderer?, plane: Int",low,"Per-plane, per-tile terrain mesh baking: reads overlay/underlay/shape/rotation byte grids for the tile, resolves the loc/particle definitions, computes an overlay 'shape' via corner-neighbour comparisons (a 4-way diagonal/straight edge classifier, `i_88_`/`i_89_` diamond-distance comparison against `TerrainTile.method3982` height samples when ambiguous), calls method1675/blendLocOverlayCorners, builds per-vertex colour/texture arrays, and finally calls `terrainTile.U(...)` - the same cryptically-named tile-baking method flagged as low-confidence in TerrainTile.csv/PLAN.md. This is the 'complex' bake path selected from method1680/computeGroundColorsAndBakeTiles when a quality flag (`!IOException_Sub1.aBoolean86`) is false; see method1683/bakeSceneTileSimple for the alternate path using TerrainTile.method3978 instead of .U(). Recommend a second pass once TerrainTile.U/method3978 are independently confirmed."
method1678,propagateHeightMapToPlane,"i: Int, i_166_: Int, i_167_: Int, i_168_: Int, i_169_: Int, i_170_: Int","x: Int, zStart: Int, zLen: Int, decoy: Int, xLen: Int, plane: Int",medium,"Fills a rectangular region of `anIntArrayArrayArray3122` (the per-plane height map - confirmed by method1682/decodeTerrainTile writing raw decoded heights into this same array) for `plane`, copying from `plane-1` offset by a fixed -960 (matching RS's per-plane height increment convention), then extends edge rows/columns and does simple neighbour-averaging/copy at boundaries. `decoy>=-80` clears aByteArrayArrayArray3108 (the blend-flag grid) as a side effect - looks like a real (not dead) reset gated on a mostly-always-true condition rather than a pure decoy."
method1679,addHeightMapDelta,"i: Int, i_175_: Int, is: Array<IntArray?>","plane: Int, zStart: Int, delta: Array<IntArray?>",high,"Straightforward elementwise add: `anIntArrayArrayArray3122[plane][z][x] += delta[z][x]` over rows zStart..width, columns 0..height+1 - a height-map merge/delta-apply utility."
method1680,computeGroundColorsAndBakeTiles,"var_terrainTile: TerrainTile?, i: Byte, var_terrainTile_179_: TerrainTile?, var_renderer: Renderer?","terrainTileAbove: TerrainTile?, decoy: Byte, terrainTileBelow: TerrainTile?, renderer: Renderer?",low,"Top-level per-plane driver, gated `decoy <= -122`. For each plane: runs a 5-tile-wide box-blur over per-tile particle-def colour components (accumulating into 5 running-sum arrays, then averaging via VideoAdChecker.method1890 into `is`/the ground-colour buffer) to produce smoothed ground colours, then dispatches to either method1683/bakeSceneTileSimple or method1676/bakeSceneTileDetailed depending on the `IOException_Sub1.aBoolean86` quality flag, frees the per-plane byte grids (aByteArrayArrayArray3113/3123/3126/3129) once baked, and finally calls `TerrainTile.YA()` on each plane's tile (another cryptically-named method, same family as `.U()`/method3978 - worth flagging alongside them) plus conditional cache-invalidation calls (GlTexture2D.method1968, RefCountedHandle.method1320) when not in world-map mode."
method1681,decodeMapRegionChunk,"class348_sub49: ByteBuffer?, i: Int, collisionMaps: Array<CollisionMap?>?, i_197_: Int, i_198_: Int, i_199_: Int, i_200_: Byte","buffer: ByteBuffer?, x: Int, collisionMaps: Array<CollisionMap?>?, planeOffset: Int, zAdjust: Int, z: Int, decoy: Byte",medium,"Decodes a full 64x64-tile region chunk: when not in world-map mode, flags every sub-tile as loaded/blocked-checked on the appropriate CollisionMap plane via method3501 (a 'flagTile'-style call, consistent with CollisionMap's role elsewhere), then loops all planes x 64x64 sub-tiles calling method1682/decodeTerrainTile to actually decode each tile's height/overlay/underlay bytes from `buffer`."
method1682,decodeTerrainTile,"bool: Boolean, i: Int, i_212_: Int, i_213_: Int, class348_sub49: ByteBuffer, i_214_: Int, i_215_: Int, i_216_: Int, i_217_: Int, i_218_: Int, i_219_: Int","skipOverlayUnderlay: Boolean, xAdjust: Int, z: Int, rotation: Int, buffer: ByteBuffer, zAdjust: Int, decoy: Int, x: Int, hashX: Int, hashZ: Int, plane: Int",high,"This is the classic RuneScape per-tile terrain decode routine (matches the well-known Tile-decode opcode format used across every RS client generation): reads opcodes from `buffer` in a loop - opcode 0 -> procedurally-generated height (via MapElementDecor.method2462, a noise-style function) or a diff-from-previous-plane height (`-960` per-plane offset, same constant as method1678); opcode 1 -> explicit height = value*8; opcode 2-49 -> overlay id (aByteArrayArrayArray3123) + shape (aByteArrayArrayArray3126, `(opcode-2)/4`) + rotation (aByteArrayArrayArray3129); opcode 50-81 -> a per-tile settings/flag byte (GraphicsOptionState.aByteArrayArrayArray6962, likely tile render-rule flags such as bridge/blocked, misleadingly named after an unrelated class per this codebase's decompiler-content-mixing pattern); opcode >81 -> underlay id (aByteArrayArrayArray3113). `skipOverlayUnderlay` gates whether overlay/settings/underlay opcodes are actually stored (consistent with RS's 'tile is under a bridge, only store height' handling) vs only read-and-discarded."
method1683,bakeSceneTileSimple,"var_renderer: Renderer?, var_terrainTile: TerrainTile?, i: Int, i_223_: Byte, is: Array<IntArray?>?, var_terrainTile_224_: TerrainTile?, var_terrainTile_225_: TerrainTile?","renderer: Renderer?, terrainTileAbove: TerrainTile?, plane: Int, decoy: Byte, groundColors: Array<IntArray?>?, terrainTile: TerrainTile?, terrainTileBelow: TerrainTile?",low,"Alternate per-tile bake path to method1676/bakeSceneTileDetailed (selected when `IOException_Sub1.aBoolean86` is true, see method1680), using the same overlay/underlay/particle resolution logic but calling `terrainTile.method3978(...)` instead of `.U(...)` - the other cryptically-named tile-baking method flagged as low-confidence in TerrainTile.csv/PLAN.md. `decoy>=115` breaks out of an outer do/while after one iteration; below that, `this.anInt3117 = 57` runs as an apparent real (not obviously dead) side effect worth double-checking."
method1684,decodeRotatedMapRegionChunk,"i: Int, i_272_: Int, i_273_: Int, class348_sub49: ByteBuffer?, i_274_: Int, i_275_: Int, i_276_: Int, collisionMaps: Array<CollisionMap?>?, i_277_: Int, i_278_: Int","x: Int, plane: Int, levelGate: Int, buffer: ByteBuffer?, zAdjust: Int, zOffset: Int, xAdjust: Int, collisionMaps: Array<CollisionMap?>?, rotation: Int, targetPlane: Int",medium,"Only runs when `levelGate == -1` (a sentinel, possibly 'no explicit override level'). Rotation-aware variant of method1681/decodeMapRegionChunk: flags an 8x8 sub-grid of collision tiles using rotated coordinates (via LocalizedTextTriple.method2220 / WidgetCache.method837, standard 0-3 rotation-transform helpers used elsewhere in this codebase), then decodes an 8x8 block of tiles via method1682/decodeTerrainTile with rotated coordinates, and stitches height-map values across the 64-tile chunk boundary for edge tiles (`i_290_==63 || i_291_==63`) - consistent with decoding a rotated map-region 'instance' chunk (RS's rotated dungeon/instance template system) and joining it to its neighbours."
method1685,buildSceneGeometry,"var_renderer: Renderer?, is: Array<Array<IntArray?>?>?, i: Int, collisionMaps: Array<CollisionMap?>?","renderer: Renderer?, heightMapOverride: Array<Array<IntArray?>?>?, decoy: Int, collisionMaps: Array<CollisionMap?>?",medium,"`decoy != 21407` triggers method1680/computeGroundColorsAndBakeTiles first (a real, not obviously dead, call - the decoy pattern here gates a genuine prerequisite step). For non-world-map mode, applies per-tile blocked/bridge flags from GraphicsOptionState.aByteArrayArrayArray6962 (bit 0x1 = flag present, bit 0x2 on plane 1 = 'is bridge, apply to plane-1 instead') onto `collisionMaps` via method3507. Then, per plane, builds render-ready terrain geometry via `renderer.method3648(width, height, heightMap, heightMapOverrideOrSelf, 512, flagsA, flagsB)` (flagsA/flagsB assembled from graphics-option statics like TextureGenerator.aBoolean2492/WorldMapLabel.aBoolean4972/DelegatingRenderCanvas.anInt3720/NanoTimer.aBoolean845) and stores the resulting geometry handle via TimedRecordAccessor.method3313(plane, handle) - the main public entry point that turns the decoded tile data into renderer-uploaded terrain geometry."
method1688,propagateHeightMapAllPlanes,"i: Int, i_310_: Int, i_311_: Int, i_312_: Int, i_313_: Int","x: Int, zStart: Int, zAdjust: Int, widthThreshold: Int, plane: Int",medium,"Only runs when `widthThreshold > 50`; loops every plane calling method1678/propagateHeightMapToPlane with rearranged args - a thin per-plane wrapper around the height-map propagation routine."
<init>,<init>,"i: Int, i_315_: Int, i_316_: Int, bool: Boolean, locDefinitionCache: LocDefinitionCache?, particleDefLoader: ParticleDefLoader?","planeCount: Int, width: Int, height: Int, isWorldMapMode: Boolean, locDefinitionCache: LocDefinitionCache?, particleDefLoader: ParticleDefLoader?",medium,"Field mapping inferred from pervasive loop-bound usage: `i_315_`->anInt3117 (used as the tile-grid width bound throughout), `i_316_`->anInt3114 (height bound), `i`->anInt3130 (used as the per-plane loop count, matching RS's typical 4-plane convention). `bool`->aBoolean3109 is used throughout the class to switch between a lightweight/no-collision-map bake path and the full in-game-scene path with live CollisionMap updates - consistent with distinguishing a 'world map overview' build from a 'live game scene' build, hence `isWorldMapMode`, though the exact semantic (true=map vs true=game) is inferred from usage direction (`!aBoolean3109` guards collision-map work) rather than directly confirmed. Allocates the various per-plane byte/int grids sized by (planeCount, width+1, height+1) or (planeCount, width, height)."
