current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,private val b: Int,private val size: Int,high,"Primary constructor stores the requested heap size and, in the init block, calls the private native allocateHeap(size) then sets the `a`/isAllocated flag to true."
allocateHeap,allocateHeap,arg0: Int,sizeBytes: Int,high,"Private native method invoked once from the init block; reserves `sizeBytes` of native heap memory and presumably assigns the `peer` native pointer field (a `val`, but JNI can still write to it directly via SetLongField, bypassing Kotlin's compile-time immutability). Name already idiomatic."
a,isAllocated,,,high,"@Synchronized; returns the internal `a` flag recording whether the native heap is currently allocated/active. Read by allocateBuffer (via check()) and used by the finalize/dispose guard."
a,allocateBuffer,"arg0: Int, arg1: Boolean","size: Int, dynamic: Boolean",medium,"Checks isAllocated(), then delegates to the private native allocateBuffer(size, dynamic) and wraps the returned integer buffer-handle plus `size` into a new NativeHeapBuffer(this, handle, size). The boolean's exact meaning is unconfirmed — possibly a usage hint like GL_STREAM_DRAW-vs-GL_STATIC_DRAW ('dynamic'/frequently-rewritten vs 'static') passed straight through to native code; call sites (ModelVertexColorBuffer.kt passes true for a per-frame rebuilt vertex buffer, GlBufferObject.kt/TerrainShadowBuilderGl3.kt pass false for longer-lived buffers) are consistent with that guess but not conclusive."
finalize,finalize,,,high,"@Synchronized @Throws(Throwable::class); calls dispose()/b() to release the native heap if still allocated. `super.finalize()` is commented out (dead code left by the decompiler)."
b,dispose,,,high,"@Synchronized; if isAllocated(), calls the native deallocateHeap(), then clears the `a`/isAllocated flag to false regardless. Called from finalize() and from NativeShaderProgram.method3440/NativeRenderer/etc. as the explicit heap-teardown entry point."
allocateBuffer,allocateBufferNative,"arg0: Int, arg1: Boolean","size: Int, dynamic: Boolean",medium,"@Synchronized private native method backing the public allocateBuffer(Int, Boolean) wrapper above; returns an opaque integer handle identifying the newly-allocated sub-buffer within this heap (later passed back into get/put/getBufferAddress/deallocateBuffer as `arg0`)."
get,readBytes,"arg0: Int, arg1: ByteArray?, arg2: Int, arg3: Int, arg4: Int","bufferId: Int, dest: ByteArray?, destOffset: Int, srcOffset: Int, length: Int",low,"@Synchronized private native method, declared but never called anywhere in this file or the rest of the repo (grep confirms no call sites) — dead/unused read counterpart of `put`, mirroring the same dead-getter pattern seen in NativeBuffer.kt/GeometryBuffer.kt/PixelBuffer.kt in this and earlier batches. Params inferred by symmetry with `put`."
put,put,"arg0: Int, arg1: ByteArray?, arg2: Int, arg3: Int, arg4: Int","bufferId: Int, data: ByteArray?, srcOffset: Int, bufferOffset: Int, length: Int",high,"@Synchronized native method; the actual bulk-copy implementation. Called from NativeHeapBuffer.a()/put() as `this.a.put(this.d, data, srcOffset, bufferOffset, length)` after that class's own bounds checks. Name already matches the `put` convention recommended for the Buffer interface's `a` method (see Buffer.csv) — this is direct corroborating evidence for using `put` rather than `write` as the codebase-wide convention for this operation."
deallocateHeap,deallocateHeap,,,high,"Private native method; releases the entire native heap. Called only from dispose()/b(). Name already idiomatic."
getBufferAddress,getBufferAddress,arg0: Int,bufferId: Int,high,"@Synchronized native method; returns the native memory address of the sub-buffer identified by `bufferId`. Called from NativeHeapBuffer.getAddress(). Name already idiomatic."
deallocateBuffer,deallocateBuffer,arg0: Int,bufferId: Int,high,"Native method; releases a single previously-allocated sub-buffer identified by `bufferId` without tearing down the whole heap. Called from NativeHeapBuffer.b()/dispose(). Name already idiomatic."
