current_name,recommended_name,current_params,recommended_params,confidence,notes
method2818,getNextSibling,(no params),(no params): AudioStreamNode?,medium-high,"Overrides abstract AudioStreamNode.method2818 (src/commonMain/kotlin/AudioStreamNode.kt). Just increments anInt8946 and returns null - this player is always a leaf with no 'next sibling' in the AudioStreamNode tree walked by MenuActionNode.method2814 (getChild/getNextSibling recursion confirmed there)."
method2840,stopSequence,"bool: Boolean, i: Byte","disposeAllNotesFirst: Boolean, decoyByte: Byte",medium-high,"Disposes the MidiTrackReader (method1487, frees its internal arrays), clears the cached currently-loaded MidiFileBuilder (aClass348_Sub2_8963 = null), and force-resets all MIDI controllers (method2851(true, disposeAllNotesFirst)). The trailing decoy branch `if (i >= -74) method2879(-43,88,-33)` calls the unrelated companion helper method2879 (a scene-collision-grid cell clearer, see notes on that method) - harmless grab-bag decoy, unrelated to audio."
method2841,setChannelBankIfBelowThreshold,"i: Int, i_2_: Int, i_3_: Int","value: Int, threshold: Int, channel: Int",medium,"If threshold < -34, forwards to method2854(channel, value, 98) to set the given channel's default bank+program id (see method2854). Only external call site (NpcCountAccessor.kt:19: `.method2841(i, -94, 128)`) always satisfies the threshold, so the guard is effectively always true there."
method2842,dispatchMidiEvent,"i: Int, i_4_: Int","decoy: Int, packedEvent: Int",high,"The core MIDI channel-voice-message dispatcher: unpacks a status|data1<<8|data2<<16-packed event int (matching the packing produced by MidiTrackReader.method1494/method1481) and routes by status nibble: 0x80 Note Off -> method2849, 0x90 Note On (velocity 0 treated as note-off) -> method2849/method2853, 0xA0 Poly Aftertouch -> method2863, 0xB0 Control Change -> a long if-chain updating per-channel controller state arrays (bank MSB/LSB=CC0/32 -> anIntArray8947, modulation=CC1/33 -> anIntArray8899, portamento-time=CC5/37 -> anIntArray8939, volume=CC7/39 -> anIntArray8953, pan=CC10/42 -> anIntArray8894, expression=CC11/43 -> anIntArray8896, two pedal-like bit flags at CC64/65 -> anIntArray8895 bits, NRPN/RPN select=CC98/99/100/101 and Data Entry=CC6/38 -> anIntArray8902/8904, custom controllers CC16/17/48/49/120/121/123 -> loop-mode / pitch-factor / all-sound-off / reset-all-controllers / all-notes-off), 0xC0 Program Change -> method2873, 0xD0 Channel Aftertouch -> method2859, 0xE0 Pitch Bend -> method2875, and meta end-marker 0xFF -> method2851(true,true) (full controller reset)."
method2843,setChannelVolume,"i: Int, i_26_: Int, i_27_: Int","value: Int, channel: Int, decoy: Int",high,"Sets anIntArray8925[channel]=value, or every channel 0-15 if channel<0. Confirmed via AbstractBloomEffect.kt and GlslEnvMaterialPass.kt, both calling `.method2843(BasicGlRenderPass.anIntArray7299!![i], i, -7836)` - i.e. seeding each channel's gain from a lookup table, with the always-matching decoy -7836 preventing the trailing self-recursive guard from firing. Consumed in method2868's final gain computation (`128 + anIntArray8925[channel] * gain shr 8`), alongside the separate master-volume field anInt8933 - this is a distinct 'per-channel mix level' control layered on top of standard MIDI CC7 volume (anIntArray8953)."
method2844,getMasterVolume,i: Byte,decoy: Byte,high,"Returns anInt8933 (the master volume, 0-256 range, set via method2861). Confirmed by GameDisplayManager.kt's fade-out/fade-in logic, which reads this, adjusts it by a step amount, and writes it back via method2861 while music is still playing (method2860)."
method2845,calculateVoicePlaybackRate,"i: Int, class348_sub43: SpriteDefinition?","decoy: Int, voice: SpriteDefinition?",medium,"Computes a sample playback rate for a synth voice: combines the note's base pitch offset (voice.anInt7080/anInt7072/anInt7089), a pitch-bend contribution scaled by anIntArray8937[channel] (current pitch bend, set by method2875) and anIntArray8902[channel] (pitch-bend range/sensitivity, set via RPN Data Entry), and an optional vibrato-like sine modulation driven by the voice's envelope data (aSkeletalAnimFrameData_7075), then converts the resulting cents-like value to an output sample rate via `sampleRate * 2^(x/3072)` scaled by HslColorConfig.anInt339 (a global tempo/sample-rate-related constant used the same way in method2852/method2868). Clamped to a minimum of 1."
method2846,loadAndStartSequence,"bool: Boolean, bool_34_: Boolean, class348_sub2: MidiFileBuilder?, bool_35_: Boolean","resetVoiceGroup: Boolean, disposeOldReader: Boolean, sequence: MidiFileBuilder?, loop: Boolean",medium-high,"Stops the current sequence (method2840), loads the new MidiFileBuilder's decoded SMF bytes into the MidiTrackReader (method1482), resets the playback clock (aLong8959=0) and loop flag (aBoolean8961=loop), primes each track's first event, finds the earliest next event across all tracks (method1490) and records its tick/microsecond position, and - only when resetVoiceGroup is true - clears the active SynthVoiceGroup reference. Called (wrapped) by method2869/method2870."
method2847,isVoiceFree,"i: Int, class348_sub43: SpriteDefinition?","decoy: Int, voice: SpriteDefinition?",high,"Returns true (and disposes/deregisters the voice from its per-note active-voice grid slot if it was in release phase, anInt7087>=0) when the voice has no attached SampledVoice (aClass348_Sub16_Sub5_7081 == null) - i.e. 'this voice slot is available for a new note'. Returns false while a SampledVoice is still attached (voice in use). Confirmed by SynthVoiceGroup.kt's `if (!....method2847(-107, class348_sub43)) { ...allocate/attach a SampledVoice... }` pattern."
method2848,calculateVoicePan,"class348_sub43: SpriteDefinition?, i: Byte","voice: SpriteDefinition?, decoyByte: Byte",medium,"Combines the channel's Pan controller value (anIntArray8894[channel], set by CC10/42 in method2842) with the voice's fixed per-sample pan byte from its SoundBankPatch definition (voice.anInt7074) into a single 0-16384-range pan value passed into SampledVoice.method2888 as the pan argument."
