current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,(none),(none),high,"Initializes ~20 sentinel fields to -1/0/default (anInt695, anInt726, anInt704, anInt756/spriteId, anInt699, anInt713, anInt779, anInt719, anInt760, anInt794, anInt824, anInt830, anInt834, anInt705, anInt812, anInt806, plus byte fields aByte778/aByte724/aByte817/aByte681 to 0), and seeds aClass348_Sub44_748/PackedFlagsAccessor from a shared default (CircleDrawer.aClass348_Sub44_2692) and anInt797 from InputStream_Sub1.anInt78 - i.e. this class is a plain field bag (the interface/widget component record - type, position, colour, text, sprite/model ids, ~20 CS2 clientscript trigger-argument arrays, child-override hashtable) with no logic of its own beyond field defaults, matching the classic RS 'Widget'/interface-component record shape."
method425,getOrBuildOutlineSprite,"var_renderer: Renderer, i: Byte","renderer: Renderer, unusedFlag: Byte",medium,"Builds and LRU-caches (keyed by anInt830) a trimmed Sprite outline: loads a SpriteImage for spriteId (anInt756), then for each row scans in from the left/right edges to find the first/last non-transparent pixel, recording a per-row (offset, width) pair, and hands those to renderer.method3661 to build a tight sprite mask - i.e. an auto-cropped/silhouette version of the sprite (plausibly used to draw a tight click-hitbox outline or highlight border around an irregularly-shaped icon)."
method426,getFont,"var_renderer: Renderer?, i: Byte","renderer: Renderer?, unusedFlag: Byte",high,"Fetches the RSFont for this component's fontId (anInt702) via GlTextureBase.method232 (the shared font-cache lookup used throughout the codebase), sets the global ContactList.aBoolean9616 'load failed' flag when the result is null (the same flag set/cleared by every model-building method in this class - buildContentModel/method430, getOrBuildSpriteIconRenderer/method443, getOrBuildMapPreviewRenderer/method444 - confirming it's a shared 'last widget resource load failed' signal). Decoy `if (unusedFlag.toInt() != 68) setOverrideInt(-71, -56, -125)`."
method428,getOverrideIntOrDefault,"i: Int, i_18_: Int, i_19_: Int","defaultValue: Int, key: Int, unusedFlag: Int",high,"Looks up an Int override for `key` in the per-component dynamic-override hashtable (aHashtable_711, lazily created by setOverrideInt/method436), returning `defaultValue` if the table or the entry is absent. Matches the classic RS interface pattern of a parent interface overriding a child component's default numeric property (e.g. text colour, position) by componentId without re-decoding the child. Decoy `if (unusedFlag >= -124) this.anInt700 = 46`."
method429,getOverrideStringOrDefault,"i: Int, string: String?, i_20_: Int","key: Int, defaultValue: String?, unusedFlag: Int",high,"String counterpart to getOverrideIntOrDefault/method428, backed by the same aHashtable_711 (StringCacheNode entries, set via setOverrideString/method439). Decoy `if (unusedFlag != -1) getFont(-123, null, null, -35, null)` (method437, result discarded - note this decoy call's own signature suggests the method-number renumbering here maps onto method437/syncModelRenderNode, not getFont; kept as the literal call target for traceability)."
method430,buildContentModel,"modelDefinitionLoader: ModelDefinitionLoader?, widgetCache: WidgetCache?, i: Int, var_renderer: Renderer?, i_21_: Int, i_22_: Int, modelHeaderCache: ModelHeaderCache?, varResolver: VarResolver?, i_23_: Int, compositeNpcModelBuilder: CompositeNpcModelBuilder?, widgetDefinition: WidgetDefinition?, npcDefinitionCache: NpcDefinitionCache?, bufferedMessageQueue: BufferedMessageQueue?, i_24_: Int","modelDefinitionLoader: ModelDefinitionLoader?, widgetCache: WidgetCache?, renderFlags: Int, renderer: Renderer?, arg1: Int, arg2: Int, modelHeaderCache: ModelHeaderCache?, varResolver: VarResolver?, arg3: Int, compositeNpcModelBuilder: CompositeNpcModelBuilder?, widgetDefinition: WidgetDefinition?, npcDefinitionCache: NpcDefinitionCache?, bufferedMessageQueue: BufferedMessageQueue?, highlightIndex: Int",high,"Dispatches on this.anInt770 (this component's model-content-source 'type') to build the AbstractModel shown by a type-5/'model' widget component: type 1 = an item/object model (anInt753/modelSourceId looked up via ParticleConfigParser.method2277 + cached by a packed Long key, with widgetDefinition.method263/computeModelPartRenderFlags and widgetDefinition.method269/buildCompositeModelWithHighlight applying recolor overrides - the classic 'inventory/equipment item icon 3D preview' path, cross-confirmed via WidgetDefinition.csv), type 2 = a sequence-driven model via bufferedMessageQueue.method2079(...).method803, type 3 = a composite NPC/player model via compositeNpcModelBuilder.method1230 (see CompositeNpcModelBuilder.csv), type 4 = a cached model-header group via modelHeaderCache.method1940(...).method1559, type 6 = another bufferedMessageQueue.method2079(...).method800 variant (matches the exact call shape seen in NpcType.kt/CompositeNpcModelBuilder.kt for composite equipment rendering), type 7 = compositeNpcModelBuilder.method1232. Sets the shared ContactList.aBoolean9616 'load failed' flag on any null result. RuntimeExceptions rewrapped via TextureLoadException with diagnostic 'at.G(...)', confirming pre-obfuscation class name 'at'."
method431,setIntListEntryAt,"i: Int, i_29_: Int, i_30_: Byte","index: Int, value: Int, unusedFlag: Byte",medium,"Lazily grows anIntArray706 (fill -1) to include `index`, then sets `value` at that slot. Decoy `if (unusedFlag > -18) this.anInt779 = 13`. Paired growth-then-set pattern mirrored by setActionOptionAt/method438 for the String-array equivalent (aStringArray833) - anIntArray706 is separately populated during decodeComponent/method433's tail (opcode-count-driven entries) suggesting a small sparse per-slot int list, exact semantic role (e.g. per-option target ids) not independently confirmed."
method432,readScriptTriggerArgs,"class348_sub49: ByteBuffer, i: Int","buffer: ByteBuffer, versionGate: Int",high,"Private. Returns null unless `versionGate == -1` (every real call site in decodeComponent/method433 passes the literal -1, so this always executes there); reads a count then that many typed values (opcode 0 = Int, opcode 1 = String) into an Any? array, and sets aBoolean682 = true once any entries are read. Called ~21 times in decodeComponent/method433 to populate this component's anObjectArray671/679/680/683/685/687/692/701/708/714/727/734/741/742/751/761/763/764/777/785/803/805/807/811/815/820/822/823/836/839/840 fields - matching the classic RS Widget's set of CS2 clientscript trigger-parameter arrays (onLoad/onClick/onMouseOver/onDrag/onVarTransmit/etc. hook argument lists), one array per trigger type."
method433,decodeComponent,"class348_sub49: ByteBuffer, bool: Boolean","buffer: ByteBuffer, isRootComponent: Boolean",medium,"The primary interface-component deserializer (~190 lines) - reads this component's type (anInt774, an IF-layer-type-style opcode), position/size, parent id (anInt834, packed against anInt830's high bits - the classic RS 'parentId high bits reused from own id' scheme), visibility/enabled flags (aBoolean776/aBoolean813), then type-specific config blocks gated on anInt774 (0=text-style config incl. anInt698/anInt791 text-related fields, 5=graphic/sprite config incl. tiling flags aBoolean697/aBoolean745 and spriteId anInt756, 6=model config incl. zoom/rotation anInt688/anInt799/anInt787 and an NPC-vs-plain-model flag aBoolean784, 4=another text/font-style config block, 3=rectangle/fill config, 9=a further small config block), an 11-slot varp/varbit-transmit binding table (anIntArray707/aByteArray746/aByteArray832 - matches the classic RS widget-to-game-variable binding table used to auto-refresh a component's displayed value), name/text/tooltip strings (aString752/aStringArray833[up to 15 action-menu option strings]/aString816/aString780), a packed-flags accessor (aClass348_Sub44_748 = PackedFlagsAccessor(layoutFlags, secondaryId)), and, only for the root component (isRootComponent i.e. the outer `i`-derived version gate >= 0), the per-child dynamic-override hashtable (aHashtable_711, Int and String override entries keyed by child componentId - consumed by getOverrideIntOrDefault/getOverrideStringOrDefault). Finally reads all ~21 CS2 script-trigger-argument arrays via readScriptTriggerArgs/method432 and 5 additional optional Int-array lists via readOptionalIntArray/method441 (anIntArray686/771/731/818/831). Given the sheer size and that this is the classic (well-understood-in-other-RS-deob-projects) Widget/interface-component decode routine, high-level structure is medium-high confidence but individual field roles within each type-specific config block were not exhaustively cross-checked against a reference implementation - kept medium confidence overall."
method434,clearScriptTriggerState,bool: Boolean,resetPosition: Boolean,high,"Nulls essentially all ~28 of this component's CS2 script-trigger-argument arrays (populated by readScriptTriggerArgs/method432 during decodeComponent) plus anIntArray686/818/831/771; when `resetPosition` is true, also resets anInt799 (a model zoom/rotation field written during type-6 decode) to 96. Reads as a 'wipe this component's client-script trigger state' teardown/reset, e.g. when an interface closes or a component is being recycled/replaced."
method435,notifyOverrideChanged,"i: Int, i_60_: Int","key: Int, unusedFlag: Int",low,"Looks up `key` in the per-component override hashtable (aHashtable_711, shared with getOverrideIntOrDefault/getOverrideStringOrDefault) and, if present, calls its method2715(63) - a callback/notify hook common to both IntKeyNode and StringCacheNode entry types. No call site was located in this pass to confirm the trigger/purpose of this notification; `unusedFlag` is entirely unused in the body."
method436,setOverrideInt,"i: Int, i_61_: Int, i_62_: Int","unusedFlag: Int, key: Int, value: Int",high,"Companion to getOverrideIntOrDefault/method428: lazily creates aHashtable_711 (capacity 16) if absent and inserts an IntKeyNode(value) for `key`; if the table already exists and `unusedFlag < -38`, either inserts a new IntKeyNode or updates an existing one's anInt6976 field in place. The asymmetric 'first insert is unconditional, later updates are gated by unusedFlag' shape suggests `unusedFlag` may carry real meaning at some call sites (unlike the more clear-cut single-value decoys elsewhere in this file) - not independently confirmed."
method437,syncModelRenderNode,"i: Int, abstractModel: AbstractModel?, var_renderer: Renderer?, i_63_: Int, abstractCameraTransform: AbstractCameraTransform?","unusedFlag: Int, model: AbstractModel?, renderer: Renderer?, cycle: Int, cameraTransform: AbstractCameraTransform?",high,"Applies the camera transform to `model` (model.method620) and extracts its face-priority/redraw-region data (method619/method604); obtains or reuses a pooled SceneGraphContainer (aClass318_Sub10_740, via SceneGraphContainer.method2526) when that data is present and the existing container is stale (aBoolean6470), then syncs it via method2536 - an exact structural match to SceneObjectAnimator.method1670/renderAnimatedModel's SceneGraphContainer usage pattern (see SceneObjectAnimator.csv), i.e. this is this component's equivalent 'prepare/sync the render node for the currently-built content model' step. Decoy `if (unusedFlag != -20154) setActionOptionAt(15, -50, null)` (method438). RuntimeExceptions rewrapped via TextureLoadException with diagnostic 'at.J(...)'."
method438,setActionOptionAt,"i: Int, i_64_: Int, string: String?","index: Int, unusedFlag: Int, text: String?",medium,"Lazily grows aStringArray833 (the right-click/context-menu action-option text list, also populated during decodeComponent/method433's opcode-count-driven read) to include `index`, then sets `text` there only when `unusedFlag > 77`. Companion growth-then-conditional-set pattern to setIntListEntryAt/method431."
method439,setOverrideString,"i: Int, i_66_: Int, string: String?","unusedFlag: Int, key: Int, value: String?",high,"Companion to getOverrideStringOrDefault/method429 and structurally identical to setOverrideInt/method436 but for the StringCacheNode-typed side of aHashtable_711. Additionally invalidates the cached spriteId (anInt756 = -106, a sentinel matching the '-1 unset / real ids are small positive' convention for that field) whenever `unusedFlag != 0`."
method441,readOptionalIntArray,"bool: Boolean, class348_sub49: ByteBuffer","skip: Boolean, buffer: ByteBuffer",high,"Private. Reads a count byte; returns null if `skip` is true or the count is 0, otherwise reads that many raw Ints and returns them. Used 5 times at the tail of decodeComponent/method433 to populate anIntArray686/771/731/818/831 - four gated by `!isRootComponent` and one always attempted, matching a 'read this list of ids only for non-root/child components in certain interface formats' pattern; the exact semantic role of each of the 5 lists (e.g. varp/varc/varbit transmit-target ids used to auto-refresh this component - a common RS interface feature) was not independently confirmed for each individual array."
method443,getOrBuildSpriteIconRenderer,"var_renderer: Renderer, i: Byte","renderer: Renderer, unusedFlag: Byte",medium,"Builds and LRU-caches (keyed by a packed Long combining anInt809/colour, aBoolean790, anInt672/scale, aBoolean745, anInt756/spriteId, aBoolean735) an AbstractModelRenderer wrapping a transformed SpriteImage: conditionally flips (method1514), mirrors (method1518), scales (method1513), and recolours (method1515/method1511) the loaded sprite before wrapping it via renderer.method3691. Sets the shared ContactList.aBoolean9616 'load failed' flag on a missing SpriteImage. Decoy `if (unusedFlag > -27) clearScriptTriggerState(true)` (method434, an oddly heavyweight decoy for an icon-builder, but matches the '-27 gate always true at real call sites' pattern seen elsewhere in this file)."
method444,getOrBuildMapPreviewRenderer,"bool: Boolean, spriteStore: SpriteStore?, mapSceneCache: MapSceneCache?","triggerDecoy: Boolean, spriteStore: SpriteStore?, mapSceneCache: MapSceneCache?",medium,"Builds and LRU-caches (keyed by a packed Long combining anInt693/anInt733/anInt674/anInt705) a ParticleSystemRenderer via mapSceneCache.method823, keyed off a region/coordinate-shaped id triple (anInt733/anInt693/anInt674) plus anInt705 (early-returns null when anInt705 == -1, i.e. 'not configured'). Reads as a small in-widget world-map/region preview renderer (e.g. a minimap thumbnail or points-of-interest icon shown inside an interface), given the MapSceneCache/SpriteStore dependency. Decoy `if (triggerDecoy != false) drawRotatedBorderSprite(122, -123, null, -111, 40, 28, -109, null, 76, 127, -66, 8, -45)` (method424, result discarded). RuntimeExceptions rewrapped via TextureLoadException with diagnostic 'at.N(...)'."
method424,drawRotatedBorderSprite,"i: Int, i_0_: Int, var_renderer: Renderer?, i_1_: Int, i_2_: Int, i_3_: Int, i_4_: Int, is: Array<Array<ByteArray?>?>?, i_5_: Int, i_6_: Int, i_7_: Int, i_8_: Int, i_9_: Int","x: Int, y: Int, renderer: Renderer?, unusedTag: Int, width: Int, height: Int, orientation: Int, spriteAtlas: Array<Array<ByteArray?>?>?, arg1: Int, arg2: Int, pieceType: Int, arg3: Int, arg4: Int",low,"Companion, @JvmStatic. SEMANTICALLY UNRELATED to widget component model/text handling (parked here by the decompiler, called only as a decoy from getOrBuildMapPreviewRenderer/method444). Only proceeds when `pieceType != unusedTag && height != 0`; remaps pieceType values 9/10/11 to a base type of 1/1/8 with an accompanying +/-1..3 mod-4 orientation rotation, then indexes `spriteAtlas[pieceType-1][orientation]` and draws it via renderer.Q(...) - reads as a generic '9-slice / rotatable window-border or corner-piece' drawing helper (matching classic RS interface border-sprite rendering), not independently confirmed against a live call site since its only reference in this file is dead."
method440,allocateSharedLookupArrays,"i: Int, i_67_: Byte","size: Int, tag: Byte",medium,"Companion. SEMANTICALLY UNRELATED to widget components - allocates BlankTextureNode.anIntArray9259 unconditionally, plus (only when `tag == -61`) ConnectionStateType.anIntArray1045, LinkedListIterator.anIntArray2117, CharCodeMap.anIntArray1127 and FileIoUtil.anIntArray4097, all sized `size` - a shared-buffer allocator for several entirely unrelated classes, another instance of this codebase's pervasive decompiler-merged-static pattern."
method442,clearIconShadingCache,i: Byte,tag: Byte,medium,"Companion, @JvmStatic. When `tag <= -8`, nulls aSingletonMarker_838 and aByteArray821 (the 32896-entry radial-falloff lookup table built in the static init block below) - a cache-clear/teardown hook for this class's own shared icon-shading table."
<init>,<init>,(none),(none),high,"Companion object init block. Builds aByteArray821, a 32896-entry (256*257/2, triangular/quarter-symmetric) radial intensity-falloff lookup table: for each (x,y) with y<=x in [0,255], stores `255/sqrt((x^2+y^2+65535)/65535)` as a byte - a classic radial vignette/circular-glow shading table (brightest at the center, falling off with distance), plausibly consumed by getOrBuildSpriteIconRenderer/method443's icon recolouring or a minimap-dot glow effect elsewhere. Also constructs the default aSingletonMarker_838."
