current_name,recommended_name,current_params,recommended_params,confidence,notes
method2787,decodeStreamHeader,is: ByteArray?,data: ByteArray?,high,"Private, called once from init. Reads sampleRate (anInt6702), total PCM sample/byte count (anInt6716, later used to size the output buffer in method2791), an unknown int (anInt6723, passed straight through into PcmSampleData), and channel count (anInt6717) - if the raw channel value is negative it's bit-inverted and a 'loop/extended' flag (aBoolean6728) is set, a common bitstream trick for packing a flag into a signed field. Then reads a packet-count int and, for each packet, a classic Ogg-style lacing-value run (successive unsigned bytes summed, continuing while a byte reads 255 - the standard Vorbis/Ogg 'segment length' varint scheme) to determine each raw Vorbis audio packet's length, slicing it out of the stream into aByteArrayArray6703. This is the custom container header (id/comment info + packet table) wrapping the embedded raw Vorbis packets, as loaded by method2793/method2795."
method2791,decodePcmSamples,is: IntArray?,sampleBudget: IntArray?,high,"Public. `sampleBudget` (a 1-element in/out array, `[0]` = remaining sample quota) allows the caller to decode incrementally across multiple calls; returns null immediately if the budget is already exhausted. On first call (aByteArray6731==null) allocates the float working buffer (aFloatArray6701) and the output PCM byte buffer (aByteArray6731, sized anInt6716 from method2787). Iterates remaining raw packets (anInt6732 index into aByteArrayArray6703), decoding each via method2794 into a float PCM block, converting each float sample from [-1,1] to unsigned 8-bit PCM (`128 + f*128`, clamped via the `(v and 0xff.inv())!=0 -> v.inv() shr 31` idiom - a branchless clamp-to-[0,255]) and appending into aByteArray6731, decrementing the caller's budget as it goes. Once all packets are consumed, wraps the finished PCM buffer plus header metadata into a PcmSampleData(sampleRate, pcmBytes, anInt6723, channels, isExtended) result."
method2794,decodeVorbisBlock,i: Int,packetIndex: Int,medium,"Private. This is the per-packet Vorbis I audio decode + inverse-MDCT synthesis routine (a faithful implementation of the public Vorbis I spec's block decode: floor curve decode via aVorbisFloorDecoderArray6715, residue/mapping decode via per-submap BinaryBitReader.method2688, butterfly/twiddle-factor inverse MDCT using the precomputed cos/sin tables from method2790, Vorbis window function application via the two nested sin()-based loops at the end, and overlap-add with the previous block's tail stored in aFloatArray6701/anInt6730/anInt6727). `bool` (derived from aBooleanArray6713[blockType], read per-packet) selects 'long' vs 'short' MDCT block size (anInt6721 vs anInt6725) per the spec's block-switching mechanism. Given the density and exact structural match to the well-known public Vorbis reference decoder algorithm, method-level naming confidence is medium-high but individual local variables were not exhaustively re-derived - flagged per PLAN.md's note that vendored/ported codec files get best-effort naming."
method2784,resetBitReader,"is: ByteArray?, i: Int","data: ByteArray?, bytePos: Int",high,"Private companion. Sets the shared bitstream-read cursor: aByteArray6714=data, anInt6729=bytePos (byte offset), anInt6711=0 (bit offset within the current byte) - initializes state consumed by method2788/method2789."
method2785,resetCodecState,(none),(none),high,"@JvmStatic. Nulls every companion-level Vorbis setup-header field (codebooks, floor/residue decoders, bit readers, comment headers, MDCT twiddle-factor tables, bit-reversal tables) - the standard full teardown/reset pattern, here specifically clearing the shared (singleton, non-per-instance) parsed setup header so it will be reloaded on next use."
method2786,unpackVorbisFloat32,i: Int,packed: Int,high,"@JvmStatic. Exact match to the public Vorbis I specification's `float32_unpack` algorithm: extracts a 21-bit mantissa (`packed and 0x1fffff`), a sign bit (`packed and 0x80000000.inv()`, i.e. bit 31), and a 10-bit exponent (`(packed and 0x7fe00000) shr 21`), negates the mantissa if the sign bit is set, and returns `mantissa * 2^(exponent-788)` - the codec's packed-float format used for floor-curve amplitude values, with 788 being the spec's documented exponent bias."
method2788,readBit,(none),(none),high,"@JvmStatic. Reads and returns a single bit (0 or 1) from the shared bitstream cursor (aByteArray6714/anInt6729/anInt6711), advancing the bit/byte position - the fundamental bitstream primitive underlying method2789."
method2789,readBits,i: Int,count: Int,high,"@JvmStatic. Reads `count` bits (up to spanning multiple bytes, LSB-first) from the shared bitstream cursor and returns them as an Int - the general multi-bit read primitive used throughout header parsing (method2790) and block decode (method2794)."
method2790,parseSetupHeaderAndInitTables,is: ByteArray?,data: ByteArray?,high,"Private companion. Parses the Vorbis 'setup header' packet: reads the two block sizes (anInt6725=short, anInt6721=long, both powers of two) and precomputes, for each of the two block sizes, the cos/sin twiddle-factor tables (aFloatArray6722/6720/6708/anIntArray6719 for short, aFloatArray6712/6726/6700/anIntArray6705 for long - matching the four twiddle/window tables and bit-reversal permutation table method2794's IMDCT step needs, per the public Vorbis reference decoder's `vorbis_mdct_init` outline: cos/-sin doubled table, cos/sin quarter-shifted table, cos/-sin table, and a bit-reversal index table via MapSceneCache.method818, a generic bit-reversal helper). Then reads codebook count and allocates VorbisCodebook placeholders (their actual per-codebook decode setup is apparently not implemented/read here beyond allocation - possibly stubbed or handled lazily elsewhere), skips a block of 16-bit values (time-domain transform count, unused in this simplified port), allocates floor decoders (aVorbisFloorDecoderArray6715), bit readers (aBinaryBitReaderArray6710, one per residue/mapping), comment/mode headers (aVorbisCommentHeaderArray6704), and finally reads the mode table (aBooleanArray6713 = per-mode blockflag, anIntArray6709 = per-mode mapping index) used by method2794 to pick short/long block type per packet."
method2792,ensureSetupHeaderLoaded,js5Archive: Js5Archive,archive: Js5Archive,high,"Private companion. Lazily loads and parses the (shared, singleton) Vorbis setup header from the JS5 cache entry `-1860` (a fixed archive/file id, consistent across method2793/method2795/VarbitDefLoader's use of the same -1860 constant elsewhere - likely a shared 'audio codec setup data' cache slot) via method2790, only once (guarded by aBoolean6724); returns false if the setup data couldn't be loaded."
