current_name,recommended_name,current_params,recommended_params,confidence,notes
method3588,isMiddleButtonDown,i: Int,guard: Int,high,"Overrides InputTracker.method3588. Returns (anInt7419 and 0x2) != 0 -- same 0x2=middle-button convention as MouseInputTracker. guard only used in a discarded expression `-59 % ((guard - -38) / 48)`."
method3598,enqueueMouseEvent,"i: Int, i_1_: Int, i_2_: Int, i_3_: Int, bool: Boolean","x: Int, type: Int, extra: Int, y: Int, guard: Boolean",high,"Private. Builds a TimedRecordAccessorA (x,y,type,timestamp=CommonClock.method599(-115), extra) and pushes it onto the pending deque aNodeDeque_7420. Call sites establish type codes: 0=left-down,1=middle-down,2=right-down,3=left-up,4=middle-up,5=right-up,6=wheel-scroll (where extra is the wheel rotation amount instead of click count), -1=move/enter/exit. Decoy calls mouseDragged(null) when guard==true; every call site passes false literally, so dead."
mouseReleased,mouseReleased,mouseevent: MouseEvent?,mouseevent: MouseEvent?,high,"Standard java.awt.event.MouseListener override -- keep the name. Decodes released button(s) via decodeButtonMask, falling back to the pending mask anInt7422 if nothing matches, enqueues up-events, clears the bit(s) from anInt7422."
method3594,getMouseY,i: Byte,guard: Byte,high,"Overrides InputTracker.method3594. Returns anInt7416 -- confirmed as the Y coordinate via method3589's buffer swap (anInt7416 <- anInt7421, itself set from the y-parameter in recordPendingPosition) and by cross-file usage always paired with getMouseX. Decoy calls enqueueMouseEvent(92,34,59,2,false) (a type=34 event, not one of the real button/move/wheel codes) unless guard>=69; no confirmed live caller passes a byte <69, so likely dead in the current call graph, but flagged since the guard's threshold direction is opposite to the sibling class's getMouseY."
method3599,recordPendingPosition,"i: Int, i_4_: Int, i_5_: Int","x: Int, guard: Int, y: Int",high,"Private. Only acts when guard==-1 (always true at every call site, which all pass the literal -1, so not a dead branch, just a fixed tag): stores anInt7421=y, anInt7423=x, and if aBoolean7424 (record-move-events flag) enqueues a type=-1 move event via enqueueMouseEvent(x,-1,0,y,false)."
method3590,isRightButtonDown,i: Byte,guard: Byte,high,"Overrides InputTracker.method3590. Returns (anInt7419 and 0x4) != 0. guard<=112 short-circuits to false; matches the identical pattern in MouseInputTracker."
mousePressed,mousePressed,mouseevent: MouseEvent,mouseevent: MouseEvent,high,"Standard java.awt.event.MouseListener override -- keep the name. Decodes the pressed button via decodeButtonMask and enqueues the matching down-event, then ORs the bit into the pending mask anInt7422."
method3597,getMouseX,bool: Boolean,guard: Boolean,high,"Overrides InputTracker.method3597. Returns anInt7417 -- confirmed as X via the buffer-swap chain (anInt7417 <- anInt7423 <- x parameter of recordPendingPosition). Decoy returns 27 unless guard==true; every known caller passes true, so dead."
method3600,decodeButtonMask,"mouseevent: MouseEvent?, i: Int","event: MouseEvent?, guard: Int",high,"Private. Maps AWT button codes to this tracker's internal codes: BUTTON1(1)->left unless meta-down(->4), BUTTON2(2)->2, BUTTON3(3)->4. guard is only used in a discarded expression `-27 % ((57 - guard) / 63)`."
mouseEntered,mouseEntered,mouseevent: MouseEvent,mouseevent: MouseEvent,high,"Standard java.awt.event.MouseListener override -- keep the name. Forwards (x,y) to recordPendingPosition with the fixed move-tag -1."
mouseClicked,mouseClicked,mouseevent: MouseEvent,mouseevent: MouseEvent,high,"Standard java.awt.event.MouseListener override -- keep the name. Only consumes popup-trigger events."
method3595,isLeftButtonDown,i: Int,guard: Int,high,"Overrides InputTracker.method3595. Returns (anInt7419 and 0x1) != 0. Decoy calls mouseMoved(null) unless guard<-67; the one abstract-interface call site passes -83<-67 so it is live, mirroring the same fragile-but-apparently-safe pattern noted in MouseInputTracker.isLeftButtonDown."
method3596,pollQueuedEvent,i: Int,guard: Int,medium,"Overrides InputTracker.method3596. Returns aNodeDeque_7418!!.method1997(8) cast to TimedRecordAccessor? -- note the index argument passed to method1997 is a hardcoded 8, ignoring guard entirely (unlike MouseInputTracker's equivalent which uses guard+8). Decoy calls mouseReleased(null) unless guard==0; both known callers pass 0, so dead."
mouseMoved,mouseMoved,mouseevent: MouseEvent?,mouseevent: MouseEvent?,high,"Standard java.awt.event.MouseMotionListener override -- keep the name. Forwards (x,y) to recordPendingPosition with the fixed move-tag -1."
method3601,resetTrackerState,i: Int,guard: Int,medium,"Private. Removes this listener from the tracked Component (mouse/motion/wheel) if set, nulls the component and both deques, and zeroes the current+pending position/button fields. guard only used in a discarded expression `11 % ((guard - -21) / 55)`."
method3589,updateMouseState,i: Int,guard: Int,high,"Overrides InputTracker.method3589. Copies pending position/button state into the current fields (anInt7416/7417/7419 <- anInt7421/7423/7422). When guard==0 (the only value ever passed), also swaps the double-buffered event deques (aNodeDeque_7418 <-> aNodeDeque_7420) and discards old queued entries via method1996(127)."
mouseWheelMoved,mouseWheelMoved,mousewheelevent: MouseWheelEvent,mousewheelevent: MouseWheelEvent,high,"Standard java.awt.event.MouseWheelListener override -- keep the name. Enqueues a type=6 event carrying the wheel rotation amount as the 'extra' field, then consumes the event."
mouseExited,mouseExited,mouseevent: MouseEvent,mouseevent: MouseEvent,high,"Standard java.awt.event.MouseListener override -- keep the name. Forwards (x,y) to recordPendingPosition with the fixed move-tag -1."
mouseDragged,mouseDragged,mouseevent: MouseEvent?,mouseevent: MouseEvent?,high,"Standard java.awt.event.MouseMotionListener override -- keep the name. Forwards (x,y) to recordPendingPosition with the fixed move-tag -1."
method3592,dispose,i: Int,guard: Int,medium,"Overrides InputTracker.method3592. Calls resetTrackerState(46) only when guard==0."
method3602,attachToComponent,"i: Int, component: Component?","guard: Int, component: Component?",medium,"Private. Calls resetTrackerState(guard xor 0x6e) first, then stores the component and registers this instance as mouse/motion/wheel listener. Decoy nulls the just-assigned component unless guard==0; the constructor's only call site passes 0, so dead."
