"OriginalName","SuggestedName","Rationale","Notes"
"Applet_Sub1","GameAppletFrame","Panel subclass implementing GameApplet/Runnable/FocusListener/WindowListener; AWT game container","Superclass Panel; impl GameApplet,Runnable,FocusListener,WindowListener; uses URL/showDocument"
"Callback_Sub1","NativeCursorCallback","Extends com.ms.dll.Callback; uses User32 SetCursor/SetWindowLong on HWND","Superclass Callback; Win32 native cursor/window subclassing via reflection peer HWND"
"Canvas_Sub1","DelegatingRenderCanvas","Extends AWT Canvas, delegates paint/update to wrapped Component","Superclass Canvas; companion static method119 (camera/player offset) is unrelated"
"Class1","DirectSoundAudioChannel","Implements Interface20; DirectSoundBuffer/DirectSound/WaveFormatEx fields play audio","Impl Interface20; com.ms.directX sound playback engine"
"Class10","ParticleEmitterNode","Holds Class318_Sub1 and several scene-graph node refs, type byte 2/3","No superclass; companion has unrelated offset/string static data"
"Class100","MinimapRenderer","Holds Class286_Sub1 and Class286 array, ha_Sub2 graphics; draws map tiles","ha_Sub2 graphics context; companion has unrelated Class78 array statics"
"Class101","AbstractCameraTransform","Abstract; matrix/transform methods plus subclass switching","Abstract base for Class101_Sub1/2/3; companion has scene-region static logic"
"Class101_Sub1","MatrixCameraTransform","Class101 subclass; 12 float fields, trig matrix math via sin/cos tables","Extends Class101; float rotation/translation matrix variant"
"Class101_Sub2","FloatCameraTransform","Class101 subclass; 12 float fields, matrix transform with float arrays","Extends Class101; float-matrix transform variant"
"Class101_Sub3","ProjectionCameraTransform","Class101 subclass; floats, projection/clip math (point projection)","Extends Class101; projection/intersection transform variant"
"Class102","VertexNormal","Six Short fields plus int/byte; compact 3D vertex/normal record","No superclass/interface; plain data holder"
"Class103","MinimapDrawController","Object; holds Class345, binary-search over Class110_Sub1 array","Singleton object; map/menu element search and draw"
"Class104","SoftwareSpriteRaster","ha_Sub2/s_Sub2, byte pixel array, Class232 tile grid, software blit","Software rasterizer; uses r_Sub2 raster, OpenGL imports for matrix setup"
"Class105","AbstractModelRenderer","Implements Interface3; abstract render methods, dimension getters, trig billboard math","Impl Interface3; base for Class105_Sub1/2/3 model/sprite renderers"
"Class105_Sub1","AnimatedModelRenderer","Class105 subclass; ha_Sub3 + Interface18_Impl3, dimensions, render via transform","Extends Class105; hardware model render variant"
"Class105_Sub2","GlSpriteRenderer","Class105 subclass; ha_Sub2 + Class258_Sub3_Sub1 texture, OpenGL glVertex/glTexCoord","Extends Class105; OpenGL textured sprite renderer"
"Class105_Sub3","SoftwareModelRenderer","Class105 abstract subclass; ha_Sub1, width/height ints, pixel int array","Extends Class105; abstract base for Sub3_Sub1/2/3 software raster renderers"
"Class105_Sub3_Sub1","SoftwareRgbSpriteRenderer","Class105_Sub3 subclass; large IntArray pixel buffer, full scanline raster impls","Extends Class105_Sub3; ARGB software sprite raster variant"
"Class105_Sub3_Sub2","SoftwarePalettedSpriteRenderer","Class105_Sub3 subclass; ByteArray indices + IntArray palette raster","Extends Class105_Sub3; indexed/paletted software raster variant"
"Class105_Sub3_Sub3","SoftwareAlphaSpriteRenderer","Class105_Sub3 subclass; IntArray buffer, alpha-blended scanline raster impls","Extends Class105_Sub3; alpha-blend software raster variant"
"Class106","DualMaterialContainer","Holds Class339 plus two Class45 references in constructor","No superclass; pairs two Class45 (texture/material) objects"
"Class107","LinkedNodeListIterator","Holds Class348_Sub42 sentinel + cursor; traverses circular linked list","No superclass; linked-list head/iterator over Class348_Sub42 nodes"
"Class108","GroundItemRenderState","Object; Class364/Class304/Class105 fields drive item render state","Singleton object; holds renderer Class105 and counters"
"Class109","ShadowProjector","ha_Sub1 + Class167, depth/float arrays from ha_Sub1, 4096 int buffer","No superclass; shadow/depth projection using ha_Sub1 graphics state"
"Class11","SceneRegionState","Object; ints plus Class231 reference","Singleton object; small scene/region counter holder"
"Class110","AbstractMenuEntry","Abstract; int flag field with bit-flag accessors","Abstract base for Class110_Sub1; companion loads Class348_Sub48 plugin/class data (unrelated)"
"Class110_Sub1","MapLabelMenuEntry","Class110 subclass; int+two String fields, returns Class283 by index","Extends Class110; companion has URL-decode static (unrelated)"
"Class111","CollisionMapRegion","Class230/Class45, IntArrayArray + BooleanArray flag grids, returns Class287","No superclass; collision/pathing flag grid per region"
"Class112","ScriptCompilerThread","Implements Runnable; Thread field, Class107 list, builds Class348_Sub42_Sub16_Sub2","Impl Runnable; background compile/load worker thread"
"Class113","CameraNodeList","toString throws; companion holds Class105 array, Class45, ints","No superclass; instance trivial - name from Class105Array static scene refs"
"Class114","IntRange","Two int fields with accessor and toString","No superclass; min/max or value pair holder"
"Class115","OverlayColorTable","Object; boolean grids, Class348_Sub1/Class318_Sub1 arrays, RGB color array","Singleton object; overlay/minimap color and flag tables"
"Class116","InputSettingsState","Object; shiftClick boolean, String, Class114, IOException import","Singleton object; input/config state flags"
"Class117","CacheArchiveIndex","Class356 cache maps, reads via Class348_Sub49, returns Class348_Sub35/46/50","No superclass; indexed cache record store/loader"
"Class118","MapSceneTileDefinition","Twelve int/short/byte/boolean fields from constructor; tile/decor definition","No superclass; large coordinate/dimension data record"
"Class119","NativeBufferWrapper","Open class; jaclib Buffer + ha_Sub2 native heap allocation","Open base for Class119_Sub1/Sub2; wraps native memory Buffer"
"Class119_Sub1","NativeIndexBuffer","Class119 subclass impl Interface2; read/write index data methods","Extends Class119, impl Interface2; native index buffer variant"
"Class119_Sub2","NativeVertexBuffer","Class119 subclass impl Interface8; native buffer read/write methods","Extends Class119, impl Interface8; native vertex buffer variant"
"Class12","NpcAppearanceFlags","Many byte/boolean/short/int fields; entity/appearance bitfield record","No superclass; large flags data holder"
"Class120","ConfigValueProvider","Implements Interface12; single int, returns Class223 via method51","Impl Interface12; wraps int into Class223 provider"
"Class121","MinimapFlagRenderer","Object; Class105 renderer field, ha drawing, screen coords","Singleton object; renders minimap markers/flags via Class105"
"Class122","ObjectSpawnDecoder","Instance methods build map objects (method1085) from region byte arrays; aStringArray1808, aBooleanArray1806","object/singleton; no super/interface; static counters likely unrelated"
"Class123","HoverActionEntry","Instance holds Interface2, short id, two bytes (coord/action descriptors)","class; no super; companion Class25/Class45 holders unrelated"
"Class124","ModelDefinition","Instance has vertex/face int/short arrays, Class129/342/162 arrays, decoders; merge ctor","class; no super; static method1108 (canvas resize) unrelated"
"Class125","MinimapSpriteRenderer","Instance Class221/Class341 anchors plus positional ints; implements Interface12 (method51)","class : Interface12; companion sprite/cache static unrelated"
"Class126","Crc64Hashable","Instance fields hashed via CRC64 (method52) and equality (method53); implements Interface14","class : Interface14; companion Class267 array static unrelated"
"Class127","WidgetComponentNode","Instance holds Class105/Class288/Class45; lifecycle method7/8/9; implements Interface1","open class : Interface1; subclassed by Class127_Sub1"
"Class127_Sub1","ScrollingWidgetComponentNode","Overrides method9 to offset/animate via anInt8383 and Class288_Sub1.anInt8577","class : Class127; scroll/animation variant; static varplayer logic unrelated"
"Class128","MinimapStateReset","object resets minimap/region statics (method1122); aClass114 holder","object/singleton; no instance state of note"
"Class129","ModelFacePriorityNode","Instance face/vertex ints, self-link aClass129_1888, byte; method1124 clones, method1125 returns Class181","class; no super; companion power-of-two anIntArray1885 init"
"Class13","MinimapRectClipper","object: clip rects vs Class314_Sub1 array, anIntArray224 buffer (npc ids); method226 fills bool array","object/singleton; no super"
"Class130","ModelBatchBase","abstract class; companion Class60/Class356 caches, method1128 maps Class68 to GL enum","abstract class; concrete subclass Class130_Sub1; only companion members (no instance fields)"
"Class130_Sub1","FrameStatsReset","Instance aClass58Array5801: Array<Class58>; companion method1135 zeros hundreds of static counters","class : Class130; variant of Class130; static reset routine dominates"
"Class131","ParserSpecialCharsHolder","object: aCharArray1903 = ['[',']','#'], Class351 holder","object/singleton; no super"
"Class132","LocalPlayerState","object: aPlayer_1907 (local player), login state ints, method1138 sets login names","object/singleton; no super"
"Class133","PlayerUpdateDecoder","object: method1141 decodes player update masks into Player; aByteArrayArray1918 appearance cache","object/singleton; method1142 heap-dump static unrelated"
"Class134","DirectDrawDisplayMode","Instance aDirectDraw4607 (DirectDraw); enumerates/sets display modes; implements IEnumModesCallback","class : IEnumModesCallback; native DirectX fullscreen control"
"Class135","GlVertexBufferBase","abstract; instance ha_Sub2, GL buffer id anInt1929, method1150 uploads via glBufferData; abstract method1152","abstract class; no interface; subclasses Class135_Sub1/Sub2"
"Class135_Sub1","GlArrayBufferObject","Instance anInt4708 stride; super(...,34962,...) GL_ARRAY_BUFFER; implements Interface2","class : Class135, Interface2; binds GL_ARRAY_BUFFER; static method1153 UI-draw unrelated"
"Class135_Sub2","GlElementArrayBuffer","Instance anInt4837; super(...,34963,...) GL_ELEMENT_ARRAY_BUFFER; implements Interface8","class : Class135, Interface8; index buffer; static base64/array fill helpers unrelated"
"Class136","SpriteLoadValidator","Instance aString4788/aClass45_4789; method31/32 validate archive via Class45; implements Interface7","class : Interface7; companion sprite static unrelated"
"Class137","IndexedFileCache","Instance two Class78 files, block size; method1160-1162 read/write 520-byte blocks; toString 'Cache:'","class; no super; data-file store"
"Class138","RectangleRegion","Instance four ints (x,y,w,h-like); toString throws","class; no super; companion Class46/Class348_Sub42_Sub12 holders unrelated"
"Class139","NpcSummaryDefinition","Instance byte/short arrays (model/colour data); companion method1165 decodes NPC region updates","class; no super; static npc-update decode differs from instance data holder"
"Class14","GlTextureBase","abstract; instance Class377/Class304/Class68 GL state, texture id; method228 maps formats; implements Interface18","abstract class : Interface18; subclasses Class14_Sub1..4"
"Class140","ScreenBorderFiller","object: method1170 fills black screen borders via AWT Graphics; Class114/Class351 holders","object/singleton; no super"
"Class141","TextureDefinitionLoader","Instance Class45 archive + Class60 cache; method1173 loads Class218 by id; type 34","class; no super; companion particle/Class26 statics unrelated"
"Class142","D3dIndexBuffer","Instance IDirect3DIndexBuffer + Class378/Class68; method22-24 lock/unlock/resize; implements Interface5_Impl2","class : Interface5_Impl2; Direct3D index buffer wrapper"
"Class143","FontDefinition","Instance glyph width aByteArray1986, kerning aByteArrayArray1979, ascent/descent; method1186 measures text","class; no super; font metrics/wrapping"
"Class144","LinkedQueueNode","Instance self-link aClass144_1995, two volatile Any payloads + ints; generic async node","class; no super; thread-safe linked node"
"Class145","TerrainTileData","Instance int/short arrays + short/byte (overlay/underlay heights, colours)","class; no super; plain data holder"
"Class146","HitsplatDefinition","Instance anInt2019/2016/2020; method1192 decodes config opcode 1","class; no super; companion Class45/long-array statics unrelated"
"Class147","HintArrowOrMessage","Instance many strings + ints (titles/messages, coords); method1196 re-inits","class; no super; companion Class357/Class338 arrays unrelated"
"Class148","WidgetNodeLink","Instance self-link aClass148_2038 + Class318_Sub1_Sub3; method1199 recycles to Class16 pool","class; no super; pooled linked-list node"
"Class149","OrientationRotator","object: method1201 rotates coords by 0-3 quadrant; Class223 holder","object/singleton; no super"
