current_name,recommended_name,current_params,recommended_params,confidence,notes
method1720,getValue,i: Int,sentinel: Int,high,"Returns this.anInt3138 (the option's current int/boolean value, 0 or 1) after incrementing companion counter anInt5843. The `i` param is a decoy/opaque-predicate: real call sites always pass -32350 (ChatCommandProcessor.kt:1756, FireParticleStream.kt:140/166, and DisplaySettingsConfig.kt:278 via `i xor 0x7e45.inv()` which evaluates back to -32350), matching sibling classes' getters (BinaryGraphicsOptionState.method1768, BrightnessOptionState.method1743) which all use the identical -32350 sentinel convention for a public getValue(). When i != -32350 it calls method1714(82,-89) whose result is discarded - a dead branch never triggered by real callers."
method1716,normalizeValue,bool: Boolean,unused: Boolean,medium,"Overrides GraphicsOptionState.method1716; clamps this.anInt3138 back into the valid domain {0,1} for this boolean option by calling method1710(20014) (getDefaultValue) whenever the stored value is out of range. The only confirmed real call site is DisplaySettingsConfig.method3426 (line 258), which uses reflection to find every GraphicsOptionState-typed field on the config object and calls `graphicsOptionState.method1716(false)` on each - i.e. a 'revalidate/normalize all options' pass run after settings load or any option write (invoked as part of method3429's set-value-then-revalidate-all flow). The `bool` param only affects a companion counter (anInt5846++) when false and has no effect on the clamping logic - effectively a decoy at the one real call site (always literal false)."
<init>,<init>,class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Secondary constructor delegating to GraphicsOptionState(config), which internally sets anInt3138 = method1710(20014), i.e. initializes the option to its type-specific default value. Used at DisplaySettingsConfig.kt:140 when constructing a fresh/default settings object (`BooleanGraphicsOptionState(this)`)."
method1714,getSupportedLevel,"i: Int, i_8_: Int","requiredTier: Int, candidateValue: Int",medium,"Overrides abstract GraphicsOptionState.method1714. GraphicsOptionState.method1718 calls the equivalent method as `method1714(3, i)` (requiredTier always literal 3) before applying a new value via method1712; ChatCommandProcessor's clientscript opcode dispatcher (opcodes 7301-7314) similarly calls this method on ~15 sibling *OptionState classes as `.method1714(3, poppedStackValue)`, confirming requiredTier is always 3 in practice. For this boolean option the implementation ignores candidateValue entirely and always returns 1 ('supported'), since a boolean toggle has no hardware-dependent restriction - contrast with BrightnessOptionState's override of the same method, which does real GPU-benchmark gating and can return 3 ('unsupported'). `if (i != 3) anInt5850 = 94` is a dead opaque-predicate branch given real call sites always pass 3."
method1712,setValue,"i: Int, i_9_: Int","unused: Int, value: Int",high,"Overrides abstract GraphicsOptionState.method1712; sets this.anInt3138 = i_9_ (second parameter). Confirmed by GraphicsOptionState.method1718's call `method1712(124, i)` where the second arg is the real candidate value and the first is a decoy constant. `val i_10_ = -57 / ((82 - i) / 35)` computes and discards a value - pure filler referencing the decoy first parameter."
<init>,<init>,"i: Int, class348_sub51: DisplaySettingsConfig","initialValue: Int, config: DisplaySettingsConfig",high,"Secondary constructor delegating to GraphicsOptionState(i, config), which sets anInt3138 = i directly (bypassing the default-value lookup). Used at DisplaySettingsConfig.kt:69/190 when deserializing a saved settings file: `BooleanGraphicsOptionState(class348_sub49.readUnsignedByte(255), this)`."
method1710,getDefaultValue,i: Int,sentinel: Int,high,"Overrides abstract GraphicsOptionState.method1710; returns the hardcoded default value 1 for this boolean option. Called by the base GraphicsOptionState constructor and by method1716 as `method1710(20014)` - 20014 is the consistent sentinel used across every *OptionState subclass in the repo for this 'get default' call (confirmed via repo-wide grep across ~25 subclasses, e.g. BinaryGraphicsOptionState, BrightnessOptionState, AntialiasOptionState, all using the identical `method1710(20014)` call pattern). `if (i != 20014) anInt5850 = -72` is a dead opaque-predicate branch."
method1719,searchDefinitionsByName,"bool: Boolean, string: String?, string_0_: String?, i: Int, i_1_: Int","matchExact: Boolean, searchTerm: String?, compareValue: String?, categoryId: Int, unused: Int",low,"Thin try/catch wrapper around ScriptOpcodeHolder.method1356(true, string_0_, i_1_, i, bool, string, true), forwarding these params into that method's differently-ordered signature (bool -> a 'membersOnly'-ish filter flag, string -> the lowercased search term, string_0_ -> a value used for an exact-name comparison, i -> an EmoteDefCache category id, i_1_ is not visibly used by the shown logic path). method1356 scans ClientException.aModelHeaderCache_112 (an object/npc definition cache) by name substring match, collecting up to 250 results into a ScriptOpcodeHolder-owned short array, and sets SceneObjectSpawner.anInt1285 = -1 on overflow. Only real call site is ChatCommandProcessor.kt:5003 (clientscript opcode 4215), which pops these 5 stack values and pushes SceneObjectSpawner.anInt1285 as the opcode result - consistent with a debug/admin '::search'-style clientscript command. On RuntimeException it rethrows via TextureLoadException.method2929 tagged 'aj.G(...)' (an artifact of the original obfuscated class name, not otherwise meaningful). Exact semantics of each forwarded parameter are not fully confirmed; name is best-effort given the visible search/filter logic in method1356."
method1721,lookupAndMessagePlayerByName,"string: String?, i: Byte","playerName: String?, unused: Byte",low,"Only real call site is ChatCommandProcessor.kt:3873 (opcode 3113): `BooleanGraphicsOptionState.method1721(poppedString, (-70).toByte())`. Gated behind RenderNodeStatics.aBoolean9722 and WidgetTextConfig.anInt500 bit-flag checks (0x18, 0x10, 0x8); scans local players via ScrollTexMaterialPass.anIntArray6290 indices into LoadingBarRenderer.aPlayerArray5058, case-insensitively matching aString10544 (player display name) against the given string, subject to a visibility rule (either it is the local player and bit 0x10 is set, or bit 0x8 is set for any other player). On match it builds and sends an outbound packet (opcode via NativeLibraryState.anInt169, plus the target's index, an id from HeightMapNoise.anInt3829, and OrientationRotator.anInt2046) through InterfaceComponentGroup.method3243(116, ...), and separately calls PixelBlender.method2252 with the player's equipment/appearance int arrays - overall the pattern strongly resembles a right-click player lookup/report-style action that also emits a local chat message via method544 ('<name> not found'-style) when no match is found. The `i: Byte` param is unused entirely inside the method body. Exact real-world feature (friends list? report abuse? trade request?) could not be pinned down with certainty from this file alone."
method1722,hasHighBitFlag,"i: Int, i_5_: Int, i_6_: Byte","flags: Int, unused: Int, unusedByte: Byte",medium,"Body is simply `(0x10000 and i) != 0` - tests bit 16 of the flags int. The second parameter i_5_ is entirely unused in the method body; i_6_ is only used in a discarded expression `92 % ((i_6_ - 48) / 32)`. Called from BoundsConstraintEntry.kt and OutgoingPacketNode.kt as one term OR'd together with method1241(...) and (in OutgoingPacketNode) an inline `(0x2000 and i) != 0` check, suggesting this is one of several bit-flag predicates combined to test whether a scenery/object config int has any of several 'special' property flags set (exact meaning of bit 0x10000 not determinable from this file). Housed on BooleanGraphicsOptionState only because obfuscation scattered unrelated static helpers across arbitrary classes - unrelated to graphics options."
method1723,clearCache,i: Byte,unused: Byte,high,"Sets `aShortArrayArray5847 = null` (releasing whatever cached data that field held). Real call site is Client.kt:822, part of a long sequential list of per-class cache/state reset calls (`method1723(119.toByte())`, immediately alongside BrightnessOptionState's analogous `method1746(-15628)`, `FogOptionState.method1807(...)`, etc.) executed together - almost certainly part of a logout/disconnect cleanup routine that walks every relevant class and clears its statics. `if (i.toInt() != 119) anInt5850 = -51` is a dead opaque-predicate branch since the real call always passes 119."
