current_name,recommended_name,current_params,recommended_params,confidence,notes
method21,dispose,i: Int,unused: Int,high,"Overrides VertexBufferResource.method21 (via GlBufferObject's open method21). Calls `super.method21` (GlBufferObject's actual GL buffer-object deletion/state reset) then bumps a call counter. Straightforward delegation."
method18,unmapAndValidate,i: Int,unused: Int,medium,"Overrides VertexBufferResource.method18. Delegates to `super.method2123(mapBuffer, unused xor 0x18bb)` (GlBufferObject's map-state consistency check, comparing the buffer's current map-mode against an expected mode and re-syncing via `mapbuffer.b()`/glBufferSubDataARBa if stale). Used across many callers as a post-write 'is the upload actually flushed/valid' check, often as a loop-break condition (`if (buffer.method18(6331)) break`). Every observed call site (Direct3dModel.kt, GlFontTextured.kt, GroundDecorRenderer.kt, NativeRenderer.kt, etc.) passes the literal 6331, so `unused` is effectively a fixed constant everywhere it's used, though it does feed the real xor into the delegated call."
method2130,getElementSizeBytes,i: Int,unused: Int,medium,"Returns the per-vertex element size recorded in `aByte8491` (set by method17/uploadData and method20/allocate) when `unused == 3545`, else returns -18. Sole call site (GlRenderDevice.kt: `class285_sub1.method2130(3545)`) always passes 3545, so the -18 fallback branch is a confirmed dead decoy."
method19,mapForWrite,"bool: Boolean, i: Int","discard: Boolean, unused: Int",medium,"Overrides VertexBufferResource.method19. Delegates to `super.method2120(0, mapBuffer, discard)` (GlBufferObject's buffer-mapping logic, returning a native Buffer to write vertex data into, either a shared scratch NativeHeapBuffer or a real GL-mapped buffer). The `unused` Int param only feeds `if (i != 26775) aByte8491 = 7.toByte()`; every call site found via grep (Direct3dModel.kt, GlFontTextured.kt, GroundDecorRenderer.kt, NativeRenderer.kt) passes the literal 26775, confirming this branch is a dead decoy."
method16,getSizeBytes,bool: Boolean,refresh: Boolean,medium,"Overrides SizedResource.method16 (via GlBufferObject). Optionally triggers method18/unmapAndValidate(-20) first when `refresh` is true, then returns `super.method16(refresh)` (GlBufferObject's tracked byte size, `anInt4747`)."
method17,uploadData,"source: Source, i: Int, i_6_: Int, i_7_: Byte","source: Source, unused: Int, size: Int, unused2: Byte",medium,"Overrides VertexBufferResource.method17. Records `unused` (cast to Byte) into `aByte8491` (the element-size marker also read by method2130/getElementSizeBytes), then delegates to `super.method2121(25625, source, size)` (GlBufferObject's raw native-buffer upload via glBufferDataARBa/glBufferSubDataARBa). `unused2`'s only effect (`if (unused2 >= -15) aByte8491 = 62.toByte()`) overwrites the just-set element-size marker with a fixed value 62 - no call sites found via grep of `.method17(` targeting this specific override in this pass, so that branch's live/dead status vs. the first assignment is unconfirmed."
method20,allocate,"i: Int, i_8_: Byte, i_9_: Int","sizeBytes: Int, unused: Byte, elementSize: Int",medium,"Overrides VertexBufferResource.method20. Records `elementSize` into `aByte8491`, delegates to `super.method23(15959, sizeBytes)` (GlBufferObject's ensure-capacity/resize, `15959` being a fixed decoy sentinel matched against inside the base method), then conditionally calls method18/unmapAndValidate(-86) when `unused <= 122`. Called before mapForWrite in the typical usage sequence seen at call sites like `interfaceX.method20(12 * count, 125.toByte(), 12)` (NativeRenderer.kt, Direct3dModel.kt, GroundDecorRenderer.kt) - i.e. 'reserve room for `count` elements of `elementSize` bytes each'."
method2127,sanitizeAccountName,"i: Int, string: String?","unused: Int, name: String?",medium,"Companion, SEMANTICALLY UNRELATED to vertex buffers - trims characters classified by SpriteArchiveLoader.method311 (likely a 'is control/whitespace char' check) from both ends of `name`, then keeps only characters accepted by TypedRecordTable.method2184's lookup table, rejecting the whole string if the trimmed length is outside 1..12. That length ceiling matches RuneScape's 12-character account-name limit, strongly suggesting this is a display-name sanitizer/normalizer used for friend-list/ignore-list comparisons (see GlWaterRenderPass.method3538 in this same batch, which calls this exact method twice to compare two names for equality after stripping a leading '*'). The leading `unused` Int param only gates a fast-path `if (unused != 2) return null`; sole external call site found (GlWaterRenderPass.method3538) always passes 2 - confirmed decoy at that call site."
method2128,decodeWorldMapPolygonIconLabel,"i: Int, class348_sub49: ByteBuffer","unused: Int, buffer: ByteBuffer",medium,"Companion. Decodes a `WorldMapPolygonIconLabel` from `buffer` by first reading a shared header via StringValueNode.method3322, then a trailing short field, and constructing the label from the header's ~15 fields plus the short. No call sites found via grep of `.method2128(` in this pass, so usage context (which world-map icon type this represents) is inferred purely from field names."
method2129,resetCameraTransform,i: Byte,unused: Byte,low,"Companion, SEMANTICALLY UNRELATED to vertex buffers - calls `CameraRotationStub.aRenderer326!!.method3638(RenderNodeStatics.aAbstractCameraTransform_9720)` then an unidentified `DA(...)` call with several unrelated statics as args. All 3 call sites (IndexedSprite.kt, SceneryDetailOptionState.kt x2) invoke it unconditionally, guarded only by `if (GrayscaleNoiseTexture.aBoolean5300)` at the call site, with the Byte param varying (60/86/86) but never referenced inside this method body - confirmed fully unused parameter."
method2131,advanceSceneLoaderStage,i: Int,stage: Int,medium,"Companion. Dispatches `NormalMapTextureNode.aSceneLoaderThreadArray9432[n]!!.method2206(...)` to one or more background scene-loader threads, with the exact thread count and which `MapElementDefinitionCache.aCacheIndexManagerArray3982` slice each receives depending on both `stage` (0/1/2) and `Npc.anInt10503` (an active-thread-count-style setting, 2 or 3, else a 4-thread default). Called from GlTexture3D.method2290/waitForSceneLoaderThreads (documented in that file's CSV in this batch) as part of the same multi-threaded scene-loading barrier."
