current_name,recommended_name,current_params,recommended_params,confidence,notes
method793,hasCombatAnimationOverrides,i: Int,startIndex: Int,medium,"Checks whether this NPC type (or, when it has multi-morph variants via `anIntArray1377`, any child type from `startIndex` onward) has at least one of the three combat-state animation-override ids configured (`anInt1343`/`anInt1364`/`anInt1327` != -1, all set together at config opcode 134). Cross-referenced against `NpcAnimationResolver.method214`, which selects one of exactly these fields (plus a 4th, `anInt1395`) as the NPC's override animation id based on its current interaction/combat state (`npc.anInt10268` vs a `class225` combat-style record). Gates whether `IdentKitRecolor.method1614` runs when this NPC spawns (IdentKitRecolor.kt, NpcSpawnDecoder.kt, VarpStore.kt, NpcUpdateProcessor.kt all call it as `npcType.method793(0)`), so it also functions as an 'has special appearance/animation setup' spawn-time gate. Every call site passes 0 for `startIndex`."
method794,resolveMorphedNpcType,"varResolver: VarResolver, i: Int","fallbackParam: Int",medium,"Standard RS2 multi-npc/morph resolver: if this type has no varp/varbit-driven morph table (`anIntArray1377 == null`) returns null immediately by contract of callers (checked externally before calling); otherwise resolves the active variant index via `varResolver.method62(anInt1368, -65536)` (varbit path) or `varResolver.method61(anInt1354, -16)` (varp path, when no varbit id is set), and returns the corresponding `NpcType` from `anIntArray1377`, falling back to the table's last entry (looked up with `fallbackParam` passed through to the definition-cache getter) when the resolved index is out of range or unset. `fallbackParam` is -1 at nearly all call sites except NpcAnimationResolver.method214, which passes its own external context value through - not confirmed as a pure decoy."
method795,decodeField,"class348_sub49: ByteBuffer, i: Int, i_4_: Int","buffer: ByteBuffer, opcode: Int, cipherByte: Int",high,"Private per-opcode config decoder (same role as ItemDefinition.decodeField/method1566 and LocTypeDefinition.applyConfigOpcode/method2550): a long if/else chain dispatching on `opcode` to set this NPC type's name, size, model-id arrays, recolour/retexture tables, combat-animation-override ids (opcode 134, see method793), morph table (opcode 106/118, see method794), various flags (opcodes 99/107/111/141/158/162), and a params `Hashtable` (opcode 249). `cipherByte` feeds several XOR/offset constants passed into the buffer read calls and is always the literal 127 at the sole call site (method798), so it is fixed in practice."
method796,hasValidMorphOrMatchesId,"varResolver: VarResolver, i: Int","varResolver: VarResolver, targetId: Int",low,"Boolean sibling of method794/resolveMorphedNpcType: performs the identical varp/varbit-driven morph-index resolution, but returns whether the resolved slot is populated (`!= -1`) when the index is out of range/unset, or `targetId == 18627` otherwise. Sole call site (Client.kt) always passes the literal 18627, so which of the two return paths matters in practice - likely a specific menu-option or NPC-id equality check tied into an option/interaction system - could not be independently confirmed; kept as a best-effort name given the strong structural parallel to method794."
method798,decode,"i: Int, class348_sub49: ByteBuffer","unused: Int, buffer: ByteBuffer",high,"Decode-until-terminator entry point: reads an opcode byte in a loop and dispatches to `method795`/decodeField(buffer, opcode, 127) until a 0 terminator is read. Matches ItemDefinition.decode/method1569 and LocTypeDefinition.decode/method2551. Sole call site (BufferedMessageQueue.kt) passes the literal 111 for `unused`, which is never read in the body - a genuinely unused parameter, not merely a dead-branch decoy."
method799,finalizeDecoding,i: Int,unused: Int,medium,"Post-decode fixup, called immediately after method798/decode (BufferedMessageQueue.kt): lazily defaults `anIntArray1402` to an empty array if never set, conditionally resets `aByte1376` when `unused >= -75` (sole call site passes -117, so this branch is dead in practice), then (independently of `unused`) sets `aByte1384` to 1 or 0 depending on whether this type's owning `BufferedMessageQueue`'s scene projector matches a shared reference (`ParticleEmitterNode.aSceneProjector_186`) - looks like a 'is this NPC type's model built for the currently-active scene renderer' cache-validity flag, mirroring ItemDefinition.finalizeDefinition/method1563's role."
method800,buildCompositeModel,"i: Int, loadProgressCounters: Array<LoadProgressCounters?>?, widgetCache: WidgetCache?, bool: Boolean, widgetDefinition: WidgetDefinition?, i_34_: Int, npcDefinitionCache: NpcDefinitionCache?, i_35_: Int, widgetDefinition_36_: WidgetDefinition?, varResolver: VarResolver?, var_renderer: Renderer?, i_37_: Int, is: IntArray?, i_38_: Int, i_39_: Int, i_40_: Int, i_41_: Int","flags: Int, loadProgressCounters: Array<LoadProgressCounters?>?, widgetCache: WidgetCache?, isRecursiveCall: Boolean, primaryWidget: WidgetDefinition?, primaryModelSlot: Int, npcDefinitionCache: NpcDefinitionCache?, secondaryModelSlot: Int, secondaryWidget: WidgetDefinition?, varResolver: VarResolver?, renderer: Renderer?, primaryOverlaySlot: Int, cameraTransformIds: IntArray?, secondaryOverlaySlot: Int, unused: Int, renderFlags: Int, unused2: Int",low,"The NPC's primary per-render model builder - recurses through method794/resolveMorphedNpcType first if this type is a morph placeholder, then builds/caches (per renderer + `anInt1344` key, in `aLruByteCache_3590`) a composite `ModelDefinition` from `anIntArray1402`'s model-id list, applies `npcDefinitionCache`-driven per-model translation/scale offsets, recolour/retexture tables, and up to two widget-driven texture overlays (base+equip-style pairing, mirroring the widget-icon compositing seen in ItemDefinition/CompositeNpcModelBuilder), then composes camera-transform overlays (`abstractCameraTransforms`, from `NpcDefinition.method1618`) and optional per-slot orientation overrides from the `is`/`cameraTransformIds` array. Sole call sites are Npc.kt (building the live in-world render model, storing into `aAbstractModelArray10323[0]`), CompositeNpcModelBuilder.kt and WidgetComponent.kt (rendering an NPC as a widget/interface icon) - i.e. this single method serves both in-world and interface-icon rendering. Given the sheer parameter count and multiple call shapes, parameter roles beyond the ones confirmed above are best-effort guesses; not independently verified against `NpcDefinitionCache`/`CompositeNpcModelBuilder` internals in this pass."
method801,getParamString,"i: Byte, i_92_: Int, string: String?","unused: Byte, key: Int, default: String?",high,"Looks up a cached `StringCacheNode` from the params `Hashtable` (`aHashtable_1386`, populated from config opcode 249) keyed by `key` (XORed with `unused - 6025`), returning its string or `default` if absent/no params table. Matches ItemDefinition.getParamString/method1561 exactly. Self-recursive `if (unused.toInt() != 17) method801(-115, -68, null)` is a dead decoy (no external call site passes a byte other than 17-triggering values observed)."
method803,buildWidgetIconModel,"varResolver: VarResolver?, var_renderer: Renderer?, i: Int, i_94_: Int, widgetDefinition: WidgetDefinition?, widgetCache: WidgetCache?, i_95_: Int, i_96_: Int, i_97_: Int","varResolver: VarResolver?, renderer: Renderer?, unused: Int, widgetItemSlot: Int, widgetDefinition: WidgetDefinition?, widgetCache: WidgetCache?, widgetTransformSlot: Int, unused2: Int, renderFlags: Int",low,"Simpler sibling of method800/buildCompositeModel: recurses through method794/resolveMorphedNpcType first if a morph placeholder, otherwise builds/caches (per renderer+`anInt1344` key, in a separate `aLruByteCache_3592`) a model from the smaller `anIntArray1380` model-id list (opcode 60) plus recolour/retexture, then lets `widgetDefinition` apply a widget-specific transform (`method269`) using `widgetItemSlot`. Called from WidgetComponent.kt (rendering an NPC as a widget icon, alongside method800) - the exact distinction between when method800 vs method803 is used by callers was not independently resolved in this pass."
method805,getParamInt,"i: Int, i_106_: Int, i_107_: Int","default: Int, key: Int, unused: Int",high,"Int-valued counterpart to method801/getParamString: looks up an `IntKeyNode` from `aHashtable_1386` by `key`, returning its value or `default` if absent/no params table. Matches ItemDefinition.getParamInt/method1567. Self-recursive `if (unused <= 12) method805(46, 116, 126)` is a dead decoy (the recursive call's own `unused=126` argument would not retrigger it)."
method797,initPerlinAngleTables,"i: Int, i_29_: Int, i_30_: Byte","unused: Int, tableSize: Int, unused2: Byte",low,"SEMANTICALLY UNRELATED to NpcType - decompiler-merged companion content that (re)builds shared sine/perlin-style lookup angle tables on `PerlinNoiseTextureNode` (`anIntArray6432`/`anIntArray6035`, each `(index shl 12) / tableSize`) and touches unrelated statics `SimpleBinaryOptionState.anInt6076`, `MediaStreamClient.anInt3201`, `FixedFunctionMaterialPass.anInt6212`, `TextureCubeProvider.anInt6325`. Also conditionally nulls `aClient1367` (the shared Client reference, also unrelated to NpcType, see method804) when `unused2 <= 108`. Called from CipheredPacketBuffer.kt, ProceduralTextureGraph.kt (x3), SoundEnvelope.kt - all texture/audio-adjacent callers, consistent with this being misplaced procedural-noise-table setup rather than npc-type logic."
method802,hasTileSettingsFlag,"i: Int, i_93_: Int, bool: Boolean","x: Int, y: Int, unused: Boolean",low,"SEMANTICALLY UNRELATED to NpcType - decompiler-merged: returns false immediately if `unused != true` (every call site passes the literal `true`, so this guard is always satisfied in practice), then bounds-checks and tests bit `0x2` of `GraphicsOptionState.aByteArrayArrayArray6962[1][y][x]` (a per-tile settings/flags byte array indexed by an unrelated class). Used pervasively across many unrelated files (ConstantColourTextureNode, LongKeyNode, Npc.kt, ProjectileSpawner.kt, SphereMapMaterialPass.kt, WorldMapScene.kt, etc.), typically in a `if (counter < 3 && method802(x, y, true)) counter++` shape, consistent with a 'does this tile have some per-tile settings bit set' query (e.g. a bridge/roof-style flag) used to cap a nearby-tile counter - exact bit meaning not confirmed."
method804,releaseSharedClientAndRendererRefs,i: Int,unused: Int,medium,"SEMANTICALLY UNRELATED to NpcType - decompiler-merged: nulls the shared `aAbstractModelRenderer_1365` (a text/overlay renderer used by GlFramebufferBlitter.kt for floating UI text, populated by ModelHeaderCache.kt) and `aClient1367` (the shared `Client`/AWT-Applet reference used throughout the codebase for clipboard/toolkit/showDocument calls, populated from Client.kt itself). Called directly (unqualified `method804(-3752)`) from Client.kt right alongside `NpcType.method3269(true)`, suggesting both fire together as part of a shared logout/scene-teardown cleanup step. Sole call site's `unused=-3752` makes the `if (unused != -3752) anInt1387 = 14` branch a dead decoy."
method3269,clearModelCompositionCaches,bool: Boolean,skipMapTileCleanup: Boolean,medium,"Companion cleanup: nulls `aClass348_Sub42_Sub17Array9672` (the TextureMaterialGroup cache array genuinely used inside method800/buildCompositeModel - this part IS npc-type-related), plus `aFontMetaRef_9679` and `anIntArrayArray9678` (not referenced elsewhere in this file, likely further decompiler-merged unrelated state), and conditionally calls `MapTileShape.method3270(-116)` when `skipMapTileCleanup` is false. Sole call site (Client.kt) passes `true`, so the `MapTileShape` cleanup branch is dead in practice there but may be live from other call paths not traced in this pass."
