current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"var_renderer: Renderer?, npcConfig: NpcConfig, i: Int, i_20_: Int, i_21_: Int, i_22_: Int, i_23_: Int, bool: Boolean, i_24_: Int, bool_25_: Boolean","renderer: Renderer?, locDef: NpcConfig, plane: Int, tileLevelIndex: Int, x: Int, height: Int, y: Int, isSimplifiedShape: Boolean, orientation: Int, mergeNormals: Boolean",medium,"`npcConfig` (typed NpcConfig but actually a Loc definition record, `class51` at the sole call site WorldMapSceneSoftware.kt:78) supplies aByte9980=orientation and aShort9991=locId. Traced the single instantiation site (WorldMapSceneSoftware.method1689) to map super-constructor args back to TileSceneEntity's (x, height, y, plane, aByte6376/tileLevelIndex, id) fields. `bool` (aBoolean9983) selects a simplified/'lowDetail' tile-shape lookup path in method2401 vs the normal TerrainTileShape lookup. `bool_25_` (aBoolean9989) is the initial 'normals merged' state, consistent with method2392/method2388 (see below)."
method2380,mergeNormals,"var_renderer: Renderer?, i: Int, bool: Boolean, class318_sub1: SceneEntity?, i_0_: Int, i_1_: Byte, i_2_: Int","renderer: Renderer?, offsetA: Int, blend: Boolean, other: SceneEntity?, offsetB: Int, unusedDecoyFlag: Byte, offsetC: Int",medium,"Overrides SceneEntity.method2380. Only proceeds if `other` is also a GroundDecorSceneEntity and both have a loaded model, then calls AbstractModel.method613(otherModel, offsetC, offsetA, offsetB, blend). Call sites (NodeDequeStatics.kt, PositionedSceneNode.kt) pass tile-size-scaled x/z deltas (ActorEntity.anInt3465/anInt9037) between adjacent tiles, and are gated by `other.method2388(...)` (isNormalsMerged) being false first - classic RS 'merge seam normals with an identical neighbouring decor object' pattern (npcConfig.anInt874 in the constructor, stored as aBoolean9974, matches the cache's known 'mergeNormals' loc-definition flag). `renderer` param is never read in the body. `unusedDecoyFlag` only feeds a discarded decoy call to method2402/isWorldMapModeInSet."
method2379,getMinimapScaledHeight,i: Int,unused: Int,medium,"Decoy guard `i != -25675 -> return -120`; sole call site (MinimapRectClipper.kt:47) always passes the literal -25675, so the -120 branch is dead in practice. Otherwise returns aAbstractModel_9993's abstract `ma()` (model's vertical extent), used there as `anIntArray4906[2] * height / anInt6389` - a minimap icon height-scaling ratio."
method43,renderMinimapEntity,"var_renderer: Renderer?, i: Int","renderer: Renderer?, unusedDecoyId: Int",medium,"Part of RenderTarget interface (fun method43). Builds (via method2401) or reuses the cached aRenderNode9976, then draws it through an aliased companion call (imported as HostPingThread.method1301, almost certainly a decompiler mis-attribution rather than an actual HostPingThread method per this codebase's known 'companion statics merged into wrong file' pattern). Sole confirmed generic caller is WorldMapSceneSoftware.kt:531 (`interface10.method43(var_renderer, -14218)`), part of the minimap redraw loop, gated by method38/isRenderNodeCacheable. The literal -14218 matches ModelGroundDecor's sibling override's own decoy check exactly, suggesting the `i` param is a fixed opcode/id, not real per-call data."
method2401,buildLocModel,"var_renderer: Renderer?, i: Int, bool: Boolean, i_4_: Int","renderer: Renderer?, modelFlags: Int, useLowDetailShape: Boolean, entityTypeId: Int",medium,"Private helper. Looks up the Loc definition (GradientLookupEffect.aSeqDefinitionCache_9195, id=aShort9991/locId) then picks tile-shape references from either ActorEntity.aTerrainTileArray4142 (when aBoolean9983/isSimplifiedShape) or TerrainTileShape.aTerrainTileArray8801, and calls the def's model builder (method476) with renderer, shapes, entityTypeId(=22 in every call in this file), x/y/height, orientation (aByte9980) and a fixed constant 128 (tile size). Always called with `i_4_=22`, matching method39's constant return - 22 looks like this class's fixed scene-entity type id."
method2392,resetMergedNormals,bool: Boolean,triggerReset: Boolean,medium,"When `triggerReset` is true, clears aBoolean9989 (normalsMerged) and clears bit 0x10000 from the model's flags via s()/ua() (abstract getter/setter pair on AbstractModel). Called from WorldMapSceneSoftware right after method2380/mergeNormals on a neighbour, consistent with 0x10000 being a 'normals merged with neighbour' bit on the model's flag word."
method42,getLocId,i: Int,unusedDecoyThreshold: Int,high,"Decoy guard `i >= -62 -> return -1`; every real call site found across the repo (WeaveTextureNode, RegionSceneShifter, NativeRenderer, ScanlineRasterFiller, OggMediaStream, SceneryDetailOptionState, GlCubemapLightPass, WorldMapSceneSoftware) passes a literal well below -62, so the -1 branch is dead in practice. Returns aShort9991, set from npcConfig.anInt941 (the loc id) in the constructor, and used everywhere as the id argument to GradientLookupEffect.aSeqDefinitionCache_9195.method2005(0, id) - a Loc-definition cache lookup by id."
method2386,buildStaticPoseModel,"i: Int, var_renderer: Renderer?","seqId: Int, renderer: Renderer?",medium,"Builds a camera-space transform at (x, height, y) then fetches a sequence/pose frame via ChatMessageStream.method136(seqId, aBoolean9974, false) and combines it onto the model via method608/method615 (branch chosen by ParticleSystemRenderer.aBoolean3870, likely an 'occlusion query enabled' toggle). Sole known call site: WidgetTextConfig.kt:302 passing seqId=1 (frame 0-equivalent), consistent with a static/idle pose build for a UI/inventory-style preview render of the loc model."
method38,isRenderNodeCacheable,i: Int,unusedDecoyId: Int,high,"Decoy guard `i != -18443 -> aCircleHitbox_9999 = null`; every real call site (WorldMapSceneSoftware.kt, ModelGroundDecor's sibling override) passes the literal -18443, so the cache-clear branch is dead in practice. Returns aBoolean9988 (set in the constructor from renderer capability + npcConfig.aBoolean894 + !isSimplifiedShape + an IntHashSet lookup), which gates whether method43/method44 may lazily build and cache a RenderNode. Part of RenderTarget (fun method38)."
method2388,isNormalsMerged,i: Int,unusedDecoyId: Int,high,"Decoy guard `i > -65 -> return true`; every real call site (NodeDequeStatics, PositionedSceneNode, WorldMapSceneSoftware) passes a literal well below -65, so the true-branch is dead in practice. Returns aBoolean9989, and is used exactly as a 'has this neighbour already had its normals merged' pre-check before calling method2380/mergeNormals on it - confirms aBoolean9989's role."
