current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"i: Int, aString3789: String?, i_22_: Int, bool: Boolean","instanceId: Int, vendorPrefsSuffix: String?, ioHandleCount: Int, isPrivileged: Boolean",high,"Detects JVM vendor/OS (flags Windows via aBoolean3794), resolves the user home dir, reflects two AWT focus-related setters for later privileged use, and - only when isPrivileged - opens the main cache random-access files (random.dat, main_file_cache.dat2/idx255/idx0..N) plus platform audio/fullscreen/mouse-robot helpers, lowers AWT thread priority, and starts the background dispatcher coroutine (job = launch { run() }). This is the classic Jagex applet 'privileged operations proxy' worker - all filesystem/network/reflection/fullscreen/mouse operations that need elevated permission are funneled through its request queue and executed on this single background thread."
method2229,queueCreateFullscreenFrame,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int, i_3_: Byte","x: Int, y: Int, width: Int, height: Int, decoyFlag: Byte",medium,"Enqueues op 6 (create a java.awt.Frame for fullscreen display, see run()'s `i==6` branch) with x/width and y/height packed into two ints via shl16. Decoy write to the network-rate-limit timestamp aLong3781 when decoyFlag != -11."
method2230,queueGetDeclaredMethod,"var_classes: Array<Class<*>?>?, i: Int, var_class: Class<*>?, string: String?","paramTypes: Array<Class<*>?>?, decoyFlag: Int, targetClass: Class<*>?, methodName: String?",high,"Enqueues op 8 (reflective Class.getDeclaredMethod, see run()'s `i==8` branch, which also enforces a classloader/security check when aBoolean3777). Returns null when decoyFlag < 49 (guard, not clearly dead)."
method2232,queueReverseDnsLookup,"i: Int, i_4_: Int","decoyFlag: Int, packedIp: Int",high,"Enqueues op 3 (builds a dotted-quad string from `packedIp` and resolves its hostname via InetAddress, see run()'s `i==3` branch, privileged-only). Decoy calls queueRunAsync/method2236 when decoyFlag <= 20."
method2233,queueOpenPreferencesFile,"i: Byte, string: String?, bool: Boolean","decoyFlag: Byte, fileName: String?, useVendorPrefix: Boolean",high,"Enqueues op 13 (empty vendor prefix) or op 12 (default vendor prefix, see run()'s `i==12`/`i==13` branches which both call openPreferencesFileInSearchPaths/method2241) depending on `useVendorPrefix`. Returns null when decoyFlag != -46."
run,run,(none),(none),high,"kotlin.Runnable override (name already meaningful). The worker-thread dispatch loop: pops one LinkedQueueNode request at a time (blocking/waiting when empty), switches on its op code (anInt1994, values 1-22) to perform one privileged operation - socket connect (1), an unusual GlDisplayListFont-routed resolve (22, see note below), async task launch (2), URL stream open (4), reflective getDeclaredMethod/getDeclaredField (8/9), clipboard get/set (18/19), and - only when this.aBoolean3777 (privileged) - reverse DNS (3), hostname-to-address (21), fullscreen frame create/dispose/query-mode (6/7/5), preferences-file open (12/13), native or Robot-based mouse move/drag/cursor-visibility (14/15/17), and system-browser URL launch with a strict scheme+charset allowlist (16, Windows-only) - then stores the result/exception and notifies the waiting caller. NOTE: op 22's call `GlDisplayListFont.method593(...).method2050(-112)` looks like decompiler-merged content (an unrelated font-loading class used for what the surrounding rate-limit/IOException logic implies should be a network resolve op) - flagged as suspicious, not renamed with confidence."
method2234,shutdown,i: Byte,decoyFlag: Byte,high,"Signals the dispatcher loop to stop (aBoolean3801=true, notifyAll), blocks for the coroutine job to finish, then closes all owned RandomAccessFileOnDisk handles (cache data/index files and the preferences file). Decoy clears aRandomAccessFileOnDisk_3788 early when decoyFlag != 103 (harmless since it's closed via a separate null-checked branch either way)."
method2235,queueSocketConnect,"bool: Boolean, i: Int, string: String?, i_10_: Int","useAltResolve: Boolean, port: Int, host: String?, magicKey: Int",high,"Enqueues op 22 (useAltResolve) or op 1 (normal Socket connect, see run()'s `i==1` branch) - both rate-limited via aLong3781. Returns null unless magicKey == 28225."
method2236,queueRunAsync,"runnable: Runnable?, i: Int, i_11_: Int","runnable: Runnable?, unusedA: Int, priority: Int",high,"Enqueues op 2 (see run()'s `i==2` branch: launches `runnable` on GlobalScope.launch(Dispatchers.Default)). `priority` is read into a local in run() but never actually applied to the launched job - looks like a vestigial/no-op parameter."
method2237,queueOpenUrlStream,"url: URL?, i: Int","url: URL?, magicKey: Int",high,"Enqueues op 4 (DataInputStream from url.openStream(), see run()'s `i==4` branch, rate-limited). Returns null unless magicKey == 8362."
method2238,queueMouseDrag,"i: Int, is: IntArray?, i_12_: Int, point: Point?, component: Component?, i_13_: Int","decoyFlag: Int, path: IntArray?, magicKey: Int, offset: Point?, component: Component?, priority: Int",medium,"Enqueues op 17 (Robot-based synthesized mouse drag/move sequence along `path`, see run()'s `i==17` branch, non-native-cursor mode only). Decoy calls resetNetworkRateLimit/method2240... actually calls method2240(-75) (queueGetDisplayMode) when magicKey != 17 - discarded result, looks like a dead decoy."
method2239,resetNetworkRateLimit,i: Int,decoyFlag: Int,medium,"Sets the network-operation rate-limit timestamp aLong3781 = now + 5000ms (via GameClock.method599). Decoy clears aRandomAccessFileOnDisk_3779 when decoyFlag > -90."
method2240,queueGetDisplayMode,i: Int,magicKey: Int,high,"Enqueues op 5 (query current/available fullscreen display mode, see run()'s final `else` branch under the aBoolean3777 block). Returns null unless magicKey == 972476528."
method2242,writeBytesToFile,"is: ByteArray, i: Byte, file: File","data: ByteArray, decoyFlag: Byte, file: File",high,"Direct (non-queued) privileged file write: opens `file`, writes all of `data`, and closes it, returning false instead of closing when decoyFlag == -104 (leaves the stream open - looks like a bug/edge-case rather than intentional, but preserved as-is). Wraps IOException into an unchecked RuntimeException."
method2243,queueGetDeclaredField,"i: Int, string: String?, var_class: Class<*>?","decoyFlag: Int, fieldName: String?, targetClass: Class<*>?",high,"Enqueues op 9 (reflective Class.getDeclaredField, see run()'s `i==9` branch, same classloader/security check as getDeclaredMethod). Decoy calls resetNetworkRateLimit/method2239 when decoyFlag != 0."
method2244,getDirectSoundChannel,i: Int,decoyFlag: Int,medium,"Returns anObject3787 (a DirectSoundAudioChannel instance created in the constructor on Windows-privileged mode). Decoy calls queueOpenUrlStream/method2237 with null args when decoyFlag != 21 (dead - would just enqueue-and-discard)."
method2245,queueOpenUrlInBrowser,"string: String?, i: Int","url: String?, magicKey: Int",high,"Enqueues op 16 (validate the URL's scheme (http/https) and character set, then `cmd /c start` it via Runtime.exec - Windows-only, see run()'s `i==16` branch). Returns null unless magicKey == 16."
method2246,enqueueOperation,"i: Int, i_19_: Int, i_20_: Int, i_21_: Int, object: Any?","rateLimitGuard: Int, packedA: Int, opCode: Int, packedB: Int, payload: Any?",high,"Private core: builds a LinkedQueueNode carrying (opCode, packedA, packedB, payload), appends it to the singly-linked request queue (aLinkedQueueNode_3797/3798, head/tail), and notifies the worker thread. Decoy calls queueSocketConnect/method2235 with discarded result when rateLimitGuard != 8."
method2247,isFullscreenAvailable,i: Int,decoyFlag: Int,high,"Returns false if this worker isn't privileged, else whether the platform-appropriate fullscreen controller/display-mode object (aDirectDrawDisplayMode_3802 or anObject3793/FullscreenDisplayController) has been successfully constructed. Decoy calls queueOpenUrlInBrowser/method2245 with discarded result when decoyFlag != -4."
method2248,queueDisposeFullscreenFrame,"i: Byte, frame: Frame?","decoyFlag: Byte, frame: Frame?",high,"Enqueues op 7 (dispose the fullscreen frame/display mode, see run()'s `i==7` branch). Returns null unless decoyFlag == 89."
method2231,openDefaultPreferencesFile,"string: String?, i: Int","fileName: String?, magicKey: Int",high,"Companion. Public wrapper around openPreferencesFileInSearchPaths/method2241 using the default vendor prefix (Companion.aString3789) and instance id (anInt3792). Returns null unless magicKey == -1141472112."
method2241,openPreferencesFileInSearchPaths,"string: String?, i: Int, string_14_: String?, i_15_: Int","fileName: String?, magicKey: Int, vendorPrefix: String?, variant: Int",high,"Companion, private. Builds a preferences filename in one of three variants based on `variant` (33='_rc', 34='_wip', else plain), then tries a fixed ordered list of candidate directories (c:/rscache/, /rscache/, the user home, c:/windows/, c:/winnt/, c:/, /tmp/, cwd) for the first one that exists, opening a 10KB RandomAccessFileOnDisk there. Returns null unless magicKey == 12606, and null if no candidate directory works."
