current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"sceneProjector: SceneProjector?, i: Int, bool: Boolean, js5Archive: Js5Archive?, js5Archive_7_: Js5Archive?","sceneProjector: SceneProjector?, unused: Int, isMembers: Boolean, npcConfigArchive: Js5Archive?, modelArchive: Js5Archive?",medium,"Despite the class name 'BufferedMessageQueue', the whole file is really an NPC-type loader/cache (see method2079 returning NpcType). Stores `bool` into aBoolean3583 (read at NpcType.kt:253 to decide whether to null out an options string - looks like a members/free-to-play gate), `js5Archive` into aJs5Archive_3585 (the npc definitions archive read by method2079 via method410/414/407), `js5Archive_7_` into aJs5Archive_3576 (the models archive referenced throughout NpcType.kt, e.g. lines 478/649 for model data), and `sceneProjector` into aSceneProjector_3578 (compared by identity against ParticleEmitterNode.aSceneProjector_186 in NpcType.kt:338). If the config archive is non-null, computes `i_8_ = archive.method414(-1) - 1` (entry-count - 1) and calls `archive.method407(0, i_8_)`, apparently touching/validating the last archive group as a sanity check. Wrapped in a try/catch that rethrows via TextureLoadException.method2929 with a debug string embedding all ctor args; the `i` parameter is used ONLY inside that error string and has no other effect anywhere - a logging-only decoy parameter."
method2072,setDisplayFlag,"i: Byte, bool: Boolean","threshold: Byte, isMembers: Boolean",medium,"Only external call site (SceneNodeDeque.kt:371) is `method2072(88.toByte(), ModelBatchBase.aBoolean1900)`, immediately after decoding a run of config-flag bytes from a network packet (`readUnsignedByte(255)==1` style reads), so `bool` looks like a server-provided members/world-setting flag. Guarded by `i>=22`, satisfied at the only observed call site (88), so the real threshold semantics are unverified from a single sample. When the incoming value differs from the stored aBoolean3583, updates the field and calls method2078(-6080) to fully clear all three LRU caches so subsequently-served NpcType objects pick up the new flag (see NpcType.kt:253, which reads aBoolean3583)."
method2073,applyGraphicsOptionFlags,"i: Int, i_0_: Int","skipSentinel: Int, flagsBitmask: Int",medium,"Stores `i_0_` into anInt3593, which NpcType.kt:528/676 later forward into var_renderer.method3625(...) as a shared parameter used for every npc model build - i.e. a global graphics-detail/flags value applied to all npc models. Clears aLruByteCache_3590 and aLruByteCache_3592 (LruByteCache.method590(0), confirmed to be a full clear+reset-to-capacity by reading LruByteCache.kt) so cached data rebuilds under the new flags. The sole call site (ChatCommandProcessor.kt:5466) builds `i_0_` as an OR-ed bitmask (0x1,0x2,0x4,0x10,0x20,0x40) from several hash-set/config lookups and fans the same bitmask out to many sibling caches (ModelHeaderCache, MapElementDefinitionCache, NormalMapGenerator, CompositeNpcModelBuilder, etc.) while passing the literal sentinel `-25032` as the first arg - matching the `if (i != -25032) method2079(-66, 101)` check inside, which is therefore dead in practice (would otherwise look up bogus npc id -66); flagged as an opaque-predicate-style decoy."
method2074,clearModelCacheAndMaybeSmallCache,i: Int,threshold: Int,medium,"Always clears aLruByteCache_3590 (method590(0)); if `i < -94` also increments anInt3582 and clears aLruByteCache_3592. Sole call site (ChatCommandProcessor.kt:1029) passes `-118`, which satisfies `i < -94`, so both clears run in practice there. Sits alongside sibling cleanup calls (ModelHeaderCache.method1930/method1936, TextureCache.method3466) at that call site, suggesting this is part of a config/interface reload reset routine."
method2076,sweepAgedCacheEntries,"i: Int, bool: Boolean","maxAgeTicks: Int, forceFlagOn: Boolean",medium,"Calls LruByteCache.method578(2, i) on all three caches; reading LruByteCache.kt shows method578's mode-2 branch demotes hard cache entries older than `i` ticks to soft references and purges already-collected soft entries - an ageing/GC-assist sweep. If `bool != true`, forces `method2072(120.toByte(), true)` (sets the display/members flag on and clears caches). The sole call site (GlowPostProcessor.kt:133) passes literal `true` for `bool`, so that inner call is dead in practice - another opaque-predicate-style decoy; `bool` otherwise has no effect in the body."
method2078,clearAllCaches,i: Int,flag: Int,high,"Clears all three LRU caches via method590(i + 6080) / method590(0); reading LruByteCache.method590 confirms it clears the backing hashtable/list and resets the free-space counter back to full capacity. Contains `if (i != -6080) this.aLruByteCache_3590 = null` immediately before dereferencing that same field with `!!` two lines later - every call site found in the repo (this file's method2072 and InterfaceBounds.kt:74) passes the literal `-6080`, so this null-out branch is dead in practice; matches the opaque-predicate-style dead-branch pattern already documented in AbstractGameSocket.csv (method1705)."
method2079,getNpcType,"i: Int, i_6_: Int","npcId: Int, forceEvictFlag: Int",high,"Standard cache-then-load: looks up aLruByteCache_3577 by key `npcId.toLong()`, returning the cached NpcType on a hit. On a miss, reads archive data via `aJs5Archive_3585.method410(i_6_ + -1859, OverlayColorTable.method1060(npcId, 69), CameraConfigDefinition.method1920(127, npcId))`; independently confirmed OverlayColorTable.method1060(id,69) == `id ushr 7` and CameraConfigDefinition.method1920(127,id) == `id and 0x7f`, the classic RS group=id>>7 / file=id&127 split for a paginated js5 archive - strong confirmation this loads a per-npc-id definition blob. Builds a new NpcType, sets its id (anInt1344) and back-reference (aBufferedMessageQueue_1348=this), decodes via npcType.method798 if bytes were returned, calls npcType.method799 for post-load defaults, then caches it via method582. Nearly every call site across the repo (ChatCommandProcessor, CompositeNpcModelBuilder, IdentKitRecolor, NpcSpawnDecoder, VarpStore, WidgetComponent, Player.kt:464) passes the literal `-1` for the second parameter, EXCEPT Player.kt:341 (`i + -2`) and NpcType.kt:128 (forwards a caller-supplied `i` unchanged) which pass non-constant values. The method contains `if (i_6_ != -1) aLruByteCache_3577 = null` right after re-caching the entry, nulling the ENTIRE cache field rather than just an entry; because two call sites pass non-literal values this cannot be proven dead the way similar decoys elsewhere in the codebase are - flagged as a suspicious potential landmine rather than a confirmed dead branch."
method2080,clearSoftCacheEntries,i: Int,threshold: Int,medium,"Calls LruByteCache.method587 (purges only soft/already-GC'd entries, confirmed by reading LruByteCache.kt) on all three caches with distinct int args (-118, -100, -107) that have no further effect here (method587's own internal recursive branch depends on its own parameter, and none of these values ever satisfy that branch's `>= -75` condition). If `i <= 122` also calls the companion's method2075(-125, -46, 9), discarding its boolean result. Sole call site (ConfigArchiveLoader.kt:881) passes `127`, so `i <= 122` is false and that call is dead in practice - opaque-predicate-style decoy."
method2075,hasCombinedFlagBits,"i: Int, i_1_: Int, i_2_: Int","flags: Int, unused1: Int, unused2: Int",medium,"Returns `(i and 0x100100) != 0` - checks two combined bit flags (0x100000 | 0x100) on `i`. `i_1_` only drives a side-effect stat write (`if (i_1_ > -125) anInt3581 = -110`) that never affects the return value, and `i_2_` is completely unreferenced in the body - a pure decoy parameter. Called from BoundsConstraintEntry.kt, OpenGlModel.kt and TwoStateOptionState.kt, always inside larger boolean OR-chains alongside other bit-flag checks (e.g. 0xb000, 0x40000) on model/loc-bounds related flags; the precise semantic meaning of the two combined bits could not be confirmed further without tracing their producers, hence medium rather than high confidence."
method2077,hasFlagBit0x8000,"i: Int, i_3_: Int, i_4_: Int","unused1: Int, unused2: Int, flags: Int",medium,"Returns `(i_4_ and 0x8000) != 0` - a single-bit check on the third parameter. `i_3_` is completely unreferenced in the body (pure decoy). `i` is only used in a discarded expression `val i_5_ = -75 % ((-43 - i) / 40)`, whose divisor would be zero (crash) for `i` in [-43,-4], but both real call sites pass `-122` (Direct3dModel.kt:1145) and `-106` (ParticleEmitterNode.kt:61), keeping the divisor at 1 - the decoy expression is numerically safe at the only observed call sites, matching the 'safe-looking but pointless' obfuscator pattern seen elsewhere in this codebase (cf. method3331/method3354 in ByteBufferStatics). Used in OR-chains alongside other bit checks (e.g. 0x800) on model/particle related int flags."
