current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, waterTextureSet: WaterTextureSet?","renderer: OpenGlRenderer, waterTextureSet: WaterTextureSet?",high,"Primary constructor storing renderer via MaterialPass(renderer) superclass call. Same structure as the sibling GlslEnvMaterialPass constructor: bails out early unless waterTextureSet.aClass258_Sub1_1443 is present and the renderer supports the required GL features (aBoolean7791/aBoolean7783), then compiles a more advanced vertex+fragment shader pair implementing reflective water with environment-map sampling PLUS wave-breaking foam (extra 'waveIntensity'/'waveExponent' uniforms not present in GlslEnvMaterialPass's fragment shader) via TimedTileQueueEntry.method3249 + SequencedWallEntity.method2493, storing the linked program in aGlShaderProgramHandle_6234 and setting aBoolean6237 true on success. Per MinimapRenderer.kt's init block, this is the 'best' water material (slot 9), falling back to GlslEnvMaterialPass (slot 8) if unsupported."
method2140,bindTexture,"glTexture: GlTexture?, i: Byte, i_0_: Int","texture: GlTexture?, unused: Byte, textureUnit: Int",medium,"Override of MaterialPass.method2140, identical shape/behavior to the sibling GlslEnvMaterialPass override: only performs the fixed-function texture bind when the GLSL shader is not active (!aBoolean6233); otherwise binding is handled inside beginPass/method2134. Called from MinimapRenderer.method885 as `.method2140(glTexture, (-98).toByte(), i)` -- the fixed -98 byte fails the `if (i > -89)` guard (note: strict `>`, not `>=`, here), so the `anInt6246 = 45` side effect on the decoy branch never fires in practice."
method2133,endPass,i: Int,reason: Int,high,"Override of MaterialPass.method2133/endPass. Unconditionally increments anInt6236 and, if the GLSL shader is active (aBoolean6233), unbinds textures/program and clears the flag -- this cleanup is NOT gated by `reason` (contrast with the sibling GlslEnvMaterialPass, where the whole body is gated by `reason<=-75`). The `if (reason >= -75) method2137(-39)` call is a decoy: the only observed call site, MinimapRenderer.method884 (`.method2133(-93)`), passes -93, which fails this guard, so isSupported()/method2137 is never re-invoked from here in practice."
method2134,beginPass,"bool: Boolean, bool_4_: Boolean","unusedFlag: Boolean, forceRecompileCheck: Boolean",medium,"Override of MaterialPass.method2134/beginPass. Unlike the sibling GlslEnvMaterialPass (where the second param gates the entire setup body), here the shader-bind/uniform-upload block always runs (gated only by `aBoolean6237 && cubemapTexture != null`); the second param's only effect is `if (bool_4_ != false) aBoolean6237 = false`, forcibly clearing the 'shader ready' flag before the check -- effectively a 'force re-check support before this frame' flag. The first param (`bool`) is never read in this override's body -- decoy, same as the sibling class. Called from MinimapRenderer.method884 as `.method2134(bool, false)`, so `forceRecompileCheck` is always false at the only observed call site, making that reset a dead branch in practice."
method2139,setLightingFlag,"bool: Boolean, i: Byte","unusedFlag: Boolean, unused: Byte",low,"Override of MaterialPass.method2139, identical inert shape to the sibling GlslEnvMaterialPass override and to FixedFunctionMaterialPass's setLightingFlag: only increments a call counter (anInt6239) and computes a discarded division `126 / ((i - -60) / 38)`. Called from MinimapRenderer.method884 as `.method2139(bool, (-115).toByte())` / `(-101).toByte()`; no observable effect from either argument."
method2136,applyWaterAnimationUniforms,"i: Int, i_7_: Int, i_8_: Byte","packedTimeScaleBits: Int, packedWaveParamBits: Int, unused: Byte",medium,"Override of MaterialPass.method2136, per-frame uniform update -- a richer version of the sibling GlslEnvMaterialPass override, adding two extra derived uniforms consumed by this class's more advanced fragment shader: 'waveIntensity' (a vec2 built from bit fields at shifts 19/23 of packedWaveParamBits) and 'waveExponent' (bits at shift 27). Same time/scale/breakWaterDepth/breakWaterOffset decode as the sibling class. Called from MinimapRenderer.method884 with trailing bytes -106/-98 (via the shared aMaterialPassArray1588 loop), both below -42, so the trailing `if (unused > -42) method2140(null, (-69).toByte(), -63)` self-call into bindTexture is a dead/decoy branch, never triggered in practice."
method2137,isSupported,i: Int,mode: Int,medium,"Override of MaterialPass.method2137/isSupported. Correctly returns aBoolean6237 (the 'GLSL wave-water shader compiled OK' flag set in the init block) regardless of `mode`; the `if (mode >= -5) method2136(94, 3, 11.toByte())` call is a decoy extra uniform-refresh -- every observed call site (MinimapRenderer's init `.method2137(-82)` and the shared method889 helper's `.method2137(-112)`) passes a value below -5, so that side call never fires. Contrast with the sibling GlslEnvMaterialPass.method2137, whose equivalent override never references its own compiled-flag and always returns false in practice -- this override behaves as genuinely intended."
method2154,findRegionBucketIndex,i: Int,value: Int,medium,"Companion, SEMANTICALLY UNRELATED to GLSL water rendering -- a merged/grab-bag static used only by minimap-region code, not this class's own rendering logic. Linear-scans `0..<ActiveMapRegion.anInt5652-1`, returning the first index where `value < WidgetDefinition.anIntArray256[idx] + ParticleProcessor.anIntArray4271[idx]` (a cumulative-boundary/threshold search over two parallel arrays), else the last valid index. Called from MinimapRectClipper.kt (three times, to bucket a distance value into a minimap-region/LOD tier) and SceneLoaderThread.kt (to check whether a loaded region matches the last bucket). The exact real-world meaning of the two parallel arrays (widths? offsets?) could not be confirmed from this file alone."
method2155,countSetBits,"i: Int, i_3_: Byte","value: Int, tag: Byte",high,"Companion, SEMANTICALLY UNRELATED to GLSL water rendering. Classic bit-twiddling population-count (popcount) algorithm (0x55555555/0x33333333/0x0f0f0f0f masked shift-and-add reduction) counting set bits in `value`, gated by `tag == 43`. Only external call site, JavaSoundOutput.kt, passes `43.toByte()` and checks `== 1` (i.e. tests whether exactly one bit -- a single audio channel/format flag -- is set), confirming both the guard value and the popcount interpretation; any other tag short-circuits to a decoy return of -54."
method2156,clearFontMetaCache,i: Int,unused: Int,medium,"Companion, SEMANTICALLY UNRELATED to GLSL water rendering. Unconditionally nulls aFontMetaRef_6244; the `if (unused <= 57) aFontMetaRef_6244 = null` second null is a redundant/dead-looking decoy (field is already null from the line above regardless of the parameter). Only call site, Client.kt (`method2156(77)`), passes 77 -- doesn't matter either way since the assignment is idempotent."
