current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"var_renderer: Renderer?, npcConfig: NpcConfig, i: Int, i_7_: Int, i_8_: Int, i_9_: Int, i_10_: Int, bool: Boolean, i_11_: Int, i_12_: Int","renderer: Renderer?, locDef: NpcConfig, plane: Int, tileLevelIndex: Int, x: Int, y: Int, height: Int, isStatic: Boolean, orientation: Int, mode: Int",medium,"Constructs the shared SceneObjectAnimator (aSceneObjectAnimator_9955) that drives this wall object's model/animation lookup (locDef, entity type 22 per the constant seen throughout other Loc-backed *SceneEntity constructors), then computes aBoolean9966 = `locDef.anInt874 != 0 && !isStatic` (an 'animatable and not a static instance' flag, same anInt874 field used for the analogous mergeNormals-eligibility/animation flag in GroundDecorSceneEntity.csv). Any RuntimeException during construction is rewrapped via TextureLoadException.method2929 with a diagnostic literally reading 'saa.<init>(...)', confirming the pre-obfuscation class name was 'saa'. Param naming/order is a best-effort match to the super-constructor call pattern shared with GroundDecorSceneEntity/ModelWallEntity (renderer, locDef, plane, tileLevelIndex, x, y, height, ...) - not independently re-derived from a call site in this pass."
method42,getModelId,i: Int,unusedFlag: Int,low,"Overrides RenderTarget.method42 (same slot named getModelId in ModelWallEntity.csv). Delegates to aSceneObjectAnimator_9955.anInt3063, a field not independently documented in SceneObjectAnimator.csv - kept consistent with the sibling classes' 'this RenderTarget slot returns a model/definition id' role, but the exact value of anInt3063 was not confirmed in this pass."
method2387,buildAndRegisterRenderNode,"var_renderer: Renderer?, i: Int","renderer: Renderer?, unusedFlag: Int",medium,"Overrides SceneEntity's abstract method2387 (same slot named onDetach in ModelWallEntity.csv and resetLowDetailFlag in GroundDecorSceneEntity.csv - here it does neither: forces the SceneObjectAnimator to build/refresh its high-detail cached model + register a RenderNode via aSceneObjectAnimator_9955.method1668/buildOrGetAnimatedModel(true, true, -128, 262144, renderer), then, if a model resulted, positions a camera-space transform at (x, height, y) and pushes it through method1670/renderAnimatedModel. Given the real per-subclass behavior varies so widely at this slot across the codebase's *SceneEntity implementors, this name reflects WallSceneEntity's own logic rather than forcing consistency with the other two CSVs' names."
method2394,getModelHeight,bool: Boolean,useCache: Boolean,high,"Overrides SceneEntity's abstract method2394 (same slot as ModelWallEntity.method2394/getModelHeight and GroundDecorSceneEntity.method2394/getModelHeightOffset, see those CSVs - `useCache` expected always true per the established codebase-wide convention for this slot). Delegates to aSceneObjectAnimator_9955.method1663/getModelHeight(109) (see SceneObjectAnimator.csv)."
method40,unusedRenderHook,i: Int,unusedFlag: Int,low,"Overrides RenderTarget.method40 (same slot as ModelWallEntity.method40/invalidateModel and GroundDecorSceneEntity.method40/resetCubemapLighting - here the body is just a counter increment (anInt9954++) with no other effect, i.e. a no-op in this subclass)."
method41,getAnimatorTag,i: Int,unusedFlag: Int,low,"Overrides RenderTarget.method41 (same slot as ModelWallEntity.method41/getOrientation and GroundDecorSceneEntity.method41/getOrientation - here it returns -36 unless unusedFlag==-32228 [decoy, always true at expected call sites per the codebase-wide -32228 convention for this slot], in which case it delegates to aSceneObjectAnimator_9955.anInt3052, a field not independently documented in SceneObjectAnimator.csv - kept low confidence on its exact meaning despite the slot's established 'orientation' role elsewhere)."
method2386,buildSceneEntityModel,"i: Int, var_renderer: Renderer?","cameraIndex: Int, renderer: Renderer?",high,"Overrides SceneEntity's abstract method2386 (same slot/name as ModelWallEntity.method2386/buildSceneEntityModel, see that CSV - same overall shape: position a transform at (x, height, y), build a far/occluder-detail model via aSceneObjectAnimator_9955.method1668/buildOrGetAnimatedModel(false, true, -128, 2048, renderer), fetch a pooled SceneEntityModel via ChatMessageStream.method136, apply per-face lighting through method608/method615 depending on ParticleSystemRenderer.aBoolean3870 [HD vs classic lighting path, matching ModelWallEntity's documented convention], and additionally attach any particle-system effect node (aSceneObjectAnimator_9955.aClass318_Sub10_3081) to the renderer). Also lazily builds/refreshes the cached hitbox aCircleHitbox_9950 via WaterMaterialPass-adjacent helper ModelHeaderCache.method1935 (update) or VorbisOggDecoder.method2967/tryBuildCircleHitbox (build) - both cross-referenced as generic hitbox helpers reused across scene-entity classes (see WallEntity.csv/VorbisOggDecoder.csv). Caches aBoolean9945 = `model.F() || hasParticleEffect` for isModelReady/method2377 below."
method2380,mergeNormals,"var_renderer: Renderer?, i: Int, bool: Boolean, class318_sub1: SceneEntity?, i_4_: Int, i_5_: Byte, i_6_: Int","renderer: Renderer?, offsetA: Int, blend: Boolean, other: SceneEntity?, offsetB: Int, unusedDecoyFlag: Byte, offsetC: Int",medium,"Overrides SceneEntity's abstract method2380 - same slot GroundDecorSceneEntity implements for real (see GroundDecorSceneEntity.csv). Always throws IllegalStateException (diagnostic string literally 'saa.N(...)', confirming pre-obfuscation name 'saa.N'), i.e. normal-merging is unsupported for wall scene entities, same pattern as WallEntity.method2380 (see WallEntity.csv, which also notes the naming inconsistency with SceneObjectEntity.csv's 'renderWithTarget' for this same slot)."
method2377,isModelReady,i: Byte,unusedFlag: Byte,medium,"Overrides SceneEntity's abstract method2377 (same slot/decoy-constant 122 as ModelWallEntity.method2377/isModelLoaded and GroundDecorSceneEntity.method2377/isModelReady, see those CSVs). Returns the cached aBoolean9945 computed in buildSceneEntityModel/method2386 above (model loaded OR has an attached particle effect), rather than a fresh live check."
method2379,getModelWidth,i: Int,unusedFlag: Int,high,"Overrides SceneEntity's abstract method2379 (same slot/decoy-constant -25675 as ModelWallEntity.method2379/getModelWidth and the analogous getMinimapScaledHeight in GroundDecorSceneEntity.csv, both keyed on the model's `ma()` accessor). Delegates to aSceneObjectAnimator_9955.method1664/getModelWidth(unusedFlag xor 0x647d). Decoy `if (unusedFlag != -25675) aAbstractModelRendererArray9959 = null` (unrelated companion field, dead at the real call site)."
