current_name,recommended_name,current_params,recommended_params,confidence,notes
method1710,getDefaultValue,i: Int,sentinel: Int,high,"Abstract override from GraphicsOptionState (see refactor-notes/jvmMain/GraphicsOptionState.csv/BooleanGraphicsOptionState.csv for the shared family convention: called as method1710(20014) from both constructors and from method1716/revalidate). Returns 98 if sentinel!=20014 (dead decoy branch - real callers always pass 20014), else returns the hardcoded default 1 for this simple boolean-like toggle option."
method1712,setValue,"i: Int, i_0_: Int","unusedTag: Int, value: Int",high,"Abstract override from GraphicsOptionState; sets this.anInt3138 = value (second param) unconditionally. `val i_1_ = 57 / ((i - 82) / 35)` computes and discards a value referencing the decoy first parameter, matching the identical shape documented for sibling *OptionState classes."
method1739,getValue,i: Int,sentinel: Int,high,"Public getter returning this.anInt3138. The sentinel is a decoy: real call sites (ChatCommandProcessor.kt:1784, DisplaySettingsConfig.kt:306, NativeRenderNode.kt:387, SoundEngineInitializer.kt:18) all pass the literal -32350, matching the identical getValue(sentinel) convention used by sibling classes (e.g. BooleanGraphicsOptionState.method1720, FogOptionState.method1808). `if (i != -32350) anInt5886 = -17` is dead."
<init>,<init>,class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Delegates to GraphicsOptionState(config), which derives anInt3138 via getDefaultValue(20014). Used at DisplaySettingsConfig.kt:173 for a fresh/default settings object."
<init>,<init>,"i: Int, class348_sub51: DisplaySettingsConfig","initialValue: Int, config: DisplaySettingsConfig",high,"Delegates to GraphicsOptionState(initialValue, config), which stores initialValue directly into anInt3138. Used at DisplaySettingsConfig.kt:89/222 when deserializing a saved settings byte."
method1714,getSupportLevel,"i: Int, i_13_: Int","kind: Int, value: Int",medium,"Abstract override from GraphicsOptionState matching the getSupportLevel(kind, value) shape documented for sibling classes (real callers - GraphicsOptionState.method1718/applyValue and the ChatCommandProcessor CS2 opcode dispatcher - always pass kind=3). Always returns 1 ('supported/settable') regardless of value; `if (i != 3) anInt5891 = -34` is a dead decoy."
method1716,revalidate,bool: Boolean,unused: Boolean,medium,"Abstract override from GraphicsOptionState. `if (bool != false) method1710(-110)` is a decoy call whose result is discarded (getDefaultValue with a non-20014 sentinel, itself hitting the dead branch of method1710). Then clamps anInt3138 back to {0,1} via getDefaultValue(20014) if out of range - matches the standard revalidate-all-options pass invoked from DisplaySettingsConfig's settings-reload routine (see FogOptionState.csv/BooleanGraphicsOptionState.csv notes on method1716)."
method1740,hasModelRenderFlag,"i: Int, i_2_: Int, bool: Boolean",Boolean,"flagsA: Int, flagsB: Int, unused: Boolean",low,"Companion-object grab-bag method unrelated to SimpleToggleOptionState's option-state role (decompiler-merged content, per the recurring pattern noted in refactor-notes/PLAN.md). Combines DetailLevelOptionState.method1833 (a `(flagsB and 0x84080) != 0` bit-flag test) with Direct3dModel.method3200 (a D3D model face/render-flag visibility test) via OR. Only confirmed real call site is direct/Direct3dModel.kt:543 `!method1740(anInt5472, anInt5463, false)`, guarding a shortArray-based model render path - consistent with a 'does this D3D model face/vertex have any of these special render flags set' helper. The bool param is a decoy: the one real caller and the self-recursive call in method1742 both always pass false, short-circuiting to `return true` at the top - meaning the OR expression at the bottom is dead code."
method1741,readLocalPlayerInitPacket,"class348_sub49_sub2: CipheredPacketBuffer, i: Byte","buffer: CipheredPacketBuffer, unused: Byte",medium,"Companion-object method unrelated to SimpleToggleOptionState (decompiler-merged content). Reads a login/world-init packet: creates the local Player object (LocalPlayerState.aPlayer_1907), computes its region-relative tile x/z from a packed int (14-bit fields) and plane from a further shifted byte, then loops over the remaining ~2046 possible player slots reading a compact per-slot coordinate/flag triple and populating parallel state arrays (SoundBankPatch.aTextureAtlasStateArray6802s, GlArrayBufferObject.anIntArray4709) - overall this is the server's initial 'world/player list' packet handler run once on login. Real call sites: SceneNodeDeque.kt:467 and :490, both inside the login/handshake state machine right after the final login-response packet is processed."
method1742,getMapLabelMenuEntry,"bool: Boolean, i: Int","unused: Boolean, index: Int",medium,"Companion-object method unrelated to SimpleToggleOptionState (decompiler-merged content). Bounds-checks `index` against SceneObjectEntity.anInt8731 (min) and MultiLevelOptionState.anInt6151 (max) and, if RenderableGroup.aBoolean5013 is set, returns the corresponding FireParticleStream.aClass110_Sub1Array97 element (declared as Array<MapLabelMenuEntry?>) - i.e. a bounds-checked lookup into a global map-label-menu-entry table by world/scene index. Called from ChatCommandProcessor.kt:2064 and ConfigArchiveLoader.kt:469 (both treat the result as having an aString5794 field) and ScanlineRasterFiller.kt:51. `if (bool != false) method1740(35, -126, false)` is a dead decoy call whose result is discarded."
