current_name,recommended_name,current_params,recommended_params,confidence,notes
method80,shutdownGameConnection,i: Int,unused: Int,high,"Abstract. Client's override (Client.kt:1254) tears down the active network/game session on shutdown: disconnects the game socket, stops the media/audio client thread, the script compiler thread, the host-ping thread, flushes buffered random-access cache files, and clears the last-loaded-frame reference. Called once from method90/shutdownClient as `method80(0)`."
stop,stop,(none),(none),high,"Overrides Applet.stop(). Schedules an idle-shutdown timeout (CameraNodeList.aLong1739 = now + 4000ms) only when this is the active applet frame and shutdown hasn't already started. Already idiomatic."
getParameter,getParameter,string: String?,name: String?,high,"Overrides GameApplet.getParameter; delegates to the outer browser-hosted applet (JagGlToolkitFactory.anApplet1530) if this isn't it, else returns null. Trivial passthrough."
method81,buildDiagnosticReport,i: Byte,unused: Byte,medium,"Open. Base implementation here always returns null (the `if (i <= 40) run()` branch and the null return make this effectively a no-op stub). Client's override (Client.kt:1767) builds a detailed crash/diagnostic string (region coords, various IntHashSet counters, native-library list via reflection) used in exception logging (method1242) and error messages. Several call sites (ConfigArchiveLoader.kt:572, ResourceLoaderThread.kt:102, Client.kt internal uses) force-unwrap the result with `!!`, confirming only the Client override is meaningfully used; the base GameAppletFrame stub is effectively dead weight. The `i` param only gates `if (i < 40) aNodeDeque_5185 = null` in Client's override, and every observed call site passes a value > 40 (115, 102, 80), so that branch is a confirmed decoy there too."
method82,reportFatalErrorAndRedirect,"i: Int, string: String?","unused: Int, errorCode: String?",medium,"Shows a one-time 'error_game_$errorCode' page (guarded by aBoolean27 so it only fires once), notifies a JS bridge of logout, and calls showDocument to navigate the hosting page to an error page named after `errorCode`. `i` only feeds a discarded `88 / ((i - -5) / 54)` expression - decoy (call sites pass -119, 81, 112, 52, 123 - varied but with no observed effect)."
windowActivated,windowActivated,windowevent: WindowEvent?,windowEvent: WindowEvent?,high,"WindowListener override, counter-increment only. Already idiomatic."
method83,isJagmiscNativeLibraryLoaded,bool: Boolean,unused: Boolean,medium,"Delegates to BlankTextureNode.method3098(-30282, \"jagmisc\") (itself backed by the companion's method2769 native-library loader/cache). `if (bool != true) getDocumentBase()` calls getDocumentBase() purely for its side effects (which are none beyond a counter) and discards the result - effectively dead; no call sites of method83 were found outside this file's own declaration, so its actual usage could not be confirmed - low-medium confidence on both name and the decoy characterization."
focusLost,focusLost,focusevent: FocusEvent?,focusEvent: FocusEvent?,high,"FocusListener override; marks the shared 'canvas has focus' flag false. Already idiomatic."
method84,onGameTickFrameStart,i: Int,tickIndex: Int,low,"Private. Records the current timestamp into a 32-entry ring buffer (MaterialTypeVariant.aLongArray8800) - likely a timing/FPS-diagnostics history, though the previous value read (`l_1_`) is compared but its result unused here. Toggles a shared 'redraw needed' flag, then calls the abstract method99/onRenderFrame hook. `if (i != -1) aBoolean27 = true` is dead at the sole call site (run()'s loop calls `method84(-1)` once per queued game tick), since -1 == -1 makes the condition always false - confirmed decoy."
update,update,graphics: Graphics,graphics: Graphics,high,"AWT Component.update override; delegates straight to paint() to avoid the default clear-then-paint flicker. Already idiomatic."
