current_name,recommended_name,current_params,recommended_params,confidence,notes
method1467,bytesAvailable,i: Byte,gate: Byte,high,"Returns 0 if closed (aBoolean2654), else anInputStream2652.available(). Every real call site (Client.kt:594, MediaStreamClient.kt:94) passes the literal 83, matching the internal `if (gate.toInt() != 83) InboundPacketHeader.aInboundPacketHeader_2665 = null` guard exactly - that reset branch is therefore always skipped in practice; a decoy nulling an unrelated static (InboundPacketHeader) that has nothing to do with this media-stream worker."
method1468,replaceWithDummyStreams,i: Int,gate: Int,medium,"When not already closed, swaps anInputStream2652 for a no-op InputStream_Sub2() and anOutputStream2657 for a ChatMessageStream() instance used purely as a dummy no-op sink - a 'simulate broken connection' hook analogous to AbstractGameSocket.method1702/SocketGameConnection.method1702. Sole call site MediaStreamClient.kt:215 passes 72, so the `if (gate < 63) anOutputStream2657 = null` pre-clear branch is dead in practice (72 is not < 63)."
method1470,queueWrite,"`is`: ByteArray, i: Int, i_5_: Int, i_6_: Int","buffer: ByteArray, length: Int, offset: Int, mode: Int",medium,"Copies `length` bytes from buffer[offset..) into the internal ring buffer aByteArray2663 (allocating it lazily at capacity anInt2669), throwing IOException on ring overflow, then (if not already queued) enqueues a drain job via aPrivilegedOperationWorker_2649.method2236 and notifies waiters. Body only runs `if (mode == -1)`; all Client.kt/MediaStreamClient.kt call sites pass literal -1 except one (MediaStreamClient.kt:312 passes `i.inv()`, a computed value that could differ from -1) - so this is mostly but not purely a decoy gate; flagged for a closer look at that one call site. If aBoolean2659 (prior-error flag) is set, throws immediately and clears the flag instead of writing."
method1472,checkForFailure,bool: Boolean,checkFlag: Boolean,medium,"When checkFlag is true and the worker isn't closed, throws IOException if a prior write/IO failure was recorded (aBoolean2659), clearing the flag first. Sole call site MediaStreamClient.kt:71 passes `true` unconditionally, so `checkFlag` never varies in practice - likely a vestigial parameter."
method1473,readByte,i: Int,gate: Int,high,"Returns 0 if closed, else (if gate==0) anInputStream2652.read(), else returns sentinel 38. Sole call site (Client.kt:595) always passes literal 0, so the sentinel-38 branch is dead in practice."
run,run,(none),(none),high,"Runnable.run() override - the background drain loop: waits on the object lock while the ring buffer (aByteArray2663, positions anInt2648/anInt2656) is empty and not yet closed, then writes the available contiguous run to anOutputStream2657 (catching IOException into aBoolean2659), advances the read pointer, flushes when caught up to the write pointer, and repeats until closed and drained. On exit, closes the input/output streams and the socket, discards the buffer, and reports any Exception via LinkedListIterator.method1242. Same overall ring-buffer producer/consumer pattern as BufferedOutputStreamWorker.run (refactor-notes/jvmMain/BufferedOutputStreamWorker.csv) but implemented with a raw Thread/Runnable + PrivilegedOperationWorker-queued job instead of a coroutine."
method1474,readFully,"`is`: ByteArray, i: Int, i_9_: Byte, i_10_: Int","buffer: ByteArray, offset: Int, gate: Byte, length: Int",high,"Blocking read loop that fills exactly `length` bytes into buffer starting at offset from anInputStream2652 (throwing EOFException on a non-positive read), when not closed. `if (gate.toInt() != -72) run()` is a self-referential decoy: every real call site (Client.kt:610, MediaStreamClient.kt:106/124) passes the literal -72, so run() is never re-invoked synchronously from here in practice - confirmed dead branch matching the project-wide opaque-predicate pattern."
finalize,finalize,(none),(none),high,"Java finalizer override; calls method1476((-126).toByte()) to force-close/shutdown the worker if it was never explicitly closed."
method1476,shutdown,i: Byte,gate: Byte,high,"Marks the worker closed (aBoolean2654=true) and notifies waiters under the object lock, then blocks (via runBlocking on the queued Job) until the pending drain operation actually finishes. `if (gate > -120) method1476((-105).toByte())` is a confirmed dead self-recursive tail call: every real call site (MediaStreamClient.kt, values -121..-126, and finalize's -126) passes gate<=-120, so the condition `gate > -120` is always false and the recursive call never fires - matches the project-wide confirmed-dead self-recursive decoy pattern (cf. NodeDequeStatics.method1991 noted in PLAN.md)."
method1469,clearSpriteDrawTargetsGrid,i: Int,gate: Int,low,"Companion/JvmStatic. Entirely unrelated to media-stream/socket logic: resets MaterialPass.anInt3682 and SceneryDetailOptionState.anInt6095 to 0, then iterates a WhirlpoolHash-dimensioned grid calling NpcSpawnDecoder.anSpriteDrawTargetArray1525[index]!!.method15(...) for every cell - looks like a full-grid sprite/tile draw-target repaint or clear, decompiler-merged into this file (matches the project-wide 'unrelated companion content' pattern). Sole real call site FireParticleStream.kt:475 (guarded by WhirlpoolHash.anInt7207==1); the internal self-reference from method1475 never actually fires (see method1475 notes). `gate` param only feeds a discarded dead local `29 % ((-42-gate)/63)`."
method1471,resetStreamCaches,i: Byte,gate: Byte,medium,"Companion/JvmStatic. When gate>=80, nulls aLruByteCache_2671, InboundPacketHeader.aInboundPacketHeader_2665, and aFontMetaRef_2661. Sole call site is Client.kt:730 (`method1471(124.toByte())`, imported directly via `SocketStreamWorker.Companion.method1471`), embedded in the same long straight-line startup/logout reset sequence noted in PLAN.md for other per-subsystem static-state resets - consistent with being one of many generic resets rather than networking-specific logic, despite clearing an LRU byte cache and font-metadata ref that plausibly belong to this streaming worker."
method1475,isRegionResourceReady,"i: Byte, i_12_: Int, i_13_: Int","gate: Byte, id: Int, category: Int",low,"Companion/JvmStatic. Bitwise-ANDs the results of SphereMapMaterialPass.method2174 and IndexedFileCache.method1163 (both unrelated cache/texture-lookup classes) - nothing here touches socket/stream state. `if (gate > -95) method1469(-48)` is dead at both known call sites (NodeDequeHolder.kt passes -107, OpenGlModel.kt passes -96, both <= -95, so method1469 is never actually invoked from here). Returns Boolean confirmed by call sites which OR/consume it as a boolean readiness/visibility check in rendering code - clearly decompiler-merged content unrelated to this class's name."
