current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"anInt1086: Int, i_10_: Int = anInt1086","capacity: Int, initialTableSizeHint: Int = capacity",high,"Primary constructor. anInt1086 becomes both the mutable 'remaining budget' field and (copied in init) the immutable max-capacity field anInt1084. i_10_ defaults to the capacity itself and is used only to size the internal Hashtable: init block finds the smallest power-of-two i_11_ with i_11_+i_11_ >= min(capacity, i_10_). Confirms this is a byte/size-budgeted LRU cache (fields: aHashtable_1100 keyed by Long id, aLinkedNodeListIterator_1089 an LRU-ordered doubly linked list of CacheEntryReference)."
method575,countLiveEntries,i: Int,offset: Int,medium,"Walks the LRU linked list from the head (via aLinkedNodeListIterator_1089.method1011(-84)/.method1003(79.toByte()) as next-iterator) and increments a running count for every node where !node.method3195(-4) (i.e. node is NOT in the 'cleared/discarded' state). Returns offset + count. Sole call site (MapArchiveSource.kt) passes 0, so effectively 'how many live entries are cached'."
method577,getMaxCapacity,i: Int,unused: Int,high,"Returns anInt1084 (the immutable capacity captured at construction). Guard 'if (i != -4) method577(19)' is a self-recursive opaque predicate: the only real call sites (ConfigArchiveLoader.kt) pass -4 and 'i xor 0x4d', the latter never literally equalling -4 either in practice for the observed usage, but the recursive branch just re-invokes with a fixed decoy value 19 and discards the result -- effectively dead/instrumentation-only, not affecting the return value."
method578,tickCacheEntries,"i: Int, i_2_: Int","opcode: Int, currentTick: Int",medium,"Opcode-dispatch method; only opcode==2 is implemented (matches the only call sites, which all pass literal 2). For each live LRU node: increments the node's access-age counter (aLong7057) and, once it exceeds currentTick, uses aParticleEmitterFactory_5675 to regenerate/replace the cached value in place (re-inserted at the same list position via method573, old node marked discarded). For already-discarded nodes whose referent is null (GC'd), evicts them and frees capacity. Looks like a periodic maintenance/refresh-ahead pass for a factory-backed resource cache (class field aParticleEmitterFactory_5675 strongly suggests particle-texture caching, per companion field name)."
method579,pollLiveEntry,i: Int,unusedDecoy: Int,low,"Iterates raw Hashtable entries (aHashtable_1100.method3482(0)), dereferences each via node.method3193(114); returns the first live (non-null) referent found, evicting any dead/cleared nodes it passes over along the way. Used together with method588 in SoftwareRenderer.kt as an object-pool-style 'find something reusable, sweep garbage' primitive. Exact semantics of Hashtable.method3482 (iteration order/removal) not verified since Hashtable.kt is out of scope for this file."
method580,put,"i: Int, `object`: Any?, l: Long, i_5_: Int","unusedDecoy: Int, value: Any?, key: Long, size: Int",high,"Cache put: asserts size <= max capacity, first removes any existing entry for key (method586), deducts size from the remaining-capacity budget (anInt1086), evicts LRU-oldest entries (method1008/method585) while the budget is negative, then wraps value+size in a new HardCacheEntryReference, stores it in the hashtable and inserts it into the LRU list (method1005(true, node)), resetting its access-age counter to 0. Standard put-with-eviction for a size-budgeted LRU cache. First param i is a decoy only used in the wrapped exception message."
method581,getRemainingCapacity,i: Int,unusedDecoy: Int,high,"Returns anInt1086 (current remaining byte/size budget, decreases as entries are put and increases as entries are evicted). Guard 'if (i != -18529) method583(-64L, 37)' never fires at the sole call site (ConfigArchiveLoader.kt passes -18529 literally), so the get-call side effect is dead code -- confirmed opaque predicate."
method582,putSingleCost,"`object`: Any?, l: Long, i: Byte","value: Any?, key: Long, unusedDecoy: Byte",high,"Thin wrapper around put(): method580(31902, object, l, 1) -- always inserts with a fixed size cost of 1 and a decoy first arg (31902) that has no effect on put's behavior beyond appearing in exception text. Used e.g. by SkeletalAnimFrameLoader to cache one AbstractModelRenderer per key."
method583,get,"l: Long, i: Int","key: Long, unusedDecoy: Int",high,"Cache get-with-touch: looks up the entry by key; if missing returns null; if its referent has been GC'd (method3193(86)==null), evicts the stale node and returns null; if the node is in the 'discarded/soft' state, promotes it to a fresh HardCacheEntryReference (re-inserted at the MRU position, access-age reset) and discards the old node; otherwise just moves the existing node to the MRU position and resets its access-age counter. This is the standard LRU-touch get() for the cache."
method585,evictEntry,"class348_sub42_sub8: CacheEntryReference?, i: Int","entry: CacheEntryReference?, unusedDecoy: Int",high,"Private helper: if entry != null, marks it discarded (method2715/method3162(true)) and adds its size back to the remaining-capacity budget (anInt1086). The i parameter is only used in a dead, never-read local computation (80 / ((i - 6) / 36)) -- pure decoy, and a risky one (could throw ArithmeticException/DivideByZero if ever evaluated with i=6, but the result is discarded either way)."
method586,removeByKey,"l: Long, i: Int","key: Long, unusedDecoy: Int",high,"Private helper: looks up the entry for key in the hashtable and evicts it via method585. The i param guards 'if (i != 0) aLinkedNodeListIterator_1089 = null' which would destructively null out the entire LRU list -- this branch never fires because the sole call site (inside put/method580) always passes i=0. Flagged as a dangerous opaque-predicate/dead branch, not real behavior."
method587,sweepDiscardedEntries,i: Int,unusedDecoy: Int,medium,"Walks the LRU list from the head; any node in the 'discarded' state (method3195(-4) true) is evicted (freed back into the capacity budget). The trailing 'if (i >= -75) method587(-97)' is a self-recursive opaque predicate: the only call site (AudioResampler.kt) passes -86, and -86 >= -75 is false, so the recursive branch never executes -- dead code, not a real repeat-until-clean loop at runtime."
method588,reclaimLiveEntry,i: Int,unusedDecoy: Int,low,"Same shape as method579 but starts iteration via aHashtable_1100.method3484(0) instead of method3482(0), and returns the first live (non-null) referent (method3193(119)) while evicting dead nodes it passes. The internal guard 'if (i != -5052) method577(77)' never fires because the only call site (SoftwareRenderer.kt) passes -5052 literally. Semantic difference vs pollLiveEntry (method579) is unclear without reading Hashtable.kt; likely a 'pop instead of peek' variant used for object-pool reuse."
method590,clear,i: Int,unusedTick: Int,high,"Clears the cache: resets the LRU list (aLinkedNodeListIterator_1089.method1009(...)), clears the hashtable (aHashtable_1100.method3481(i)), and resets the remaining-capacity budget back to max (anInt1086 = anInt1084). Called from dozens of sites, almost always with 0; a few pass tick-derived offsets (e.g. i + 6080) that appear to just get folded into a large added constant before being handed to method1009/method3481 with no observable difference in behavior -- treated as an (mostly) unused decoy parameter."
method2118,tryCreateScaledParticleEmitter,i: Byte,unusedDecoy: Byte,medium,"Companion factory method: attempts to construct a ScaledParticleEmitter(), returning it as a ParticleEmitterFactory, or null if construction throws. Used once, to lazily initialize the companion field aParticleEmitterFactory_5675 used by method578's regeneration logic."
method573,insertNodeBefore,"class348_sub42: HashLinkedListNode?, class348_sub42_15_: HashLinkedListNode?, i: Byte","node: HashLinkedListNode?, refNode: HashLinkedListNode?, unusedDecoy: Byte",high,"Companion doubly-linked-list helper: unlinks node from wherever it currently sits (if linked) then splices it in immediately before refNode (node.next=refNode, node.prev=refNode.prev, and fixes up both neighbors' pointers). Used by method578 to replace/re-insert a regenerated cache entry at the same LRU position as the entry it's replacing."
