current_name,recommended_name,current_params,recommended_params,confidence,notes
method2525,getNodeDequeHolder,(none),(none),high,"Trivial getter for aNodeDequeHolder_6481."
method2528,renderSpotAnimations,var_renderer: Renderer?,renderer: Renderer?,medium,"Clears aNodeDequeHolder_6481's SceneNodeDeque (via method845/clear) then iterates the aDoublyLinkedNodeList_6478 list of SpotAnimEntity nodes, calling class318_sub7.method2511(true, renderer, aLong6471) for each — draws each active spot-animation (graphical effect) entity."
method2529,markSpotAnimsDirty,(none),(none),medium,"Sets aBoolean6484 = true. Consumed in method2535 to trigger a one-time 'catch-up' initialization pass over all spot anims."
method2530,resetAndPool,(none),(none),medium,"Full reset: nulls/clears the projectile array, resets counters, creates fresh DoublyLinkedNodeList/NodeDeque, unlinks self (method2373(false), inherited), then stores itself back into the DisplaySettingsConfig.aClass318_Sub10Array7249 pool array at the current write index and advances that index (mod pool capacity via a bitmask). Classic 'return this instance to an object pool' pattern, paired with the companion's method2526 pool-obtain."
method2531,initialize,"i: Int, bool: Boolean","startTime: Int, flag: Boolean",medium,"Private. Sets aLong6472 = aLong6471 = startTime, aBoolean6484 = true, aBoolean6482 = flag. Called from both the constructor/init and the companion pool-obtain method2526 to (re)initialize a pooled instance. Purpose of `flag` (aBoolean6482) unclear — it is written here but no read of aBoolean6482 was found within this file."
method2532,updateSpotAnimations,"var_renderer: Renderer?, modelFacePriorityNodes: Array<ModelFacePriorityNode?>?, bool: Boolean","renderer: Renderer?, priorityNodes: Array<ModelFacePriorityNode?>?, preserveExisting: Boolean",medium,"Private. Matches existing SpotAnimEntity list entries against up to 32 ModelFacePriorityNode slots, marking a scratch BooleanArray for slots still in use; when not preserveExisting, entries no longer referenced are either unlinked+cleared (if their internal counter is 0) or flagged for later cleanup. Unmatched slots get new SpotAnimEntity instances created and linked in, capped at 32 total."
method2533,setPlane,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int, i_3_: Int","plane: Int, unused1: Int, unused2: Int, unused3: Int, unused4: Int",medium,"Only assigns anInt6483 = i; the other four parameters are entirely unused in the body. Called from SceneObjectAnimator.method1670 as (plane-like byte, several coordinate/flag ints) — 4 of 5 args are dead decoys at this call site, consistent with the obfuscator's padding pattern."
method2534,setTimeChanged,(none),(none),medium,"Sets aBoolean6473 = true. Paired with private method2537 (sets false); method2535 chooses between them based on whether aLong6472 != aLong6471, then passes !aBoolean6473 onward as an interpolate/smooth flag to spot-anim updates."
method2536,syncEntities,"var_renderer: Renderer?, l: Long, modelFacePriorityNodes: Array<ModelFacePriorityNode?>?, widgetRedrawRegions: Array<WidgetRedrawRegion?>?, bool: Boolean","renderer: Renderer?, time: Long, priorityNodes: Array<ModelFacePriorityNode?>?, redrawRegions: Array<WidgetRedrawRegion?>?, preserveExisting: Boolean",medium,"If the container hasn't been reset (!aBoolean6470), delegates to method2532 (sync spot anims against priorityNodes) and method2538 (sync sprite render entries against redrawRegions), then updates aLong6472 = time."
method2537,clearTimeChanged,(none),(none),medium,"Private. Sets aBoolean6473 = false — see method2534."
method2538,updateWidgetRedrawEntries,"widgetRedrawRegions: Array<WidgetRedrawRegion?>?, bool: Boolean","redrawRegions: Array<WidgetRedrawRegion?>?, preserveExisting: Boolean",medium,"Private. Same match/create/cleanup pattern as method2532 but for the aNodeDeque_6479 list of SpriteRenderEntry nodes against up to 8 WidgetRedrawRegion slots; also registers new entries into a global long-keyed hash table (GlGroundShaderPass.aLongHashTable_7415) subject to a global cap (SpotAnimEntity.anInt6450 < 32)."
method2539,collectProjectileRenderQueue,(none),(none),medium,"Clears aNodeDequeHolder_6481's deque, then for every non-null entry in the projectile array (aClass318_Sub9_Sub2_Sub1Array6475) that has a non-null 'target' field (aClass318_Sub7_10419), pushes it into the deque via method844 (addLast). Returns the populated NodeDequeHolder — effectively (re)builds a render-order queue of active projectiles."
method2540,setTargetTime,l: Long,time: Long,high,"Trivial setter for aLong6472."
method2526,obtain,"i: Int, bool: Boolean","startTime: Int, flag: Boolean",high,"Companion, object-pool 'obtain' factory: if the pool has a free/expired slot (read index != write index), reuses and re-initializes (via method2531) a pooled instance from DisplaySettingsConfig.aClass318_Sub10Array7249, else allocates a brand-new SceneGraphContainer."
method2527,free,(none),(none),high,"Companion, @JvmStatic. Nulls the two static scratch BooleanArrays (aBooleanArray6474, aBooleanArray6477) — a shutdown/teardown hook."
