current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,var_ha_Sub3: NativeRenderer,renderer: NativeRenderer,medium,"Primary constructor is a trivial forward to super(AbstractRenderPass(renderer)), but the accompanying `init` block does real work when `renderer.aBoolean8101` (a cubemap-capability flag) is set: it procedurally generates 3 precomputed 64x64x6 'fake' ambient/specular cubemap light-probes at 3 different angular falloff exponents (96, 36, 12 - i.e. narrow/medium/wide specular lobes, a classic multi-roughness-tier IBL precompute), each face built by projecting a 2D grid onto a sphere-ish direction vector and evaluating `dirComponent^exponent` per face axis, then uploads each via the abstract `method3900(pixels, false, tier, 64)` (NativeRenderer.method3900: 'createCubeTexture') into `anInterface18_Impl2Array7315[0..2]`. `renderer.anInt8090 < 3` (some capability/tier count) sets aBoolean7311, a 'low-detail hardware' flag reused throughout the class's overrides. Only 1 real construction site (NativeRenderer.kt:659, `GlCubemapLightPass(this)`)."
method3530,isPassReady,i: Int,unused: Int,high,"Overrides AbstractRenderPass.method3530 (abstract, see AbstractRenderPass.csv/'isPassReady' - other siblings: BasicGlRenderPass 'isPassSupported', FixedFunctionWaterPass 'isReady'). Unlike those siblings (which gate a cached shader-compiled boolean), this override unconditionally returns true always, with `if (i > -57) method3525(91, false)` as a decoy self-call into renderLightProbePass. All real call sites shared across every AbstractRenderPass subclass (NativeRenderer.kt:1085,2202-2205, values -78/-58/-74/-104/-116) are <= -57, so the decoy branch is confirmed dead. Net effect: this pass reports itself always-ready (no shader-compile failure path, consistent with it falling back to a purely CPU-procedural cubemap when hardware capability is low, per the constructor's aBoolean8101/aBoolean7311 logic)."
method3525,renderLightProbePass,"i: Int, bool: Boolean","reason: Int, isReady: Boolean",medium,"Overrides AbstractRenderPass.method3525 (abstract 'activate/render this pass', see AbstractRenderPass.csv - siblings: BasicGlRenderPass 'beginRenderPass', FixedFunctionWaterPass 'renderPass'). The real call site (NativeRenderer.kt:1198, `method3525(15192, bool)`) always passes the literal 15192 for `reason`, matching every sibling's dead-decoy pattern for this token - except here `reason` is NOT purely decoy: it's used arithmetically at the end (`method3897(0, reason + -19574)` == -4382), matching the state code opened at the top of the method (`method3897(1, -4382)`) - i.e. `reason` really is threaded through as a begin/end GL-state bracket code, just always evaluating to the same constant in observed usage. When `anInterface18_Impl2Array7315 != null && isReady`, orients the renderer to a cubemap-probe camera (method3871 with ItemModelDefinition.aCameraNodeList_430), obtains/clears a render target (method3820/method899), applies render-config blends and issues 1-2 draw calls depending on aBoolean7311 (low- vs high-detail path, the high-detail path adding an extra RenderConfigFactory blend and rebinding a default renderable at the end), then sets aBoolean7317=true so method3520/endRenderPass knows a teardown is owed. Otherwise (no probes or not ready) just re-issues a fallback draw via trig lookup tables. Params best-effort per the sibling-established (reason/token, enabled) shape."
method3527,bindRenderable,"i: Int, renderable: Renderable?, i_12_: Int","renderConfigId: Int, renderable: Renderable?, unusedDecoy: Int",medium,"Overrides AbstractRenderPass.method3527 (abstract, see AbstractRenderPass.csv/BasicGlRenderPass.csv/FixedFunctionWaterPass.csv - all named 'bindRenderable', kept consistent here). Sets the active renderable (method3850) and applies a render-config selection by id (method3923(true, renderConfigId)). The only real call site (NativeRenderer.kt:330) passes -16776 for the trailing param, matching `if (i_12_ != -16776) method3525(61, true)` exactly, so the decoy re-invocation of renderLightProbePass is confirmed dead."
method3520,endRenderPass,i: Byte,unusedDecoy: Byte,medium,"Overrides AbstractRenderPass.method3520 (abstract 'tear down this pass', see AbstractRenderPass.csv - siblings: BasicGlRenderPass 'endRenderPass', AbstractRenderPass abstract-level 'deactivatePass'). Only does real teardown when aBoolean7317 is true (i.e. renderLightProbePass actually rendered this frame): rebinds the default camera (method3871), applies the same low-/high-detail-branching RenderConfigFactory blend sequence as renderLightProbePass in reverse, then clears aBoolean7317. When aBoolean7317 is false, just re-issues the fallback trig-lookup draw. The real call site (NativeRenderer.kt:1195, `method3520(87.toByte())`) matches every sibling's confirmed-dead `if (i.toInt() != 87) aBoolean7311 = true` decoy guard exactly (would otherwise force the low-detail flag on)."
method3521,applyRenderConfigBlend,"bool: Boolean, i: Byte","unusedBool: Boolean, unusedDecoy: Byte",low,"Overrides AbstractRenderPass.method3521 (abstract, see AbstractRenderPass.csv/'syncPassEnabledState' - siblings largely reduced to no-ops by the same decoy pattern: BasicGlRenderPass 'setPassEnabledNoop', FixedFunctionWaterPass 'applyFogBlend'). `bool` is completely unused in the body. Real effect: unconditionally applies a RenderConfigFactory blend/select with a fixed code (126). The decoy branch, `if (i.toInt() != -103) method3542(74, null, 65, 65, -77, true)`, is notable: it would call the giant unrelated terrain-collision-flood-fill method below (method3542) with a null collision-entries array, which - given that method3542 always early-returns false when its `sceneCollisionEntries` param is used for iteration - is likely inert even if reached, but the real call sites (NativeRenderer.kt:1199/1206, always `(bool, (-103).toByte())`, matching every sibling) confirm this branch never actually fires."
method3526,bindLightProbeTexture,"i: Int, i_40_: Int, i_41_: Int","reason: Int, tierIndex: Int, unused: Int",medium,"Overrides AbstractRenderPass.method3526 (abstract 'configure pass parameters', see AbstractRenderPass.csv/BasicGlRenderPass.csv 'onResize'/FixedFunctionWaterPass.csv 'configureWaveTexture'). The 3rd param (`unused`) is never referenced in the body at all - a confirmed decoy distinct from the usual dead-branch pattern. Real call sites (NativeRenderer.kt:1200/1208, `method3526(10756, i, i_132_)`) always pass the literal 10756 for `reason`, matching `if (i != 10756) method3520((-127).toByte())` exactly (dead decoy re-teardown call). When a render actually happened this frame (aBoolean7317), binds one of the 3 precomputed specular-tier cubemap textures via `anInterface18_Impl2Array7315[tierIndex - 1]` (1-based index into the 3 roughness tiers built in the constructor) using a GL state bracket derived arithmetically from `reason` (mirrors renderLightProbePass's `reason`-derived state codes)."
method3541,resetCubemapLightPassCaches,i: Byte,unused: Byte,high,"Companion/@JvmStatic cache-reset routine. Nulls 2 InboundPacketHeader statics and aLinkedNodeListIterator_7325 unconditionally, plus aFontMetaRef_7318 when `unused.toInt() == 23`. The single real call site, Client.kt:1171 (`method3541(23.toByte())`), matches that guard exactly (real, not dead) and sits immediately between BasicGlRenderPass.method3539/clearRenderPassCaches (Client.kt:1170) and FixedFunctionWaterPass.method3550/resetResources (Client.kt:1172) - confirming this whole block of Client.kt is a sequential per-render-pass teardown/logout routine, one reset call per pass type."
method3542,floodFillCollisionRegionFlags,"i: Int, sceneCollisionEntries: Array<Array<Array<SceneCollisionEntry?>?>?>?, i_13_: Int, i_14_: Int, i_15_: Int, bool: Boolean","tileX: Int, sceneCollisionEntries: Array<Array<Array<SceneCollisionEntry?>?>?>?, tileY: Int, queueStart: Int, boundsIndex: Int, isMainPlane: Boolean",low,"Companion/@JvmStatic, semantically unrelated to cube-map lighting - a large (~150 line) terrain/collision flood-fill utility, another decompiler-merged grab-bag method (per PLAN.md's recurring jvmMain-companion pattern; comparable in spirit to CollisionMap's flag-grid methods and BasicGlRenderPass.csv's similarly-unrelated method3540). Confirmed real (not dead) via its only call site, MapElementDecor.kt:330 (`method3542(x, collisionEntries, y, 0, boundsIndexVar, true)`) - used there to flood-fill a byte-flag grid (`RegionSceneLoader.aByteArrayArrayArray3700`) outward from a tile using a fixed-size ring-buffer work queue (`PcmStreamBuffer.anIntArray8862`/`ClientException.anIntArray110`, masked to 0xfff, i.e. a 4096-entry circular queue), checking neighbouring-plane visibility/occlusion bits (`GraphicsOptionState.aByteArrayArrayArray6962`, bit 0x4) and updating shared scene-bounds accumulator arrays (FileIoUtil/LinkedListIterator/BlankTextureNode/ConnectionStateType/CharCodeMap anIntArray fields) - consistent with computing/expanding a lit-region's screen-space or world bounding box for shadow/lighting purposes, which is plausibly why it ended up bundled into this lighting-pass class despite being collision-map machinery. Given the scale and single call site, only the outer structure and real vs. dead top-level guard (`i_16_ == cached value` early-return) were traced with confidence; individual inner branch semantics (the 4 directional neighbour-check blocks) are best-effort and not independently confirmed - recommend a follow-up pass if this method is prioritized."
method3543,resetFontMetaAndTextureCache,i: Byte,unused: Byte,medium,"Companion/@JvmStatic, unrelated to cube-map lighting - clears FontMetaRef.aBoolean4328 and calls TextureCache.method3466(reason+6) when `unused.toInt() == -89`. The single real call site, Client.kt:1583 (`GlCubemapLightPass.method3543((-89).toByte())`), matches that guard exactly (real, not dead) - appears to be part of a font/texture-cache invalidation switch inside Client.kt rather than anything cubemap-specific (another decompiler-merge artifact)."
