current_name,recommended_name,current_params,recommended_params,confidence,notes
"<init>",<init>,"aS_Sub3_6566: NativeTerrainTile, anInt6567: Int, i_43_: Int, anInt6571: Int, anInt6575: Int, anInt6569: Int","terrainTile: NativeTerrainTile, materialGroupId: Int, tileSize: Int, width: Int, depth: Int, height: Int",medium,"Per-terrain-tile, per-material-group vertex color buffer used to blend shared vertex colors across adjacent tiles (a LinkedListNode, chained per tile). `anIntArray6573` (sized terrainTile.anInt4590*anInt4587, i.e. one entry per tile-grid cell) tracks which triangle corners of each cell contribute to this material group, via markTriangleCornerFlag. `tileSize` is stored as a float (aFloat6582) used later as a texture-scale divisor in NativeTerrainTile."
method2736,allocateColorStream,"i: Byte, i_0_: Int","unusedDecoyId: Byte, vertexCapacity: Int",medium,"Recursive decoy: `if (i.toInt() != -57) allocateColorStream(25, -39)` - sole confirmed call site (NativeTerrainTile.kt:120) passes -57.toByte(), so this never actually recurses in practice, but note it IS a real self-call, not dead math. Allocates a native GPU-mappable byte buffer sized `4 * vertexCapacity` (RGBA per vertex) and wraps it in a Stream for sequential writes."
method2737,buildAndDrawColorGroupIndices,"i: Byte, is: IntArray, i_1_: Int","unusedDecoyId: Byte, materialGroupIds: IntArray, groupCount: Int",low,"For each of the first `groupCount` entries in `materialGroupIds`, looks up the shared per-tile triangle-corner index arrays (terrainTile.aShortArrayArray8299) and, for every corner bit previously set via markTriangleCornerFlag (anIntArray6573), writes that corner's 3 remapped vertex indices into a new index-buffer Stream (byte order chosen by a native-endianness check `c()`). Uploads the resulting index buffer to a new VBO and issues a draw call (aHa_Sub3_6590.method3938) referencing this instance's shared vertex-color buffer, but only when the VBO upload succeeds and at least one triangle corner was written. Confirmed call site: NativeTerrainTile.kt:504."
method2740,uploadColorBufferToVbo,"i: Int, i_22_: Int","unusedDecoyId: Int, vertexCount: Int",medium,"Finalizes the native byte stream (aStream6574.a(), likely 'flush'), creates a new GPU vertex-buffer resource, uploads `4 * vertexCount` bytes from the native heap buffer into it, then releases the CPU-side native buffer/stream references. `unusedDecoyId` only feeds a dead `44 % ((i - 19) / 33)` expression. Confirmed call site: NativeTerrainTile.kt:380."
method2741,writeVertexColor,"i: Int, f: Float, i_24_: Int, i_25_: Int, i_26_: Int","vertexIndex: Int, brightness: Float, unusedDecoyId: Int, shadeLevel: Int, baseColor: Int",medium,"Computes the final RGB color for one vertex: if this buffer has a material group id (anInt6567 != -1), blends `baseColor` toward the material's configured highlight/fog color (via aRenderConfig4579.method3, gated on the material's alpha/type bytes) proportional to `shadeLevel` (clamped 0..127, scaled to a 0-16777215 range), then further tints by the material's secondary tint byte. Then, if `brightness != 1.0`, scales each RGB channel by `brightness` (clamped 0-255). Seeks the stream to `vertexIndex*4` and writes the 3 color bytes in an order depending on the renderer's endianness flag (anInt8178). Decoy `if (unusedDecoyId != 1624) createKeyboardListener(null, 67)`; sole confirmed call site (NativeTerrainTile.kt:306) passes the literal 1624, so dead there."
method2742,markTriangleCornerFlag,"i: Int, i_38_: Int, i_39_: Int, i_40_: Byte","cornerIndex: Int, tileX: Int, tileZ: Int, unusedDecoyId: Byte",medium,"Sets bit `1 shl cornerIndex` in this material group's per-tile-cell bitmask (anIntArray6573[tileX*terrainTile.anInt4587+tileZ]) via an aliased bit-combine call (imported as WhirlpoolHash.Companion.method2057, likely a decompiler mis-attribution of a plain OR/set-bit helper rather than an actual Whirlpool hash step), then increments the running unique-vertex counter (anInt6589). Decoy `if (unusedDecoyId > -65) aFloat6586 = -1.0413289f` touches an unrelated companion float; confirmed call sites in NativeTerrainTile.kt (lines 336/339/343/350) pass a mix of bytes both above and below -65, so this decoy MAY fire for some real calls - flagged as not fully dead, though aFloat6586's own purpose wasn't traced."
method2744,writeVertexAlphaMarker,"i: Byte, i_42_: Int","unusedDecoyId: Byte, vertexIndex: Int",medium,"Seeks the color stream to `4*vertexIndex + 3` (the alpha byte of that vertex's RGBA slot) and writes -1 (0xFF, fully opaque), effectively initializing/marking each unique vertex's alpha before writeVertexColor fills in its RGB. Decoy `if (unusedDecoyId > -106) this.anInt6571 = -80`; confirmed call sites (NativeTerrainTile.kt:317,347-349) pass a mix of bytes, not exhaustively checked against -106 in this pass."
method2738,clearVertexColorStatics,i: Byte,unusedDecoyId: Byte,low,"Companion. Nulls InboundPacketHeader.aInboundPacketHeader_6584 and aSystemFontGlyphs_6581 - both apparently unrelated to this class's own vertex-color-buffer responsibility (grab-bag merged static). `unusedDecoyId` only feeds a dead `89 / ((19 - i) / 43)` expression."
method2739,resetSharedCounter,i: Int,value: Int,low,"Companion. Clears a node deque (GrayscaleEffect.aNodeDeque_9201.method1996(98)) and sets IntPair.anInt6969 = `value` - another apparently-unrelated grab-bag merged static, not part of this class's own feature area."
method2743,createKeyboardListener,"component: Component?, i: Byte","component: Component?, unusedDecoyId: Byte",medium,"Companion. Constructs and returns an AwtKeyboardListener wrapping `component` - entirely unrelated to vertex color buffers (grab-bag merged static, consistent with this codebase's frequent pattern of unrelated statics sharing a companion object). `unusedDecoyId` only feeds a dead `-16 % ((i - -58) / 63)` expression."
