current_name,recommended_name,current_params,recommended_params,confidence,notes
method1305,processExpiredTempOverrides,"i: Byte, bool: Boolean","decoy: Byte, forward: Boolean",high,"Walks aHashtable_5070 (keyed by varp id -> LongKeyNode) either forward or backward (`forward` selects method3484/method3482 iteration direction), and for each node whose encoded expiry timestamp (`aLong6762 and 0x3fffffffffffffffL`, a 62-bit millisecond timestamp packed alongside two high flag bits) has passed: if the node's 'permanent' flag bit (0x4000000000000000L) is set, restores this varp's live value (anIntArray5063[id]) from its permanent/base value (anIntArray5078[id]), removes the node from the table, and returns that varp id; otherwise just removes the (non-permanent, fully expired) node and continues. Returns -1 if no node needed processing. This is the tick-driven cleanup for the temporary-varp-override system (see method1306/1313 below) - reverts a temp-overridden varp back to its real value once its ~500ms grace period expires."
method1306,setTempVarpOverride,"i: Byte, i_1_: Int, i_2_: Int","decoy: Byte, value: Int, varpId: Int",high,"Only runs when `decoy==-78` (gate, not a typical decoy since it's the sole entry condition for the whole body). Writes `value` directly into the live varp array anIntArray5063[varpId] (bypassing the permanent/base array anIntArray5078), then creates or refreshes a LongKeyNode in aHashtable_5070 with expiry `now+500ms` (GameClock.method599-based) - registering this varp for the method1305 expiry-revert sweep. Implements a short-lived client-side varp override (e.g. a UI preview value that should snap back after ~500ms if not confirmed by the server)."
method1307,setTempVarbitOverride,"i: Int, i_8_: Int, i_9_: Int","varbitId: Int, minValue: Int, newValue: Int",high,"Resolves the varbit's backing varp id/bit-range via RenderConfigFactory.aVarbitDefLoader_2981.method1446 (the VarbitDefLoader, see that file's CSV - returns a HitsplatDefinition-typed record repurposed to hold varp-id/low-bit/high-bit fields), clamps `newValue` to the bit-range's max width (comparing against `minValue` as a lower-bound sentinel, resetting to 0 if out of range), then merges the shifted bits into the *live* varp value via method1306 - i.e. the temp-override counterpart to method1316's permanent varbit setter."
method62,getVarbit,"i: Int, i_3_: Int","varbitId: Int, gate: Int",high,"Override of VarResolver.method62. `gate!=-65536` short-circuits to dead literal -52; live path resolves the varbit's definition (RenderConfigFactory.aVarbitDefLoader_2981.method1446) and extracts its bit-range from the live varp array: `(anIntArray5063[varpId] shr lowBit) and bitmask`, where the bitmask is looked up from the companion's anIntArray1885 power-of-two-minus-one table (see init block below) indexed by bit-range width - textbook RS varbit-from-varp bit extraction."
method1313,setVarp,"i: Byte, i_24_: Int, i_25_: Int","decoy: Byte, value: Int, varpId: Int",high,"Sets the PERMANENT/base value anIntArray5078[varpId] = value (as opposed to method1306's live-only temp override), then either creates a LongKeyNode flagged as permanent (the literal 4611686018427387905L = 0x4000000000000001L, i.e. flag-bit set + minimal timestamp, meaning 'never expires') or, if an existing node isn't already permanent, refreshes its expiry to now+500ms. `decoy!=42` sets the unrelated static anInt5065=-16 as a side effect."
method1314,clearNonPersistentVarps,i: Byte,decoy: Byte,high,"Iterates every varp definition in NormalMapGenerator.aParticleAmountCache_3453 (a generically-named cache reused here as the varp/varbit definition table, cf. VarbitDefLoader.csv's cross-reference) and, for any definition whose flag field (anInt2125) is 0 (i.e. NOT flagged persistent-across-logout), clears both the permanent (anIntArray5078) and live (anIntArray5063) values for that varp id to 0. Then discards the entire override hashtable (fresh empty Hashtable(128)). This is the client's logout/world-hop 'reset all non-persistent varps' routine."
method61,getVarp,"i: Int, i_28_: Byte","varpId: Int, decoy: Byte",high,"Override of VarResolver.method61. Returns anIntArray5063[varpId] (the live value, which may currently be a temp override per method1306). `decoy!=-16` sets the unrelated static anInt5065=51 as a side effect."
method1316,setVarbit,"i: Byte, i_30_: Int, i_31_: Int","gate: Byte, varbitId: Int, newValue: Int",high,"Only runs when `gate<-56`. Resolves the varbit's backing varp/bit-range the same way as method1307, clamps `newValue` to the bit width, and merges the shifted bits into the *permanent* varp value via method1313 - the permanent-store counterpart to method1307's temp-override setter."
method1308,drawViewportOverlayDispatch,"i: Int, i_14_: Int, i_15_: Int, i_16_: Int, i_17_: Byte, i_18_: Int, i_19_: Int, i_20_: Int","a: Int, b: Int, c: Int, d: Int, decoy: Byte, e: Int, f: Int, g: Int",low,"@JvmStatic companion, thematically unrelated to varp storage. Compares several unrelated static thresholds (WorldMapLabel.anInt4960, CameraNodeList.anInt1745, LocalPlayerState.anInt1910, WidgetTextConfig.anInt513) against the params to choose between ChatEffectsOptionState.method1730 and NativeTerrainTile.method4004 (two draw/overlay routines from unrelated classes) - a viewport-culling or LOD-selection dispatcher. `decoy>-113` nulls aClass237_Sub1_5067 (WorldMapSceneSoftware) as a side effect. Flag as decompiler-merged unrelated companion content per PLAN.md; parameter roles not independently confirmed."
method1309,resumeResourceLoaderThread,"bool: Boolean, i: Int","shouldRun: Boolean, decoy: Int",medium,"@JvmStatic companion, unrelated to varp storage. Lazily starts a background resource-loading thread via TrigLookupTables.Companion.method726 (see that file's CSV) if ActorEntity.aResourceLoaderThread_897 is null, then, if `shouldRun`, calls its method2326(96) (likely a resume/notify call). `decoy<116` nulls aClass237_Sub1_5067 as a side effect."
