current_name,recommended_name,current_params,recommended_params,confidence,notes
method474,hasTransformData,i: Byte,decoyCode: Byte,"→ Boolean",medium,"Returns true if this config (or, when anIntArray945/'linked config ids' is set, any linked config resolved via aSeqDefinitionCache_933.method2005) has translate/offset data (anInt887 != -1 || anIntArray904 != null). NOTE: despite the class being named NpcConfig, its actual content (opcode-driven decode loop in method482, varbit/varp-resolved multi-config variants in method480, a standard op-249 ParamMap in aHashtable_881, weighted-random id picking in method489) matches the generic *Definition file-format shape used throughout this codebase (compare NpcDefinition.kt/method1618-1623 in this same batch) far more than NPC-specific visual config; flagging this class as a likely mis-pairing/misnamed content candidate for a follow-up pass."
method475,getStringParam,"string: String?, i: Int, i_3_: Int","default: String?, key: Int, decoyCode: Int","→ String?",high,"Looks up key in aHashtable_881 (populated by the op-249 handler in method482 below) and returns the matched StringCacheNode's string, or `default` if absent/not found - the standard RS-cache 'extra params' string-getter (ParamMap pattern), paired with method487/getIntParam."
method476,getOrBuildModel,"var_renderer: Renderer?, var_terrainTile: TerrainTile?, i: Int, i_4_: Int, i_5_: Int, bool: Boolean, var_terrainTile_6_: TerrainTile?, i_7_: Int, i_8_: Int, i_9_: Int, i_10_: Int","renderer: Renderer?, terrainTile: TerrainTile?, poseFlags: Int, modelFlags: Int, offsetX: Int, buildShadowNode: Boolean, nextTerrainTile: TerrainTile?, y: Int, z: Int, animId: Int, cacheSlot: Int","→ ModelOrSpriteHolder?",high,"Cache-keyed (packed Long hash of animId/poseFlags/renderer instance) get-or-build of a ModelOrSpriteHolder via the shared aLruByteCache_3361, delegating actual model construction to the private method477/buildAnimVariantModel on cache miss, then optionally attaches terrain-tile-based translation (p(...)) and per-instance offset (H(...)) before returning a shared scratch holder (HashLinkedListNodeStatics.aModelOrSpriteHolder_7058)."
method477,buildAnimVariantModel,"i: Int, var_renderer: Renderer, i_15_: Int, i_16_: Int, i_17_: Int","variantType: Int, renderer: Renderer, poseFlags: Int, decoyCode: Int, modelFlags: Int","→ AbstractModel?",medium,"Private. Looks up which entry in aByteArray885 matches `variantType`, merges the associated list of sub-model ids (anIntArrayArray907[entry]) into one combined ModelDefinition (cached by a hash of the ids + renderer instance), applies recolor (aShortArray940/908) and retexture (aShortArray919/892) tables, particle/glow color bytes (aByte944/952/879/922), and a uniform scale (anInt928/935/882) + translate (anInt900/873/946) transform - i.e. builds one pose/animation-variant's fully composited model."
method478,isVariantModelDataLoaded,"i: Int, i_30_: Int","variantType: Int, decoyCode: Int","→ Boolean",medium,"Checks whether every sub-model id for the aByteArray885 entry matching `variantType` is present/ready in the Js5Archive (method420/isFileReady)."
method479,decode,"i: Byte, class348_sub49: ByteBuffer","decoyCode: Byte, buffer: ByteBuffer",high,"Top-level opcode decode loop: reads a byte opcode, breaks on 0, else delegates to the private method482/readOpcode - the standard cache-definition decode-loop shape used throughout this codebase's *Definition/*Config classes."
method480,resolveVariant,"varResolver: VarResolver, i: Byte","varResolver: VarResolver, decoyCode: Byte","→ NpcConfig?",high,"Resolves a varp/varbit-selected index (via varResolver.method61/method62, keyed by anInt939/anInt934) into anIntArray945 (a list of linked config ids), falling back to the last ('default') entry when the resolved index is out of range or unset, then fetches the resolved NpcConfig via aSeqDefinitionCache_933.method2005 - the standard multi-config/'transmog' variant-resolution pattern seen across NpcType/ObjType-style definitions."
method481,matchesLinkedId,"i: Byte, i_36_: Int","decoyCode: Byte, targetId: Int","→ Boolean",high,"Returns true if targetId equals this config's own id (anInt868) or appears in its linked-id list (anIntArray943); self-recursive decoy branch when decoyCode < 67."
method482,readOpcode,"class348_sub49: ByteBuffer, i: Int, i_38_: Byte","buffer: ByteBuffer, opcode: Int, decoyCode: Byte",high,"Private. The giant per-opcode field setter invoked from method479/decode's loop - opcodes 1/5 read the sub-model-id table (anIntArrayArray907/aByteArray885, optionally via method484 for opcode 5's extra skip block), 2=name string, 14/15=misc bytes, 17-249 set assorted numeric/boolean/array fields, and opcode 249 specifically builds the aHashtable_881 ParamMap (IntKeyNode/StringCacheNode entries) consumed by method475/method487."
method483,getWidgetModel,"i: Int, i_63_: Int, i_64_: Int, i_65_: Int, var_renderer: Renderer?, i_66_: Int, i_67_: Int, i_68_: Byte, var_terrainTile: TerrainTile?, i_69_: Int, i_70_: Int, i_71_: Int, widgetDefinition: WidgetDefinition?, var_terrainTile_72_: TerrainTile?","rotation: Int, offsetX: Int, variantType: Int, offsetZ: Int, renderer: Renderer?, poseFlags: Int, modelFlags: Int, decoyCode: Byte, terrainTile: TerrainTile?, y: Int, widgetSlot: Int, z: Int, widgetDefinition: WidgetDefinition?, nextTerrainTile: TerrainTile?","→ AbstractModel?",medium,"Cache-keyed variant of method476/getOrBuildModel specialized for widget-embedded rendering: additionally merges in WidgetDefinition.method263/method266 (icon-slot-specific model transform) and applies terrain-tile translation and instance offsets similar to method476."
method484,skipExtraFrameData,"class348_sub49: ByteBuffer, i: Int","buffer: ByteBuffer, decoyCode: Int",low,"Private. Buffer-skipping helper used by method482's opcode 1/5 handler: reads a count then skips a 2-byte entry per count after advancing 1 byte - purpose of the skipped block (possibly per-frame sound-effect ids) not independently confirmed."
method485,areAllModelsLoaded,i: Int,decoyCode: Int,"→ Boolean",medium,"Checks that every sub-model id across all entries of anIntArrayArray907 is present/ready in the Js5Archive - the 'all variants' counterpart to method478's single-variant check."
method486,resetStatics,i: Int,decoyCode: Int,medium,"Companion. Nulls aStringArray932, aAbstractCameraTransform_905, and ActorEntity.aResourceLoaderThread_897 (an unrelated class's field) - static teardown/reset hook; self-recursive decoy call when decoyCode > -19."
method488,applyDefaults,i: Int,decoyCode: Int,high,"Post-decode default-filling pass (matches the standard 'apply defaults after opcode decode' step used across this codebase's *Definition classes): derives anInt874 from aByteArray885/aStringArray913 contents if unset, and anInt895 from anInt920 if unset."
method489,pickWeightedRandomLinkedId,i: Int,decoyCode: Int,"→ Int",high,"Weighted-random selection from anIntArray943 using parallel weight table anIntArray959 (summed into anInt911) - identical shape to NpcDefinition.method1621/resolveVariantId in this same batch, reinforcing that this class implements the same generic multi-variant-id-with-weights pattern."
