current_name,recommended_name,current_params,recommended_params,confidence,notes
wa,drawTileShadowSprite,"var_renderNode: RenderNode?, i: Int, i_0_: Int, i_1_: Int, i_2_: Int, bool: Boolean","renderNode: RenderNode?, x: Int, y: Int, z: Int, priority: Int, flag: Boolean",medium,"Override of the abstract TerrainTile.wa (see refactor-notes/commonMain/TerrainTile.csv). Projects world (x,y,z) into screen space via the OpenGlRenderer's tile-projection constants (anInt7772/anInt7777/anInt7731) and, if a SoftwareSpriteRaster backing buffer exists, calls its method951(renderNode, screenX, screenY, 70) to blit the node's cached content into the shadow/hole raster layer."
method3978,bakeOverlayTileShading,"i: Int, i_5_: Int, `is`: IntArray, is_6_: IntArray, is_7_: IntArray, is_8_: IntArray, is_9_: IntArray, is_10_: IntArray, is_11_: IntArray, is_12_: IntArray, is_13_: IntArray, is_14_: IntArray, is_15_: IntArray, i_16_: Int, i_17_: Int, i_18_: Int, bool: Boolean","x: Int, z: Int, vertexU: IntArray, vertexV: IntArray, heightAdjust: IntArray, texCoordX: IntArray, texCoordZ: IntArray, alphaValues: IntArray, hslColors: IntArray, altHslColors: IntArray, textureIds: IntArray, altTextureIds: IntArray, materialIds: IntArray, hue: Int, ambient: Int, contrast: Int, mirrored: Boolean",low,"Override of the abstract TerrainTile.method3978/bakeOverlayTileShading. This GPU-path implementation reshuffles the per-shape vertex/UV/colour arrays (indexed via is_9_/is_10_/is_11_ triangle-vertex-index arrays) into three flattened IntArray(3*n) triangle buffers and forwards them to U()/bakeUnderlayTileShading for the actual bake - i.e. it normalizes variable-shape overlay geometry into the same triangulated form U() consumes, rather than baking colour data itself. Param names/roles carried over from TerrainTile.csv's analysis of the shared abstract signature; not independently re-verified against this override's body beyond the reshuffle logic."
method3979,updateVertexShadow,"i: Int, i_127_: Int","x: Int, z: Int",medium,"Override of the abstract TerrainTile.method3979/updateVertexShadow. Pure counter no-op (`anInt8239++`) in the GPU path - the OpenGL renderer evidently handles single-vertex shadow updates through the batched/async TerrainShadowBuilderGl2 mechanism (see method3981) instead of this per-vertex hook, matching the interpretation already recorded in TerrainTile.csv."
CA,undrawTileShadowSprite,"var_renderNode: RenderNode?, i: Int, i_128_: Int, i_129_: Int, i_130_: Int, bool: Boolean","renderNode: RenderNode?, x: Int, y: Int, z: Int, priority: Int, flag: Boolean",medium,"Override of the abstract TerrainTile.CA (see TerrainTile.csv). Same screen-space projection as wa(), but calls SoftwareSpriteRaster.method959(screenX, screenY, 107, renderNode) instead of wa's method951 - the paired 'erase/commit' half of the draw/undraw idiom documented on the abstract method."
method3989,hitTestTileShadowSprite,"var_renderNode: RenderNode?, i: Int, i_142_: Int, i_143_: Int, i_144_: Int, bool: Boolean","renderNode: RenderNode?, x: Int, y: Int, z: Int, priority: Int, flag: Boolean",medium,"Override of the abstract TerrainTile.method3989 (see TerrainTile.csv). Same projection math as wa/CA; returns false immediately if there's no SoftwareSpriteRaster or renderNode, otherwise delegates to SoftwareSpriteRaster.method954(screenX, 88, screenY, renderNode) as the pre-draw visibility/hit test."
method3983,castShadow,"i: Int, i_149_: Int, i_150_: Int, bools: Array<BooleanArray?>?, bool: Boolean, i_151_: Int","x: Int, z: Int, radius: Int, shapeMask: Array<BooleanArray?>?, dynamic: Boolean, alpha: Int",medium,"Override of the abstract TerrainTile.method3983 (see TerrainTile.csv). Thin wrapper delegating to the private method4003/renderShadowMask with a sentinel distance of -1 (real per-vertex height-based falloff), matching the 'dynamic, real-height shadow' interpretation already recorded on the abstract method."
method3987,castShadowOverRegion,"i: Int, i_152_: Int, i_153_: Int, i_154_: Int, i_155_: Int, i_156_: Int, i_157_: Int, bools: Array<BooleanArray?>","baseX: Int, baseZ: Int, scale: Int, xMin: Int, zMin: Int, xMax: Int, zMax: Int, shapeMask: Array<BooleanArray?>",medium,"Override of the abstract TerrainTile.method3987 (see TerrainTile.csv, which already traces this override's body in detail). Builds a full projective texture matrix (FileExistsCondition.aFloatArray4772) from scale/bounds for GPU shadow-map style rendering, uploads it via glMatrixMode/glLoadMatrixf, then streams the shape-mask-selected vertex indices from aShortArrayArray8267 into a FloatBuffer and issues a draw call - i.e. renders a batched actor/NPC ground-shadow pass over the given tile-index bounds."
fa,getOrBuildHoleRenderNode,"i: Int, i_167_: Int, var_renderNode: RenderNode?","x: Int, z: Int, existing: RenderNode?",medium,"Override of the abstract TerrainTile.fa (see TerrainTile.csv). Checks the per-cell 0x1 'hole' flag in aByteArrayArray8240[x][z]; if unset returns null. Otherwise reuses `existing` (via OpenGlRenderNode.hasCapacityFor/clearBuffer) or allocates a new OpenGlRenderNode sized from anInt4592 shr renderer-shift, calls configureDimensions, then populates it via the private method3998/buildHoleTriangleMesh before returning it."
method3984,castShadowAtFixedDistance,"i: Int, i_172_: Int, i_173_: Int, bools: Array<BooleanArray?>?, bool: Boolean, i_174_: Int, i_175_: Int","x: Int, z: Int, radius: Int, shapeMask: Array<BooleanArray?>?, dynamic: Boolean, distance: Int, alpha: Int",medium,"Override of the abstract TerrainTile.method3984 (see TerrainTile.csv). Thin wrapper delegating to the private method4003/renderShadowMask with the caller-supplied fixed `distance`, matching the 'static/indoor light source, fixed falloff' interpretation already recorded on the abstract method."
method3981,scheduleTileShapeShadowBuild,"class348_sub1: AbstractTileShape, `is`: IntArray","tileShape: AbstractTileShape, edgeTypes: IntArray",high,"Override of the abstract TerrainTile.method3981 (see TerrainTile.csv, already traces this exact body). Constructs a TerrainShadowBuilderGl2(renderer, this, tileShape, edgeTypes) and enqueues it on aNodeDeque_8256 for asynchronous GPU shadow/edge-mesh construction."
U,bakeUnderlayTileShading,"i: Int, i_176_: Int, `is`: IntArray?, is_177_: IntArray?, is_178_: IntArray, is_179_: IntArray?, is_180_: IntArray, is_181_: IntArray?, is_182_: IntArray, is_183_: IntArray, i_184_: Int, i_185_: Int, i_186_: Int, bool: Boolean","x: Int, z: Int, vertexU: IntArray?, heightAdjust: IntArray?, vertexV: IntArray, alphaValues: IntArray?, hslColors: IntArray, altHslColors: IntArray?, materialIds: IntArray, altMaterialIds: IntArray, hue: Int, alphaRange: Int, unused: Int, mirrored: Boolean",low,"Override of the abstract TerrainTile.U/bakeUnderlayTileShading (see TerrainTile.csv). GPU-path bake: for each supplied triangle, builds a TextureTileRenderer keyed by a packed hash of (materialIds, altMaterialIds, hue, alphaRange, unused) in a per-tile Hashtable (dedup so identical-appearance triangles share one renderer), records the vertex's baked height (via method3986/getHeight) plus HSL colour into a native Stream buffer, and finally uploads everything into a NativeVertexBuffer. Extremely dense method (150+ lines); only the overall bake-and-dedup shape is confirmed, not every individual float/lighting computation."
ka,raiseBaseHeight,"i: Int, i_190_: Int, i_191_: Int","x: Int, z: Int, height: Int",high,"Override of the abstract TerrainTile.ka/raiseBaseHeight (see TerrainTile.csv). Same clamped-max semantics as the software implementation: only raises aByteArrayArray8273[x][z] to `height` if the new value is greater than the current one."
method4003,renderShadowMask,"i: Int, i_192_: Int, bool: Boolean, i_193_: Int, i_194_: Int, i_195_: Int, bools: Array<BooleanArray?>, i_196_: Int","lightTexture: Int, radius: Int, dynamic: Boolean, unused: Int, x: Int, alpha: Int, shapeMask: Array<BooleanArray?>, z: Int",low,"Private concrete implementation shared by method3983/castShadow and method3984/castShadowAtFixedDistance (called with lightTexture=-1 for the dynamic/real-height case). Builds a flattened vertex-index array from shapeMask over the tile's [x-radius,x+radius]x[z-radius,z+radius] bounds, binds/uploads a shadow texture (or disables texturing via method3784 when lightTexture==-1), draws the per-cell TextureTileRenderer entries with the projected indices, then (if any TerrainShadowBuilderGl2 nodes are queued via method3981) issues a second additive-blended pass drawing each queued shadow-edge builder, and finally optionally blits the software shadow-hole raster layer on top. `unused` (i_193_, called with fixed -49/-62) only conditionally resets anInt8280 - side effect unrelated to the shadow-drawing logic, likely a decoy or leftover debug counter."
YA,finalizeTileBake,,,medium,"Override of the abstract TerrainTile.YA/finalizeTileBake (see TerrainTile.csv, already traces this exact body). Applies a 5-tap weighted blur over the per-cell ambient-occlusion/shadow byte grid (aByteArrayArray8273), builds a deduplicated array of TextureTileRenderer objects from aHashtable_8278, computes per-vertex UV/colour/height data into a native Stream, uploads it as a GPU vertex buffer (via aHa_Sub2_8272.method3739), and sets up HoverActionEntry vertex-attribute descriptors (position/colour/texcoord/normal) before finally discarding the build-time scratch arrays."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer?, i: Int, i_133_: Int, i_134_: Int, i_135_: Int, `is`: Array<IntArray?>, is_136_: Array<IntArray?>?, i_137_: Int","renderer: OpenGlRenderer?, tileSize: Int, flags: Int, tilesX: Int, tilesZ: Int, heightGrid: Array<IntArray?>, is_136_: Array<IntArray?>?, i_137_: Int",medium,"Allocates all the per-cell scratch/bake-target arrays (anIntArrayArrayArray8245/8258/8268/8253/8234, aByteArrayArray8240/8273, aClass348_Sub20ArrayArrayArray8243, aShortArrayArray8267) sized tilesX x tilesZ, stores `flags` into anInt8235 (consulted throughout via bitmasks 0x1/0x7/0x10/0x20 to enable optional features like the software-sprite-raster shadow layer and extra per-vertex data), precomputes per-vertex normal-like float triples (aFloatArrayArray8281/8283/8285) from is_136_ (a secondary height/edge grid) using inverse-sqrt normalization, and conditionally constructs a SoftwareSpriteRaster when bit 0x10 of flags is set."
method3999,hasProjectileOrParticleFlag,"i: Int, i_147_: Int, i_148_: Int","unused: Int, flags: Int, magicCheck: Int",low,"Companion helper: returns true if flags has bit 0x70000 set, or ProjectileFactory.method1613(false, unused, flags), or ParticleEmitterDef.method2187(flags, -121, unused). No call site was found for this method in this pass; body and field-usage give no strong tie to OpenGlTerrainTile specifically, so this may be further decompiler-merged content."
method4000,resetCompanionCaches,i: Int,unused: Int,medium,"Companion reset: nulls aString8265, anIntArray8269 and aLinkedNodeListIterator_8241. `unused` only conditionally nulls aString8265 a second time (redundant) when != 8448."
method4001,projectSceneEntityToScreen,class318_sub1: SceneEntity,entity: SceneEntity,medium,"Companion helper, unrelated to terrain-tile logic (likely decompiler-merged): projects `entity`'s world position via NativeLibraryState.aRenderer171.H(...) into screen space (LoadingScreenImageNode.anIntArray9505) and stores the resulting screen x/y/depth into the entity's anInt6386/anInt6380/anInt6389 fields - a generic 'compute this scene entity's current screen-space bounds' helper."
method4002,readMachineIdBytes,"class348_sub49: ByteBuffer, i: Byte","buffer: ByteBuffer, mode: Byte",low,"Companion helper, unrelated to terrain-tile logic (likely decompiler-merged): when mode==55, reads 24 bytes from a fixed offset of BufferedFileReader.aBufferedRandomAccessFile_4538 (falling back to all-0xFF bytes on any I/O failure or all-zero read), then writes those 24 bytes into `buffer` - consistent with reading a cached machine/hardware-id blob used for licensing or anti-piracy fingerprinting, not terrain rendering."
