current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"aD3dRenderDevice_7328: D3dRenderDevice, js5Archive: Js5Archive?","device: D3dRenderDevice, js5Archive: Js5Archive?",high,"Forwards device to AbstractRenderPass(device). The instance init block requires js5Archive != null and vertex-shader-model >= 1.1; if satisfied, compiles four vertex shaders (uw_ground_unlit, uw_ground_lit, uw_model_unlit, uw_model_lit -- ground vs. model geometry, each in lit/unlit variants) via js5Archive.method391. If all four compiled, also allocates a 2x1 fallback texture (anInterface18_Impl3_7331, via device.method3839) and applies setAddressMode(false, false, 25688) to it, then sets the overall supported flag (aBoolean7329) true."
method3528,refreshShaderConstants,i: Int,tag: Int,medium,"Override of the open AbstractRenderPass.method3528. Picks one of the four precompiled vertex shaders based on aBoolean7336 (the 'lit' flag set by beginRenderPass) and whether aHa_Sub3_4479.method3941(-103) (a fog/water-plane distance value) equals the Int.MAX_VALUE 'no active water plane' sentinel (same sentinel convention documented in AbstractModel.csv's method626 notes) -- i.e. selects ground-vs-model x lit-vs-unlit. If the resolved shader differs from the currently bound one, rebinds it and re-runs the whole family of per-shader constant uploads (uploadLightingConstants, uploadProjectionMatrixConstant, uploadTexCoordGenConstant, uploadViewBasisConstant, uploadViewAndEyeConstants, updateFogDistanceConstant). Always re-uploads a texture-matrix-style constant to vertex-shader register 12 via FloatCameraTransform.method919. Called from beginRenderPass(106) and from uploadViewAndEyeConstants when its forceRefresh param is true (89)."
method3526,onResize,"i: Int, i_1_: Int, i_2_: Int","mode: Int, unusedWidth: Int, unusedHeight: Int",medium,"Override of the open AbstractRenderPass.method3526 (named onResize per BasicGlRenderPass.csv/sibling passes for override-signature consistency). Body is `if (i != 10756) uploadViewAndEyeConstants(false)` -- since the one real call site (NativeRenderer's active-pass-switch helper) always passes the literal mode 10756, this branch is provably dead, making this override a complete no-op in practice for this particular pass (contrast with D3dEnvMappedWaterPass's same-named override, which does real animation-parameter work)."
method3520,endRenderPass,i: Byte,unusedDecoy: Byte,medium,"Override of the abstract AbstractRenderPass.method3520 (named per BasicGlRenderPass.csv). Unbinds the currently-bound vertex shader, restores several texture-stage-state / render-config bindings via NativeRenderer helpers (method3897/method3850/method3874/method3849/method3885), and restores an alternate texture-stage config if the internal 'using fallback renderable' flag (aBoolean7326) is set. The `if (i.toInt() != 87) method3527(55, null, -69)` decoy branch never fires since the real call site always passes 87.toByte() (per BasicGlRenderPass.csv)."
method3530,isPassSupported,i: Int,unusedInt: Int,high,"Override of the abstract AbstractRenderPass.method3530. Returns aBoolean7329 (the 'all four shaders compiled + vertex-shader-model sufficient' flag from init) unconditionally -- no decoy branch in this override, unlike its siblings."
method3523,uploadViewBasisConstant,i: Byte,unusedByte: Byte,low,"Override of the open AbstractRenderPass.method3523. The `if (i.toInt() != 12) setPassEnabledNoop(false, -54.toByte())` branch is a decoy (real call sites always pass 12.toByte(), per the shared family pattern documented in D3dEnvMappedWaterPass.csv). When a shader is currently bound, uploads a camera-transform-derived value (device.method3948(-22036) then FloatCameraTransform.method924(11, buffer)) to vertex-shader constant register 0 -- identical register/tag pattern to the Env-mapped water pass's same-named method, reinforcing that this is a shared 'view-basis'-style constant across the water-pass family, exact semantic still unconfirmed."
method3524,uploadProjectionMatrixConstant,i: Int,tag: Int,medium,"Override of the open AbstractRenderPass.method3524. When a shader is bound, uploads aHa_Sub3_4479.method3835(floatBuffer, -101) -- the renderer's transposed projection matrix (see D3dEnvMappedWaterPass.csv's identical method3524 notes for the method3835 evidence) -- to vertex-shader constant register 4."
method3527,bindRenderable,"i: Int, renderable: Renderable?, i_3_: Int","passId: Int, renderable: Renderable?, unusedDecoy: Int",medium,"Override of the abstract AbstractRenderPass.method3527. Unlike the Env-mapped pass's near-no-op override, this one has real logic: when renderable is null, switches the device into a 'fallback/no-renderable' render-config state (device.method3850 with the renderer's cached fallback renderable, device.method3923(true,1), plus TrigLookupTables config swaps) and sets aBoolean7326 true; when non-null, restores the normal config (if coming out of fallback) and binds the given renderable via device.method3850/method3923(true, passId). The unusedDecoy param (`if (i_3_ != -16776) anIDirect3DVertexShader7332 = null`) matches BasicGlRenderPass.csv's confirmed dead-branch pattern for this abstract method (real call sites always pass -16776)."
method3522,updateFogDistanceConstant,i: Int,tag: Int,medium,"Override of the open AbstractRenderPass.method3522. When a shader is bound, uploads a near/far-style pair to vertex-shader constant register 10 (computed from aHa_Sub3_4479.XA()/i(), likely far/near screen-distance accessors given the naming convention seen elsewhere) and a second constant to register 11 (fog density / render-distance-scale derived from device.method3833/method3826/aFloat8115/aFloat8173). The `if (i != -16252) setPassEnabledNoop(true, -11.toByte())` guard is a decoy per the shared family pattern (real call sites always pass -16252)."
method3525,beginRenderPass,"i: Int, bool: Boolean","passId: Int, useLighting: Boolean",high,"Override of the abstract AbstractRenderPass.method3525. Stores useLighting into aBoolean7336 (the lit/unlit selector read by refreshShaderConstants), binds the fallback texture, applies a render-config swap (RenderQueueState/MediaStreamClient factories) and several texture-stage-state calls, then calls refreshShaderConstants(106) to pick and bind the actual shader plus its constants. The `if (i != 15192) endRenderPass(-41.toByte())` decoy branch never fires given the sentinel convention confirmed in BasicGlRenderPass.csv."
