current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"aRandomAccessFileOnDisk_1312: RandomAccessFileOnDisk, i: Int, i_22_: Int","file: RandomAccessFileOnDisk, readBufferSize: Int, writeBufferSize: Int",medium,"Primary constructor: reads the underlying file's current length via file.method1662(-46) into aLong1317/aLong1323 (tracked file length), allocates aByteArray1305 = ByteArray(writeBufferSize) (the write-behind buffer) and aByteArray1311 = ByteArray(readBufferSize) (the read-ahead buffer), and sets the logical file pointer aLong1324 = 0. All 4 real construction sites in the codebase (Client.kt: `BufferedRandomAccessFile(raf, 5200, 0)`, `(raf, 6000, 0)` x2, `(raf, 24, 0)`) pass 0 for writeBufferSize - i.e. the write-behind buffer is ALWAYS zero-length in every observed usage, which materially affects method783's behavior (see below): the buffered-write code path is dead in practice, and every write goes straight to disk."
method783,write,"i: Int, i_0_: Int, bool: Boolean, is: ByteArray?","offset: Int, length: Int, unused: Boolean, buffer: ByteArray?",medium,"Writes `buffer[offset..offset+length)` at the current logical position (aLong1324), extending the tracked file length (aLong1323) if needed, and flushing any pending write-behind data (via method791(-1)) if the current position has drifted outside the pending write region. If the write buffer (aByteArray1305) is too small to hold `length` more bytes it writes straight through to disk via aRandomAccessFileOnDisk_1312.method1658 and also mirrors any overlap into the read-ahead buffer (aByteArray1311) to keep the read cache coherent; otherwise it appends into the write buffer. Because every real constructor call in the codebase passes writeBufferSize=0 (see <init> notes), `aByteArray1305.size < i_0_` is true for any positive length, so the 'append to write buffer' branch is dead code in practice - all writes take the direct-to-disk path. Confirmed real call site: MapArchiveSource.kt `method783(i, 24, true, class348_sub49.aByteArray7154)`. The trailing `if (bool != true) anInt1314 = -69` after the two early-return branches is unreachable at the one observed call (length=24 > 0 always hits an early return), so `bool`'s effect is unverified/dead in practice."
method784,readFully,"i: Int, is: ByteArray","unused: Int, buffer: ByteArray",high,"Thin wrapper: discards a dead `-98 % ((1 - i) / 40)` expression, then calls method788(0, buffer, buffer.size, -16717) - i.e. reads exactly buffer.size bytes into buffer starting at offset 0, using the magic flag -16717 required by method788 to actually perform the read (see method788 notes). Confirmed by the only real call site, OpenGlTerrainTile.kt: `BufferedFileReader.aBufferedRandomAccessFile_4538!!.method784(-89, is)`, used to fully populate a freshly-allocated byte array after a preceding method789 seek to a known offset."
method785,getFile,i: Int,unused: Int,medium,"Private helper: returns `aRandomAccessFileOnDisk_1312.method1660(i xor 0x2198.inv())`, and RandomAccessFileOnDisk.method1660(i) just returns the wrapped java.io.File (ignoring `i` except for an unrelated dead companion-cleanup call). The only real external use is inside method789's IOException message (`\"Invalid seek to \" + l + \" in file \" + method785(-8659)`), always called with the literal -8659. Two internal call sites (a self-recursive decoy in this method itself, and one in method792) exist purely to satisfy a `!= -8659` / `!= -46` opaque-predicate check and are dead in practice since both guard conditions are already known-true at those points. Net effect: 'get the backing java.io.File, for use in an error message'."
method786,clearSharedArchiveCache,i: Byte,unused: Byte,low,"Companion/static method: unconditionally sets aJs5Archive_1322 = null (the `if (i.toInt() != 0)` guard before it is redundant, since the very next unguarded line nulls the same field regardless). aJs5Archive_1322 is a static Js5Archive reference read/written from many unrelated classes (BinaryGraphicsOptionState.kt, ByteBufferStatics.kt, ClientLoadStateMachine.kt, InterfaceBounds.kt, SettingsCrcWriter.kt) that appears to hold shared cache-index archive data with no direct tie to this class's per-instance buffered-random-access-file role - another apparent case of a companion object being reused as a general static holder unrelated to the class's stated purpose. No call site for method786 itself was found in the repo search performed (only writes to the field via ClientLoadStateMachine's own assignment), so its trigger point is unconfirmed; named for its mechanical effect only."
method787,length,i: Int,unused: Int,high,"Returns the tracked file length (aLong1323, which method783 keeps in sync with the highest byte offset ever written) if `i == 0`, else returns a dummy 26L. Every real call site (IndexedFileCache.kt, ~8 occurrences: `method787(0)`, `method787(i + 4)` where the enclosing scope has already asserted `i.toInt() == -4` making the sum 0, `method787(i xor 0x3af7.inv())` where the enclosing `i` constant is -15096 so the xor cancels to 0, `method787(i + 15096)` where `i` is the constant -15096) resolves to logical argument 0 by construction, so the dummy-26L branch is dead in every observed usage - callers consistently use the return value as a real byte-length bound (e.g. `i_4_.toLong() > aBufferedRandomAccessFile_1933!!.method787(0) / 520L`, a record-count-from-length calculation)."
method788,read,"i: Int, is: ByteArray, i_5_: Int, i_6_: Int","offset: Int, buffer: ByteArray, length: Int, unused: Int",medium,"Core buffered-read routine: bounds-checks `offset+length` against buffer.size (throws ArrayIndexOutOfBoundsException), then requires `i_6_ == -16717` to proceed at all (else silently returns without reading - every real call passes -16717, e.g. via method784, or directly in IndexedFileCache.kt with the literal -16717). Serves the read from, in priority order: (1) the pending write-behind buffer (aByteArray1305) if the requested range falls within it, (2) the read-ahead buffer (aByteArray1311) for as much overlap as is currently buffered, (3) a direct-from-disk loop via aRandomAccessFileOnDisk_1312.method1656 for any remaining bytes once the request no longer fits the read-ahead buffer's capacity, or (4) a fresh method792 (fill read-ahead buffer) call plus copy for a request that still fits within read-buffer capacity but isn't currently resident. It also zero-fills any gap between the write-buffer region and the current position (sparse-write semantics) and throws EOFException if bytes remain unsatisfied at the end. The trailing unused Int param is a hard-required magic flag rather than a decoy, since the method is a no-op whenever it doesn't equal -16717."
method789,seek,"l: Long, i: Byte","position: Long, unused: Byte",high,"Validates `position >= 0` (else throws IOException including the file name via method785(-8659)) and sets the logical position field aLong1324 = position; RuntimeExceptions are rewrapped via TextureLoadException.method2929. Confirmed by real call sites in MapArchiveSource.kt (`method789(0L, 59.toByte())`) and OpenGlTerrainTile.kt (`method789(0L, (-120).toByte())`), both simple seeks to file offset 0 before a subsequent read. The Byte param only feeds a discarded `-67 / ((i - -49) / 34)` expression (confirmed non-crashing for both observed values, 59 and -120) - a decoy."
method790,close,i: Byte,unused: Byte,high,"Flushes any pending write-behind data via method791(-1), then closes the underlying RandomAccessFileOnDisk via method1657(false). Confirmed by the only real call site, Client.kt: `BufferedFileReader.aBufferedRandomAccessFile_4538!!.method790(80.toByte())`. The Byte param only feeds a discarded `-26 % ((i - -7) / 51)` expression - a decoy, confirmed non-crashing for the observed value 80."
method791,flushWriteBuffer,i: Int,unused: Int,medium,"Private helper: if a write-behind region is pending (aLong1321 != -1L, the write-buffer's starting file offset), seeks the underlying file to that offset (via method1661) if not already positioned there, writes aByteArray1305[0..anInt1314) to disk via aRandomAccessFileOnDisk_1312.method1658, updates the tracked file-pointer (aLong1315) and high-water file length (aLong1317), mirrors any overlap between the just-flushed write region and the currently-buffered read-ahead region (aByteArray1311/aLong1319/anInt1320) so the read cache stays consistent with the newly-written bytes, then clears the pending-write markers (aLong1321=-1L, anInt1314=0). Every call site within this file (2x in method783, 1x in method790) passes the literal -1, so the `if (i != -1) aLong1321 = 47L` branch - which would otherwise stomp the pending-write start offset with a hardcoded, seemingly-arbitrary 47L - is dead code in every real invocation; flagged as an opaque-predicate-style decoy rather than real, exercised behavior."
