current_name,recommended_name,current_params,recommended_params,confidence,notes
method964,draw,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int, i_3_: Int","x: Int, y: Int, filterMode: Int, color: Int, blendMode: Int",high,"Abstract override matching AbstractModelRenderer.method964/draw (see refactor-notes/commonMain/AbstractModelRenderer.csv) - same 5-param shape (x,y,filterMode,color,blendMode). Left unimplemented here (still abstract), implemented by SoftwarePalettedSpriteRenderer/SoftwareRgbSpriteRenderer subclasses."
method971,getContentWidth,,,high,"Matches AbstractModelRenderer.method971/getContentWidth (no params). Returns anInt8471, the renderer's content width without insets."
method984,getInsets,`is`: IntArray?,insets: IntArray?,high,"Matches AbstractModelRenderer.method984/getInsets. Fills insets[0..3] = anInt8461 (left), anInt8464 (top), anInt8454 (right), anInt8456 (bottom)."
method965,drawTiled,"i: Int, i_4_: Int, i_5_: Int, i_6_: Int, i_7_: Int, i_8_: Int, i_9_: Int","x: Int, y: Int, width: Int, height: Int, filterMode: Int, color: Int, blendMode: Int",high,"Matches AbstractModelRenderer.method965/drawTiled. Concrete here: asserts renderer not suspended (method3716), snapshots the renderer's clip rect via K()/T(), then tiles method964 calls across a (width x height) grid sized by getWidth()/getHeight(), restoring the clip via KA() afterward."
method983,drawRotatedSpriteQuad,"f: Float, f_17_: Float, f_18_: Float, f_19_: Float, f_20_: Float, f_21_: Float, i: Int, var_sprite: Sprite?, i_22_: Int, i_23_: Int","x0: Float, y0: Float, x1: Float, y1: Float, x2: Float, y2: Float, smooth: Int, sprite: Sprite?, offsetX: Int, offsetY: Int",high,"Matches AbstractModelRenderer.method983/drawRotatedSpriteQuad (same 10-param shape: 6 floats, smooth, sprite, offsetX, offsetY). Concrete: asserts renderer not suspended, and if method997/setupProjectedQuad reports the quad is visible, casts the Sprite to RasterSprite and delegates to method995/rasterizeSpriteQuad with a screen-space offset derived from the clip bbox fields (anInt8473/anInt8468/anInt8466)."
method985,setInsets,"i: Int, i_24_: Int, i_25_: Int, i_26_: Int","left: Int, top: Int, right: Int, bottom: Int",high,"Matches AbstractModelRenderer.method985/setInsets. Stores the 4 args into anInt8461/anInt8464/anInt8454/anInt8456 respectively (same field order as method984/getInsets)."
method994,rasterizeTexturedQuad,"i: Int, i_27_: Int","colorMode: Int, filterLevel: Int",medium,"Abstract, new to the Software hierarchy (not present in AbstractModelRenderer.csv - GL twin GlSpriteRenderer/AnimatedModelRenderer instead implement method962/982 directly in GL). Called from method962/drawQuad once the color-mode fields (tint multipliers or alpha blend factor) are set up, dispatching on colorMode (0=tint,1=alpha-key,2=additive?,3=blend) and filterLevel (0/1/2, forwarded from the caller's mip/quality selector). Implemented by SoftwarePalettedSpriteRenderer and SoftwareRgbSpriteRenderer with large nested-loop scanline rasterizers walking the perspective-interpolation state set up by method997."
method995,rasterizeSpriteQuad,"`is`: IntArray?, is_28_: IntArray?, i: Int, i_29_: Int","rowOffsets: IntArray?, rowWidths: IntArray?, destX: Int, destY: Int",medium,"Abstract, new to the Software hierarchy (see method994 note). Draws a RasterSprite's per-row x-offset/width silhouette data (rowOffsets/rowWidths, matching RasterSprite.anIntArray5201/5202) into the already-clipped perspective-projected quad region at (destX,destY), walking the same anInt8451/8458/8467/8478 perspective-interpolation state as method994. Called from method983/drawRotatedSpriteQuad. Implemented by both sprite-renderer subclasses (palette-indexed vs direct-RGB variants)."
method962,drawQuad,"f: Float, f_30_: Float, f_31_: Float, f_32_: Float, f_33_: Float, f_34_: Float, i: Int, i_35_: Int, i_36_: Int, i_37_: Int","x0: Float, y0: Float, x1: Float, y1: Float, x2: Float, y2: Float, colorMode: Int, color: Int, filterLevel: Int, smooth: Int",medium,"Matches AbstractModelRenderer.method962/drawQuad's 10-param shape, but the Software body's use of the trailing 4 ints diverges from the GL override's filterMode/color/blendMode/smooth roles: colorMode (i, values 0/1/2/3) selects among tint-multiply / alpha-blend / scaled-additive color paths (unpacking `color`'s ARGB channels into anInt8469/8463/8465 or anInt8477/8472/8474), then dispatches to method994/rasterizeTexturedQuad(colorMode, filterLevel) with filterLevel (i_36_, values 0/1/2). The trailing `smooth` param (i_37_) is never referenced anywhere in this override's body - flagged as an unused/dead parameter in the Software implementation (possibly only meaningful to the GL/native backends)."
method996,drawScaledParticleIcon,"i: Int, i_40_: Int, i_41_: Int, i_42_: Int, i_43_: Int, i_44_: Int, i_45_: Int, i_46_: Int, i_47_: Int","x: Int, y: Int, width: Int, height: Int, depthValue: Int, colorMode: Int, tintColor: Int, blendMode: Int, filterLevel: Int",low,"Abstract, new to the Software hierarchy (9 params, one more than method982/drawScaled's 8). Confirmed real call site: SoftwareRenderer.method3712 (ground-decor node rendering) calls it as `(renderer as SoftwareModelRenderer).method996(x, y, w, h, w, 0, materialOrColorId, 1, 1)` when drawing a cached model-icon sprite for a scene node. Both subclass overrides perform a depth-tested (`fs`/z-buffer compare) scaled blit dispatching on two mode selectors (0/1/2/3 for color path, 0/1/2/3 for a second blend selector) - functionally a z-tested sibling of method982/drawScaled. Exact per-parameter roles beyond the first four (x,y,width,height) are best-effort guesses given the method's size and duplication across blend-mode branches in both subclasses."
