current_name,recommended_name,current_params,recommended_params,confidence,notes
method2081,getBufferSize,,,high,"Open method, throws Exception. Returns anInt3613, the mixer's current ring-buffer sample count (grown dynamically by method2084/pumpMixer)."
method2082,onBufferSizeChanged,i: Int,newSize: Int,medium,"Open method, throws Exception, empty base-class body (only increments a call counter) - an overridable hook invoked by method2084/pumpMixer after growing the buffer (passing the new anInt3613) and once more from method2087's error-recovery path, letting subclasses react to a buffer-size change (e.g. reallocate a native audio device buffer)."
method2083,onMixerReset,,,medium,"Open method, throws Exception, empty base-class body - overridable hook invoked from method2087/resetMixerTiming inside a try/catch that falls back to method2091/stopMixer + a 2000ms retry delay on failure."
method2084,pumpMixer,i: Int,tag: Int,high,"Synchronized. The mixer's periodic tick/pump routine: reads the current time (GameClock.method599), catches up on any elapsed 5000ms window by repeatedly calling method2089/advancePrimaryStream(256 samples) at the stream's sample rate; if a buffer/output is set (anIntArray3603), handles a pending-restart delay (aLong3614), grows the ring buffer by 1024 (up to 16384) via method2091+method2082 if the requested fill level would exceed it, mixes samples in 256-sample chunks via method2086/mixVoicesIntoBuffer + method2094/onSamplesMixed, and runs a ~2000ms silence/idle-detection state machine (aBoolean3623, anInt3624, anInt3617/anInt3616) that calls method2091/stopMixer after a period with no new voices. `tag` is only used as an inequality check gating one field write (anInt3616=114) - largely a decoy/rarely-relevant parameter."
method2085,insertVoiceIntoPriorityBucket,"i: Int, class348_sub16: AudioStreamNode, i_2_: Int","tag: Int, voice: AudioStreamNode, priorityKey: Int",medium,"Private. Inserts/links `voice` at the tail of one of 8 priority-bucket linked lists (aClass348_Sub16Array3619 = head pointers, aClass348_Sub16Array3621 = tail pointers), bucketed by `priorityKey shr 5`, and stores `priorityKey` onto the voice (anInt6786) for later re-bucketing decisions in method2086. `tag` is a decoy equality-check parameter (`if (tag != -1846918107) method2088(true, null)`), always -1846918107 at real call sites."
method2086,mixVoicesIntoBuffer,"`is`: IntArray, i: Int","pcmOut: IntArray, sampleCount: Int",high,"Private. Core mixing routine: clears `pcmOut` (via ArrayCopyUtil.method1573, doubled in length if NpcEntityUpdater.aBoolean3652/stereo flag is set) and decrements the fill-countdown anInt3615; if a primary stream (aClass348_Sub16_3604) is set and due, advances it (method2085 re-bucket + MenuActionNode.method2814 callback), then walks all 8 priority buckets bit-by-bit (a 4-level bit-scan over a 32-bit mask, `i_8_`/`i_9_`/`i_10_` forming a level/bucket/generation decomposition) evicting voices whose estimated remaining playtime (via their AudioStreamNode.aClass348_Sub19_6787 sample-position) exceeds the mixer's byte budget (anInt3601=32) - keeping them queued for a later tick - and otherwise mixing surviving voices in via voice.method2821() (mix-in one voice's samples), re-bucketing any newly spawned child/sibling voices (method2816/method2818) via method2085. Finally writes `pcmOut` into the primary stream (aClass348_Sub16_3604.method2817) and refreshes the last-tick timestamp (aLong3602). Large (~75 line) voice-priority-queue mixing engine; exact bit-scan bucket semantics (i_9_/i_10_ roles) are best-effort given the density of the bit manipulation."
method2087,resetMixerTiming,i: Int,tag: Int,medium,"Synchronized. Sets the idle flag aBoolean3623=true, conditionally resets aLong3602=-66L when tag>=-110, then calls method2083/onMixerReset inside a try/catch that falls back to method2091/stopMixer + scheduling a 2000ms delayed retry (aLong3614)."
method2088,setPrimaryAudioStream,"bool: Boolean, class348_sub16: AudioStreamNode?","unused: Boolean, stream: AudioStreamNode?",high,"Synchronized. Stores `stream` as the mixer's primary output (aClass348_Sub16_3604), e.g. the currently-playing background music/ambient track that method2086 mixes voices into. `unused` (bool) is not referenced anywhere in the body."
method2089,advancePrimaryStream,"i: Int, i_19_: Byte","sampleCount: Int, tag: Byte",medium,"Private. Decrements the fill-countdown anInt3615 by `sampleCount` (clamped to 0), advances the primary stream (aClass348_Sub16_3604.method2819) by `sampleCount`, and calls the companion method2090 with fixed args when tag > -75 (near-always true at the sole call site)."
method2091,stopMixer,,,medium,"Open method, empty base-class body (counter only) - overridable hook invoked as the failure/idle-teardown action from method2084/pumpMixer, method2087/resetMixerTiming, and method2093/shutdownMixer."
