current_name,recommended_name,current_params,recommended_params,confidence,notes
method2376,isModelOpaque,i: Int,unusedFlag: Int,low,"Abstract. Overridden as constant false in WallSceneEntity and DynamicSceneObjectEntity, and as `!aAbstractModel.r()` in GroundDecorSceneEntity. Gates a 3-way branch (paired with method2377) at several call sites (ActiveMapRegion.method770, AsyncResourceRequest, GlWaterRenderPass, MapSceneRenderer, NativeBufferHandle) that route the entity into one of three different linked lists for later processing. Real purpose (opaque/translucent scene-list routing) is fairly clear but the exact boolean polarity/name is uncertain since the underlying AbstractModel.r() semantics were not independently confirmed in this batch."
method2377,isModelTranslucent,i: Byte,unusedFlag: Byte,medium,"Abstract. GroundDecorSceneEntity/WallSceneEntity implementations return aAbstractModel.F() (or a cached aBoolean field derived from it) — F() is used elsewhere (DynamicSceneObjectEntity.method2386) as an OR-aggregate flag across submodels feeding this same accessor, consistent with a transparency/alpha flag. Used together with method2376 to pick a render/update queue."
method2378,isTileVisible,i: Int,unusedFlag: Int,high,"Abstract. All known overrides (ActorEntity, GroundDecorEntity, WallEntity, SceneObjectEntity, TileSceneEntity) index ActorEntity.aBooleanArrayArray1572 (a scene-visible-tiles bitmap) at [(x>>anInt4459) - viewOriginX + halfViewSize][(y>>anInt4459) - viewOriginZ + halfViewSize], i.e. a viewport bounds/visibility check for the entity's own tile. Param i is a self-recursive decoy gate in most overrides."
method2379,getModelWidth,i: Int,unusedFlag: Int,medium,"Abstract. Overrides (DynamicSceneObjectEntity, WallSceneEntity, GroundDecorSceneEntity) return a cached int accumulated from AbstractModel.ma() during model construction (method2386-family). Paired with method2394/getModelHeight which uses AbstractModel.fa(); ma() is inferred as a width/size counterpart to fa()=height, not independently confirmed."
method2380,renderWithTarget,"var_renderer: Renderer?, i: Int, bool: Boolean, class318_sub1: SceneEntity?, i_1_: Int, i_2_: Byte, i_3_: Int","renderer: Renderer?, level: Int, flag: Boolean, targetEntity: SceneEntity?, x: Int, plane: Byte, y: Int",low,"Abstract. Every known override (SceneObjectEntity, Npc, Player) unconditionally throws IllegalStateException (after a decoy branch calling an unrelated helper). Likely a vestigial/never-implemented hook in this client build — flagged as dead/unreachable functionality rather than a real behavior; param names are best-effort guesses based on shape only."
method2381,getHitbox,"var_renderer: Renderer?, i: Int",unusedRenderer: Renderer?, unusedFlag: Int,low,"Abstract, returns CircleHitbox?. Both known overrides (DynamicSceneObjectEntity, Npc) always return null — likely unused/stubbed in this client build."
method2382,isRenderableOnMinimap,i: Byte,unusedFlag: Byte,medium,"Abstract. Overrides (SceneObjectEntity, WallEntity, TileSceneEntity) look up a RenderableGroup at the entity's plane/x/y; if it exists and its roof-removed flag is set, delegate to a minimap-dot draw call (MinimapSpriteRenderer.method1110) using method2394 (height) as an input; otherwise fall back to a plain tile-visibility test (ActorEntity.method164). Boolean return likely indicates whether the marker was drawn/should be drawn."
method2384,collectSoundEnvelopesAtEntity,"class348_sub1s: Array<AbstractTileShape?>?, i: Int","outEnvelopeShapes: Array<AbstractTileShape?>?, unusedFlag: Int",high,"Abstract wrapper. All known overrides (ActorEntity, GroundDecorEntity, SceneObjectEntity, TileSceneEntity, WallEntity) delegate identically to this.method2390(outEnvelopeShapes, x shr anInt4459, -2, y shr anInt4459), i.e. collect this entity's own-tile sound envelopes via the concrete method2390. Param i is always a decoy/self-check gate in overrides."
method2386,getSceneEntityModel,"i: Int, var_renderer: Renderer?","cycle: Int, renderer: Renderer?",high,"Abstract, returns SceneEntityModel?. DynamicSceneObjectEntity and Npc both build/return a transformed render-ready SceneEntityModel from cached AbstractModel(s), applying camera translation/rotation first. `i` is XORed into model-header cache lookups in DynamicSceneObjectEntity, suggesting it may carry real per-call info (e.g. a cycle/variant selector) rather than being a pure decoy."
method2387,renderEntity,"var_renderer: Renderer?, i: Int","renderer: Renderer?, level: Int",high,"Abstract. Npc.method2387 applies compass-smoothed rotation + translation via the render transform (class101.method895/method891) then draws the entity — a straightforward 'draw this entity at its world position' method. SceneLoaderThread calls it directly when an entity's aBoolean6387 ('ready'/model-loaded flag) is true, falling back to a text/placeholder draw otherwise, reinforcing that this is the main render/draw hook."
method2388,isPendingRemoval,i: Int,unusedFlag: Int,low,"Abstract. All known overrides (SceneObjectEntity, Player, WallEntity) return a constant false (behind decoy branches). No confirmed true-returning implementation was found in this batch, so exact semantics are uncertain; may be a partially-dead flag."
