current_name,recommended_name,current_params,recommended_params,confidence,notes
method840,count,i: Int,startCount: Int,medium,"Iterates the circular sentinel list (aClass318_Sub9_1503) counting nodes via the next pointer (aClass318_Sub9_6469) until back to the sentinel, returning startCount + number of nodes traversed. Genuine deque-size counter; `i` acts as a seed rather than a pure decoy."
method844,addLast,"class318_sub9: SceneListNode?, bool: Boolean","node: SceneListNode?, keepSentinel: Boolean",medium,"Unlinks node from any prior list (via node.method2514/unlink) then inserts it immediately before the sentinel (aClass318_Sub9_1503), i.e. appends to the tail of this deque. The `if (bool != true) this.aClass318_Sub9_1503 = null` branch nulls the deque's own sentinel field, which would break subsequent operations on this deque; the only call site found in this batch (SceneGraphContainer.method2539) always passes true, so this looks like dead/unreachable obfuscator code rather than a real code path — flagged as suspicious."
method845,clear,i: Byte,unusedFlag: Byte,high,"Repeatedly unlinks the node after the sentinel (via method2514) until the list is empty, then resets the iterator cursor (aClass318_Sub9_1505) to null (redundant double-assignment gated by a dead `if (i < 23)` branch)."
method846,next,i: Byte,unusedFlag: Byte,high,"Forward iterator step: returns the current cursor (aClass318_Sub9_1505); if it has reached the sentinel, resets the cursor to null and returns null, otherwise advances the cursor to the node's next pointer before returning the previous cursor value."
method848,nextGated,i: Int,requiredFlag: Int,medium,"Behaves identically to method846 (advance-and-return iterator step) but only proceeds if i == 8, otherwise returns null immediately. Likely a decompiler-duplicated/overload-split variant of method846 rather than distinct functionality."
method841,getBoxedIntHolders,i: Int,unusedFlag: Int,low,"Companion. Returns a fixed 3-element array of unrelated static BoxedIntHolder references (aBoxedIntHolder_2568, MinimapRenderer.aBoxedIntHolder_1591, IdentKitRecolor.aBoxedIntHolder_151) — unrelated to the node-deque functionality of this class, consistent with the project-wide decompiler-merged-companion-content pattern."
method1431,freeStaticResources,i: Int,unusedFlag: Int,low,"Companion. Nulls NormalMapGenerator.aTextureFormatInfo_2571 and aBoxedIntHolder_2568 — unrelated cleanup, same mismatch pattern as method841."
method842,setupWorldMapParticles,bool: Boolean,flag: Boolean,low,"Companion, @JvmStatic. Conditionally triggers particle/texture setup calls (ParticleAmountConfig.method1252, method3064, method132) based on world-map render-mode flags, then clears aWidgetComponentArray1942. Entirely unrelated to a node deque — another clear instance of mismatched companion content."
method2479,onSessionEnd,i: Int,code: Int,low,"Companion. When code == 19424, nulls aBigInteger8762 and GlslEnvMaterialPass.aSoundChannelMixer_8764 — session/connection teardown, unrelated to this class's stated purpose."
method843,processLoginHandshake,i: Byte,unusedFlag: Byte,medium,"Companion, @JvmStatic. A large multi-state login/connection state machine (NpcDefinition.anInt2955 acts as the state variable, values 0-14): opens a socket, builds and sends an RSA-encrypted login block with random session keys, handles handshake response codes, and manages reconnect/world-switch flows. This is unmistakably network login-handshake logic, not node-deque functionality — a major instance of the project's known decompiler-merged-wrong-content pattern. Given its size/complexity and risk, only the overall purpose was confirmed here; individual response-code branches were not each independently traced."
method847,logLoginError,"string: String, i: Int","message: String, code: Int",medium,"Companion, @JvmStatic. Prints an error message to stdout and retries method843 (processLoginHandshake) unless code == -5192 (decoy gate). Pairs with method843's login state machine."
method1215,resetConnectionBuffers,i: Byte,unusedFlag: Byte,medium,"Companion. Dispatches to ByteBufferStatics.method3379 with different codes depending on WorldMapRenderer.anInt4674's current mode; called from several failure branches inside method843's login state machine to reset/release connection-related buffers."
