current_name,recommended_name,current_params,recommended_params,confidence,notes
method1714,getSupportLevel,"i: Int, i_0_: Int","kind: Int, value: Int",high,"Abstract override from GraphicsOptionState (matches BinaryGraphicsOptionState.method1714's role). Sentinel `i != 3` returns 121 (invalid marker - each sibling class uses its own distinct magic invalid-return constant: BinaryGraphicsOptionState uses 94, this one uses 121). When kind==3, performs a REAL hardware-capability check via `LinkedListNodeStatics.method2714(7351, this.aClass348_Sub51_3136.aClass239_Sub25_7271!!.method1829(-32350))` - if the GPU lacks capability flag 7351 (a bloom-specific feature id, corroborated by the identical check reused in method1716 and method1774 below), returns 3 (unsupported); otherwise returns 1 (fully supported). anInt5972 is a companion counter. Unlike BinaryGraphicsOptionState's stub override, this one genuinely gates on hardware support."
method1771,getValue,i: Int,sentinel: Int,high,"Public getter, structurally identical to BinaryGraphicsOptionState.method1768: returns this.anInt3138 and increments anInt5960. Confirmed external call sites all pass the sentinel -32350: ChatCommandProcessor.kt:1812 `...aClass239_Sub12_7243!!.method1771(-32350) == 1`, Client.kt:1779 (debug settings dump: `string += \"11)\" + ...aClass239_Sub12_7243!!.method1771(-32350) + \"|\"`), DisplaySettingsConfig.kt:275 (serialize into settings byte buffer), OggBitstreamDecoder.kt:130 `WarpTextureNode.method3137(...aClass239_Sub12_7243!!.method1771(-32350) == 1, (-24).toByte())`. The guard `if (i != -32350) method1714(80, -99)` discards its result and is therefore a pure decoy side-effect call, never actually reached at runtime since all real callers pass -32350."
method1712,setValue,"i: Int, i_1_: Int","unusedTag: Int, value: Int",high,"Abstract override; sets this.anInt3138 = i_1_ unconditionally (second parameter is the real value, matching the base class calling convention `method1712(124, i)`/`method1712(12, 42)`). First parameter `i` is used only in a discarded local `val i_2_ = -19 % ((82 - i) / 35)` - dead-code decoy identical in spirit to BinaryGraphicsOptionState.method1712's analogous unused-first-arg pattern (here using modulo instead of division, but same discard-the-result shape). anInt5963 is a companion counter."
<init>,<init>,class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Trivial delegating secondary constructor forwarding to GraphicsOptionState's default-value constructor (`: super(class348_sub51)`), which computes anInt3138 via getDefaultValue(20014)."
method1716,revalidate,bool: Boolean,unused: Boolean,high,"Abstract override; leading `if (bool != false) method1716(false)` is the same dead self-recursive opaque predicate seen in BinaryGraphicsOptionState.method1716 (real caller, DisplaySettingsConfig.method3426, always passes false). Real logic here is more elaborate than the Binary sibling: if the GPU exposes a related capability flag (`this.aClass348_Sub51_3136.aClass239_Sub25_7271!!.method1830((-119).toByte())`) is true AND the bloom feature (7351) is NOT available (`!LinkedListNodeStatics.method2714(7351, ...method1829(-32350))`), it force-disables the option (anInt3138 = 0); then, regardless, clamps anInt3138 back to {0,1} via getDefaultValue(20014) if it's out of range. anInt5962 is a companion counter."
<init>,<init>,"i: Int, class348_sub51: DisplaySettingsConfig","value: Int, config: DisplaySettingsConfig",high,"Trivial delegating secondary constructor forwarding to GraphicsOptionState's explicit-value constructor (`: super(i, class348_sub51)`), which sets anInt3138 = i directly."
method1774,isBloomSupported,i: Int,sentinel: Int,medium,"Confirmed external call site: ChatCommandProcessor.kt:2490 `if (...aClass239_Sub12_7243!!.method1774(120) && FacingDirectionNode.aRenderer6654!!.method3627()) 1 else 0` - used alongside a renderer-ready check to decide whether to offer/enable a bloom-related UI action. Guard `if (i < 85) method1773(116.toByte())` never fires at the real call site (120 >= 85), making the companion method1773 call unreachable via this path specifically (though method1773 is reachable elsewhere, see its own row) - another opaque-predicate decoy. Return value is the same hardware-capability expression used in method1714/method1716: `LinkedListNodeStatics.method2714(7351, this.aClass348_Sub51_3136.aClass239_Sub25_7271!!.method1829(-32350))`, i.e. this is a convenience boolean wrapper exposing 'is bloom hardware-capable' without going through the (kind, value) getSupportLevel API. anInt5961 is a companion counter."
method1710,getDefaultValue,i: Int,sentinel: Int,high,"Abstract override; unlike sibling classes (which validate the sentinel against 20014), this override ignores `i` entirely and unconditionally returns 0 - i.e. bloom's default is always 'off', with no sentinel validation performed. anInt5970 is a companion counter. Harmless inconsistency versus the abstract contract since the only real caller (base class constructors/method1718) always supplies 20014 anyway."
method1772,disposePendingRenderQueueEntries,i: Int,unusedTag: Int,low,"Real (non-dead) call sites confirmed: DelegatingRenderCanvas.kt:228 `method1772(i xor 0x41)` and InputStream_Sub1.kt:42 `BloomGraphicsOptionState.method1772(28)`. Body drains a queue-like Hashtable (`ProjectileConfigUtil.aHashtable_389`, using the codebase's recurring peek-first/remove-first Hashtable traversal pattern via method3484(0) then repeated method3482(0) calls) of entries typed as MenuActionNode, invoking `OpenGlModel.method690(108.toByte(), class348_sub15.anInt6773)` for each - most plausibly disposing/releasing GPU render-buffer handles referenced by anInt6773. Also nulls the loader-settings string aString5966 if `i <= 4` (both real call sites pass values >4 after their transforms: 28, and i^0x41 - the latter's concrete range wasn't fully traced, so this secondary branch's reachability is uncertain). The mix of 'MenuActionNode'/'ProjectileConfigUtil' naming with what looks like generic render-resource cleanup strongly suggests this is a shared/generic Hashtable-based disposal queue coincidentally named after menu actions, unrelated to bloom option semantics - likely another decompiler class-merging artifact. Confidence low-medium given the cross-purpose naming and only partial verification of OpenGlModel.method690's effect."
method1773,resetLoaderSettingsAndArchiveCache,i: Byte,unused: Byte,medium,"Real call site: Client.kt:819 `method1773(120.toByte())` during client bootstrap/reset. Nulls aString5966 (confirmed via Client.kt:1343-1344 to be the applet 'settings' launch parameter string, `this.getParameter(\"settings\")`, later reused to build outbound request query strings e.g. GlslEnvMaterialPass.kt:147 `\"/p=\" + BloomGraphicsOptionState.aString5966` and written into outbound packets in SceneNodeDeque.kt:239/267) and ModelFacePriorityNode.aJs5Archive_5964 (a Js5Archive reference populated elsewhere in CacheArchiveIndex.kt:144). So this is really a 'reset cached loader-settings string and archive reference' utility, unrelated to bloom graphics options - again looks like a decompiler class-merging artifact. The discarded local `val i_3_ = -86 / ((i - 13) / 45)` is a dead-code decoy (also a latent divide-by-zero at i=13 or i=58, never observed since the value is unused)."
