current_name,recommended_name,current_params,recommended_params,confidence,notes
L,setViewportOrigin,"i: Int, i_0_: Int, i_1_: Int","x: Int, tag: Int, y: Int",high,"Overrides Renderer.L (cf. NativeRenderer.csv L/setViewportOrigin). Stores anInt7856/anInt7782/anInt7813 when changed and rebuilds dependent projection state (method3803, method3732)."
method3728,setSecondaryTextureBlendEnabled,"bool: Boolean, i: Int","isEnabled: Boolean, tag: Int",low,"GL-only (not an abstract override). Toggles aBoolean7784 and clears render-state-cache bits when changed, invoking method3768; conditionally resets anInt7804 when tag<18. Called with varying tags from most 'enter render mode N' dispatchers (method3735/3740/3742/3763/3778/3791/3792/3673) alongside method3752/method3748/method3753."
method3625,createModel,"modelDefinition: ModelDefinition?, i: Int, i_2_: Int, i_3_: Int, i_4_: Int","modelDefinition: ModelDefinition?, tag: Int, orientation: Int, x: Int, z: Int",high,"Overrides Renderer.method3625 (matches NativeRenderer.method3625). Factory: returns new OpenGlModel(this, modelDefinition, tag, x, z, orientation)."
method3729,setTextureCombineMode,"i: Int, i_5_: Byte, i_6_: Int","combineRgb: Int, tag: Byte, combineAlpha: Int",medium,"GL-only. Sets glTexEnvi GL_COMBINE_RGB(34161)/GL_COMBINE_ALPHA(34162) for the active unit, unconditionally when multitexture depth (anInt7876) is nonzero, else only-if-changed."
method3730,activateProjectionMatrixMode2,i: Byte,tag: Byte,medium,"Private. Uploads aFloatArray7779 as GL_PROJECTION then restores GL_MODELVIEW - one of several 'switch matrix mode' helpers (siblings method3763, method3747). Calls method3659 when tag<=113."
method3653,setEnvironmentCubeTextureSource,circleRasterizer: CircleRasterizer?,cubeTextureSource: CircleRasterizer?,high,"Overrides Renderer.method3653 (matches NativeRenderer.method3653). Casts and stores as aClass299_Sub1_7769 (Texture2DProvider)."
method3731,createIndexOrVertexBuffer,"i: Int, bool: Boolean, i_8_: Int, `is`: ByteArray?, i_9_: Int","tag: Int, dynamic: Boolean, size: Int, data: ByteArray?, count: Int",medium,"GL-only factory: returns a GlArrayBufferObject (VBO) when supported, else a NativeIndexBuffer client-side fallback."
DA,setViewportBounds,"i: Int, i_10_: Int, i_11_: Int, i_12_: Int","originX: Int, tag: Int, originY: Int, scale: Int",high,"Overrides Renderer.DA (matches NativeRenderer.DA). Stores viewport fields and rebuilds dependent projection matrices (method3806, method3772, method3747/method3730 by active matrix mode)."
method3732,updateAlphaTestEnabled,i: Int,tag: Int,low,"Private. Toggles GL_ALPHA_TEST(2912) from aBoolean7801 and whether anInt7782 (set by L) is negative."
method3733,createVertexOrIndexBuffer,"i: Int, i_14_: Int, i_15_: Int, `is`: ByteArray?, bool: Boolean","tag: Int, unused: Int, size: Int, data: ByteArray?, dynamic: Boolean",medium,"GL-only factory paralleling method3731: returns a GlElementArrayBuffer (VBO) or NativeVertexBuffer fallback. Decoy call to method3644 when unused>=-2."
method3734,popMatrixAndResetTileHeight,bool: Boolean,keepTileHeight: Boolean,low,"GL-only. glPopMatrix(); unless keepTileHeight, resets anInt7772 (tile-projection scale used by OpenGlTerrainTile/NpcEntityUpdater) to 37."
method3690,createParticleTileShape,"i: Int, i_16_: Int, i_17_: Int, i_18_: Int, i_19_: Int, f: Float","x: Int, z: Int, width: Int, height: Int, tag: Int, height2: Float",high,"Overrides Renderer.method3690 (matches NativeRenderer.method3690). Factory: returns new TerrainTileShape(x, z, width, height, tag, height2)."
method3735,bindRenderModeStencil,i: Int,tag: Int,medium,"Private 'enter render mode N' dispatcher (state id 4): runs method3763/3807/3728/3752/3748/3757/3753 if not already active - same family as NativeRenderer's method3825/bindRenderModeN dispatchers."
XA,getFarPlaneDistance,none,none,high,"Overrides Renderer.XA (matches NativeRenderer.XA). Returns anInt7814."
method3636,drawTexturedDirectionalSegment,"i: Int, i_20_: Int, i_21_: Int, i_22_: Int, i_23_: Int, i_24_: Int, var_sprite: Sprite?, i_25_: Int, i_26_: Int","x0: Int, y0: Int, x1: Int, y1: Int, color: Int, tag: Int, sprite: Sprite?, u: Int, v: Int",medium,"Overrides Renderer.method3636 (matches NativeRenderer.method3636/drawComplexPrimitive3). Binds the sprite's GL texture, normalizes direction (x0,y0)-(x1,y1), draws a 2-vertex textured GL_LINES(1) segment."
Y,getViewportBounds,none,none,high,"Overrides Renderer.Y (matches NativeRenderer.Y). Returns intArrayOf(anInt7853, anInt7810, anInt7771, anInt7794)."
method3737,queueVertexBufferForDeletion,"i: Int, i_31_: Byte, i_32_: Int","glId: Int, unused: Byte, refCount: Int",medium,"Synchronized. Enqueues (glId,refCount) IntKeyNode on aNodeDeque_7752, drained by method3646 (glDeleteBuffersARB). Sibling deferred-deletion queues: method3765/3769/3780/3800/3810."
