current_name,recommended_name,current_params,recommended_params,confidence,notes
method1712,setValue,"i: Int, i_0_: Int","kind: Int, value: Int",high,"Override of GraphicsOptionState's abstract method1712. Ignores `kind` entirely and stores `value` into this.anInt3138 -- identical shape to the sibling override documented in CameraDistanceOptionState.csv (also named setValue there). Contains a dead decoy local `i_1_ = -40 / ((i - 82) / 35)` that is computed and never read."
method1727,getValue,i: Int,unusedFlag: Int,high,"Public getter returning this.anInt3138 (current chat-effects setting, 0..3). Confirmed via many call sites always passing the sentinel -32350 (DisplaySettingsConfig.kt:285 serializes it with writeByte; ChatCommandProcessor.kt:1726/1872; ConfigArchiveLoader.kt:603/612; LoadingScreenImageNode.kt:137/147) -- same getValue pattern as DisplayModeOptionState.method1829 / FlickeringEffectsOptionState.method1751. The `if (i != -32350) anInt5871 = 39` branch is a dead opaque predicate (every real call site passes exactly -32350)."
<init>,<init>,class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Trivial secondary constructor delegating to GraphicsOptionState's matching constructor, which computes the initial value via method1710(20014)."
method1710,computeInitialValue,i: Int,sentinel: Int,high,"Override of GraphicsOptionState's abstract method1710, always invoked with sentinel 20014 (from the base constructor and from method1716/refresh). Unlike sibling overrides (e.g. CameraDistanceOptionState's, which compute a real 0/1 based on hardware capability), this override unconditionally `return 0`s -- chat effects always initializes to level 0 (off). The `if (i != 20014) anInt5871 = -72` branch is a dead opaque predicate; every real call site passes 20014."
<init>,<init>,"i: Int, class348_sub51: DisplaySettingsConfig","initialValue: Int, config: DisplaySettingsConfig",high,"Trivial secondary constructor delegating to GraphicsOptionState's matching constructor, which sets anInt3138 = initialValue directly. Used when deserializing a previously-saved settings value (DisplaySettingsConfig.kt:197, gated on a version check `i_4_ >= 24`)."
method1729,isSupported,i: Int,unusedFlag: Int,low,"Returns true unconditionally regardless of input (`if (i <= 85) return true; ...; return true` -- both paths return true). Only known call site is ChatCommandProcessor.kt:2510, which writes `if (...method1729(91)) 1 else 0` into a debug/telemetry int array, i.e. this is read externally as a boolean capability/availability flag for chat effects, but the current implementation never actually returns false. Possibly a stubbed-out or always-on feature check; name is a best guess given no observable branching."
method1716,refresh,bool: Boolean,force: Boolean,low,"Override of GraphicsOptionState's abstract method1716. Only ever invoked with force=false via DisplaySettingsConfig.method3426's reflective loop over all GraphicsOptionState fields (`graphicsOptionState.method1716(false)`). Body: if isElevatedLevel(force) is true (see method1735 -- note its own `force` param is actually ignored, so this really tests 'is current level >= 2' regardless of `force`) AND either (a) the display-mode option is in a capability-restricted mode per DisplayModeOptionState.method1830/method1829 combined with HeadIconRenderer.method1210, or (b) FlickeringEffectsOptionState's value == 1, then downgrade anInt3138 to 1. Then collapses level 3 to 2 (alias normalization). Then `if (force != false) refresh(true)` -- a self-recursive call passing `true` unconditionally whenever `force` is true, which would infinite-loop/stack-overflow if ever reached with force=true; every confirmed call path in the repo only ever passes false, so this branch appears to be unreachable dead code (likely a decompilation artifact) rather than exercised logic. Finally clamps anInt3138 back into [0,3] via computeInitialValue(20014) if it ever falls outside that range."
method1714,validateKind,"i: Int, i_24_: Int","kind: Int, value: Int",medium,"Override of GraphicsOptionState's abstract method1714, always invoked as validateKind(3, candidateValue) per the base class's method1718. If `value` is 2 or 3 (via the isElevatedLevel(value,_) helper -- see method576) and either the restricted-display-mode condition or FlickeringEffectsOptionState==1 condition holds (same two checks as refresh/method1716), forces a return of 3. Otherwise: returns 3 if value==kind(3); returns 2 if value==2; else returns 1. Net effect: values 2/3 are generally preserved (or force-clamped to 3 under the capability conditions), while 0/1 collapse to 1. The two `isElevatedLevel` calls (`method576(i_24_, 29)` and `method576(i_24_, i xor 0x56)`) are textually different call expressions but behave identically since method576 ignores its second argument entirely."
method1735,isElevatedLevel,bool: Boolean,force: Boolean,medium,"Returns method576(this.anInt3138, 29), i.e. true when the current chat-effects level is 2 or 3. The `force` parameter is NOT used in the return value at all -- it only toggles a dead telemetry field (`anInt5871 = -86` when true) -- so despite being named/called like a 'force' flag by refresh()/validateKind(), it has no effect on this method's actual result. Called externally by WaterDetailOptionState.method1716 (to decide whether to downgrade water detail when chat effects are elevated) and by LoadingScreenImageNode.kt (always passing literal `false`), confirming this is read as a plain state query rather than an action that responds to a force flag."
method576,isElevatedLevel,"i: Int, i_1_: Int","value: Int, unused: Int",high,"Companion/static predicate: `return i == 2 || i == 3`, ignoring the second parameter entirely (called elsewhere in this file with 29 and with `i xor 0x56` -- both produce the same result since the argument is never read). Used as the shared '2 or 3' test by method1714 and method1735."
method1728,renderWidgetIfTextureReady,"i: Int, i_2_: Int, i_3_: Int, bool: Boolean, i_4_: Int","id: Int, unusedFlag: Int, textureIndex: Int, forceRedraw: Boolean, offset: Int",medium,"Companion/static, imported and called from GraphicsOptionState.kt, ConfigFlagUtil.kt, and ByteBufferStatics.kt -- none of which relate to chat-effects settings, so this is very likely a decompiler-merged utility method placed in the wrong class (per PLAN.md guidance on jvmMain companion-object merge artifacts). If TextureLoaderUtil.method2547(textureIndex, 84) reports the texture as loaded, delegates to NullRenderPass.method3534(false, id, offset, forceRedraw, ..., WarpTextureNode.aWidgetComponentArrayArray9427[textureIndex]) to render/redraw the widget component array for that texture slot -- i.e. 'render this widget once its texture has finished loading'."
method1730,fillWidgetPolygonBand,"i: Int, i_5_: Int, i_6_: Int, i_7_: Int, i_8_: Int, i_9_: Int, i_10_: Int, i_11_: Int",same (best-effort unclear roles),low,"Companion/static; unrelated to ChatEffectsOptionState's own fields -- a decompiler-merged rasterization helper (same family as CircleDrawer.method1496 / CircleRasterizer.method2255: builds vertex geometry into WidgetDefinition.anIntArrayArray255 rows via GlElementArrayBuffer.method1156). Its only real external call site (VarpStore.kt:147) guards it with the same LocalPlayerState/WidgetTextConfig/WorldMapLabel/CameraNodeList viewport-bound checks used by the circle-drawing routines elsewhere in this codebase, suggesting it fills a band of scanlines/rows (a polygon or thick line) rather than a circle outline specifically. The `if (i_10_ != -128) method1730(...)` self-recursive branch is a dead opaque predicate: VarpStore.kt's only call site passes -128 literally for that argument. Individual parameter roles were not conclusively identified; names are placeholders pending closer study alongside VarpStore.kt."
method1731,advanceQueuedTimedRecord,i: Int,unused: Int,low,"Companion/static; entirely unrelated to ChatEffectsOptionState's own fields (touches GroundDecorEntity's node deque, TimedRecordAccessor, RegionSceneLoader, HashLinkedListNodeStatics, NpcEntityUpdater, SpriteMaskShape, SolidFillComponent, IntHashSetStatics) -- a decompiler-merge artifact. Pops a TimedRecordAccessor from GroundDecorEntity's deque, reads two sub-values from it via method3308/method3311, and depending on whether RegionSceneLoader/HashLinkedListNodeStatics indicate 'more pending' either notifies NpcEntityUpdater or forwards the values to SpriteMaskShape.method2599, else assigns a shared cache reference to SolidFillComponent. Also conditionally prefetches a renderable entry via method1734 when `i != 1`. Best-effort name only; exact semantics of the queue/records are unclear from this file alone."
method1732,isRenderableCharCode,"i: Byte, i_21_: Int","byteValue: Byte, unused: Int",medium,"Companion/static. Treats `byteValue` as an unsigned byte (0-255); returns false if it's 0, otherwise true if it's a normal Latin-1 codepoint (>=160) or if it maps to a defined (non-'\\u0000') entry in ByteBuffer.aCharArray625, the classic CP1252 remap table for byte values 128-159 used throughout this codebase for RS text decoding. Confirmed real use: MapLabelMenuEntry.kt:62 gates `stringbuffer.append(...)` on this returning true before appending the decoded character -- i.e. 'is this byte a valid/printable character'. The `unused` parameter's exact role in the `byteValue < unused.inv()` sub-check is not fully disambiguated (the one confirmed call site always passes -129), but does not change the false-for-zero / true-for->=160 conclusions."
method1733,scheduleTimedNodeValue,"i: Byte, i_23_: Int","unusedGuard: Byte, value: Int",low,"Companion/static; unrelated to this class's own fields -- uses NamedTimedNode.method2516 (also seen in CipheredPacketBuffer.kt's method3411, another merge artifact) to create/fetch a named timed node and set its anInt9652 field to `value`. Only confirmed call site is ChatCommandProcessor.kt:2905, guarded by `widgetComponent.anInt704 == -1`. The `if (i.toInt() != -78) method1732(...)` branch is a dead opaque predicate at that call site (which passes -78 literally)."
method1734,getOrCreateRenderableEntry,"i: Int, var_renderer: Renderer?, i_25_: Byte, bool: Boolean","id: Int, renderer: Renderer?, unusedFlag: Byte, includeFont: Boolean",medium,"Companion/static; unrelated to ChatEffectsOptionState's own fields -- a sprite/texture render-entry cache lookup-or-build routine (uses AbstractTileShapeStatics/LoadingScreenState's parallel id/entry arrays as a fast path, then SoundCacheState's LRU-by-long cache keyed on `id`, then decodes via SpriteImage.method1523 and RangedGraphicsOptionState.method1766, builds a RenderableEntry via renderer.method3686, optionally attaching a font when `includeFont`, and caches the result). Confirmed real external callers are GlTextureBase.kt and GlVertexBufferBase.kt (texture/vertex-buffer plumbing), and internally from method1731 -- none of which relate to chat effects, supporting the decompiler-merge-artifact interpretation per PLAN.md's guidance on jvmMain companion objects."
