current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"glRenderDevice: GlRenderDevice, js5Archive: Js5Archive?, normalMapGenerator: NormalMapGenerator?","glRenderDevice: GlRenderDevice, js5Archive: Js5Archive?, normalMapGenerator: NormalMapGenerator?",high,"Loads the 'gl/transparent_water' shader-program texture handle from `js5Archive` (via ArbVertexProgram.method3442) only when the archive is present, `normalMapGenerator.method2039(100)` succeeds, and the render device supports the required extension (`aGlRenderDevice_7296.aBoolean9923`); otherwise leaves the handle null (water pass effectively disabled)."
method3527,renderObject,"i: Int, renderable: Renderable?, i_4_: Int","passIndex: Int, unusedRenderable: Renderable?, unused: Int",medium,"Overrides AbstractRenderPass's abstract per-object render hook (shared abstract-class slot also implemented by BasicGlRenderPass, D3d*/Gl* sibling passes - naming inferred from cross-hierarchy call-site conventions in NativeRenderer.kt, not independently confirmed against AbstractRenderPass.kt itself, which isn't in this batch). This override barely does anything: `renderable` is never referenced, and the only effect is `if (unused != -16776) aGlRenderDevice_7296 = null`. Water is evidently rendered as part of the terrain pass rather than per-renderable-object, so this hook is close to a no-op stub here."
method3525,bindVertexProgram,"i: Int, bool: Boolean","mode: Int, unusedFlag: Boolean",medium,"Overrides an abstract AbstractRenderPass hook. Only acts when `mode == 15192`: binds the loaded water vertex program (glBindProgramARB(GL_VERTEX_PROGRAM_ARB=34336, ...)), glEnable's it, and issues a full-screen quad draw via the renderer's `method3849`. `unusedFlag` is never referenced in the body - fully unused parameter at this override, though the abstract signature carries it for other AbstractRenderPass implementations."
method3521,configureRenderState,"bool: Boolean, i: Byte","unused: Boolean, unused2: Byte",low,"Overrides an abstract AbstractRenderPass hook. Nulls `aShortArrayArrayArray7290` when `unused2 != -103` (see field notes below - dead at the sole confirmed call site, NativeRenderer.kt: `method3521(bool, (-103).toByte())`, which always passes -103), then applies some render-config pairing via `aHa_Sub3_4479.method3874(TheoraVideoStream.aRenderConfigFactory_9011, 106, RenderQueueState.aRenderConfigFactory_6519)` whose exact effect (e.g. reflection/refraction render-config binding for water) wasn't independently traced in this pass. `unused` (the Boolean) is never referenced in the body."
method3520,unbindVertexProgram,i: Byte,unused: Byte,medium,"Overrides an abstract AbstractRenderPass hook. Only acts when `unused.toInt() == 87`: replays the same full-screen-quad draw as method3525/bindVertexProgram (via `aHa_Sub3_4479.method3849`) then unbinds the vertex program (glBindProgramARB(34336,0)) and disables both 34820 and 34336. Sole confirmed call site (NativeRenderer.kt: `method3520(87.toByte())`) always passes 87, so this branch is the real/always-taken path here, not a decoy - i.e. this is effectively the pass's per-frame 'end of water pass, restore fixed-function state' cleanup step."
method3526,setWaterAnimationPhase,"i: Int, i_5_: Int, i_6_: Int","mode: Int, unused: Int, unused2: Int",medium,"Overrides an abstract AbstractRenderPass hook. Only acts when `mode == 10756` (matching NativeRenderer.kt's sole observed call, `method3526(10756, i, i_132_)`). `unused`/`unused2` are never referenced inside the branch - fully unused at this override. When the normal-map generator is in continuous-animation mode (`aNormalMapGenerator_7294.aBoolean3458`), sets a vertex-program local param to a smoothly-cycling phase `f = (tick % 4000) / 4000.0` using one shared texture handle; otherwise picks one of several discrete pre-baked normal-map texture handles from an array indexed by a coarser 16-step version of the same cycle."
method3530,isWaterTextureAvailable,i: Int,unused: Int,medium,"Overrides an abstract AbstractRenderPass hook (queried by NativeRenderer.kt as a pass-availability/fallback check, e.g. `if (!passArray[2]!!.method3530(-58)) passArray[2] = fallback`). Returns `true` unconditionally when `unused >= -57`, otherwise returns whether the water shader-texture handle loaded successfully (`aTextureHandle_7293 != null`). All observed call sites pass values < -57 (-58, -74, -104, -78, -90 across NativeRenderer.kt), so the unconditional-true branch is a dead decoy in every confirmed case - the real 'was water rendering set up successfully' check is the one actually exercised."
method3536,registerGroundObjectSpawn,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int, class318_sub1_sub2: SceneObjectEntity","idA: Int, tileX: Int, tileZ: Int, idB: Int, entity: SceneObjectEntity",low,"Companion, SEMANTICALLY UNRELATED to water rendering - looks up an object-spawn config via `StringValueNode.method3321(idA, tileX, tileZ)`, positions `entity` at the corresponding world coordinates, and links it into one of three priority linked lists (`BackgroundWorkerThread.aClass318_Sub1Array3226`, `LinkedListNodeStatics.aClass318_Sub1Array4293`, or `OverlayColorTable.aClass318_Sub1Array1754`) chosen by `entity`'s own occlusion/priority flags - i.e. classic RS 'place a spawned scene object into the correct render-priority bucket' logic. Sole call site, ProjectileSpawner.kt, confirms this is real, load-bearing game logic despite living in this water-pass file (decompiler-merge pattern per PLAN.md)."
method3537,resetRecolorPaletteAndReconnectState,i: Int,unused: Int,medium,"Companion. Nulls `aShortArrayArrayArray7290` unconditionally and sets `anInt7297 = 99` when `unused != 34336`. Neither field is water-pass-related: `aShortArrayArrayArray7290` is actually a widely-used composite-NPC/item-model recolor palette table (heavily referenced from CompositeNpcModelBuilder.kt, ItemDefinition.kt, ModelKeyBuilder.kt, Player.kt for equipment/kit recoloring), and `anInt7297` is the socket-reconnect state machine documented in AbstractBloomEffect.csv's method2757/pollGameSocketReconnect notes from an earlier batch (0=idle,1=connecting,2=awaiting-result,4=post-login) - both misplaced onto this class by the decompiler merge. Sole call site (Client.kt: `method3537(i.toInt() xor 0x864c)`) doesn't resolve to a fixed literal, so the `unused != 34336` branch's live/dead status is unconfirmed."
method3538,removeContactByName,"bool: Boolean, string: String?","unused: Boolean, name: String?",medium,"Companion, SEMANTICALLY UNRELATED to water rendering - strips a leading '*' and sanitizes `name` via GlVertexBufferArb.method2127/sanitizeAccountName (see that file's notes in this batch), then linear-scans `NpcConfig.aStringArray932` (despite the class name, used here as a friends/ignore-list name array, alongside parallel arrays `ObjectSpawnDecoder.aStringArray1808`, `WeaveTextureNode.aStringArray9275`, `IndexedSprite.aStringArray5197`, and `BasicGlRenderPass.aBooleanArray7304`) for a case-normalized match, and if found, shifts all later entries down by one (removing it) and sends a network packet via `WaterMaterialPass.method2148`/`InterfaceComponentGroup.method3243`. `ContactEntry.anInt9604` (the list's live count) confirms this is friends/ignore-list removal. Sole call site (ChatCommandProcessor.kt) always passes `true` for `unused`, which is never read inside the body anyway - unused parameter."
