current_name,recommended_name,current_params,recommended_params,confidence,notes
method3015,pushRegionToConsumer,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int, i_3_: Int","height: Int, decoyFlag: Int, x: Int, y: Int, width: Int",high,"Private. Pushes a sub-rectangle of the backing pixel buffer (anIntArray6916) to the registered java.awt.image.ImageConsumer via setPixels(x,y,width,height,colorModel,pixels,rowOffset,scanSize) then imageComplete(SINGLEFRAMEDONE). decoyFlag guards a dead cache-clear (`anIntArray9069 = null` when decoyFlag != 25786; sole caller always passes 25786)."
removeConsumer,removeConsumer,imageconsumer: ImageConsumer?,imageconsumer: ImageConsumer?,high,"java.awt.image.ImageProducer override - name is already meaningful/unobfuscated. Detaches the consumer if it matches the current one."
startProduction,startProduction,imageconsumer: ImageConsumer,imageconsumer: ImageConsumer,high,"java.awt.image.ImageProducer override - already meaningful. Delegates to addConsumer."
method3017,pushFullFrameToConsumer,i: Byte,decoyFlag: Byte,high,"Private. Pushes the entire backing buffer to the registered consumer via setPixels/imageComplete, mirroring pushRegionToConsumer but for the whole surface. `i_4_` local is dead decoy arithmetic (`-25 % ((decoyFlag - -41) / 55)`), unused."
addConsumer,addConsumer,imageconsumer: ImageConsumer,imageconsumer: ImageConsumer,high,"java.awt.image.ImageProducer override - already meaningful. Registers the consumer and immediately sends dimensions/properties/color-model/hints (TOPDOWNLEFTRIGHT|COMPLETESCANLINES = 14)."
isConsumer,isConsumer,imageconsumer: ImageConsumer?,imageconsumer: ImageConsumer?,high,"java.awt.image.ImageProducer override - already meaningful."
method3011,blitRegionToGraphics,"i: Int, i_5_: Int, i_6_: Int, graphics: Graphics?, i_7_: Int, i_8_: Int, i_9_: Int, i_10_: Int","destY: Int, srcX: Int, height: Int, graphics: Graphics?, decoyFlag: Int, destX: Int, width: Int, srcY: Int",medium,"Overrides an AbstractFrameBufferSurface abstract method (base class also just declares the same obfuscated signature, no extra context available). Pushes the given region to the AWT ImageConsumer via pushRegionToConsumer, clips `graphics` to (destX,destY,width,height), and draws the offscreen AWT Image onto it at an offset accounting for (srcX,srcY), restoring the previous clip afterward. The leading `if (decoyFlag != -1) method3011(-26,63,-8,null,101,114,-111,37)` is a dead self-recursive opaque-predicate call (would NPE on the null Graphics if it ever ran)."
method3008,attachToCanvas,"canvas: Canvas?, i: Int, i_11_: Int, i_12_: Int","canvas: Canvas?, width: Int, initFlag: Int, height: Int",high,"Overrides an AbstractFrameBufferSurface abstract method. Stores dimensions, allocates the backing IntArray pixel buffer, sets an opaque 32-bit DirectColorModel (masks 0xFF0000/0xFF00/0xFF, no alpha), and when initFlag <= -42 creates the backing AWT Image from `this` producer and calls canvas.prepareImage three times interleaved with pushFullFrameToConsumer - a common AWT workaround to force early image realization/triple-buffering warm-up."
requestTopDownLeftRightResend,requestTopDownLeftRightResend,imageconsumer: ImageConsumer?,imageconsumer: ImageConsumer?,high,"java.awt.image.ImageProducer override - name already meaningful (matches the interface method exactly); body is just a counter increment (no-op otherwise)."
method3016,clearImageAndSceneCollisionCaches,i: Int,decoyFlag: Int,medium,"DECOMPILER-MERGED WRONG CONTENT: companion. Nulls anIntArray9069 (this class's own GL-query scratch buffer, per MinimapShapeDrawer.kt usage) and aSceneCollisionEntryArrayArrayArray9082 - the latter is a per-plane/x/z scene-collision-entry 3D grid used extensively elsewhere (ProjectedGroundDecor.kt, RenderbufferObject.kt, GlTexture3D.kt, DoublyLinkedNodeList.kt, CubemapTextureImplSource.kt) and has nothing to do with AWT image production - matches the same cross-class collision-grid field seen misattributed in PositionedSceneNode.kt's HintArrowOrMessage.aSceneCollisionEntryArrayArrayArray2029 (likely the same underlying grid, aliased across classes by the decompiler). `if (decoyFlag != 65280) method3016(-19)` is a dead self-recursive decoy call."
