current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,privilegedOperationWorker: PrivilegedOperationWorker,worker: PrivilegedOperationWorker,high,"Primary constructor + init block: submits this Runnable to `worker.method2236(this, -10240, 5)` (a thread-pool/worker submission returning a status handle), busy-waits (sleeping via TexGenMaterialPass.method2161(43.toByte(), 10L)) while status == 0, throws RuntimeException if status == 2 (start failure), otherwise stores the resulting kotlinx.coroutines.Job. Despite the class name, this file's actual behaviour (confirmed across every method below) is a background async disk-cache I/O worker for IndexedFileCache reads/writes, not script compilation - likely a decompiler class-name/content mismatch, or the name reflects an unrelated original role; flagging per the project-wide 'jvmMain content mismatch' pattern."
method1049,queueWriteRequest,"is: ByteArray?, indexedFileCache: IndexedFileCache?, i: Byte, i_0_: Int","data: ByteArray?, cache: IndexedFileCache?, tag: Byte, key: Int",high,"Builds a CompletedResourceRequest with anInt10457=2 (write), aByteArray10461=data, aLong7057=key, then enqueues it via method1050(request, tag + -123). All confirmed real call sites (ArchiveResourceProvider.kt, 2 sites) pass 10.toByte() for tag - the `if (tag != 10) aBoolean1738 = false` branch is dead at those call sites (decoy pattern)."
method1050,enqueueRequest,"class348_sub42_sub16_sub2: CompletedResourceRequest, i: Int","request: CompletedResourceRequest, tag: Int",high,"Private helper: locks the shared queue (aLinkedNodeListIterator_1730), appends the request via method1005(true, request) (looks like an 'addLast'), increments the queue-size counter anInt1734, and notifies the worker thread. `if (tag > -100) aSpriteImage_1727 = null` is a side effect clearing an unrelated cached SpriteImage - given the only caller (method1049) always passes tag = byteConst-123 = -113 (< -100), this branch is dead at that call site."
method1051,shutdown,bool: Boolean,stop: Boolean,medium,"Sets the stop flag aBoolean1738 = stop, wakes the worker thread via notifyAll, then blocks on `job.join()` (via runBlocking, swallowing InterruptedException) and clears job. Only confirmed call site (Client.kt, via GlShaderObjectHandle.aScriptCompilerThread_520) always passes true, so this is effectively a one-shot 'stop and wait for the worker thread to finish' teardown method; the stop param's false path was never observed live."
method1054,queueAsyncReadRequest,"indexedFileCache: IndexedFileCache?, i: Int, i_19_: Byte","cache: IndexedFileCache?, key: Int, tag: Byte",high,"Builds a CompletedResourceRequest with anInt10457=3 (async-read) and enqueues it via method1050. `if (tag != -112) return null` gates the whole body - confirmed decoy since the only real call site (ArchiveResourceProvider.kt) always passes (-112).toByte()."
runClass348,dequeueRequest,(none),(none),high,"Pops the next CompletedResourceRequest off the shared queue (method1008(20), looks like 'removeFirst'); if empty, waits on the queue's monitor and returns null (caller retries); otherwise decrements the queue-size counter anInt1734 and returns the item. Only caller is this class's own run() loop. Name 'runClass348' is a decompiler leftover unrelated to its actual dequeue behaviour."
run,run,(none),(none),high,"Runnable.run() override - kept as-is (framework method name). Worker loop: while not stopped, dequeue the next request; if it's an async-read (type 3) call `cache.method1161(...)` and store the bytes; if it's a write (type 2) call `cache.method1160(...)` to persist the bytes; catches and logs any Exception via LinkedListIterator.method1242; marks the request's aBoolean9664 = false ('done') after each iteration; increments anInt1736 once the loop exits (stopped)."
method1055,readResourceSync,"indexedFileCache: IndexedFileCache, i: Int, i_20_: Byte","cache: IndexedFileCache, key: Int, tag: Byte",medium,"If tag >= -98 first calls the companion's method1052 (cache-clear decoy - real call sites for tag are not both confirmed, kept medium confidence). Synchronously searches the pending-request queue (via method1011/method1003, an iteration pair) for an already-queued but not-yet-flushed write (type 2) matching the same key+cache, returning its bytes directly if found (read-your-own-writes consistency for data still sitting in the write queue); otherwise falls back to a direct synchronous `cache.method1161(...)` read and marks aBoolean9663 = true (looks like a 'loaded from disk, not from pending queue' flag)."
method1052,clearCachedSpriteImage,i: Byte,tag: Byte,medium,"Companion/@JvmStatic. Nulls the static aSpriteImage_1727 cache; decoy division expression on tag with an unused result. Called both externally (Client.kt reset path) and internally as a decoy guard from method1053 and method1055."
method1053,getHoveredContactListEntryId,i: Int,tag: Int,medium,"Companion/@JvmStatic, large method. `if (tag != 3112) method1052(...)` is a decoy guard (real call sites, e.g. RangedGraphicsOptionState.kt, pass 3112). Reads the current mouse position from RectangleRegion.aInputTracker_8552, hit-tests it against a scrollable list widget's bounds (using SceneTileBounds.anInt1117 as a row-width/height constant and a fixed 16px-per-row step), then walks a ContactList/ContactEntry linked structure (friends/ignore-list-style contact records) to find and return the `.anInt9609` id of the entry under the cursor, or -1 if none. Reads as a friends/contact-list UI hover hit-test, name and exact field semantics inferred from structure and ContactList/ContactEntry naming rather than independently confirmed - medium confidence."
