current_name,recommended_name,current_params,recommended_params,confidence,notes
method1712,setValue,"i: Int, i_0_: Int","tag: Int, value: Int",high,"Override of GraphicsOptionState.method1712/setValue (see GraphicsOptionState.csv - established project-wide convention for this *OptionState family). First param only feeds a discarded decoy expression (`-73 % ((i - 82) / 35)`); sets anInt3138 = value and increments anInt6085 (call counter)."
<init>,<init>,class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Secondary constructor matching the standard GraphicsOptionState two-constructor pattern (no explicit value - derives the initial value from method1710/getDefaultValue via the superclass constructor)."
method1820,getValue,i: Int,tag: Int,high,"Returns -43 unless tag == -32350 (the magic 'get current value' tag reused elsewhere in this class, e.g. method1714's `aClass239_Sub9_7256!!.method1759(-32350)` call), in which case increments anInt6091 and returns the live anInt3138 field - i.e. an accessor for the option's current value, parallel to the inherited getDefaultValue's use of the 20014 tag."
method1710,getDefaultValue,i: Int,tag: Int,high,"Override of GraphicsOptionState.method1710/getDefaultValue. Standard pattern: `if (tag != 20014) return -20` (decoy - real callers, including this class's own method1710→method1716 clamp path, always pass 20014), increments anInt6084, returns the fixed default 1."
method1714,getOptionKind,"i: Int, i_3_: Int","tag: Int, value: Int",medium,"Override of GraphicsOptionState.method1714/getOptionKind. Notably deviates from the usual 'tag is always a discarded decoy' pattern documented in GraphicsOptionState.csv: here `tag` is used for real in `this.aClass348_Sub51_3136.method3425(tag + -70)`, a hardware/feature-capability probe, gated behind `aClass348_Sub51_3136.method3422(674) == ParticleEmitterNode.aSceneProjector_186` (i.e. only when the OpenGL-style projector/renderer is active). In that branch: capability probe true -> returns 3 (computed/read-only, matching base-class convention); else if `value == 0` or a second feature flag (`aClass239_Sub9_7256!!.method1759(-32350) == 1`) -> returns 1 (settable); else returns 2 (a third, less-common option-kind value not seen in the base-class notes - possibly a partially-restricted/settable-with-caveats kind). In the non-GL-renderer branch, always returns 3 (read-only) after an apparently dead `if (tag != 3) validateValue(true)` guard (real tag is expected to be 3 per the base class's calling convention, so this branch is likely dead, consistent with GraphicsOptionState's documented tag=3 invariant - but note the same class does use its tag param for real in the other branch, so this file's convention-following is inconsistent/partial)."
method1716,validateValue,bool: Boolean,force: Boolean,medium,"Override of GraphicsOptionState.method1716/validateValue. Forces anInt3138 = 1 when the active renderer isn't the GL-style projector (`aClass348_Sub51_3136.method3422(674) != ParticleEmitterNode.aSceneProjector_186`), or 0 when a capability probe `method3425(-95)` is true; then re-clamps anInt3138 to {0,1} via getDefaultValue(20014) if out of that range. The `force` param's only effect is a real (non-decoy, but also not gated by anything else in the method) side effect: clears the unrelated aLruByteCache_6096 texture/byte cache when true - an odd side effect bundled into a value-validation method, possibly another instance of unrelated logic being fused together."
method1824,isAdjustable,i: Int,tag: Int,medium,"Not an override of any GraphicsOptionState abstract method (no matching signature in the base class) - an extra instance method specific to this subclass. Increments anInt6087; if the GL-style projector is active, returns `!aClass348_Sub51_3136.method3425(-96)` (i.e. true only when a certain hardware/feature limitation is absent); otherwise returns false. Reads as 'can this option actually be changed on the current hardware/renderer' - the tag param is unused beyond the counter increment, a decoy."
method1821,readFileBytes,"i: Int, file: File","tag: Int, file: File",high,"Companion/@JvmStatic. Decoy division expression on tag; delegates to FileIoUtil.method2607(file.length().toInt(), file, 121) to read the full file contents. Only call site: NoiseTextureGenerator.kt (`SceneryDetailOptionState.method1821(i xor 0x1d5b, file)`) - a generic file-loading helper that happens to be declared on this option-state class, unrelated to scenery detail (matches the project-wide decompiler-merge pattern)."
method1822,disposeCachedResources,i: Byte,tag: Byte,medium,"Companion/@JvmStatic. Nulls InboundPacketHeader.aInboundPacketHeader_6089 (unrelated class) plus this class's aLruByteCache_6096, aAbstractModelRenderer_6097, aStringArrayArray6093 and aCircleRasterizer_6098 - a broad resource-teardown/reset routine; the trailing `if (tag != 110) aCircleRasterizer_6098 = null` re-clears the same field already set to null unconditionally above, so that branch is a no-op decoy regardless of tag."
method1823,renderHoveredEntityTooltip,"var_renderer: Renderer, i: Int, i_4_: Int, i_5_: Byte","renderer: Renderer, screenX: Int, screenY: Int, tag: Byte",low,"Companion/@JvmStatic, ~120-line method - functionally unrelated to 'scenery detail option state', another instance of the project-wide 'decompiler merged wrong content into this file' pattern (flagged explicitly per PLAN.md guidance). Unprojects the given screen coordinates into world space via the active camera transform, then walks the current scene's entity list (SceneEntityModel / GroundDecorEntity / Player / Npc / DynamicSceneObjectEntity / RenderTarget cases) to find what's under the cursor and draws floating name/examine-text labels via MinimapPolygonDrawer.method466 (colour-coded per entity type: cyan for objects/renderTargets, orange for players/npcs/dynamic scenery) - i.e. this is the mouse-hover 'look/examine' tooltip renderer for the 3D scene, not a scenery-detail settings routine. Only call site: Client.kt (`SceneryDetailOptionState.method1823(FacingDirectionNode.aRenderer6654!!, i_38_, i_39_, (-50).toByte())`). Given the sheer size and entity-type-dispatch complexity, individual internal branches were not exhaustively traced - naming reflects the overall purpose at low-medium confidence."
