current_name,recommended_name,current_params,recommended_params,confidence,notes
method951,blitRenderNodeTopLayer,"var_renderNode: RenderNode, i: Int, i_0_: Int, i_1_: Int","renderNode: RenderNode, x: Int, y: Int, tag: Int",medium,"Copies a RenderNode's cached byte pixel array (OpenGlRenderNode.aByteArray10486) into this raster's own byte buffer (aByteArray1617) at an offset derived from the node's stored bounds (anInt10489/10484/10487/10482), clipped against the raster's width/height (anInt1612/anInt1624), via MediaStreamClient.method1895 (a clipped byte-array copy routine); then calls method952/markDirtyTileGeometry to flag affected TerrainTileGeometry cells. Confirmed real usage: called from OpenGlTerrainTile.wa/drawTileShadowSprite. Name reflects it drawing a RenderNode's already-rasterized content into the raster's top layer."
method952,markDirtyTileGeometry,"i: Int, i_13_: Int, i_14_: Int, i_15_: Int, i_16_: Int","width: Int, height: Int, x: Int, unused: Int, y: Int",medium,"Private. Converts the given pixel-space rect into 128-unit tile-geometry cell indices and marks each covered TerrainTileGeometry.aBoolean3009 (a dirty/needs-rebuild flag) true. Called after method951/blitRenderNodeTopLayer and method959/blitRenderNodeMaskLayer to mark the affected geometry region as needing a redraw."
method954,testRenderNodeMaskCoverage,"i: Int, i_23_: Byte, i_24_: Int, var_renderNode: RenderNode","x: Int, mode: Byte, y: Int, renderNode: RenderNode",medium,"Overrides TerrainTile-adjacent contract used via OpenGlTerrainTile.method3989/hitTestTileShadowSprite (see refactor-notes/jvmMain/OpenGlTerrainTile.csv). Computes clipped bounds from the renderNode's stored position/size, discards the cached tile-geometry array if `mode`!=88, and returns whether GrayscaleNoiseTexture.method552 (a coverage/edge test) finds a non-empty overlap - i.e. a visibility/hit test for whether the node's mask-layer content is actually visible at (x,y)."
method956,drawTerrainTileGeometryGrid,"bool: Boolean, i: Int, bools: Array<BooleanArray?>, i_35_: Int, i_36_: Int, i_37_: Int","useIndexedDraw: Boolean, tileScale: Int, visibleMask: Array<BooleanArray?>, offsetX: Int, offsetY: Int, radius: Int",low,"Iterates the cached TerrainTileGeometry grid (aTerrainTileGeometryArrayArray1623), and for cells flagged visible in `visibleMask` within a radius around (offsetX,offsetY), sets up a per-cell GL texture matrix (glMatrixMode/glLoadIdentity/glScalef/glTranslatef) then either directly draws the cell (method1644/drawImmediate when useIndexedDraw) or accumulates its shorts into a shared index buffer (aByteArray10486-style) via method3397/writeShort before a single batched draw (method1643/drawIndexed). Confirms this class bridges software-rasterized tile content into GL indexed draw calls - a hybrid software/GL rendering path. Large method (~100 lines), only the overall two-branch shape confirmed."
method957,allocateTileGeometryGrid,i: Int,startRow: Int,medium,"(Re)allocates aTerrainTileGeometryArrayArray1623 as a (width x height) grid of TerrainTileGeometry cells starting from `startRow`, constructing each with its renderer/raster/terrain-tile references and 128-unit-scaled pixel coordinates."
method959,blitRenderNodeMaskLayer,"i: Int, i_64_: Int, i_65_: Byte, var_renderNode: RenderNode","x: Int, y: Int, mode: Byte, renderNode: RenderNode",medium,"Sibling of method951/blitRenderNodeTopLayer: if `mode` < 67 first rebuilds the tile-geometry grid (method957) from row -40, then copies the renderNode's byte pixel data into this raster's buffer via HslColorConfig.method295 (a different clipped-copy routine than method951's, suggesting a distinct blend/layer semantics - e.g. an underlying 'mask'/hole layer vs. method951's 'top' layer), and marks the affected region dirty via method952. Confirmed real usage: called from OpenGlTerrainTile.CA/undrawTileShadowSprite."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer?, var_s_Sub2: OpenGlTerrainTile?","renderer: OpenGlRenderer?, terrainTile: OpenGlTerrainTile?",high,"Computes this raster's pixel-space width/height (anInt1624/anInt1612) from the terrain tile's dimensions (anInt4592 x anInt4590 x anInt4587) shifted by the renderer's LOD shift (anInt7731), an internal per-cell shift (anInt1613) from the tile's own detail shift, and allocates the byte pixel buffer (aByteArray1617) sized width*height. Wraps any RuntimeException in a TextureLoadException with constructor-arg context, matching the project's common defensive-constructor pattern."
method953,resetCompanionCaches,i: Byte,unused: Byte,medium,"Companion. Nulls anIntArray1626, aJs5Archive_1627 and aScreenAnchorAlignment_1620 - a static-cache teardown hook, consistent with the repeated 'reset shared statics' pattern seen across this batch's companion objects."
method955,isValidLodLevel,"i: Int, i_34_: Int","tag: Int, lodLevel: Int",medium,"Companion. Nulls aScreenAnchorAlignment_1620 as a side effect when tag!=22311 (decoy-looking guard, real call sites presumably always pass 22311), then returns whether lodLevel is within [4,8] - a range-check helper for an LOD/detail selection."
method958,createRenderer,"bool: Boolean, i: Int, var_renderConfig: RenderConfig?, i_61_: Int, canvas: Canvas?, js5Archive: Js5Archive?","preferHardware: Boolean, tag: Int, renderConfig: RenderConfig?, backendId: Int, canvas: Canvas?, js5Archive: Js5Archive?",high,"Companion factory. Reads the canvas's current size and delegates to method3692/createRendererInternal with backendId selecting among GL/D3D/Software/toolkit-factory renderer backends - the actual 'pick and construct a Renderer implementation' entry point referenced elsewhere in the client bootstrap."
