current_name,recommended_name,current_params,recommended_params,confidence,notes
method2961,resetSubtitle,i: Byte,unusedGuard: Byte,medium,"Override of OggBitstreamDecoder's abstract method2961. `if (unusedGuard.toInt() != 13) aString9058 = null` - clears the current subtitle text. The sole external call site (OggMediaStream.kt: `class348_sub23.method2961(13.toByte())`) always passes 13, so this guarded clear never actually fires there; kept as a real (if currently-dead-at-callers) reset operation rather than a confirmed permanent decoy, since the guard shape differs from this file's other self-recursive decoys."
method2964,decodePacket,"i: Byte, oggpacket: OggPacket","unusedGuard: Byte, packet: OggPacket",high,"Override of OggBitstreamDecoder's abstract method2964, invoked once per Ogg packet via the base class's method2963 wrapper. Kate-style subtitle codec packet parser: while `anInt6868 <= 8` (header packets) and `\"SUB\" == aString9057` (only process the expected 'SUB' category stream), the first header packet (anInt6868==0) reads the timebase numerator/denominator (anInt9055/anInt9054) and, via a nested 16-byte ByteBuffer, the language code (aString9051) and category tag (aString9057, expected to equal \"SUB\"). Once past the header (anInt6868>8), data packets with a leading type byte of 0 read a start granule/duration/backlink triple and compute the cue's start time (aFloat9062, method2983) and end time (aFloat9048, method2984) by scaling against the timebase, then decode the subtitle text itself via ParticleDetailOptionState.method1793 (aString9058, method2989)."
method2983,getStartTime,i: Byte,unusedGuard: Byte,high,"Returns aFloat9062, the start time (in stream time units) of the most recently decoded subtitle cue, computed in method2964/decodePacket. Confirmed by GlslMaterialPass.kt, which checks `getStartTime() <= d && d <= getEndTime()` before fetching the cue text (method2989/getCurrentText) - i.e. the classic 'is the playhead inside this cue's time range' subtitle-display check. `if (unusedGuard <= 61) return -0.49539495f` is a sentinel-return guard whose real-world truth at call sites was not independently confirmed."
method2984,getEndTime,i: Byte,unusedGuard: Byte,high,"Returns aFloat9048, the end time of the most recently decoded subtitle cue (start + duration, computed in method2964/decodePacket). Confirmed by GlslMaterialPass.kt's start<=playhead<=end cue-visibility check (see method2983/getStartTime) and by OggMediaStream.kt, which keeps decoding further packets while the playhead time exceeds this value. `if (unusedGuard.toInt() != 97) aFloat9048 = -0.6790166f` is a sentinel-overwrite guard whose real-world truth at call sites was not independently confirmed."
method2985,hasFlagBit0x100,"i: Int, i_0_: Int, i_1_: Int","unusedGuard: Int, unusedGuard2: Int, flags: Int",low,"Companion/static. Body is just `(0x100 and flags) != 0` - a generic single-bit test entirely unrelated to Kate subtitle decoding (decompiler-merged content per the PLAN-documented pattern). The sole call site (Direct3dModel.kt: `... or ((0x9000 and i) != 0) or KaraokeSubtitleStream.method2985(-31735, i_0_, i)`) uses it as one term in an OR'd bitmask check on a Direct3D model/face flags integer, i.e. this is really a Direct3D face-culling flag test, not subtitle logic. The internal `if (unusedGuard != -31735) Companion.method2990(...)` branch is dead at the only call site (always passes -31735)."
method2986,getLanguage,i: Int,unusedGuard: Int,high,"Returns aString9051, the language code read from the Kate header's first packet in method2964/decodePacket. Confirmed by OggMediaStream.kt, which compares it against a target language string (aString1009) to decide whether to keep or discard a given subtitle sub-stream when multiple language tracks are present. `if (unusedGuard < 26) method2986(-122)` is a dead self-recursive call whose result is discarded either way."
method2987,removeSceneHintMarker,"i: Int, i_7_: Int, i_8_: Int, i_9_: Int, i_10_: Int","unusedGuard1: Int, code: Int, y: Int, unusedGuard2: Int, x: Int",low,"Companion/static, unrelated to subtitle decoding (decompiler-merged content). When `code` is 8 or 16, linear-scans `LoadingBarRenderer.aMapTileShapeArray5060` (an unrelated class's array) for an entry matching the given plane/x/y and removes it, decrementing `PackedFlagsAccessor.anInt7101` (an unrelated counter). Otherwise, looks up `HintArrowOrMessage.aSceneCollisionEntryArrayArrayArray2029[unusedGuard1][x][y]` and clears one of two short fields on it depending on `code`, then calls WaterMaterialPass.method2152(false). Shape strongly resembles removing a queued world/minimap hint marker; names/roles of the numeric params are best-effort guesses given the unrelated, merged nature of the body."
method2988,applyFogRenderState,bool: Boolean,unusedGuard: Boolean,low,"Companion/static, unrelated to subtitle decoding (decompiler-merged content). Issues three renderer calls on `TerrainChunkBuilder.aRenderer1098` (xa/ZA/method3653) with fog-colour, view-distance, and camera-offset-derived constants pulled from half a dozen unrelated classes' statics (TextureMetadataProvider, CollisionMap, CameraRotationStub, ModelGroundDecor, GroundItemRenderState, HeapInfoRecord) - consistent with applying per-frame fog/lighting render state. `if (unusedGuard != true) anIntArray9050 = null` is a decoy null-out of this class's own (otherwise-unused-elsewhere) companion field; no call sites for this method were found in the repo, so its real trigger context is unconfirmed."
method2989,getCurrentText,i: Int,unusedGuard: Int,high,"Returns aString9058, the decoded text of the most recently active subtitle cue (set in method2964/decodePacket). Confirmed by GlslMaterialPass.kt as the value returned once the playhead falls inside [getStartTime, getEndTime] (see method2983/method2984 notes) - the classic subtitle-display fetch."
method2990,clearScratchBuffer,i: Byte,unusedGuard: Byte,low,"Companion/static: nulls `anIntArray9050` unconditionally, then nulls it again if `unusedGuard <= 101` (a fully redundant repeat - the parameter has no observable effect on behavior, a pure decoy). `anIntArray9050` (a 14-element IntArray) is otherwise only referenced as a decoy null-target elsewhere in this file (method2987, method2988) and never populated/read anywhere in this class, so its real purpose could not be determined. No live call sites reach this method: its only caller (method2985) does so from a branch that is dead at method2985's sole real call site, so method2990 is effectively unreachable in practice."
