current_name,recommended_name,current_params,recommended_params,confidence,notes
method324,getIconD,"var_renderer: Renderer, bool: Boolean","renderer: Renderer, unusedGate: Boolean",medium,"Cache-through getter for a texture-backed icon built from sprite id `anInt429` (decoded opcode 10): looks up the shared AbstractModelRenderer cache (aModelDefinitionCache_438.aLruByteCache_2862) by that id, and if absent calls the private loader (method330/loadIcons) then retries. `unusedGate` gates the whole method (`if (unusedGate != true) return null`); both observed call sites (OpenGlRenderer.kt) always pass `true`, so in practice this always executes - kept as a real (if always-true) gate rather than a confirmed decoy. Used alongside method325/method327/method331 (three sibling icon getters for the same definition) to build a set of overhead icons rendered via HeadIconRenderer in OpenGlRenderer.kt; exact real-world meaning of the 4 icon slots (e.g. prayer/skull/clan-rank variants) could not be determined from this file alone."
method325,getIconC,"var_renderer: Renderer, i: Int","renderer: Renderer, minThreshold: Int",medium,"Sibling of method324/method327/method331: cache-through getter for the icon built from sprite id `anInt439` (decoded opcode 6). `minThreshold` gates a `if (minThreshold < 23) return null` cached-lookup path but does not affect the load-then-retry path; call sites pass 105 and an xor'd expression, both apparently intended to exceed 23. See method324 notes for the shared 4-icon-slot pattern and HeadIconRenderer context."
method326,triggerMinimapZoomInit,i: Byte,unused: Byte,low,"Companion/static, one-shot-guarded by `!MinimapSquareDrawer.aBoolean5224`: sets `WorldMapPolygonIconLabel.aBoolean10174 = true`, steps `MultiFieldRecord.aFloat6898` halfway toward 12.0f, and flips `MinimapSquareDrawer.aBoolean5224` to true so it only runs once. All three touched statics live on unrelated classes - a decompiler-merged grab-bag method unrelated to item/icon model definitions, matching the pattern noted elsewhere in this codebase. The trailing `if (unused.toInt() != 68) aCameraNodeList_430 = null` is a dead opaque predicate: the sole call site (ChatCommandProcessor.kt: `method326(68.toByte())`) always passes 68. Name/purpose are a low-confidence best guess (looks like a one-time minimap/world-map zoom or compass initialization step)."
method327,getIconA,"var_renderer: Renderer, i: Byte","renderer: Renderer, unusedByte: Byte",medium,"Sibling of method324/method325/method331: cache-through getter for the icon built from sprite id `anInt421` (decoded opcode 3). `unusedByte` has no effect on control flow (only a dead discarded local `20 % ((unusedByte-19)/51)` computed in the sibling method331, not here) - true decoy. See method324 notes for the shared 4-icon-slot pattern."
method328,resetCameraNodeList,i: Int,unusedGuard: Int,low,"Companion/static: unconditionally nulls this class's own companion field `aCameraNodeList_430`. The `if (unusedGuard != 0) WhirlpoolHash.anInt425 = -128` branch touches an unrelated class's static (decompiler-merged pattern); real-world truth of that guard at the sole call site (Client.kt's large `method91` reset routine: `method328(i.toInt() xor 0x6c)`) was not independently verified. Sits inside a long sequence of subsystem-reset calls in Client.kt, consistent with a general per-subsystem state-reset routine invoked on game reload/logout."
method329,decodeField,"class348_sub49: ByteBuffer, i: Int, i_1_: Int","buffer: ByteBuffer, decoy: Int, opcode: Int",high,"Private opcode-dispatch field decoder (classic tagged-config format): opcode 1->anInt435, 2->anInt444, 3->anInt421, 5->anInt433, 6->anInt439, 7->anInt424, 8->anInt434, 9->aString423 (via ByteBuffer.method3371, a string reader), 10->anInt429, 11->anInt426=0, 12->anInt431, 13->anInt420, 14->anInt426. Four of these fields (421/433/439/429) are the sprite ids consumed by the getIconA/B/C/D getters (method327/method331/method325/method324). The trailing `if (decoy != -2) method333(-112, 38)` fires a text-resolve call whose result is discarded - real at the sole call site (method332, which always passes -2), so this branch is actually dead there too."
method330,loadIcons,"var_renderer: Renderer, i: Int","renderer: Renderer, unusedByte: Int",medium,"Private: for each of the four sprite ids (anInt421, anInt433, anInt429, anInt439) not yet present in the shared icon cache, loads the raw sprite via SpriteImage.method1512 from the definition cache's archive (aModelDefinitionCache_438.aJs5Archive_2873) if available (Js5Archive.method421/hasFile), uploads it as a renderable texture via `renderer.method3691(spriteImage, true)`, and stores the result keyed by sprite id in aLruByteCache_2862. Called by each of the four getIcon* getters on a cache miss. `unusedByte` only gates a dead-looking `if (unusedByte > -7) this.anInt434 = -14` side effect (real at both observed call sites, -41/-118/-66/-89, none of which are > -7, so this write never happens in practice)."
method331,getIconB,"var_renderer: Renderer, i: Byte","renderer: Renderer, unusedByte: Byte",medium,"Sibling of method324/method325/method327: cache-through getter for the icon built from sprite id `anInt433` (decoded opcode 5). Contains a dead discarded local `-84 % ((unusedByte-32)/35)` with no effect on behavior. See method324 notes for the shared 4-icon-slot pattern."
method332,decode,"i: Int, class348_sub49: ByteBuffer","unusedGuard: Int, buffer: ByteBuffer",high,"Public entry point: reads a stream of (opcode byte, field data) pairs via method329/decodeField until a terminating 0 opcode byte, i.e. the standard tagged-definition decode loop for this class. `if (unusedGuard > -119) method333(119, -71)` fires a resolveLabelText call whose result is discarded before decoding starts - real at the sole call site (ModelDefinitionCache.kt: `.method332(id xor ..., ByteBuffer(bytes))`, unusedGuard being a definition id which is typically > -119)."
method333,resolveLabelText,"i: Int, i_4_: Int","iconGlyphId: Int, unusedGuard: Int",medium,"Substitutes the first `%1` placeholder in the definition's label string (aString423, decoded opcode 9) with an inline icon glyph produced by `ScreenBorderFiller.method1171(iconGlyphId, 55, false)` - the classic RS 'inline overhead/clan-rank icon embedded in chat text' mechanic. `unusedGuard` gates the whole method (`if (unusedGuard != 0) return null`); both real call sites (OpenGlRenderer.kt) pass 0, so it always executes in practice."
