current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,var aHa_Sub2_6618: OpenGlRenderer,var renderer: OpenGlRenderer,high,"Trivial primary constructor storing the owning OpenGlRenderer. `aHa_Sub2_6618` is used throughout the class/subclass to issue GL state calls (method3738/method3771/method3773/method3770 etc.), confirming it is the renderer handle."
method2750,renderBloom,"class258_sub3: GlTexture2D?, class258_sub3_0_: GlTexture2D?, i: Int, i_1_: Byte","unusedSceneTexture: GlTexture2D?, inputTexture: GlTexture2D?, passIndex: Int, unusedFlag: Byte",medium,"Abstract. Only concrete override (GlBloomEffect) implements the full bright-pass/downsample/gaussian-blur/composite bloom pipeline using shaders (aGlShaderProgramHandle_8842/8824/8822/8836) and a mip-chain of downsample textures (aClass258_Sub3Array8837), driven entirely by `inputTexture` (2nd param) and the width/height set by method2754. The 1st param (`unusedSceneTexture`) and 3rd param (`passIndex`) are not referenced anywhere in the sole concrete override body. The 4th param (Byte) does have one real check (`if (i_3_ <= 98) aClass258_Sub3_8835 = null`), but the only call site (GlFramebufferBlitter.method272) always passes the literal 103 (>98), so that branch is dead in practice - kept as a plain flag rather than confirmed-always-false since only one caller was observed. Called once per pass from GlFramebufferBlitter's per-frame bloom blit loop."
method2751,isInitialized,bool: Boolean,unused: Boolean,medium,"Abstract. GlBloomEffect override returns `aFrameBufferObject_8825 != null` (true once method2758/initialize has successfully allocated the working FBO). The `bool` param triggers a self-recursive call `method2751(true)` when false, but the recursive call's return value is discarded - a dead/decoy side-effect-only branch (only real call site, GlFramebufferBlitter.method274, always passes a real boolean but the OR'd short-circuit `class348_sub5.method2751(bool) || class348_sub5.method2758(85)` means the recursive path is rarely if ever exercised meaningfully)."
method2754,resize,"i: Int, i_5_: Byte, i_6_: Int","height: Int, thresholdFlag: Byte, width: Int",medium,"Abstract. GlBloomEffect override always stores `height` into anInt8833; only when `thresholdFlag >= 7` does it also store `width` (anInt8841) and, if changed from the previous size, rebuild a chain of half-sized GlTexture2D mip levels (aClass258_Sub3Array8837) down to <=256px for the multi-pass downsample/blur used by method2750. Confirmed via GlFramebufferBlitter, which calls this both on init (`method2754(anInt275, 55.toByte(), anInt286)`) and on resize (`method2754(anInt275, 41.toByte(), anInt286)`) - both observed flag values (55, 41) are >=7, so the low-flag skip path was never observed triggered; kept as a real flag rather than a confirmed decoy."
method2756,finishPass,"i: Byte, i_10_: Int","unused: Byte, passIndex: Int",medium,"Abstract. GlBloomEffect override unbinds the shader program (glUseProgramObjectARB(0)), toggles a renderer GL state pair via method3738(-15039,1)/(-15039,0) (looks like an enable/disable bracket around a state change, e.g. blend or texture unit), and draws with a null texture via method3771. Called once after each render pass in GlFramebufferBlitter's per-frame bloom loop (`class348_sub5_6_.method2756((-80).toByte(), i_8_)`) - i.e. a per-pass cleanup/reset step. Neither param's exact role beyond 'unused decoy Byte' / 'pass index carried through but not obviously read' was confirmed inside the override body."
method2758,initialize,i: Int,minSizeThreshold: Int,medium,"Abstract. GlBloomEffect override allocates the working FrameBufferObject + two 256x256 GlTexture2D render targets, compiles four GLSL shader programs (bright-pass threshold, two blur/composite variants), and returns true only if all four shader handles compiled successfully. The `i < 84` guard (clearing aFrameBufferObject_8844) is dead at the only observed call site, GlFramebufferBlitter.method274, which always passes 85 (>=84) - confirmed decoy branch."
method2759,checkExtraBlitFlag,i: Int,unused: Int,low,"Concrete (base class only, not overridden). `if (i != 1) { anInt6626++; return false }`... wait: body is `if (i != 1) return true; anInt6626++; return false` - i.e. returns false (and increments a counter) whenever called with i==1, and would return true (no counter increment) for any other i. The only call site (GlFramebufferBlitter.method281, `bool = bool or class348_sub5.method2759(1)`) always passes 1, so in practice this always returns false and contributes nothing to the OR'd `bool` accumulator that later toggles aBoolean303 (a glBlitFramebufferEXT mask bit in GlFramebufferBlitter). Purpose of the aggregated flag not confidently identified from this file alone; name/params are a best-effort placeholder given the call site is degenerate."
method2760,isEnabled,i: Byte,unused: Byte,high,"Concrete (base class only). Returns `aBoolean6621`, which GlFramebufferBlitter.method274 sets to true immediately after a successful method2758/initialize call, and method278 sets back to false alongside disposing the effect - i.e. the effect's 'active/enabled' flag. Confirmed via 3 call sites in OpenGlRenderer.kt, all passing the literal `1.toByte()`, which matches the `if (i.toInt() != 1) method2763(37.toByte())` guard's pass-through condition - the dispose-on-mismatch branch is dead in practice since every real caller passes exactly 1."
method2761,getColorPrecisionTier,bool: Boolean,unused: Boolean,medium,"Open/overridable. Base implementation returns 0 (and, when `bool` is false, calls the companion's method2757 - an unrelated network-reconnect state-machine tick, clearly a merged/opaque-predicate artifact rather than intentional coupling). GlBloomEffect's override returns 1 (and sets anInt8833 = -77 as a side effect when bool is false). The only call site (GlFramebufferBlitter.method281, `class348_sub5.method2761(true)`) always passes true, so both the base's reconnect-call branch and the override's side-effect branch are dead in practice. The returned tier (0 vs 1) is maxed across all active bloom-effect nodes and used to pick a GL internal texture format (34836/34842/6408) for a shared framebuffer, hence 'precision tier' as the best-guess name."
method2763,dispose,i: Byte,unused: Byte,high,"Abstract. GlBloomEffect override nulls every GL resource field (shader handles, textures, FBOs). The `if (i > -123) method2756(...)` cleanup-draw call is dead at both observed call sites (GlFramebufferBlitter passes -126 and -124, both <= -123) - confirmed decoy branch."
method2764,getPassCount,i: Int,unused: Int,medium,"Open/overridable but not actually overridden by GlBloomEffect (uses the base implementation). Base: `if (i != 1) aByteArray6624 = null; anInt6623++; return 1` - always returns 1. Summed across all active bloom effects in GlFramebufferBlitter.method281 to compute a total pass count, and used directly as a loop bound in GlFramebufferBlitter.method272 (`for (i_8_ in 0..<i_7_)` driving repeated method2750/method2756 calls). Both observed call sites always pass the literal 1, so the `aByteArray6624 = null` branch is dead in practice - confirmed decoy."
method2752,findRectangleRegion,"i: Int, i_2_: Int","id: Int, startIndex: Int",medium,"Companion. Linear-scans the RectangleRegion array returned by MultiFieldRecord.method3002 starting at `startIndex`, returning the first entry whose `anInt1941` field equals `id`, or null. Used by ParameterizedText.kt (a text-formatting/tag class) to look up formatting regions by tag id - likely resolving inline text-formatting tag boundaries (e.g. colour/font spans) by id."
method2753,createSoftwareRenderer,"bool: Boolean, i: Int, i_4_: Int, canvas: Canvas?, var_renderConfig: RenderConfig?","unused: Boolean, dim1: Int, dim2: Int, canvas: Canvas?, renderConfig: RenderConfig?",medium,"Companion. Constructs `SoftwareRenderer(canvas, renderConfig, dim2, dim1)` (the software/CPU renderer fallback). The `bool` param's only effect, `if (bool != true) aByteArray6624 = null`, is dead at the only call site (SoftwareSpriteRaster.kt), which always passes `true` - confirmed decoy. Parameter order relative to SoftwareRenderer's (canvas, config, width, height) secondary constructor was not independently confirmed, so `dim1`/`dim2` are left generic rather than guessing width vs height."
method2755,setRenderPassOverlayColor,"i: Int, i_7_: Int, i_8_: Int","unused: Int, color: Int, slot: Int",medium,"Companion. When `slot >= 0`, sets `BasicGlRenderPass.anIntArray7299[slot] = color`; when `slot < 0`, fills all 16 entries of that array with `color`; then always calls `NodeDequeHolder...method2843(color, slot, -7836)`. All 3 call sites (ClickFeedbackTask.kt, SpriteRgbTextureNode.kt, InterfaceComponentGroup.kt) pass slot=-1 (broadcast) except InterfaceComponentGroup which passes a real slot - consistent with a shared 'reset/tint all render-pass layers' utility incidentally used by the click-feedback flash effect. The leading `unused` Int param is only compared against `SpriteDefinition.anInt7068.inv()`; both call-site families always pass -1, making the guard effectively always-true in observed usage."
method2757,pollGameSocketReconnect,i: Int,tick: Int,medium,"Companion, SEMANTICALLY UNRELATED to bloom rendering - a merged/grab-bag static, not an actual part of this class's feature area. Implements a small state machine (GlWaterRenderPass.anInt7297: 0=idle,1=connecting,2=awaiting-result,4=post-login) that opens a new SocketGameConnection, waits for the async connect result via a queue node, and re-establishes Client.aAbstractGameSocket_9165 on success, retrying via HostPingThread/AnimatedModelRenderer retry counters on IOException. Only call site is Client.kt (`method2757(110)`); the `tick` param only gates a `>= 82` outer guard, real per the call-site value. Also called (as a decoy) from GlBloomEffect's own base method2761 override when its bool param is false - that call is dead in practice (see method2761 notes)."
method2762,resetSharedBuffers,i: Int,unused: Int,high,"Companion. Nulls the shared static scratch buffer `aByteArray6624` (a 2048-byte array used as scratch space elsewhere, e.g. ConstantColourTextureNode.kt) and `aAbstractModelRenderer_6627`. The `i` param is only used in a dead `-23 % ((i - -24) / 47)` expression whose result is discarded - confirmed decoy (only call site, Client.kt, passes the literal 108)."
