current_name,recommended_name,current_params,recommended_params,confidence,notes
method2387,prepareRenderRegions,"var_renderer: Renderer?, i: Int","renderer: Renderer?, decoyFlag: Int",low,"Overrides abstract SceneEntity.method2387 (no params hint in the base declaration). Lightweight variant of renderAndCollectFrameModel/method2386: sets rotation/translation on a transform obtained from renderer.method3705(), calls the shared registerSceneGraphRenderRegions/ProjectedGroundDecor.method2432 (magic key -15074) with only the main model, then clears all 3 slots of aAbstractModelArray10323 (each assignment copies the already-nulled previous slot, so this is effectively 'clear all 3 model refs'). Guarded on aBoolean10318 (redraw-needed) or hasBuiltModel/method2459 with build-flags 0 (no equipment layers) - reads as a cheap 'refresh scene-graph regions without a full equipped-model draw' pass."
method2449,snapToPosition,"i: Int, i_0_: Int, i_1_: Byte","z: Int, x: Int, decoyFlag: Byte",medium,"Sets the front slot of the position-history arrays (anIntArray10320[0]=x, anIntArray10317[0]=z), resets movement-queue depth/step counters (anInt10319/10322/10326=0), recomputes this.x/this.y from the new tile coords, triggers SceneObjectSpawner.method773(true) when this is the local player, and invalidates the scene-graph container (aClass318_Sub10_10327.method2529). Called from movement/animation dispatch (method2455) for the 'target tile out of bounds' and 'stop' cases - an instant teleport/position-reset, as opposed to pushPositionHistory/method2451's queued walk step."
method2450,getDisplayName,"bool: Boolean, i: Int","useCustomName: Boolean, decoyFlag: Int",medium,"Returns aString10537 (custom/clan-style name) when useCustomName, else aString10544 (base RSN). Decoy clears aBoolean10554 when decoyFlag > -67."
method2451,pushPositionHistory,"i: Byte, i_3_: Int, i_4_: Int, i_5_: Int","plane: Byte, x: Int, decoyFlag: Int, z: Int",high,"Shifts the position-history ring buffers (anIntArray10320/10317, aByteArray10321; up to 9 deep, tracked by anInt10319) one slot back and writes the new (plane,x,z) into slot 0 - the per-tick 'walk queue' push used for smooth movement interpolation. Decoy write to anInt10557 when decoyFlag != -29034."
method2391,testModelClickHit,"var_renderer: Renderer?, i: Int, i_7_: Int, i_8_: Int","renderer: Renderer?, screenX: Int, screenY: Int, unusedSlotIndex: Int",medium,"Overrides abstract SceneEntity.method2391. Guarded on hasBuiltModel/method2459(131072,...). Transforms the render context, then tests each of the 3 layered models (main/equip1/equip2) for a hit at (screenX,screenY) via AbstractModel.method623/628 (renderer-backend-dependent hit-test), returning true on the first hit - classic mouse-picking against a composite player model. Clears the model array afterward (same 'null out all 3 slots' pattern as prepareRenderRegions)."
method2452,decodePlayerAppearance,"i: Byte, class348_sub49: ByteBuffer","decoyFlag: Byte, buffer: ByteBuffer",high,"Overrides ProjectedGroundDecor's appearance-decode hook. Classic RS player-appearance protocol block: a leading flags byte (isNpcOverride bit 0x4=bool_12_, an unrelated 0x2/0x1 pair, size bits 0x3f>>3, plus two packed byte offsets applied to x/y), a headgear/combat-icon byte (aByte10556), two small ints (anInt10540/10522), a skulled-style boolean (aBoolean10551, force-cleared under a specific game-mode/version check), a 12-slot equipment loop (each slot either empty, a 'kit'/body-part id via WhirlpoolHash.method2057, an inventory-item id via SpriteStore.anIntArray369 offset by 32768 with model-header size lookup, or - via the 65535 sentinel in slot 0 - an NPC-override id + size), 5 recolor indices bounds-checked against GlWaterRenderPass.aShortArrayArrayArray7290, a combat level (anInt10516), display name (aString10537, also mirrored to aString10544 and, for the local player, OpenGlTerrainTile.aString8265), a title-icon id (anInt10553, 0 = none, else 5 more shorts/bytes for title colors/icon), and finally builds/rebuilds the CompositeNpcModelBuilder (aCompositeNpcModelBuilder_10536) via its method1228 build call, snapping position when the NPC-override id changed, and re-validating any in-progress turn animation (anInt10268/aBoolean10213) against the new NPC definition."
method2453,renderLocationMarkerIcon,"i: Int, var_renderer: Renderer?, i_32_: Int, abstractModel: AbstractModel?, i_33_: Int, i_34_: Int, abstractCameraTransform: AbstractCameraTransform?, i_35_: Int","dx: Int, renderer: Renderer?, maxDistSq: Int, model: AbstractModel?, unusedFlag: Int, dz: Int, cameraTransform: AbstractCameraTransform?, iconId: Int",medium,"Private, software-renderer variant (paired with renderLocationMarkerIconGl/method2454, chosen by ParticleSystemRenderer.aBoolean3870 at call sites in renderAndCollectFrameModel/method2386). Only for the local player: if dx^2+dz^2 is within maxDistSq, computes a screen angle via atan2(dx,dz) and builds/draws a small overhead icon model (DelegatingRenderCanvas.method122) at that bearing - used to render off-model markers such as friend/party/NPC-target location arrows sourced from MultiFieldRecord.aMinimapPositionStateArray6897s entries."
method2454,renderLocationMarkerIconGl,"i: Int, i_39_: Int, i_40_: Int, i_41_: Int, abstractModel: AbstractModel?, i_42_: Int, abstractCameraTransform: AbstractCameraTransform?, var_renderer: Renderer?, i_43_: Int","decoyFlag: Int, dx: Int, level: Int, maxDist: Int, model: AbstractModel?, maxDistSq: Int, cameraTransform: AbstractCameraTransform?, renderer: Renderer?, dz: Int",medium,"GL-renderer counterpart of renderLocationMarkerIcon/method2453 (adds a `level`/pass parameter LocalPlayerState.anInt1906 threaded through to the icon model's GL draw call). Decoy clears aString10544 when decoyFlag != 6253."
method2381,getClickHitbox,i: Int,decoyFlag: Int,low,"Overrides abstract SceneEntity.method2381 (CircleHitbox?). Always returns null for Player (decoy clears aString10544 when decoyFlag != 7) - players apparently use testModelClickHit/method2391 for hit-testing instead of a precomputed circle hitbox."
method2392,notifyRemovedUnsupported,bool: Boolean,decoyFlag: Boolean,low,"Overrides abstract SceneEntity.method2392(bool). Always throws IllegalStateException for Player - this SceneEntity lifecycle hook is apparently only meaningful for other SceneEntity subclasses (e.g. temporary scenery), not players. Decoy clears aString10544 when decoyFlag != true."
