current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,constructor(bucket count),anInt4377: Int,bucketCount: Int,high,"Primary constructor param becomes anInt4377, the number of hash buckets (table capacity). The init block allocates aLinkedListNodeArray4374 with bucketCount self-circular LinkedListNode sentinels (one per bucket). anInt4377 is used everywhere as a bitmask via `(anInt4377 - 1) and key`, so callers are expected to pass a power of two - confirmed by CacheLruCache.kt's init block which rounds its capacity up to the next power of two before constructing the Hashtable."
method3474,size,i: Int,unused: Int,high,"Counts the total number of linked entries across every bucket by walking each bucket's chain fully and summing lengths. The `i` param is never referenced in the body; every call site passes the fixed decoy value 1 (e.g. ChatCommandProcessor.kt:2113/4230, NativeTerrainTile.kt:118, NpcUpdateProcessor.kt:48). NativeTerrainTile.kt:118-119 and NpcUpdateProcessor.kt:48-49 both call this immediately before method3477 (toArray), using the returned count to size the destination array - strong confirmation this is Hashtable.size()."
method3475,getBucketCount,bool: Boolean,unused: Boolean,high,"Trivial getter returning anInt4377 (bucket count / table capacity). Used e.g. in CacheArchiveIndex.kt:57/77 as `Hashtable(aHashtable_1767.method3475(true))` to size a freshly-constructed table to match an existing one's capacity (copy/rehash pattern). `bool` param is unused - decoy."
method3476,findNextEntryWithSameKey,bool: Boolean,unused: Boolean,medium,"Continues a lookup previously started by method3480 (get): walks the current bucket chain forward from the saved cursor aLinkedListNode_4389, looking for another entry whose aLong4291 equals the previously-searched key aLong4385; returns and advances past it, or returns null (and clears the cursor) once the bucket sentinel is reached. Used as a fallback immediately after a method3480 lookup returns null, e.g. CacheArchiveIndex.kt:38-41 and OpenGlRenderer.kt:3524-3527 and NativeTerrainTile.kt:573-577. `bool` param is always passed as the literal `true` at every call site and is unused in the body - decoy. Confidence is medium because it's unclear from this file alone why a get() would ever need a second matching entry for the same key (possibly a multimap-style use elsewhere, or purely a rehash-retry path)."
method3477,toArray,"i: Int, linkedListNodes: Array<LinkedListNode?>","unused: Int, out: Array<LinkedListNode?>",high,"Walks every bucket's chain and copies each entry into the caller-supplied array, returning the count written. Always paired with a preceding method3474 (size) call used to allocate the destination array - see NativeTerrainTile.kt:118-119 and NpcUpdateProcessor.kt:48-49. `i` is never read in the body; real call sites pass the fixed decoy value 3 - unused."
method3480,get,"l: Long, i: Int","key: Long, unused: Int",high,"Primary lookup method: stores the search key in aLong4385, computes the bucket via `key and (bucketCount - 1)`, and returns the first entry in that bucket whose aLong4291 equals key (or null if none), leaving the aLinkedListNode_4389 cursor positioned so a following method3476 call can continue scanning for further entries with the same key. `i` is an opaque-predicate decoy: the overwhelming majority of call sites (dozens across Client.kt, NpcEntityUpdater.kt, CacheLruCache.kt, ArchiveResourceProvider.kt, MapRegionLoader.kt, OggMediaStream.kt, etc.) pass the literal -6008; a handful pass small arithmetic expressions derived from a real int param (e.g. `i xor 0x1774`, `i + -6025`, `i_36_ xor 0x5a114e4b`) which still amount to obfuscator decoys rather than a genuine -6008 check. When `i != -6008` the method calls method3484(80), which would reset unrelated full-table-iteration state (anInt4391/aLinkedListNode_4390) - this branch does not appear to trigger at any observed real call site. Whole body wrapped in try/catch rethrowing TextureLoadException."
method3481,clearFromBucket,i: Int,startBucket: Int,medium,"Unlinks (via LinkedListNode.method2715) every entry in every bucket from index i through the end of the table, then resets both iteration cursors (aLinkedListNode_4389, aLinkedListNode_4390) to null. The large majority of call sites pass 0 (e.g. CacheLruCache.kt:26, CalendarUtil.kt:43, MapRegionLoader.kt:279, MapElementManager.kt:58, external/oa.kt:283, MinimapPolygonDrawer.kt:56/58) making this effectively clear()/removeAll() in practice. However LruByteCache.kt:184 (`aHashtable_1100.method3481(i)`) passes a live method parameter straight through rather than a literal 0, and NormalMapTextureNode.kt:133 passes `i.toInt() xor 0xb`, so a genuine partial-clear-from-bucket-i path may be reachable in at least one place - kept the startBucket param name rather than assuming it's purely a decoy."
method3482,iterateNext,i: Int,unused: Int,medium,"Advances a whole-table iteration: if the current bucket cursor aLinkedListNode_4390 is not already at the sentinel for bucket anInt4391 and anInt4391 > i, returns the next entry in that bucket; otherwise scans forward through buckets starting at anInt4391 for the next non-empty one and returns its first entry (or null once all buckets are exhausted). Always called with the literal 0 at every observed call site, forming a first()/next() iterator pair with method3484 - e.g. ArchiveResourceProvider.kt:124/132, LruByteCache.kt:52/57/166/172, CacheArchiveIndex.kt:58/62. Because real usage is always i=0, the `anInt4391 > i` fast-path check simplifies to `anInt4391 > 0` in practice."
method3483,put,"i: Byte, l: Long, linkedListNode: LinkedListNode?","unused: Byte, key: Long, node: LinkedListNode?",high,"Inserts `node` into the table keyed by `key`: unlinks it first if already linked elsewhere (checks aLinkedListNode_4295 != null), computes its target bucket via `key and (bucketCount - 1)`, splices it in as the new head of that bucket's chain, and stores the key in node.aLong4291. `i` gates a dead opaque-predicate branch (`if (i < 18) method3481(71)`, which would wipe most of the table); every real call site passes a byte literal >= 18 (21, 25, 26, 27, 29, 33, 35, 36, 37, 54, 57, 61, 65, 66, 69, 71, 73, 76, 84, 86, 87, 90, 91, 92, 102, 108, 109, 112, 114, 123, 125 observed across the codebase), so that branch never fires. Whole body wrapped in try/catch rethrowing TextureLoadException."
method3484,first,i: Int,startBucket: Int,high,"Starts a fresh whole-table iteration at bucket index i (sets anInt4391 = i) and returns the first entry found via method3482(0). Forms the first()/next() pair with method3482 for full-table iteration, e.g. ArchiveResourceProvider.kt:124 `method3484(0)` followed by repeated `method3482(0)` calls in a loop; same pattern in LruByteCache.kt, CacheArchiveIndex.kt, OggMediaStream.kt, MidiSequencePlayer.kt, ByteBufferStatics.kt. Almost every call site passes 0 (iterate the whole table from the start); ByteBufferStatics.kt:64 and FlipTextureNode.kt:725 pass a computed non-zero starting bucket, so the startBucket param does appear to be genuinely used, not purely decoy."
