current_name,recommended_name,current_params,recommended_params,confidence,notes
method2133,endPass,i: Int,flag: Int,medium,"Override of abstract MaterialPass.method2133 (matches WaterMaterialPass/TexGenMaterialPass/SphereMapMaterialPass/etc. sibling overrides of the same lifecycle interface; driven by MinimapRenderer.kt:26, which calls `.method2133(-93)` on the outgoing pass whenever the material type switches). Guarded by `flag<=-75`; the only real call site passes -93, which satisfies the guard, so it always executes in practice. Disables the GL texgen state set up by beginPass()/<init>, and clears the 'env-map active' flag aBoolean6301 -- one path if a display-list font capture was in progress (aBoolean6301 true), a simpler disable-texgen path otherwise."
method2140,bindTexture,"glTexture: GlTexture?, i: Byte, i_1_: Int","texture: GlTexture?, flag: Byte, textureUnit: Int",medium,"Override of MaterialPass.method2140 (bind/apply an externally supplied texture; driver call site MinimapRenderer.kt:50). Binds `texture` via renderer.method3771 and selects `textureUnit` via renderer.method3761(0, textureUnit); if `flag>=-89` it additionally invokes this class's own companion method2172 (the unrelated age-verification-cookie setter -- see below). Actual byte values passed at the real call site were not confirmed, so whether that side call ever fires in practice is uncertain."
<init>,<init>,var_ha_Sub2: OpenGlRenderer,renderer: OpenGlRenderer,high,"Primary constructor delegates to MaterialPass(renderer). The init block runs only when renderer.aBoolean7863 (a GL-capability flag, plausibly 'supports cubemap env mapping') is set: allocates a 2-slot GlDisplayListFont (aGlDisplayListFont_6302) used to bracket GL display-list capture of the enable/disable sequence for GL_TEXTURE_GEN_{S,T,R} (glEnable/glDisable 3168-3170) plus glTexGeni(...,9472,34066) calls that configure environment-mapped (reflection) texture-coordinate generation -- one-time build of the fixed-function cubemap texgen display lists this pass replays every beginPass()/endPass()."
method2139,applyPerFrame,"bool: Boolean, i: Byte","enabled: Boolean, flag: Byte",medium,"Override of MaterialPass.method2139 (per-frame apply hook, invoked every frame regardless of material-type change, per MinimapRenderer.kt:36-41). Sets a fixed texture-env combine mode (renderer.method3729(8448, -28, 7681)). Both parameters are otherwise unreferenced in the body aside from a discarded computation `94 / ((flag - -60) / 38)` -- dead/decoy, so in effect this override is a fixed GL state poke independent of its arguments."
method2137,isSupported,i: Int,flag: Int,medium,"Override of MaterialPass.method2137, used by MinimapRenderer as a capability probe (GLSL-based passes can return false and trigger a fallback). This override always returns true (environment mapping is core fixed-function GL). If `flag>-5` it also pokes the companion aFloat6304 to a magic constant (-0.3934622f); the purpose of that side effect could not be confirmed -- possibly leftover telemetry/decoy."
method2134,beginPass,"bool: Boolean, bool_8_: Boolean","enabled: Boolean, resetCaches: Boolean",medium,"Override of MaterialPass.method2134 (begin/start a pass; MinimapRenderer.kt:28 calls `.method2134(bool, false)`). If `resetCaches` is true, first calls the companion method2171 (an unrelated lookup-table clear -- see below). Fetches the active environment-map cubemap texture via renderer.method3741(444720536) (-> a Texture2DProvider.method2256-style accessor on some cached provider); if a display-list font, a cubemap texture, and `enabled` are all present, loads the camera-relative texgen matrix (renderer.aClass101_Sub3_7767.method945(true)) into the GL texture matrix stack and sets aBoolean6301=true (env mapping active this frame); otherwise falls back to a plain texture-env replace mode."
method2136,resize,"i: Int, i_9_: Int, i_10_: Byte","width: Int, height: Int, flag: Byte",high,"Override of MaterialPass.method2136 (resize hook, invoked by MinimapRenderer only when viewport size changes). `width`/`height` are entirely unused in the body -- cubemap texgen doesn't depend on pixel dimensions. The only real effect: if `flag>-42`, clears aBoolean6301 (invalidates the 'env mapping currently active' flag so beginPass() re-fetches state next frame)."
method2170,resetDebugOverlayHeight,"i: Int, i_0_: Byte","height: Int, tag: Byte",low,"Companion/static method whose body is unrelated to cubemap material passes -- a decompiler class-merge artifact (see PLAN.md notes on merged statics content landing in the wrong file). Sets DebugOverlayRenderer.anInt3170=height, resets ColourAdjustment.anInt859=-1 (before and after), and calls MenuActionNode.method2811(false). The `if (tag.toInt()!=3) method2170(-109,7.toByte())` self-recursive branch is a decoy -- the only real call site (Client.kt:2238) always passes 3.toByte()."
method2171,clearMenuActionLookupTable,i: Int,flag: Int,low,"Companion/static; nulls anIntArray6296 (a static `intArrayOf(32,39,44,47)` also read elsewhere as `CubeMapMaterialPass.anIntArray6296!![MenuActionNode.anInt6769]`, i.e. a menu-action-id-indexed lookup table with no apparent relation to cubemap rendering -- another merged-companion artifact). If `flag!=0`, also calls method2172 (the age-verification cookie setter). Called from beginPass()/method2134 when resetCaches is true, and from Client.kt's large global reset dispatcher."
method2172,setAgeVerificationCookie,i: Int,unused: Int,high,"Companion/static; when running as a browser applet (JagGlToolkitFactory.anApplet1530 != null), derives a user date-of-birth value from the game clock and writes a 'usrdob=...' document.cookie via JavaScriptBridge -- a browser age-verification cookie setter, entirely unrelated to cubemap textures (merged-companion artifact, consistent with this class's other unrelated statics). The `unused` parameter is never referenced in the body."
method2173,releaseSpriteAndColourKeyRefs,"bool: Boolean, i: Int, bool_6_: Boolean","releaseSpriteArchive: Boolean, unused: Int, releaseColourKeyData: Boolean",medium,"Companion/static shared resource-release routine, called from renderer teardown paths (OpenGlRenderer.kt, SoftwareRenderer.kt, NativeRenderer.kt, external/oa.kt) with literal args such as (true,12,false) / (true,-125,false) / (false,-101,true) / (true,-110,false). When `releaseSpriteArchive`, decrements SpriteArchiveLoader.anInt383 and nulls SoundEnvelope.anIntArray179 once it hits 0; when `releaseColourKeyData`, does the analogous decrement/null for ColourKeyTextureNode.anInt9346/SoundEnvelope.anIntArray4983. The middle Int parameter is unused in the body other than a discarded `111 % ((unused - -62) / 38)` expression -- decoy."
