current_name,recommended_name,current_params,recommended_params,confidence,notes
method3047,generateColorRow,"i: Int, i_0_: Int","rowIndex: Int, unused: Int",high,"Override of AbstractProceduralTextureNode.method3047 (the colour-row generator; base impl throws IllegalStateException ""no colour output""). Fetches this node's destination row-triple via aImageFrameCache_7033.method2557(-119, rowIndex); if the frame cache's dirty flag (aBoolean4035) is set, pulls the sole child's colour row via method3039(...) at rowIndex (or width-rowIndex -- i.e. row order reversed -- when aBoolean9147 is true, a vertical flip), then copies each channel into the destination buffers either straight or index-mirrored via SimpleBinaryOptionState.anInt6076 (textureWidth-1) when aBoolean9140 is true, a horizontal pixel-order flip. Together aBoolean9140/aBoolean9147 implement this class's namesake behaviour: flip the child texture horizontally and/or vertically. The trailing 'if (i_0_ != -1564599039) method3065(...)' is a decoy: -1564599039 is the universal 'unused' sentinel passed for this argument by every real caller (see AbstractProceduralTextureNode/ProceduralTextureGraph.method3183), so this branch -- which would call the unrelated companion method3065 -- never fires in practice."
method3049,loadProperty,"class348_sub49: ByteBuffer, i: Int, i_72_: Int","buffer: ByteBuffer, propertyId: Int, opcode: Int",high,"Override of AbstractProceduralTextureNode.method3049, the per-property definition-file deserializer invoked once per property while ProceduralTextureGraph.method3031 parses a node's config block (the only call site in the repo always passes literal 31015 for opcode, confirming the outer `i_72_==31015` gate is always satisfied in practice rather than a real dispatch). propertyId 0 reads aBoolean9140 (flip-horizontal flag), propertyId 1 reads aBoolean9147 (flip-vertical flag), propertyId 2 falls through to set the inherited aBoolean7045 (isMonochrome output flag); any other propertyId is a no-op. The nested labelled while/do-while is just the decompiler's rendering of what is really a simple 0/1/2 switch."
method3042,generateMonoRow,"i: Int, i_75_: Int","rowIndex: Int, unused: Int",high,"Override of AbstractProceduralTextureNode.method3042 (monochrome-row generator; base impl throws ""no monochrome output"" unless the unused sentinel is 255, which every real caller passes). Mono-channel counterpart of method3047/generateColorRow: fetches this row's destination buffer from aSpriteSheetCache_7032.method1433, and if the cache's dirty flag (aBoolean2570) is set, pulls the child's mono row via method3048 at rowIndex (or textureWidth-rowIndex when aBoolean9147/flip-vertical is set), then either copies it straight (ArrayCopyUtil.method1578) or index-mirrors it via SimpleBinaryOptionState.anInt6076 when aBoolean9140/flip-horizontal is set -- same flip semantics as method3047. The `if (i_75_ != 255)` branch that nulls the companion field aClass348_Sub42_Sub12_9144 (a ContactEntry?, unrelated to texture generation -- see method3066) is a decoy: every real call site (base class defaults, ProceduralTextureGraph.method3183/method3039/method3048) passes exactly 255."
method3064,drawWidgetComponentTree,"i: Int, i_10_: Int, bool: Boolean, i_11_: Int, i_12_: Int, i_13_: Int, i_14_: Int, bool_15_: Boolean, widgetComponents: Array<WidgetComponent?>?, i_16_: Int, i_17_: Int","clipX1: Int, originY: Int, useAlternateHighlightStyle: Boolean, originX: Int, clipY1: Int, forcedIconIndex: Int, clipX2: Int, isRootCall: Boolean, widgetComponents: Array<WidgetComponent?>?, targetComponentId: Int, clipY2: Int",low,"NOT related to FlipTextureNode/texture generation. This ~200-line companion function recursively walks a widget-component array (recursing into itself when class46.anInt774==0, i.e. a container widget) drawing sprites (anInt774==3), text/quest-count labels (==4, includes the method356 currency-formatting helper), 3D models/NPC head icons (==5,6), and lines/rects (==9), plus an FPS/heap/cache/coordinate debug HUD overlay block gated by PixelBlender.aBoolean3811/GlowPostProcessor.aBoolean2514. This is almost certainly interface/widget-rendering code that a decompiler merge placed in the wrong file's companion object (see PLAN.md's note about jvmMain '*Statics' files absorbing unrelated content) -- FlipTextureNode itself has nothing to do with widget drawing. Parameter roles were inferred from the FacingDirectionNode.aRenderer6654!!.KA(i, i_12_, i_14_, i_17_) clip-rect calls (clipX1/clipY1/clipX2/clipY2) and from the recursive self-call always passing bool_15_=false (so isRootCall is true only for the initial/root invocation). Confidence is low throughout: this is unrelated code and only a fraction of its ~200 lines were traced in depth."
method3065,sendPacketWithIntPair,"i: Int, bool: Boolean, i_74_: Int","opcode: Int, unused: Boolean, value: Int",low,"No real call site anywhere in the repo -- the only invocation is the dead branch inside method3047 (`if (i_0_ != -1564599039) method3065(-40, true, 93)`), which never fires since every real caller of method3047 passes exactly -1564599039. Also unrelated to texture generation: builds an outgoing network packet via WaterMaterialPass.method2148(...), writes a short and an int into it, and sends it through InterfaceComponentGroup.method3243 -- looks like generic packet-send plumbing merged into this file. Note the recursive self-call `if (bool != false) method3065(-42, true, 43)` always re-passes bool=true, so if this method were ever actually reached with bool==true it would recurse infinitely (stack overflow) -- harmless only because the call is unreachable in practice."
method3066,clearContactEntryCache,i: Int,unused: Int,medium,"Unconditionally sets the companion field aClass348_Sub42_Sub12_9144 (type ContactEntry?, unrelated to texture generation -- likely a misplaced friends/ignore-list cache entry) to null; the preceding `if (i != -1) ...= null` is redundant since the following unconditional assignment does the same thing regardless. Called once, as `method3066(-1)`, from Client.kt:1095 (a lifecycle/reset call site, e.g. login or panel close)."
method356,formatQuantityWithSuffix,"i: Int, i_0_: Int","unusedThreshold: Int, quantity: Int",medium,"Only call site is inside method3064: `method356(-127, class46.anInt781)`, formatting an item/stack quantity for a widget label. Converts quantity to a string, inserts comma thousands-separators, and if the comma-formatted string is long enough (>9 or >6 characters) truncates it and appends a localized unit suffix (LocalizedText.aLocalizedText_3516/3518, presumably 'K'/'M'-style abbreviations) plus the full value in parentheses, all wrapped in a <col=...> tag; otherwise just colours the raw number yellow. `unusedThreshold` gates an early-return null via `i >= -109`, but the only real caller passes -127 (always false), so that branch is effectively dead here too."
method2385,drawMapIconIndicator,"widgetComponent: WidgetComponent?, i: Int, var_sprite: Sprite?, i_4_: Int, i_5_: Int, i_6_: Int, i_7_: Byte, i_8_: Int, var_renderer: Renderer?","widgetComponent: WidgetComponent?, y: Int, sprite: Sprite?, configId: Int, worldX: Int, x: Int, opcode: Byte, worldY: Int, renderer: Renderer?",low,"Unrelated to texture generation -- part of the same merged-in minimap/HUD block as method3064/method1007. Looks up a map-icon/area-shape definition (class42, from TheoraVideoStream.aConfigDefinitionLoader_9031) by configId, rotates its polygon vertices (anIntArray591) by the current compass heading using SpotAnimVector sin/cos tables, fills the resulting polygon via PolygonFiller/Renderer.method3703/method3636, optionally draws an associated 3D icon (class42.method374) and a text label (CameraOrModelTransform.method2650) whose font/colour depends on class42.anInt576 (0/1/2 selecting different RSFont/FontDefinition pairs). Only called from within method1007 (the minimap-indicator drawer), gated by `i_7_ < -52` (real call sites always pass -94/-113/-73, so this check is genuinely satisfied, not a decoy). Exact per-parameter roles beyond what's listed are a best-effort guess given the density of this routine and its irrelevance to this file's nominal purpose."
method1007,drawMinimapIndicators,"widgetComponent: WidgetComponent?, var_renderer: Renderer?, i: Int, i_1_: Int, i_2_: Int","widgetComponent: WidgetComponent?, renderer: Renderer?, x: Int, y: Int, regionSeed: Int",low,"Unrelated to texture generation -- part of the merged-in minimap/HUD block (see method3064/method2385). Draws the full set of minimap position indicators: nearby CameraSplineNode-based markers, quest-NPC markers, world-map label markers (via method2385), then player/NPC head icons (HeadIconRenderer.method1211) for the local player, other NPCs and players (friend/clan/hostile styling via HeadIconRenderer index 1-6), and finally per-player 'ping'/marker overlays from MultiFieldRecord.aMinimapPositionStateArray6897s. `regionSeed` is only ever used xor'd against two constants (0x59b4, 0x59b0) to pick different NodeDeque hash buckets -- likely a per-frame or per-region seed rather than a meaningful semantic value; only its xor-derived usages were traced, not a definitive purpose."
method589,isStructConfigEligible,"structConfig: StructConfig?, i: Int","structConfig: StructConfig?, opcode: Int",medium,"Called externally as `FlipTextureNode.method589(class42, -4)` from CollisionMap.kt and ConfigVarProgress.kt -- both always pass -4 for the second parameter, and the method itself hard-checks `i != -4` to bail out false, so that parameter is effectively a fixed opcode, not real configuration. Returns false if structConfig is null, if its aBoolean574 flag is unset, if its var-condition check (method373) fails, or if its ids appear in either of two 'seen/hidden' hash tables (HeapInfoRecord.aHashtable_4934, HardKeyedCacheEntryReference.aHashtable_10442) -- reads as a 'should this struct-driven UI element currently be shown' gate (e.g. skipping structs already displayed or explicitly hidden). Unrelated to texture generation."
