current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"i: Int, aBoolean7045: Boolean","inputCount: Int, isMonochrome: Boolean",high,"Primary constructor of the abstract base class (Class348_Sub40). `i` is the number of input/child nodes, used only to size aClass348_Sub40Array7031 = arrayOfNulls(i) in the init block. `aBoolean7045` (already a meaningful @JvmField name, kept) flags whether this node produces monochrome/single-channel output (true) or colour/RGB output (false); it drives the mono-vs-colour dispatch seen throughout method3039/3042/3045/3047/3048. Confirmed by ProceduralTextureGraph.method3031 factory, which sets anInt7036 and other fields right after construction, and by subclasses like SpriteTextureNode/TextureMapImageNode which call super(0, false) (colour, no children)."
method3037,getRequiredSpriteId,i: Int,tag: Int,medium,"Base impl always returns -1 (no sprite dependency) and increments companion counter anInt7027; overridden in SpriteTextureNode to return the node's sprite id field (anInt9243). ProceduralTextureGraph's byte-deserializing constructor calls class348_sub40.method3037(-121)/(-119) on every node and collects positive results into anIntArray9524, which method3184 later passes to Js5Archive.method420/421 to make sure referenced sprites are loaded before rendering. The guard `if (i >= -113) method3048(-125, -85, 60)` is a dead opaque-predicate branch: the only real call sites pass -121 and -119, both < -113, so it never fires (SpriteTextureNode's override has the analogous dead `if (i > -113) aBoolean9242 = false`)."
method3039,getInputColourRow,"i: Byte, i_1_: Int, i_2_: Int","callTag: Byte, row: Int, childIndex: Int",medium,"Fetches a 3-channel [R,G,B] row for input node aClass348_Sub40Array7031[childIndex] at the given row. If that child is monochrome (aBoolean7045==true) it calls the child's getMonochromeRow (method3042) once and duplicates the single result array into all 3 slots (grayscale-to-RGB expansion); otherwise it delegates straight to the child's getColourRow (method3047), which already returns a 3-element array. Called by ~15 subclasses' pixel-evaluation code as `this.method3039(tag, row, 0/1/2)` to pull an input's colour data regardless of whether that input is mono or colour. The Byte callTag is only used in a dead/unused computation `val i_3_ = 9 / ((6 - i) / 37)` whose result is discarded - classic obfuscator filler; call-site constants are all chosen to avoid the divide-by-zero case, reinforcing that it is inert."
method3042,getMonochromeRow,"i: Int, i_53_: Int","row: Int, tag: Int",high,"Base/default implementation for colour-only nodes: if tag != 255 returns null; if tag == 255 (the value used at essentially every call site) throws IllegalStateException('This operation does not have a monochrome output'). Overridden by monochrome nodes (aBoolean7045==true, e.g. VoronoiNoiseTextureNode, WeaveTextureNode, PerlinNoiseTextureNode, SineWaveTextureNode, NoiseTextureNode) to compute and return one single-channel pixel row, typically read out of aSpriteSheetCache_7032. tag is effectively always 255 at call sites (see method3039, method3048, ProceduralTextureGraph), so it functions like an obfuscated assertion/tag check rather than real branching logic."
method3043,getRenderTextureDependencyId,i: Int,resetTag: Int,medium,"Base impl returns -1 and, if resetTag != -1, clears aImageFrameCache_7033 (dead at the only real call sites found, which always pass -1, e.g. ProceduralTextureGraph: class348_sub40.method3043(-1)). Overridden in TextureMapImageNode to return anInt9380, an external render-config/model texture id populated during method3049 deserialization and consumed by RenderConfig lookups inside its method3045 override. ProceduralTextureGraph's byte-deserializing constructor collects positive results into anIntArray9523, later checked via var_renderConfig!!.method4(...) in method3184 to confirm the referenced render texture/material is available before use - mirrors method3037's role but for render-config-backed textures instead of sprites."
method3044,prepareLookupTables,i: Int,loadTag: Int,medium,"Base impl: if loadTag <= 108, nulls aSpriteSheetCache_7032 (dead at the one real call site found - ProceduralTextureGraph's companion factory method3031 calls it with 120 immediately after deserializing a node's properties, and 120 > 108). Overridden by many procedural nodes (PerlinNoiseTextureNode, VoronoiNoiseTextureNode, CellNoiseTextureNode, CurveTextureNode, GradientMapTextureNode, GradientLookupEffect, DirectionalLightTextureNode, WeaveTextureNode, SineWaveTextureNode) to build derived lookup/gradient/noise tables from the just-deserialized parameters, gated on 'tag > 108' (true at the real call site) - effectively a one-shot 'finish initialization after load' hook. Other overrides (BrightnessContrastEffect, ScatterTextureNode, CellNoiseTextureNode, TurbulenceTextureNode) instead wrap the '<= 108' guard around dead/decoy recursive or cross-method calls, consistent with the rest of the file's obfuscation pattern."
method3045,allocateRowCache,"i: Int, i_54_: Int, i_55_: Int","width: Int, height: Int, tag: Int",medium,"Creates and stores a SpriteSheetCache (mono, aBoolean7045==true) or ImageFrameCache (colour, aBoolean7045==false) sized by width/height. The cache constructor's first argument (i_56_) is normally the node's own anInt7036 field (a per-node value set externally - hardcoded to 1 for ProceduralTextureGraph's three top-level output nodes, or read from the byte stream for every deserialized node) unless tag equals anInt7036.inv(), in which case height is substituted instead. At the observed call sites (ProceduralTextureGraph.method3183/3185/3186, tags like -256 or i_21_-256) this alternate branch does not appear to realistically trigger given anInt7036 is small (0 or 1), so it looks like another obfuscated near-dead branch, though this was not exhaustively proven for every possible i_21_ value."
method3046,releaseRowCache,i: Byte,tag: Byte,high,"Disposes whichever row cache is active - aSpriteSheetCache_7032.method1432(...) or aImageFrameCache_7033.method2558(...) - then nulls the field. Called once per node at the end of every ProceduralTextureGraph render pass (method3183/3185/3186 all call it with a negative byte such as -116/-106/-125 right after finishing pixel generation), pairing with method3045's allocation. Leading `if (i > -102) method3046(-112)` is a dead self-recursive opaque predicate - never true at the real call sites, which all pass values <= -102."
method3047,getColourRow,"i: Int, i_57_: Int","row: Int, tag: Int",high,"Base/default implementation for monochrome-only nodes: throws IllegalStateException('This operation does not have a colour output'). Overridden by colour nodes (aBoolean7045==false) to return a [R,G,B] IntArray triple for the given row (e.g. SpriteRgbTextureNode, ConstantColourTextureNode, TextureMapImageNode, SpriteTextureNode, most effect nodes). Expected tag is the constant -1564599039 at essentially every call site; the mismatch branch calls method3048(-4, -64, 20), a dead opaque-predicate path since real callers always pass the matching constant (several overrides even recurse into themselves with mismatched decoy args on this same pattern, e.g. SpriteTextureNode.method3047 calling method3047(8, -86))."
method3048,getInputMonoOrRedRow,"i: Int, i_58_: Int, i_59_: Int","row: Int, tag: Int, childIndex: Int",medium,"Fetches a single-channel row for input node aClass348_Sub40Array7031[childIndex]: if that child is a colour node, returns element [0] (red channel) of its getColourRow (method3047) result; if the child is monochrome, calls its getMonochromeRow (method3042) with (tag - 633706082), which equals 255 at every observed call site (tag is always the literal 633706337). Called pervasively by ~25 subclasses as `this.method3048(row, 633706337, 0/1/2)` to pull one input channel (e.g. red/height/displacement source). The leading `if (tag != 633706337) aSpriteSheetCache_7032 = null` is a dead/decoy side effect - tag is always exactly 633706337 at real call sites."
