current_name,recommended_name,current_params,recommended_params,confidence,notes
method1714,getOptionKind,"i: Int, i_5_: Int","tag: Int, value: Int",medium,"Override of GraphicsOptionState.method1714 (see GraphicsOptionState.csv for the shared family convention: real callers always pass tag=3). Unlike most sibling *OptionState overrides which return a fixed constant, this one has real conditional logic: `if (i != 3) anInt6012 = -22` (decoy branch, dead at the real caller which always passes tag=3), then returns 1 if `value == 0` OR `aClass348_Sub51_3136.aClass239_Sub9_7256!!.method1759(i xor 0x7e5e.inv()) == 1` (a hardware/config capability check on a sibling GraphicsOptionState field), else returns 2 - i.e. this option's settability/kind depends on a capability flag rather than being a static constant, unlike its siblings. The 1-vs-2 result (rather than the usual 1-vs-3 seen elsewhere) suggests a different semantic here; not independently confirmed against GraphicsOptionState.method1718's consumption of this value."
method1716,validateValue,bool: Boolean,force: Boolean,high,"Override of GraphicsOptionState.method1716. `if (bool != false) anInt6012 = 46` is a dead decoy (real caller, DisplaySettingsConfig's settings-revalidation pass, always passes false). Real logic: if the current value (anInt3138) is non-zero but the same capability check used in method1714 (`method1759(-32350) != 1`) fails, forces the value back to 0 (i.e. shadows are force-disabled if the hardware/config capability isn't present); then clamps anInt3138 to the valid {0,1} range via getDefaultValue - confirming this is effectively a binary (on/off) shadow toggle despite the class name suggesting multiple quality levels."
method1789,getValue,i: Int,sentinel: Int,high,"Public getter returning `this.anInt3138`. Guarded by a decoy `if (i != -32350) WhirlpoolHash.anInt6008 = 32` (an odd side-effect on an unrelated companion field in a different class - every real external call site (ChatCommandProcessor.kt, CustomCursorsOptionState.kt, DelegatingRenderCanvas.kt, DisplaySettingsConfig.kt, FrameStatsReset.kt) passes exactly -32350, so this branch/side-effect never fires in practice)."
<init>,<init>,class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Trivial delegating constructor: `internal constructor(class348_sub51: DisplaySettingsConfig) : super(class348_sub51)` - forwards to GraphicsOptionState's default-value constructor (seeds anInt3138 via getDefaultValue(20014))."
method1712,setValue,"i: Int, i_6_: Int","tag: Int, value: Int",high,"Override of GraphicsOptionState.method1712. Standard shape: unconditionally sets `this.anInt3138 = value`; the dead discarded local `val i_7_ = -19 / ((i - 82) / 35)` is the usual decoy seen across every sibling *OptionState.method1712 override."
method1790,isSupported,i: Int,decoyInt: Int,low,"Not part of the GraphicsOptionState abstract-method family (different signature: takes an Int and returns Boolean rather than Int/Unit). Always returns `true`; has a dead-looking side effect `if (i < 85) anInt6012 = -109` on entry. Only call site, ChatCommandProcessor.kt:2506 (a CS2 opcode handler), passes 94 (not < 85), so the side effect never fires there. Given it always returns true, this may just be a placeholder/always-available capability flag exposed to the CS2 script VM - exact intended semantics unconfirmed."
<init>,<init>,"i: Int, class348_sub51: DisplaySettingsConfig","initialValue: Int, config: DisplaySettingsConfig",high,"Trivial delegating constructor forwarding to GraphicsOptionState's explicit-initial-value constructor (`: super(i, class348_sub51)`), which stores `initialValue` directly into anInt3138 bypassing getDefaultValue."
method1710,getDefaultValue,i: Int,tag: Int,high,"Override of GraphicsOptionState.method1710. `if (i != 20014) method1789(40)` is the usual dead decoy (real callers - the constructor and this class's own method1716 - always pass tag=20014). Returns the constant default value 1 (shadows on by default), consistent with the {0,1} binary range enforced by method1716."
method1788,decodeBase37String,"i: Byte, l: Long","decoyByte: Byte, packed: Long",medium,"Companion/static method, semantically unrelated to shadow-quality option state (decompiler-merged content per PLAN.md pattern - confirmed by the rethrow diagnostic string literal 'sba.F(...)', i.e. the pre-obfuscation class was 'sba', not this class). Classic RuneScape base-37 name decoder: repeatedly divides `packed` by 37, looks up each remainder in ColourAdjustment.aCharArray852 (the standard 37-character alphabet table), reverses the resulting StringBuffer, and capitalizes the first letter of each 'word' (marked by an underscore-turned-space at code 95). Used to decode player/clan display names packed into a Long. Guards: returns null for packed<=0, packed>=6582952005840035281L (max encodable value), or packed%37==0 (parity check on the encoded name-length terminator)."
method1791,updatePlayerAppearanceIds,"i: Int, is: IntArray?, i_8_: Int, player: Player?","decoyTag: Int, equipmentIds: IntArray?, gender: Int, player: Player?",medium,"Companion/static method, semantically unrelated to shadow-quality option state (decompiler-merged content). Compares a new equipment/appearance id array against the Player's current anIntArray10236; if unchanged and a body-transform id (anInt10286) is set, looks up its ParticleEmitterNode.aWidgetCache_191 config entry and, depending on its type tag (1 or 2), resets several Player animation-timing fields (anInt10232/10267/10294/10218/10244) and optionally triggers TypedRecordTable.method2178 (a transform/animation callback). Otherwise compares each slot of the id array to detect a genuine appearance change (falling back to render-priority comparisons via aWidgetCache_191.method835(...).anInt239) and, if different, stores the new ids/gender into the player. The leading `if (i != 23946) method1791(126, null, -73, null)` is a dead self-recursive decoy at any real caller passing 23946."
method1792,fillWidgetElementArrayRange,"i: Int, i_12_: Int, i_13_: Int, i_14_: Int, i_15_: Byte, i_16_: Int","decoyA: Int, indexB: Int, decoyC: Int, indexD: Int, decoyByte: Byte, value: Int",low,"Companion/static method, semantically unrelated to shadow-quality option state (decompiler-merged content). Computes 4 index bounds via WhirlpoolHash.method831 (a hashing/index-transform helper) against WidgetTextConfig.anInt513/LocalPlayerState.anInt1910 and CameraNodeList.anInt1745/WorldMapLabel.anInt4960, then for the resulting range calls GlElementArrayBuffer.method1156 once per index against WidgetDefinition.anIntArrayArray255 - reads as populating a GL element-array buffer range from widget-definition data, but the exact purpose could not be confirmed without tracing GlElementArrayBuffer.method1156 and WhirlpoolHash.method831 in depth. Only call site: WallEntity.kt:114."
