current_name,recommended_name,current_params,recommended_params,confidence,notes
method39,getFacingDirection,i: Int,decoyCode: Int,"→ Int",low,"Returns aByte10079 (facing/orientation byte set in the constructor from the `i_4_` param). Dead discarded modulo computed from decoyCode."
method40,disposeModel,i: Int,decoyCode: Int,medium,"Calls aAbstractModel_10071.method612() (a release/dispose-style call given the naming pattern of paired accessor methods in this class) when the model is present; conditionally calls method38/isHighDetailEligible as a decoy."
method2391,hitTestModel,"var_renderer: Renderer?, i: Int, i_9_: Int, i_10_: Int","renderer: Renderer?, screenX: Int, screenY: Int, decoyCode: Int","→ Boolean",medium,"Same mouse-picking pattern as Npc.method2391/hitTestModel in this batch: fetches the (possibly cached/rebuilt) model via method2482, sets up the compass-smoothed transform, then calls AbstractModel.method623/method628 with (screenX, screenY)."
method2387,drawSimpleModel,"var_renderer: Renderer?, i: Int","renderer: Renderer?, decoyCode: Int",low,"Body only calls the decoy method41/getSecondaryFacing(115) and increments the counter - no actual draw call is issued, unlike Npc.method2387's real drawSimpleModel. Candidate no-op/stub override for this entity variant; flagged as suspicious."
method41,getSecondaryFacing,i: Int,decoyCode: Int,"→ Int",low,"Returns aByte10062 (a second facing/orientation byte set in the constructor from the `i_5_` param)."
method2392,setHighDetailFlag,bool: Boolean,enabled: Boolean,medium,"Real implementation (contrast with Npc.method2392 in this batch, which just throws): when enabled != true, calls method2394/getModelWidth(true) as a decoy; sets aBoolean10090=false and clears bit 0x10000 from the cached model's flags via AbstractModel.s(...ua() and 0x10000.inv())."
method2381,getOrCreateCircleHitbox,"var_renderer: Renderer?, i: Int","renderer: Renderer?, decoyCode: Int","→ CircleHitbox?",medium,"Lazily builds and caches aCircleHitbox_10082 via VorbisOggDecoder.Companion.method2967(x, height-via-method2482, y, anInt6382, decoyCode-5) - despite living on VorbisOggDecoder (an audio-codec class), this call clearly constructs a 3D circle/cylinder hitbox from position+height, not audio data; likely a shared generic-geometry helper reused across unrelated classes rather than misplaced content specific to this file."
method42,getNpcTypeId,i: Int,decoyCode: Int,"→ Int",medium,"Returns aShort10081 (masked to unsigned 16-bit), set in the constructor from npcConfig.anInt941 - likely this NPC's definition/type id or animation-set id."
method2379,getModelHeight,i: Int,decoyCode: Int,"→ Int",low,"Returns aAbstractModel_10071.ma() (0 if no model) - ma() appears elsewhere as a simple int accessor on AbstractModel, most plausibly a height/extent getter."
method38,isHighDetailEligible,i: Int,decoyCode: Int,"→ Boolean",medium,"Returns aBoolean10064, computed once in the constructor from `renderer.method3682() && npcConfig.aBoolean894 && !aBoolean10066 && (some IntHashSetStatics-driven detail-level check)` - i.e. whether this NPC instance qualifies for the higher-detail render path."
method2380,mergeAdjacentEntityModel,"var_renderer: Renderer?, i: Int, bool: Boolean, class318_sub1: SceneEntity?, i_11_: Int, i_12_: Byte, i_13_: Int","renderer: Renderer?, decoyCode: Int, flag: Boolean, other: SceneEntity?, offset: Int, decoyByte: Byte, extra: Int",high,"Real implementation of the same override that Npc.method2380 in this batch merely throws for: when `other` is an NpcActorEntity or ModelGroundDecor, blends this entity's cached AbstractModel with the other's via AbstractModel.method613(otherModel, extra, decoyCode, offset, flag) - a cross-entity render/lighting blend used for seamless adjacency (e.g. shared shadow or lighting continuity between neighbouring dynamic entities)."
method44,submitRenderNode,"i: Int, var_renderer: Renderer?","decoyCode: Int, renderer: Renderer?",medium,"Gets or builds a RenderNode (reusing the cached aRenderNode10094 if present and this entity is high-detail-eligible, else rebuilding via method2481), then submits it via ModelBatchBase.Companion.method1130(node, plane, x, y, null) - queues this entity's render node into the batched-rendering pass."
method2481,resolveModelOrSpriteHolder,"bool: Boolean, i: Int, i_15_: Int, var_renderer: Renderer?","forceRebuild: Boolean, modelFlags: Int, decoyCode: Int, renderer: Renderer?","→ ModelOrSpriteHolder?",high,"Selects the current and next TerrainTileShape based on aByte6376/facing (using a special-cased 'pet/compact' path when aBoolean10066), then delegates to NpcConfig.method476/getOrBuildModel (this batch's NpcConfig.csv) with the npc's seq id (aShort10081), facing bytes, and terrain-tile shapes to fetch/build the cached model+shadow-node pair."
