current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"i: Int, i_38_: Int, canvas: Canvas?, var_hb: hb, idirect3d: IDirect3D?, idirect3ddevice: IDirect3DDevice, d3dSwapChainWrapper: D3dSwapChainWrapper?, d3dpresent_parameters: D3DPRESENT_PARAMETERS?, d3dcaps: D3DCAPS?, var_renderConfig: RenderConfig?, js5Archive: Js5Archive?, i_39_: Int","adapter: Int, deviceType: Int, canvas: Canvas?, nativeHelper: hb, idirect3d: IDirect3D?, idirect3ddevice: IDirect3DDevice, swapChain: D3dSwapChainWrapper?, presentParams: D3DPRESENT_PARAMETERS?, caps: D3DCAPS?, renderConfig: RenderConfig?, js5Archive: Js5Archive?, sampleQuality: Int",high,"Private primary constructor (only called from the companion's createToolkit factory). Stores every constructor arg into its backing field, creates three D3DLIGHT wrappers (sun/moon directional lights + one reusable point-light struct), a PixelBuffer and GeometryBuffer (both native scratch buffers keyed off `nativeHelper`), and reads a handful of capability booleans directly out of D3DCAPS.TextureCaps (bump-mapping / cube-map / volume-map / mipmap support, max simultaneous textures, max active lights, MSAA availability), before calling IDirect3DDevice.BeginScene(). On any exception, tears down via dispose() and rethrows as a bare RuntimeException."
method3928,setAmbientLightIntensity,i: Int,alpha: Int,high,"Override of an abstract NativeRenderer lighting hook. Calls aD3DLIGHT9789.SetAmbient(r,g,b,alpha) using the renderer's cached ambient-light-color floats (aFloat8180/8093/8087/8168) and clears the 'lights up to date' flag (aBoolean9801 = false, re-checked by applyDirectionalLights)."
method3829,configureTextureArgFlags,"trigLookupTables: TrigLookupTables?, i: Int, i_0_: Byte, bool: Boolean","trigLookupTables: TrigLookupTables?, argSelector: Int, tag: Byte, wrapFlag: Boolean",medium,"Override, only runs when tag==80.toByte(). Picks a D3DTEXTURESTAGESTATETYPE among D3DTSS_COLORARG1(2)/COLORARG2(3)/COLORARG0(26) based on argSelector (1/2/other), ORs in bit 0x10 when wrapFlag is set, and writes `resolveWrapCoordCode(trigLookupTables, ...) or flags` into that stage-state slot for the current texture stage (anInt8175). The D3DTSS_COLORARG0/1/2 constant values (2/3/26) were confirmed against the standard D3D9 D3DTEXTURESTAGESTATETYPE enum, giving fairly high confidence in the overall 'configure which color-blend argument register' interpretation even though the exact selector semantics are inferred."
na,captureScreenPixels,"i: Int, i_4_: Int, i_5_: Int, i_6_: Int","x: Int, y: Int, width: Int, height: Int",high,"Override of an abstract NativeRenderer screenshot/read-back hook. Classic D3D9 screen-capture sequence: StretchRect's the back buffer into a fresh off-screen surface, LockRect's it, copies the region into a freshly-allocated IntArray (row-by-row if the driver's row pitch doesn't exactly match width*4), releases both surfaces, and returns the pixel array (or null on failure)."
method3868,prewarmRenderPass,bool: Boolean,condition: Boolean,medium,"When `condition` is true, calls createRenderPass(-4, ...) purely for its side effect and discards the resulting AbstractRenderPass -- since -4 doesn't match any of createRenderPass's real dispatch cases (3/4/8), this actually falls through to the superclass's default pass, so the practical effect (if any) is whatever NativeRenderer's base createRenderPass does for an unrecognized id. Possibly a vestigial 'pre-touch this code path once' call."
method3862,setVertexDeclaration,"i: Int, modelBatchBase: ModelBatchBase?","unused: Int, vertexFormat: ModelBatchBase?",high,"Override. Casts vertexFormat to Direct3dVertexDeclaration and calls IDirect3DDevice.SetVertexDeclaration on its wrapped native declaration. The `if (unused != 0) applyViewport(...)` decoy branch's real call sites were not individually traced but matches this codebase's pervasive dead-branch convention."
method3954,bindTexture2D,"i: Int, class310_sub2: D3DTexture2D","tag: Int, texture: D3DTexture2D",high,"Package-visible helper (not an override), called from D3DTexture2D.bind()/method63. Delegates to bindTextureCommon(-56.toByte(), texture) for the shared bind/sampler-state work, then additionally sets D3DSAMP_ADDRESSV (sampler-state index 2) to CLAMP(3)/WRAP(1) based on texture.aBoolean6335 when tag==13700 -- the 2D-texture-specific address-mode setup complementing D3DBaseTexture's shared filter-mode logic."
method3841,applySpecularEnableState,i: Byte,unused: Byte,medium,"Sets an unidentified boolean device state (device.a(14, ...), i.e. some Set*(14, Boolean) wrapper -- not the SetRenderState int overload) to `lightingEnabled && specularEnabled`-style combination of aBoolean8124/aBoolean8118. The `if (unused.toInt() != -116) handleDeviceLostOrReset(true)` decoy branch's real call-site value wasn't confirmed."
method3698,noOpRenderHook,,,low,"Empty override (`/* empty */`) of an abstract NativeRenderer hook with zero parameters. No behavior in this D3D backend; likely meaningful only for another backend (e.g. GL/software). Name is a placeholder based on signature shape alone."
method3872,createVolumeTexture,"i: Int, i_10_: Int, textureFormatInfo: TextureFormatInfo?, bool: Boolean, i_11_: Int, is: ByteArray?","depth: Int, width: Int, formatInfo: TextureFormatInfo?, requireFlag: Boolean, height: Int, pixels: ByteArray?",high,"Override, returns Renderable3dTexture?. Returns null unless requireFlag is true, otherwise constructs `D3DVolumeTexture(this, formatInfo!!, width, height, depth, pixels)` -- params reordered to match that constructor's (width, height, depth) order (see D3DVolumeTexture.csv)."
